Target_genes	Klf9|Average	SRX2185047|Unclassified	SRX2185048|Unclassified	SRX2185049|Unclassified	SRX2185050|Unclassified	SRX2185051|Unclassified	STRING
Cldn34d	929.600000	590	933	1165	1307	653	0
Smyd5	623.200000	0	579	1002	684	851	0
Anxa2	611.600000	0	536	901	763	858	0
Armc7	588.600000	0	460	887	728	868	0
Ccdc90b	580.200000	0	486	858	747	810	0
Pole4	576.400000	0	617	888	837	540	0
Brox	537.800000	310	706	671	596	406	0
Aida	537.800000	310	706	671	596	406	0
Smarcb1	492.600000	0	420	853	630	560	0
Ctdsp2	491.000000	0	573	674	581	627	0
Brd3os	475.400000	0	494	678	581	624	0
H4bc24	461.000000	0	441	739	602	523	0
H2bc23	461.000000	0	441	739	602	523	0
H2ac24	461.000000	0	441	739	602	523	0
H2ac23	461.000000	0	441	739	602	523	0
Dcakd	440.800000	0	410	635	511	648	0
H4c18	440.400000	0	441	739	602	420	0
Arhgap28	405.800000	0	342	673	492	522	0
Sccpdh	403.800000	0	405	498	585	531	0
Tfip11	376.200000	0	302	576	481	522	0
Prmt2	376.000000	0	385	552	446	497	0
Acads	375.600000	0	275	674	384	545	0
Ndrg1	374.800000	0	343	536	435	560	0
Tmem125	369.600000	455	408	329	430	226	0
Anapc7	369.200000	0	321	599	534	392	0
Fam104a	361.200000	0	337	505	571	393	0
D11Wsu47e	361.200000	0	337	505	571	393	0
Nectin2	360.000000	0	318	454	437	591	0
H4c17	357.400000	0	260	586	418	523	0
Smpd4	348.000000	0	188	481	413	658	0
Riok1	337.600000	0	328	395	338	627	0
Cage1	337.600000	0	328	395	338	627	0
Kpna1	335.000000	243	405	340	433	254	0
Agl	334.600000	0	236	503	453	481	0
Lrr1	331.400000	0	222	544	423	468	0
Fbxw8	324.800000	0	302	539	298	485	0
Primpol	324.200000	0	305	545	251	520	0
Casp3	324.200000	0	305	545	251	520	0
Arid4a	319.600000	0	285	468	334	511	0
Psmb10	318.200000	0	300	456	421	414	0
Lcat	318.200000	0	300	456	421	414	0
Ctrl	318.200000	0	300	456	421	414	0
Unc50	312.200000	0	243	497	366	455	0
Coa5	312.200000	0	243	497	366	455	0
Mbd6	310.400000	0	267	582	328	375	0
Ddit3	310.400000	0	267	582	328	375	0
Xrcc6	310.000000	0	310	423	347	470	0
Desi1	310.000000	0	310	423	347	470	0
Zfp622	309.200000	0	393	342	294	517	0
Klf13	308.600000	0	287	586	404	266	0
Tcstv3	307.400000	379	153	278	330	397	0
Fam13b	306.600000	0	234	401	468	430	0
Adora2b	305.000000	0	247	433	452	393	0
Pdik1l	304.000000	0	289	393	404	434	0
Spata5	303.000000	0	393	460	279	383	0
Nudt6	303.000000	0	393	460	279	383	0
Numa1	302.000000	0	287	607	360	256	0
Ttc3	300.200000	0	247	481	339	434	0
Pigp	300.200000	0	247	481	339	434	0
Slc6a9	300.000000	0	223	375	464	438	0
Il31ra	297.600000	212	457	312	343	164	0
Rfc3	295.400000	0	292	424	369	392	0
Zbed5	292.200000	0	362	358	384	357	0
Sft2d1	292.000000	0	211	428	330	491	0
Med11	290.600000	0	265	377	310	501	0
Rabep2	288.400000	0	365	348	281	448	0
Atad3a	286.600000	0	264	463	319	387	0
Fam89b	285.600000	0	260	458	386	324	0
Znrd2	284.800000	0	260	458	386	320	0
Kmt5a	284.800000	0	312	491	333	288	0
Ercc2	283.200000	0	276	364	385	391	0
Klf16	276.800000	0	269	426	336	353	0
Smarcc1	276.000000	0	344	397	348	291	0
Fbxw9	275.200000	0	307	364	381	324	0
Uba5	275.000000	0	199	452	386	338	0
Acad11	275.000000	0	199	452	386	338	0
Mthfd2	274.400000	0	313	452	307	300	0
Czib	273.200000	0	244	433	244	445	0
Mrpl48	272.800000	0	224	478	270	392	0
Coprs	268.600000	0	204	368	440	331	0
Mrpl52	265.200000	0	184	450	356	336	0
Mmp14	265.200000	0	184	450	356	336	0
Dscc1	264.200000	0	212	396	329	384	0
Ing5	262.600000	0	184	451	326	352	0
Dtymk	262.600000	0	184	451	326	352	0
Csk	262.600000	0	235	468	312	298	0
Prr19	261.800000	0	269	429	282	329	0
Pafah1b3	261.800000	0	269	429	282	329	0
Exo5	260.600000	0	315	289	388	311	0
Tprn	259.600000	0	192	328	505	273	0
Vim	258.600000	0	304	352	322	315	0
Rnaset2b	256.600000	0	170	370	306	437	0
Nr3c1	256.600000	0	255	516	284	228	0
Rest	256.400000	0	301	411	347	223	0
Rhbdd3	255.600000	0	225	274	327	452	0
Ewsr1	255.600000	0	225	274	327	452	0
Efna5	253.400000	0	146	369	330	422	0
Jade2	252.800000	0	299	453	271	241	0
Rnf13	252.000000	0	325	339	233	363	0
Lrig1	246.600000	0	277	409	273	274	0
Nadk2	246.400000	0	216	394	294	328	0
Rnaset2a	245.400000	0	165	370	296	396	0
Sowahc	244.800000	0	196	433	293	302	0
Septin10	244.800000	0	196	433	293	302	0
Ptprs	243.400000	0	279	389	208	341	0
Tmem41b	241.000000	0	204	273	217	511	0
Atat1	240.800000	0	191	417	266	330	0
Patl1	239.200000	0	309	406	218	263	0
Arpc1b	238.600000	0	169	310	296	418	0
Fscn1	237.600000	0	224	333	301	330	0
Rnh1	236.600000	0	186	319	324	354	0
Oasl1	236.000000	277	302	303	298	0	0
Ybx1	234.800000	0	213	336	343	282	0
Ppp1r14b	234.600000	0	157	444	293	279	0
Fkbp2	234.600000	0	157	444	293	279	0
Pacs1	233.400000	0	231	434	247	255	0
Amfr	232.200000	0	165	430	275	291	0
Rbbp7	230.800000	0	220	353	342	239	0
Micall2	229.400000	0	304	298	248	297	0
Cdk6	229.000000	0	186	359	249	351	0
Rp9	226.800000	0	156	375	273	330	0
Ccn5	226.400000	0	238	346	241	307	0
Ccnq	224.800000	0	104	293	326	401	0
Sltm	224.600000	0	176	396	264	287	0
Diablo	222.200000	0	217	315	235	344	0
Gpn1	221.800000	0	145	293	381	290	0
Pif1	220.400000	0	254	269	223	356	0
Mgat1	220.000000	0	154	401	201	344	0
