Target_genes	Lhx2|Average	SRX11976466|Cerebral_Cortex	SRX310225|Dermal_fibroblasts	SRX310227|Dermal_fibroblasts	SRX310229|Dermal_fibroblasts	SRX2487346|Olfactory_Nerve	SRX2487347|Olfactory_Nerve	SRX2487356|Olfactory_Nerve	SRX3064886|Olfactory_Nerve	STRING
Tcstv3	1178.125000	1565	572	530	457	1926	1865	1229	1281	0
Zfp64	858.625000	0	0	0	0	3655	3214	0	0	0
Ankrd10	834.750000	461	295	0	222	3033	2667	0	0	0
Lingo2	750.375000	0	0	0	0	3090	2913	0	0	0
Lrguk	748.875000	0	0	0	0	3170	2821	0	0	0
Lgals12	682.875000	197	0	0	139	2639	2488	0	0	0
Pars2	679.500000	0	0	0	0	2790	2646	0	0	0
Brox	675.750000	0	0	313	419	1741	1973	623	337	0
Aida	675.750000	0	0	313	419	1741	1973	623	337	0
Fstl5	670.750000	0	0	0	0	2868	2498	0	0	0
Homer2	658.750000	0	0	0	0	2712	2558	0	0	0
Cldn34d	631.750000	0	0	344	400	1435	1697	855	323	0
Lrrc59	617.625000	0	0	0	0	2690	2251	0	0	0
P2rx4	610.125000	0	0	0	0	2402	2479	0	0	0
Tmem229b	590.000000	307	151	155	194	2034	1879	0	0	0
Lrrc36	587.750000	0	0	0	127	2539	2036	0	0	0
Scn4b	582.125000	0	0	0	0	2486	2171	0	0	0
Pde7a	581.375000	0	0	0	0	2505	2146	0	0	0
Sun3	556.000000	0	0	0	0	2494	1954	0	0	0
Gm11992	556.000000	0	0	0	0	2494	1954	0	0	0
Nudt5	550.375000	0	0	0	0	2104	2299	0	0	0
Cdc123	550.375000	0	0	0	0	2104	2299	0	0	0
Gng13	549.375000	0	0	0	0	2431	1964	0	0	0
Avp	544.500000	0	0	0	0	2310	2046	0	0	0
Rmnd5b	527.125000	0	0	0	0	2175	2042	0	0	0
Hapln4	526.125000	0	0	0	0	2293	1916	0	0	0
Edem1	522.125000	0	0	0	0	2354	1823	0	0	0
Elobl	521.375000	0	0	0	0	1974	2197	0	0	0
Coil	521.375000	0	0	0	0	1974	2197	0	0	0
Crem	516.000000	0	0	0	0	2026	2102	0	0	0
Sult1d1	504.500000	0	0	0	0	2201	1835	0	0	0
Pop5	502.375000	0	0	0	0	2379	1640	0	0	0
Rp2	494.500000	0	0	0	0	2059	1897	0	0	0
Rnf128	491.625000	0	0	0	0	2100	1833	0	0	0
R3hcc1l	485.875000	0	0	0	0	1889	1998	0	0	0
Hnrnpa0	485.625000	0	0	0	0	2006	1879	0	0	0
Myt1	479.000000	0	0	0	0	1950	1882	0	0	0
Ccdc54	477.500000	0	0	0	0	2033	1787	0	0	0
Lpgat1	477.125000	0	0	0	0	1985	1832	0	0	0
Wfdc21	464.375000	0	0	0	0	1937	1778	0	0	0
Synpo	459.875000	0	0	0	0	1887	1792	0	0	0
Wdr17	458.750000	0	0	0	0	1986	1684	0	0	0
Rapgef2	449.750000	0	0	0	0	1897	1701	0	0	0
Asmt	439.625000	0	0	339	240	571	748	770	849	0
Efna3	436.125000	0	0	0	0	1919	1570	0	0	0
Fermt2	433.375000	0	0	0	0	1828	1639	0	0	0
Fut4	420.625000	0	0	0	0	1748	1617	0	0	0
Wdsub1	416.375000	0	0	0	0	1818	1513	0	0	0
Snx10	414.875000	0	0	0	0	1680	1639	0	0	0
Ak1	413.250000	0	0	0	0	1823	1483	0	0	0
Tgfbr1	412.625000	0	0	0	0	1658	1643	0	0	0
Zbtb44	411.500000	0	0	0	0	1831	1461	0	0	0
Ugdh	411.000000	0	0	0	0	1683	1605	0	0	0
Rbm4	406.750000	0	0	0	0	1719	1535	0	0	0
Etfbkmt	401.500000	0	0	0	0	1662	1550	0	0	0
Gdpd1	400.375000	0	0	0	0	1527	1676	0	0	0
Omp	399.875000	0	0	0	0	1939	1260	0	0	0
Usp20	390.125000	0	0	0	0	1612	1509	0	0	0
BC005624	390.125000	0	0	0	0	1612	1509	0	0	0
Gng8	389.500000	0	0	0	0	1746	1370	0	0	0
Dagla	383.500000	0	0	0	0	1719	1349	0	0	0
Lancl2	382.125000	0	0	0	0	1658	1399	0	0	0
Ikbkg	381.750000	0	0	0	0	1763	1291	0	0	0
G6pdx	381.750000	0	0	0	0	1763	1291	0	0	0
Rab5c	381.375000	0	0	0	0	1513	1538	0	0	0
Cul5	380.375000	0	0	0	0	1745	1298	0	0	0
Ncapg2	378.875000	0	0	0	0	1568	1463	0	0	0
Sybu	374.000000	0	0	0	0	1521	1471	0	0	0
Ube2s	373.625000	0	0	0	0	1567	1422	0	0	0
Kdm3a	373.500000	0	0	0	0	1548	1440	0	0	0
Galnt14	372.750000	0	0	0	0	1582	1400	0	0	0
Dzip1l	367.500000	0	0	0	0	1474	1466	0	0	0
Tmem125	365.875000	0	85	241	182	752	946	429	292	0
Rnf139	359.625000	0	0	0	0	1489	1388	0	0	0
Dixdc1	359.000000	0	0	0	0	1698	1174	0	0	0
Gse1	358.250000	0	0	0	111	1492	1263	0	0	0
Ttll6	353.375000	0	0	0	0	1673	1154	0	0	0
Cystm1	353.375000	0	0	0	0	1431	1396	0	0	0
Stoml3	351.000000	0	0	0	0	1488	1320	0	0	0
Mia3	349.625000	0	0	0	0	1554	1243	0	0	0
Gcnt2	347.500000	0	0	0	0	1526	1254	0	0	0
Ankrd12	347.375000	0	0	0	0	1641	1138	0	0	0
Gadl1	346.250000	0	0	0	0	1550	1220	0	0	0
Sash1	344.625000	0	0	0	0	1373	1384	0	0	0
Abhd6	343.250000	311	159	298	375	207	201	527	668	0
Saraf	343.125000	0	0	0	0	1358	1387	0	0	0
Hmgxb3	342.250000	0	0	0	0	1225	1513	0	0	0
Syt16	342.125000	0	0	0	0	1416	1321	0	0	0
Rab3gap1	342.000000	0	0	0	0	1544	1192	0	0	0
Plekhm1	337.750000	0	0	0	0	1248	1454	0	0	0
Slc25a33	337.375000	0	0	0	0	1474	1225	0	0	0
Rtn1	337.125000	0	0	0	0	1418	1279	0	0	0
Mrps33	336.125000	0	0	0	0	1408	1281	0	0	0
Arpp21	335.500000	0	0	0	0	1397	1287	0	0	0
Phc2	331.500000	0	0	0	0	1357	1295	0	0	0
Prkab1	331.125000	0	0	0	0	1526	1123	0	0	0
Xrra1	330.375000	0	0	0	0	1292	1351	0	0	0
Spcs2	330.375000	0	0	0	0	1292	1351	0	0	0
Mccc1	330.250000	0	0	0	0	1146	1496	0	0	0
Adcy3	330.250000	0	0	0	0	1426	1216	0	0	0
Kdm3b	328.625000	0	0	0	0	1363	1266	0	0	0
Herpud2	325.750000	0	0	0	0	1450	1156	0	0	0
Zzef1	325.500000	0	0	0	0	1421	1183	0	0	0
