Target_genes	Lmx1b|Average	SRX14595106|Embryoid_Bodies	SRX14595114|Embryoid_Bodies	SRX1898873|Embryonic_limb	SRX2432177|Embryonic_limb	STRING
Tcstv3	1246.750000	1107	2252	666	962	0
Cldn34d	1165.000000	1494	1219	1421	526	0
Brox	723.250000	1095	700	801	297	0
Aida	723.250000	1095	700	801	297	0
Kpna1	637.000000	335	416	1079	718	0
Atg4c	435.500000	1090	652	0	0	0
Abhd6	414.000000	684	489	212	271	0
Ubxn10	390.500000	896	666	0	0	0
Pla2g2c	390.500000	896	666	0	0	0
Asmt	387.750000	246	229	727	349	0
Il31ra	384.000000	178	222	688	448	0
Olfr806	366.750000	491	423	337	216	0
Pla2g2d	341.000000	750	614	0	0	0
Oasl1	331.250000	457	391	477	0	0
Tmem125	261.000000	0	96	735	213	0
Mmrn1	242.500000	587	383	0	0	0
Krt8	205.750000	517	306	0	0	0
Tmem178b	199.000000	431	365	0	0	0
Rnase12	188.000000	546	206	0	0	0
Rnase11	188.000000	546	206	0	0	0
Plch1	185.500000	556	186	0	0	0
Krt26	181.000000	537	187	0	0	0
Vmn2r102	176.000000	252	0	452	0	0
Asb4	160.750000	408	235	0	0	0
Dyrk3	155.750000	433	190	0	0	0
Ccnq	147.750000	414	177	0	0	0
Fstl5	142.500000	351	219	0	0	0
Lmo1	135.750000	379	164	0	0	0
Celf4	130.000000	311	209	0	0	0
Lrrc36	124.000000	368	128	0	0	0
Cdh12	123.250000	224	0	269	0	0
Galr3	118.000000	264	208	0	0	0
Pcdh15	117.500000	334	136	0	0	0
Zc3h12c	115.750000	294	169	0	0	0
Hspe1	115.500000	243	219	0	0	0
Hspd1	115.500000	243	219	0	0	0
Sall4	109.500000	303	135	0	0	0
Racgap1	108.250000	286	147	0	0	0
Tctex1d1	107.000000	244	184	0	0	0
Aadacl2fm1	106.500000	258	168	0	0	0
Tcf12	106.000000	187	237	0	0	0
Fat1	105.750000	423	0	0	0	0
Uncx	103.000000	412	0	0	0	0
Sspn	103.000000	0	0	412	0	0
Zeb2	99.250000	397	0	0	0	0
Ascl1	94.250000	219	158	0	0	0
Mrps33	93.750000	244	131	0	0	0
Atp2b2	93.750000	258	117	0	0	0
Gas2	93.250000	240	133	0	0	0
Fancf	93.250000	240	133	0	0	0
Rab3gap1	91.750000	222	145	0	0	0
Hhip	89.500000	358	0	0	0	0
Dll1	88.750000	248	107	0	0	0
Thrb	88.000000	258	94	0	0	0
Pgk1	87.750000	171	180	0	0	0
Nrep	85.500000	185	157	0	0	0
Cacng4	85.000000	231	109	0	0	0
Dmrt3	81.750000	165	162	0	0	0
Limch1	79.250000	218	99	0	0	0
Rax	75.750000	303	0	0	0	0
Ccdc83	75.750000	192	111	0	0	0
D1Pas1	73.000000	292	0	0	0	0
Col6a6	73.000000	202	90	0	0	0
