Target_genes	Maf|Average	SRX17133649|Skeletal_muscle	SRX17133650|Skeletal_muscle	SRX187203|Th0	SRX187204|Th17_Cells	SRX187205|Th17_Cells	SRX187206|Th17_Cells	SRX288145|Th17_Cells	SRX288146|Th17_Cells	STRING
Tcstv3	1186.500000	442	678	378	2098	2038	859	1547	1452	0
Mybph	1134.750000	0	394	0	1782	1993	0	2447	2462	0
Wrap73	1124.625000	0	0	0	2037	2014	0	2594	2352	0
Trp73	1124.625000	0	0	0	2037	2014	0	2594	2352	0
Fez2	1025.875000	0	0	0	1823	1850	0	2410	2124	0
Dthd1	1021.750000	0	0	0	1710	1913	0	2367	2184	0
Pou2af1	933.125000	0	0	0	1509	1637	0	2276	2043	0
Cldn34d	929.000000	1393	1569	308	1405	1039	385	735	598	0
Blmh	904.625000	86	505	0	1600	1971	0	1855	1220	0
Kpna1	901.000000	599	940	200	871	729	714	1702	1453	0
Podnl1	869.375000	0	0	0	1599	1746	0	2075	1535	0
Vamp5	845.500000	0	0	0	1401	1296	0	2139	1928	0
Plbd2	825.250000	0	0	0	1493	1491	0	1885	1733	0
Szrd1	809.625000	0	0	0	1669	1586	0	1849	1373	0
Arc	805.000000	0	0	0	1469	1412	0	1710	1849	0
Cxcl10	796.875000	0	272	0	1421	1444	0	1753	1485	0
Gm4832	786.750000	0	0	0	1736	1617	0	1672	1269	0
Sh3bp5	782.625000	0	113	0	1538	1254	0	2116	1240	0
Wbp1l	774.875000	0	0	0	1526	1383	0	1788	1502	0
Arrdc3	770.000000	0	106	0	1387	1397	0	1637	1633	0
Atxn2	745.250000	0	0	0	1593	1471	0	1826	1072	0
Il31ra	742.000000	675	703	128	910	737	459	1220	1104	0
Gtf3c2	732.125000	0	0	0	1144	972	0	2114	1627	0
Nmur1	729.375000	0	0	0	0	1789	0	2085	1961	0
Irf2bp2	726.625000	0	0	0	1149	1244	0	1899	1521	0
Cox18	717.375000	0	111	0	1129	1196	0	1679	1624	0
Ifi204	715.750000	0	0	0	1192	1300	0	1487	1747	0
Dus2	714.875000	0	0	0	1544	1645	0	1330	1200	0
Ddx28	714.875000	0	0	0	1544	1645	0	1330	1200	0
Aldh3b3	714.000000	0	0	0	1131	1158	0	1627	1796	0
Gbp7	712.500000	0	0	0	1501	1607	0	1448	1144	0
Cdc42ep3	709.625000	0	154	0	1050	980	0	1848	1645	0
Rorc	709.500000	0	0	0	1108	1302	0	1639	1627	0
Col16a1	704.000000	0	0	0	1138	1273	0	1703	1518	0
Vps29	666.375000	0	482	0	1417	1461	0	1219	752	0
Rad9b	666.375000	0	482	0	1417	1461	0	1219	752	0
Aplp1	663.250000	0	0	0	1682	1948	0	959	717	0
Rffl	656.875000	0	0	0	1531	1320	0	1416	988	0
Snrpc	655.875000	0	227	0	996	964	0	1793	1267	0
Gskip	655.750000	0	0	0	1264	1393	0	1371	1218	0
Atg2b	655.750000	0	0	0	1264	1393	0	1371	1218	0
Zap70	652.875000	0	0	0	1252	1234	0	1435	1302	0
Far1	640.250000	0	0	0	991	883	0	1980	1268	0
Gng2	632.000000	0	0	0	1214	1105	0	1511	1226	0
Abhd12	628.000000	0	0	0	834	944	0	1807	1439	0
Calhm2	623.125000	0	0	0	1280	1132	0	1442	1131	0
Calhm1	623.125000	0	0	0	1280	1132	0	1442	1131	0
Slc15a3	621.500000	0	0	0	984	1086	0	1621	1281	0
Tctex1d4	611.125000	0	0	0	998	887	0	1640	1364	0
Btbd19	611.125000	0	0	0	998	887	0	1640	1364	0
Stim1	610.875000	0	0	0	1193	1155	0	1336	1203	0
Hpn	609.750000	0	0	0	898	986	0	1636	1358	0
Brox	607.750000	800	569	225	1130	926	273	529	410	0
Aida	607.750000	800	569	225	1130	926	273	529	410	0
Slc16a5	599.750000	0	0	0	1405	1294	0	1269	830	0
Cltc	598.125000	98	598	0	1147	1258	0	1077	607	0
Mtpap	591.000000	0	358	0	1455	1187	0	851	877	0
Ttc39c	586.875000	0	0	0	1266	1117	0	1351	961	0
Sspn	584.750000	145	547	108	509	371	306	1528	1164	0
Grn	582.125000	0	0	0	1149	1085	0	1059	1364	0
Stat4	582.000000	0	0	0	483	514	0	1864	1795	0
Eapp	580.125000	0	154	0	1438	1449	107	689	804	0
Slc3a2	569.125000	0	0	0	971	1098	0	1277	1207	0
Tmem95	566.750000	0	0	0	1110	1244	0	1074	1106	0
Kctd11	566.750000	0	0	0	1110	1244	0	1074	1106	0
Nme7	563.750000	0	0	0	1588	1581	0	705	636	0
Blzf1	563.750000	0	0	0	1588	1581	0	705	636	0
Emp1	563.125000	0	0	0	845	977	0	1474	1209	0
Slc38a7	562.000000	0	0	0	814	916	0	1382	1384	0
Bcl2l11	560.625000	0	0	0	1018	1273	0	1144	1050	0
Cdh10	557.125000	0	0	0	983	1288	0	1294	892	0
Prr5l	556.250000	0	0	0	1166	1242	0	1166	876	0
Gstm4	547.750000	0	110	0	902	1225	0	1236	909	0
Pecam1	546.375000	0	0	0	763	711	0	1608	1289	0
Ufl1	545.875000	0	182	0	585	610	0	1505	1485	0
Srgn	545.875000	0	0	0	1031	896	0	1461	979	0
Inpp5d	543.375000	0	0	0	886	1032	0	1254	1175	0
Rara	542.625000	0	0	0	684	894	0	1509	1254	0
Btbd16	542.500000	0	0	0	1232	1318	0	888	902	0
Armc5	542.000000	0	196	0	1310	1455	0	878	497	0
9130023H24Rik	542.000000	0	196	0	1310	1455	0	878	497	0
Cd276	540.500000	0	0	0	660	653	0	1507	1504	0
Eef2k	540.000000	0	0	0	670	563	0	1780	1307	0
Ptgdr2	537.375000	0	0	0	676	442	0	1672	1509	0
C5ar1	537.250000	0	0	0	668	854	0	1488	1288	0
Zbtb6	533.875000	0	0	0	1137	1002	0	1207	925	0
Gstp3	533.750000	0	0	0	886	909	0	1278	1197	0
Ranbp2	525.625000	0	0	0	813	737	0	1370	1285	0
Exoc3l	525.500000	0	255	0	862	896	0	1002	1189	0
E2f4	525.500000	0	255	0	862	896	0	1002	1189	0
Slc25a51	522.250000	0	0	0	1013	1066	0	1030	1069	0
Stap1	519.125000	0	0	0	1000	1082	0	1061	1010	0
Cenpc1	519.125000	0	0	0	1000	1082	0	1061	1010	0
Cdk19	516.875000	0	0	0	1068	896	0	1116	1055	0
Hemk1	515.375000	0	0	0	829	873	0	1113	1308	0
Trim45	513.375000	0	0	0	1214	1183	0	951	759	0
Samd11	513.125000	0	0	0	606	584	0	1551	1364	0
Zfp870	507.625000	0	0	0	828	817	0	1116	1300	0
Zfp362	506.750000	0	0	0	784	826	0	1235	1209	0
Mafg	504.875000	0	0	0	870	608	0	1204	1357	0
Ercc1	501.875000	0	281	0	917	893	0	878	1046	0
Sco1	496.750000	0	0	0	1066	1124	0	1133	651	0
Adprm	496.750000	0	0	0	1066	1124	0	1133	651	0
Ttc41	493.625000	0	0	0	710	892	0	1225	1122	0
Hsp90b1	493.625000	0	0	0	710	892	0	1225	1122	0
Cpd	493.250000	0	0	0	947	880	0	1178	941	0
Ulk1	493.125000	0	0	0	724	829	0	1310	1082	0
Jakmip1	487.625000	0	0	0	901	1077	0	967	956	0
Zfp664	485.000000	0	0	0	926	739	0	1293	922	0
Ccdc92	485.000000	0	0	0	926	739	0	1293	922	0
Rubcn	484.750000	0	219	0	998	1158	0	734	769	0
Psmc3	484.625000	0	0	0	545	557	0	1302	1473	0
Twsg1	484.000000	0	0	0	757	827	0	1304	984	0
Gnpda1	484.000000	0	0	0	1063	1017	0	950	842	0
Ssbp4	482.125000	0	0	0	906	908	0	1081	962	0
Lrrc23	481.250000	0	0	0	1445	1407	0	709	289	0
Flna	480.625000	0	0	0	821	714	0	1324	986	0
Vkorc1	478.000000	0	0	0	524	505	0	1326	1469	0
Prss53	478.000000	0	0	0	524	505	0	1326	1469	0
Elk3	477.375000	0	0	0	933	777	0	1072	1037	0
Zfp963	473.500000	0	212	0	966	697	0	918	995	0
Eif3d	471.875000	0	180	0	955	896	0	770	974	0
Mefv	470.875000	0	0	0	678	754	0	1308	1027	0
Eif4ebp1	470.250000	0	0	0	868	942	0	917	1035	0
Asmt	467.875000	761	588	198	472	517	397	462	348	0
Riok3	465.875000	0	0	0	872	721	0	1181	953	0
Strip1	462.375000	0	0	0	1193	946	0	776	784	0
Pnrc1	461.125000	0	130	0	949	989	0	863	758	0
Cd47	459.000000	0	0	0	797	683	0	904	1288	0
Atr	458.500000	0	0	0	803	922	0	1120	823	0
1700065D16Rik	458.500000	0	0	0	803	922	0	1120	823	0
Gzmk	457.875000	0	0	0	910	862	0	1136	755	0
Cela1	455.750000	0	0	0	989	1162	0	822	673	0
Lamtor4	455.000000	0	249	0	744	991	0	825	831	0
Aldh9a1	453.000000	0	0	0	933	1110	0	909	672	0
Myo1f	451.750000	0	0	0	590	718	0	1291	1015	0
Ptpre	441.875000	0	0	0	714	756	0	1099	966	0
B4galnt4	441.250000	0	0	0	851	815	0	1186	678	0
Pepd	439.500000	0	223	0	1002	1144	0	463	684	0
Zbtb5	439.375000	0	0	0	654	765	0	1199	897	0
Cetn4	438.625000	0	0	0	981	807	0	898	823	0
Bbs12	438.625000	0	0	0	981	807	0	898	823	0
Nr1d2	437.500000	0	0	0	695	649	0	1064	1092	0
Rtn3	435.375000	0	0	0	1051	864	0	1013	555	0
Elmo3	433.375000	0	0	0	752	606	0	1062	1047	0
Nol11	433.000000	0	0	0	774	738	0	1109	843	0
Mmp10	432.250000	0	0	0	737	895	0	875	951	0
Il1r2	429.875000	0	0	0	963	979	0	849	648	0
Il17a	428.625000	0	0	0	950	776	0	970	733	0
Pla2g6	426.500000	0	151	0	679	901	0	1002	679	0
Foxp1	426.500000	0	0	0	978	901	0	938	595	0
Eml2	426.000000	0	0	0	648	566	0	1277	917	0
Gm14325	422.375000	0	0	0	464	379	0	1341	1195	0
Zfp52	420.000000	0	0	0	801	987	0	850	722	0
Dctpp1	419.125000	0	0	0	457	470	0	1172	1254	0
Tmigd1	419.000000	0	0	0	827	875	0	824	826	0
Tex14	417.625000	0	201	0	966	994	124	520	536	0
Itga9	416.750000	0	0	0	342	434	0	1083	1475	0
Pigh	415.500000	0	0	0	411	533	0	1103	1277	0
Olfr806	413.750000	0	0	252	553	612	1004	489	400	0
Gja1	413.375000	0	0	0	931	779	0	931	666	0
H1f8	413.000000	0	0	0	852	895	0	669	888	0
E2f8	412.250000	0	0	0	676	602	0	1271	749	0
Tmem107	410.750000	0	0	0	1522	1482	148	134	0	0
Arrb2	408.250000	0	0	0	481	588	0	1077	1120	0
Samhd1	407.875000	0	0	0	649	634	0	1099	881	0
Ms4a6c	407.000000	0	0	0	586	725	0	1012	933	0
Disp1	406.000000	0	0	0	1036	547	0	965	700	0
Slc43a2	404.125000	0	0	0	431	665	0	1192	945	0
Herc1	403.125000	0	0	0	474	530	0	1231	990	0
Dnmt1	400.625000	0	0	0	749	768	0	963	725	0
Ptprf	398.625000	0	0	0	797	572	0	981	839	0
Nupr1	397.375000	0	0	0	533	450	0	1161	1035	0
Hmox2	396.875000	0	0	0	968	1022	0	745	440	0
Utp25	395.875000	0	0	0	460	753	0	1027	927	0
Zfat	392.125000	0	0	0	758	722	0	1055	602	0
Dnase1l3	391.875000	0	0	0	251	304	0	1000	1580	0
Myh7b	389.000000	0	0	0	605	503	0	1045	959	0
Smim3	387.875000	0	0	0	759	735	0	908	701	0
Raf1	387.125000	0	0	0	1327	1353	0	417	0	0
Oasl1	387.000000	549	387	198	515	476	409	361	201	0
Slfn10-ps	385.250000	0	0	0	809	709	0	878	686	0
Gm14326	385.250000	0	0	0	655	515	0	1003	909	0
Gm3448	384.250000	0	0	0	610	713	0	1103	648	0
Gm3417	384.250000	0	0	0	610	713	0	1103	648	0
Prdx1	382.875000	0	101	0	904	824	0	759	475	0
Ubl3	382.625000	0	0	0	523	534	0	1114	890	0
Gtf3c6	380.125000	0	0	0	1392	1464	185	0	0	0
Gimap5	380.125000	0	0	0	674	750	0	1026	591	0
Wsb2	379.125000	0	0	0	573	491	0	971	998	0
Faap20	377.125000	0	0	0	877	867	0	626	647	0
Spag16	375.000000	0	0	0	226	303	0	1368	1103	0
Cobll1	374.250000	0	0	0	921	821	0	453	799	0
Capn1	373.375000	0	172	0	689	733	0	817	576	0
Tcte3	372.500000	0	0	0	539	713	0	1080	648	0
Tnfrsf9	371.000000	0	0	0	655	694	0	942	677	0
Tmem125	370.750000	715	688	139	316	281	177	307	343	0
Tmem140	370.250000	0	0	0	783	786	0	815	578	0
Cd28	369.875000	0	0	0	596	811	0	793	759	0
Tdp2	367.375000	0	0	0	941	851	0	762	385	0
Clec12a	367.375000	0	0	0	591	591	0	1031	726	0
Acot13	367.375000	0	0	0	941	851	0	762	385	0
Ermard	365.750000	0	0	0	539	713	0	1080	594	0
Aff1	365.250000	0	0	0	571	514	0	975	862	0
Pofut1	363.750000	0	0	0	722	780	0	837	571	0
Plagl2	363.750000	0	0	0	722	780	0	837	571	0
Pi4k2a	363.500000	0	0	0	959	851	0	702	396	0
Golga3	362.375000	0	0	0	194	211	0	1418	1076	0
Ahnak	360.125000	0	0	0	822	560	0	745	754	0
Il17re	359.750000	0	0	0	372	593	0	913	1000	0
Tnfaip8	359.500000	0	0	0	430	569	0	934	943	0
Abhd6	357.625000	0	0	318	487	503	790	432	331	0
Map9	357.500000	0	0	0	675	619	0	834	732	0
Ptger1	357.375000	0	0	0	915	812	0	636	496	0
Atg7	356.625000	0	0	0	413	319	0	1056	1065	0
Traf3ip3	356.250000	0	0	0	558	755	0	706	831	0
Nfia	355.750000	0	0	0	577	482	0	970	817	0
P2rx7	354.625000	0	0	0	661	380	0	914	882	0
Trim39	354.500000	0	0	0	691	484	0	840	821	0
Dusp19	354.375000	0	0	0	1012	1155	0	343	325	0
9030025P20Rik	354.250000	0	0	0	610	569	0	1103	552	0
Pak6	354.125000	0	0	0	338	456	0	1045	994	0
Rab1a	354.000000	0	0	0	479	539	0	966	848	0
Ctss	354.000000	0	0	0	255	212	0	1200	1165	0
Rtel1	352.625000	0	339	0	919	773	0	422	368	0
Tmem175	351.875000	0	217	0	850	1012	0	361	375	0
