Target_genes	Mafa|Average	SRX081539|Islets_of_Langerhans	STRING
Tcstv3	1239.000000	1239	0
Xrcc1	1134.000000	1134	0
Pinlyp	1134.000000	1134	0
Rpl36al	1100.000000	1100	0
Mgat2	1100.000000	1100	0
Olfr806	956.000000	956	0
Scaper	952.000000	952	0
Lypla1	934.000000	934	0
Mettl14	926.000000	926	0
Cbr3	899.000000	899	0
Ap3s2	897.000000	897	0
Ctnna3	886.000000	886	0
Ilf2	881.000000	881	0
Prdm14	857.000000	857	0
Kcnn1	854.000000	854	0
Trim41	840.000000	840	0
Onecut3	839.000000	839	0
Cbx4	833.000000	833	0
Abhd6	830.000000	830	0
Kpna1	821.000000	821	0
H4c8	809.000000	809	0
H3c8	809.000000	809	0
H2ac10	809.000000	809	0
H2-M5	807.000000	807	0
Gata4	804.000000	804	0
Zkscan14	802.000000	802	0
Mynn	796.000000	796	0
Actrt3	796.000000	796	0
Stap2	785.000000	785	0
Mpnd	785.000000	785	0
Il31ra	768.000000	768	0
Znhit1	763.000000	763	0
Plod3	763.000000	763	0
Lrrd1	762.000000	762	0
Tro	756.000000	756	0
Rnase4	756.000000	756	0
Ang	756.000000	756	0
Etv3l	752.000000	752	0
Olfr180	750.000000	750	0
Polr3e	726.000000	726	0
Ssty2	718.000000	718	0
Gm21242	718.000000	718	0
Olfr594	717.000000	717	0
Wiz	708.000000	708	0
Tas2r134	704.000000	704	0
Rlbp1	698.000000	698	0
Fanci	698.000000	698	0
Fbxw7	697.000000	697	0
Itgb5	683.000000	683	0
Slc12a9	680.000000	680	0
Fmc1	680.000000	680	0
Aip	680.000000	680	0
Agbl5	664.000000	664	0
Dlg4	663.000000	663	0
Sufu	662.000000	662	0
Dpysl3	662.000000	662	0
Actr1a	662.000000	662	0
Guca1a	660.000000	660	0
Naa15	655.000000	655	0
Crebzf	653.000000	653	0
Ftsj1	646.000000	646	0
Lrrc8e	634.000000	634	0
Stat4	631.000000	631	0
Ndufs7	631.000000	631	0
Plk1	626.000000	626	0
Rpl24	617.000000	617	0
Dbn1	615.000000	615	0
Tssk6	613.000000	613	0
Sox5	613.000000	613	0
Ndufa13	613.000000	613	0
Rbx1	607.000000	607	0
Rttn	600.000000	600	0
Plxdc1	600.000000	600	0
Awat2	600.000000	600	0
Creb3l3	593.000000	593	0
Zmym4	591.000000	591	0
Abca12	582.000000	582	0
Grap	571.000000	571	0
Fnbp1	571.000000	571	0
Tmem33	567.000000	567	0
Klrb1b	567.000000	567	0
Plekhg1	564.000000	564	0
Osbpl1a	564.000000	564	0
Mtres1	564.000000	564	0
Limch1	560.000000	560	0
Slc38a5	558.000000	558	0
Dstyk	558.000000	558	0
Hrob	555.000000	555	0
Sspn	553.000000	553	0
Cdc23	553.000000	553	0
Gsta2	550.000000	550	0
Sacm1l	548.000000	548	0
Morc2a	545.000000	545	0
Acp6	537.000000	537	0
Mcl1	535.000000	535	0
Csrnp2	533.000000	533	0
Zfp184	531.000000	531	0
Kcne2	525.000000	525	0
Trim29	524.000000	524	0
Olfr482	522.000000	522	0
Tnfsf8	518.000000	518	0
Shroom3	512.000000	512	0
Wwox	511.000000	511	0
Cflar	509.000000	509	0
Bbs2	506.000000	506	0
Cyp4x1	503.000000	503	0
Tmigd1	497.000000	497	0
Defb48	497.000000	497	0
Ubtf	493.000000	493	0
Unc45b	491.000000	491	0
Nle1	491.000000	491	0
Zrsr1	488.000000	488	0
Commd1	488.000000	488	0
Lasp1	486.000000	486	0
Knl1	486.000000	486	0
Lyplal1	483.000000	483	0
Akirin2	480.000000	480	0
Nwd2	478.000000	478	0
Jpt1	478.000000	478	0
Exo5	478.000000	478	0
Cav2	478.000000	478	0
9530068E07Rik	478.000000	478	0
Zfp263	475.000000	475	0
Gtf2a2	475.000000	475	0
Rps29	473.000000	473	0
Ggps1	470.000000	470	0
Arid4b	470.000000	470	0
Slc26a4	466.000000	466	0
Olfr435	466.000000	466	0
Slc41a3	463.000000	463	0
Myh2	463.000000	463	0
Fus	462.000000	462	0
Zfp563	457.000000	457	0
Hdlbp	457.000000	457	0
Havcr1	457.000000	457	0
Fbxo31	457.000000	457	0
Cfap126	457.000000	457	0
Akap8l	457.000000	457	0
Gapvd1	455.000000	455	0
Zfp217	449.000000	449	0
Ugt1a8	449.000000	449	0
Zfp651	445.000000	445	0
Mdm4	445.000000	445	0
Sema4f	444.000000	444	0
Hes7	443.000000	443	0
Rps26	442.000000	442	0
Grm7	442.000000	442	0
Fam227b	442.000000	442	0
Dtwd1	442.000000	442	0
Cables1	442.000000	442	0
Akap14	442.000000	442	0
Olfr646	441.000000	441	0
Eml2	439.000000	439	0
Zfp811	436.000000	436	0
Pbk	435.000000	435	0
Prss29	432.000000	432	0
Htra4	432.000000	432	0
Hltf	432.000000	432	0
Rbm4	429.000000	429	0
Mettl7a1	429.000000	429	0
Dchs2	429.000000	429	0
Trib3	426.000000	426	0
Xpnpep3	425.000000	425	0
St13	425.000000	425	0
Flywch2	423.000000	423	0
Cdrt4	422.000000	422	0
Ggnbp2	419.000000	419	0
Ppp6r3	417.000000	417	0
Pak3	417.000000	417	0
Lilr4b	417.000000	417	0
Pnma1	416.000000	416	0
Kif7	415.000000	415	0
Gucy1a2	414.000000	414	0
Gm4787	414.000000	414	0
D5Ertd579e	414.000000	414	0
Zfp251	412.000000	412	0
Stk19	411.000000	411	0
Olfr433	411.000000	411	0
Olfr1276	411.000000	411	0
Layn	411.000000	411	0
Dxo	411.000000	411	0
Utp11	408.000000	408	0
Grip1	408.000000	408	0
Fhl3	408.000000	408	0
Fam168a	408.000000	408	0
