Target_genes	Maff|Average	SRX122436|Dendritic_Cells	SRX122437|Dendritic_Cells	SRX122438|Dendritic_Cells	SRX122439|Dendritic_Cells	SRX3730247|Trophoblast_stem_cells	SRX3730248|Trophoblast_stem_cells	SRX3730279|Trophoblast_stem_cells	STRING
Ppip5k2	840.428571	389	324	389	582	2003	640	1556	0
Gin1	840.428571	389	324	389	582	2003	640	1556	0
Snrpc	750.571429	398	240	367	355	1575	526	1793	0
Nol11	713.142857	288	88	202	237	1695	696	1786	0
Tcstv3	682.000000	1277	1022	1333	1142	0	0	0	0
Blmh	680.285714	135	0	0	0	1998	863	1766	0
Arrdc3	650.000000	216	0	161	151	1939	538	1545	0
Zfp963	638.000000	172	0	205	0	1636	510	1943	0
Bcl2l11	587.857143	194	0	0	0	1714	620	1587	0
Hmox1	584.714286	307	0	342	220	1589	179	1456	0
Tmem95	583.285714	128	128	123	164	1458	617	1465	0
Kctd11	583.285714	128	128	123	164	1458	617	1465	0
Cdh10	577.142857	301	202	0	178	1238	497	1624	0
Mybph	556.571429	357	0	370	270	1223	346	1330	0
Aldh9a1	553.142857	264	202	228	232	1048	421	1477	0
Tmem175	521.428571	160	0	0	0	1471	364	1655	0
Gak	521.428571	160	0	0	0	1471	364	1655	0
Fdps	514.857143	0	0	0	0	1488	416	1700	0
Pla2g6	508.000000	0	0	0	131	1291	477	1657	0
Plekhh3	507.142857	0	0	0	0	1430	729	1391	0
Cntnap1	507.142857	0	0	0	0	1430	729	1391	0
Ccr10	507.142857	0	0	0	0	1430	729	1391	0
Cd300ld3	504.571429	0	0	0	0	1262	599	1671	0
Gm14325	503.571429	0	0	0	0	1346	530	1649	0
Vstm4	495.285714	104	112	0	0	1023	302	1926	0
Slc35f6	478.571429	0	0	0	0	1324	545	1481	0
Cdc42ep3	470.571429	0	0	0	0	1138	339	1817	0
Dok3	467.428571	224	110	265	181	970	360	1162	0
Vps13b	460.000000	284	312	289	359	575	174	1227	0
Pepd	458.428571	132	0	0	0	1066	531	1480	0
Armc5	451.428571	0	0	0	0	1385	484	1291	0
9130023H24Rik	451.428571	0	0	0	0	1385	484	1291	0
Eif3d	448.714286	0	0	0	0	1206	496	1439	0
Tex19.1	444.142857	0	0	0	0	1339	467	1303	0
Abi2	439.714286	123	0	109	93	1068	242	1443	0
Tmem37	436.428571	0	0	0	0	1202	440	1413	0
Rtel1	436.428571	0	0	0	0	826	538	1691	0
Notch3	430.571429	284	136	160	262	930	176	1066	0
2300009A05Rik	429.571429	0	0	0	0	1092	210	1705	0
Spg11	427.714286	158	115	208	260	993	258	1002	0
Cpxm1	414.142857	0	0	0	0	1448	420	1031	0
Slc7a9	411.857143	0	0	0	0	1475	668	740	0
Ufl1	411.142857	92	0	0	0	1159	266	1361	0
Slc16a6	409.142857	0	0	0	0	943	259	1662	0
Arsg	409.142857	0	0	0	0	943	259	1662	0
Ppbp	407.714286	295	281	597	351	736	0	594	0
Pf4	407.714286	295	281	597	351	736	0	594	0
Cldn34d	401.142857	463	259	441	366	829	0	450	0
Coro6	399.571429	223	107	197	310	1032	195	733	0
Galr3	397.857143	94	254	121	154	1101	298	763	0
Arhgef18	396.714286	102	131	123	143	1065	323	890	0
1110008P14Rik	392.142857	276	199	142	217	859	258	794	0
Msh6	391.428571	288	213	208	311	854	265	601	0
Mtpap	389.714286	144	0	120	0	1159	303	1002	0
Fmn1	387.857143	368	209	202	335	943	188	470	0
Ddx17	380.571429	0	0	0	0	1271	314	1079	0
Sec61b	377.571429	0	0	145	175	979	290	1054	0
Alg2	377.571429	0	0	145	175	979	290	1054	0
Gstm4	375.285714	0	0	0	0	829	289	1509	0
Psmc5	370.857143	215	109	0	123	799	326	1024	0
Ftsj3	370.857143	215	109	0	123	799	326	1024	0
Gstp2	363.000000	0	0	0	0	1012	410	1119	0
Gstp1	363.000000	0	0	0	0	1012	410	1119	0
Srxn1	362.857143	0	0	0	0	1013	239	1288	0
Cox16	362.428571	0	0	119	0	924	333	1161	0
Gm1070	360.857143	123	0	116	129	1061	188	909	0
Katnal1	360.142857	0	0	0	0	925	370	1226	0
Napa	359.285714	0	0	0	0	723	305	1487	0
Phax	358.857143	0	0	0	0	920	320	1272	0
Aldh7a1	358.857143	0	0	0	0	920	320	1272	0
Slc39a10	354.285714	0	0	0	0	1237	417	826	0
Vps29	352.714286	0	0	0	0	1125	371	973	0
Rad9b	352.714286	0	0	0	0	1125	371	973	0
Xpot	351.571429	0	0	0	0	837	233	1391	0
Rad23a	348.142857	246	128	152	178	855	0	878	0
Tmem134	345.428571	110	155	174	132	793	194	860	0
Aip	345.428571	110	155	174	132	793	194	860	0
Ptk2	345.000000	0	0	0	0	1040	204	1171	0
Oxr1	343.142857	0	0	0	172	818	183	1229	0
Ggt7	343.000000	0	0	0	0	700	324	1377	0
Acss2	343.000000	0	0	0	0	700	324	1377	0
Ube4a	341.857143	0	0	0	0	908	312	1173	0
Gpr137	341.857143	0	0	0	0	1264	264	865	0
Bad	341.857143	0	0	0	0	1264	264	865	0
Grb10	341.571429	0	0	139	119	886	154	1093	0
Mafg	340.428571	101	0	0	0	785	556	941	0
Ppp4r1	336.285714	235	133	120	185	410	0	1271	0
Poc1b	335.714286	165	104	127	220	967	0	767	0
Galnt4	335.714286	165	104	127	220	967	0	767	0
Ppig	334.571429	0	0	0	0	774	242	1326	0
Spdef	333.285714	111	0	130	173	697	468	754	0
Btc	332.000000	283	242	315	331	806	0	347	0
Ftl1	327.857143	157	78	140	100	466	241	1113	0
Clk1	327.428571	0	109	134	203	726	172	948	0
Dynlt1b	325.857143	0	0	0	0	1004	406	871	0
Atr	325.571429	0	0	0	0	678	221	1380	0
1700065D16Rik	325.571429	0	0	0	0	678	221	1380	0
Wdr62	323.571429	0	0	0	162	891	155	1057	0
Dennd6a	323.571429	155	0	234	142	698	324	712	0
Lgmn	323.285714	0	0	0	0	555	319	1389	0
Fam222a	322.428571	0	0	106	164	1196	164	627	0
Gpr25	320.571429	0	0	0	0	860	386	998	0
Slc48a1	319.571429	313	153	319	262	567	0	623	0
Armc7	319.571429	0	0	0	0	755	292	1190	0
Gskip	317.571429	0	0	0	0	985	246	992	0
Atg2b	317.571429	0	0	0	0	985	246	992	0
Nop2	316.857143	0	0	0	0	783	190	1245	0
Loxl3	315.142857	158	0	0	117	909	183	839	0
Dok1	315.142857	158	0	0	117	909	183	839	0
Ap2m1	313.571429	186	149	92	163	820	178	607	0
Mylk2	311.142857	0	0	0	0	784	320	1074	0
Ak1	308.571429	139	75	0	185	971	97	693	0
Zfpl1	308.142857	0	0	0	0	868	186	1103	0
Tmem262	308.142857	0	0	0	0	868	186	1103	0
Cdca5	308.142857	0	0	0	0	868	186	1103	0
Smim4	306.428571	0	0	0	0	943	318	884	0
Nt5dc2	306.428571	0	0	0	0	943	318	884	0
Dner	305.000000	0	0	0	0	593	250	1292	0
Prdm1	304.571429	0	142	101	126	848	122	793	0
Nkrf	303.000000	0	0	0	0	488	239	1394	0
Sfi1	302.285714	0	0	0	0	662	532	922	0
Zbtb5	301.714286	147	0	0	162	858	167	778	0
Phf5a	301.714286	0	0	0	0	674	304	1134	0
Aco2	301.714286	0	0	0	0	674	304	1134	0
Setbp1	301.142857	0	0	0	0	778	309	1021	0
Smarcc1	300.857143	0	0	0	0	1018	234	854	0
Sesn3	299.285714	201	98	245	227	679	0	645	0
Lrrfip1	298.428571	0	0	0	0	813	336	940	0
Hnrnpa2b1	297.857143	0	0	0	0	1084	221	780	0
Cbx3	297.857143	0	0	0	0	1084	221	780	0
Trim46	297.142857	0	0	0	0	564	266	1250	0
Krtcap2	297.142857	0	0	0	0	564	266	1250	0
Kdm5b	297.142857	0	0	0	0	959	318	803	0
Rab40c	297.000000	0	0	0	0	706	195	1178	0
Nupr1	294.571429	192	126	190	206	460	225	663	0
Ptges3	293.142857	0	0	0	0	702	167	1183	0
Nms	292.285714	0	0	0	0	533	275	1238	0
Tctex1d4	291.428571	153	0	148	194	704	165	676	0
Btbd19	291.428571	153	0	148	194	704	165	676	0
Tnfrsf10b	291.285714	0	0	0	0	783	315	941	0
Neurl1a	290.142857	340	148	353	313	266	0	611	0
Nos2	289.571429	0	0	0	0	684	221	1122	0
Pik3r1	289.285714	120	0	162	114	793	176	660	0
Gm12569	283.571429	0	0	0	0	978	137	870	0
Tmco1	283.142857	158	0	116	195	735	187	591	0
Tmem235	282.571429	92	0	0	0	560	331	995	0
Preb	282.000000	0	0	0	0	491	182	1301	0
Sds	280.571429	208	0	0	123	1020	161	452	0
Fbxo33	277.714286	0	0	0	0	475	567	902	0
Brox	276.571429	446	333	458	309	247	0	143	0
Aida	276.571429	446	333	458	309	247	0	143	0
Adnp2	276.428571	0	0	0	0	775	239	921	0
Ezr	274.714286	0	0	0	0	700	231	992	0
Ulk1	273.857143	153	136	0	170	780	153	525	0
4930503B20Rik	273.857143	171	0	76	145	674	130	721	0
Dnm3	273.714286	158	0	107	164	779	152	556	0
Bcar1	273.000000	0	0	0	0	624	115	1172	0
Syt2	272.428571	0	0	0	0	793	241	873	0
Exoc4	270.714286	0	0	0	0	691	162	1042	0
Hs6st1	268.428571	0	0	0	0	1035	333	511	0
Abhd2	267.000000	0	0	0	0	714	153	1002	0
Lamtor4	266.571429	0	0	0	0	670	217	979	0
Mki67	265.857143	0	0	0	0	770	149	942	0
Hmg20b	265.142857	0	0	0	0	470	183	1203	0
Rcan1	264.857143	0	0	0	0	661	188	1005	0
Dlgap4	264.857143	84	0	0	0	770	255	745	0
Grhl3	264.428571	0	0	0	0	767	167	917	0
Poln	264.285714	116	183	139	244	467	103	598	0
Haus3	264.285714	116	183	139	244	467	103	598	0
Slc24a3	264.000000	0	0	0	0	646	162	1040	0
Aldh18a1	263.571429	0	0	0	0	873	207	765	0
Ier3	260.714286	0	0	0	0	707	0	1118	0
Flot1	260.714286	0	0	0	0	707	0	1118	0
Ddx5	260.285714	0	0	0	0	684	129	1009	0
Cep95	260.285714	0	0	0	0	684	129	1009	0
Mrpl24	258.857143	0	0	0	0	350	192	1270	0
Ncf2	258.142857	0	0	0	0	813	183	811	0
Ap1m1	255.857143	0	0	0	0	598	245	948	0
Ctsb	254.857143	0	0	0	0	604	222	958	0
Zbtb6	254.714286	0	0	0	0	679	125	979	0
Ptcd3	254.428571	0	0	0	0	570	0	1211	0
Polr1a	254.428571	0	0	0	0	570	0	1211	0
Fth1	253.857143	283	0	139	306	411	0	638	0
Slc19a2	252.142857	0	0	0	0	341	211	1213	0
Slc12a8	250.571429	0	0	0	142	514	157	941	0
Eloc	249.571429	0	0	0	0	608	188	951	0
Fam83g	249.428571	0	0	0	0	573	102	1071	0
Tctn3	248.714286	206	0	0	0	571	132	832	0
Entpd1	248.714286	206	0	0	0	571	132	832	0
Nrep	248.000000	0	0	0	0	851	120	765	0
Prdx1	246.142857	0	0	0	0	1010	0	713	0
Arl14	245.571429	118	0	119	191	867	64	360	0
1700001C19Rik	245.428571	0	0	0	0	463	168	1087	0
Bet1	245.142857	0	0	0	0	387	0	1329	0
Mlec	245.000000	173	0	0	119	537	258	628	0
Chrm5	244.428571	0	0	0	0	703	244	764	0
Tfe3	242.714286	0	0	0	0	656	0	1043	0
Zfp566	242.142857	146	149	0	0	561	167	672	0
Zfp260	242.142857	146	149	0	0	561	167	672	0
Agrp	241.714286	0	0	0	0	588	121	983	0
Nfia	240.714286	188	0	179	128	625	132	433	0
Evi5	240.142857	0	0	0	0	542	133	1006	0
Slc26a11	239.714286	0	0	0	0	584	0	1094	0
Sgsh	239.714286	0	0	0	0	584	0	1094	0
AI661453	239.428571	0	0	0	0	463	168	1045	0
Mfsd12	239.000000	0	0	0	0	470	0	1203	0
Dnajc28	239.000000	0	0	0	0	808	268	597	0
Aplp1	238.714286	0	0	0	0	511	314	846	0
Pdzrn4	238.571429	0	0	0	0	150	0	1520	0
Ksr1	237.857143	175	129	193	0	455	0	713	0
Slc3a2	237.285714	120	0	0	0	612	225	704	0
Plcd3	236.857143	0	0	0	0	821	0	837	0
Acbd4	236.857143	0	0	0	0	821	0	837	0
Styk1	236.714286	0	0	0	0	367	154	1136	0
Pikfyve	236.714286	0	0	0	0	474	259	924	0
Idh1	236.714286	0	0	0	0	474	259	924	0
Dazap2	236.428571	0	0	0	0	417	211	1027	0
Gamt	234.285714	0	0	0	0	548	191	901	0
Dazap1	234.285714	0	0	0	0	548	191	901	0
1700066B19Rik	233.285714	0	0	0	0	951	244	438	0
Rnf223	231.142857	0	0	0	0	729	302	587	0
