Target_genes	Mafg|Average	SRX5664988|Astrocytes	SRX5664989|Astrocytes	SRX5664990|Astrocytes	SRX5664991|Astrocytes	SRX5664992|Astrocytes	SRX5664993|Astrocytes	SRX13135334|MEF	SRX13135335|MEF	SRX13135337|MEF	SRX13135338|MEF	SRX6451575|MEF	SRX6451576|MEF	STRING
Tcstv3	1731.833333	1422	1196	1451	1444	1312	1491	2466	1960	1973	1788	2124	2155	0
Cldn34d	1639.333333	600	1346	855	943	704	511	2023	2866	2260	2794	2100	2670	0
Brox	998.500000	584	909	864	580	612	541	1191	1590	1002	1575	1188	1346	0
Aida	998.500000	584	909	864	580	612	541	1191	1590	1002	1575	1188	1346	0
Hmox1	826.083333	0	0	0	0	0	0	378	2078	1324	2579	1094	2460	0
4930503B20Rik	505.166667	0	0	0	0	0	0	108	1439	680	2177	276	1382	0
Slc48a1	489.166667	0	0	0	0	0	0	0	1210	839	1301	530	1990	0
Tmem125	468.916667	583	731	734	486	448	503	504	479	212	242	287	418	0
Ankrd55	434.000000	0	0	0	0	0	0	0	1755	269	2282	180	722	0
Fth1	432.416667	0	0	0	0	0	0	0	753	738	1441	726	1531	0
Pak6	368.416667	0	0	0	0	0	0	0	711	736	1452	414	1108	0
Ubc	365.416667	0	0	0	0	0	0	0	516	550	949	906	1464	0
Mrpl38	353.583333	0	0	0	0	0	0	0	1155	374	1555	167	992	0
Ftl1	336.333333	0	0	0	0	0	0	0	459	607	954	427	1589	0
Creld1	317.583333	0	0	0	0	0	0	0	730	531	1115	354	1081	0
Dnaja2	300.083333	0	0	0	0	0	0	0	930	461	1243	262	705	0
Gclc	285.500000	0	0	0	0	0	0	0	448	349	1032	288	1309	0
Gstm1	252.166667	0	0	0	0	0	0	0	474	359	711	289	1193	0
Ypel5	246.500000	0	0	0	0	0	0	0	672	274	1180	171	661	0
Mocs1	238.666667	0	0	0	0	0	0	0	492	469	1031	151	721	0
Tbcel	233.500000	0	0	0	0	0	0	0	699	176	1079	0	848	0
Hes1	226.666667	0	0	0	0	0	0	0	513	417	1006	148	636	0
Dynlt1b	205.916667	0	0	0	0	0	0	0	764	246	1021	0	440	0
Macrod1	203.750000	0	0	0	0	0	0	0	614	341	965	0	525	0
Zp3	201.000000	0	0	0	0	0	0	0	883	166	1108	0	255	0
Ssc4d	201.000000	0	0	0	0	0	0	0	883	166	1108	0	255	0
Il31ra	199.833333	0	0	0	0	0	0	220	235	605	508	338	492	0
Asmt	194.916667	257	307	225	121	288	202	0	447	0	308	0	184	0
Sorbs1	194.750000	349	0	427	373	330	552	128	0	178	0	0	0	0
F3	191.166667	0	0	0	0	0	0	0	385	458	639	162	650	0
Rnf183	184.916667	0	0	0	0	0	0	0	645	165	1214	0	195	0
Ccl1	183.666667	0	0	0	0	0	0	0	337	302	805	128	632	0
H2-DMa	181.833333	0	0	0	0	0	0	0	146	422	711	223	680	0
Brd2	181.833333	0	0	0	0	0	0	0	146	422	711	223	680	0
Cxcl5	181.166667	0	0	0	0	0	0	0	644	298	873	0	359	0
Sod2	180.000000	0	0	0	0	0	0	0	695	325	928	0	212	0
Kpna1	178.750000	0	0	0	0	0	0	320	0	777	405	283	360	0
