Target_genes	Mafk|Average	SRX140361|CH12	SRX16499736|ES_cells	SRX16499737|ES_cells	SRX188829|ES_cells	SRX140362|MEL	SRX188826|MEL	SRX3937205|NIH/3T3	SRX3937206|NIH/3T3	SRX3937207|NIH/3T3	SRX3937208|NIH/3T3	SRX3937210|RAW_264.7	SRX3937211|RAW_264.7	SRX3937212|RAW_264.7	SRX3730249|Trophoblast_stem_cells	SRX3730250|Trophoblast_stem_cells	SRX3730280|Trophoblast_stem_cells	STRING
Brox	1526.312500	1269	556	630	1024	1304	1126	2528	1965	2069	2198	3016	3078	3170	237	0	251	0
Aida	1526.312500	1269	556	630	1024	1304	1126	2528	1965	2069	2198	3016	3078	3170	237	0	251	0
Nol11	1492.250000	457	1334	1824	2063	1509	863	1703	2332	1997	1990	1400	1876	1938	1020	0	1570	0
Ppip5k2	1491.187500	1554	1850	1849	1917	1387	1186	1286	1656	1265	1540	1527	2108	2185	1037	185	1327	0
Gin1	1491.187500	1554	1850	1849	1917	1387	1186	1286	1656	1265	1540	1527	2108	2185	1037	185	1327	0
Hmox1	1367.625000	1910	1739	1781	1948	1442	1102	835	1331	1075	1116	843	1551	1576	1596	0	2037	0
Snrpc	1306.437500	1947	1975	1883	2053	2092	1584	626	939	591	764	1069	1554	1593	1042	0	1191	0
Cldn34d	1168.000000	1574	545	648	873	1194	958	1713	1697	1632	1730	1572	1651	1732	501	0	668	0
Cdh10	1123.062500	1839	760	1107	1513	2141	1774	626	727	532	683	1095	1780	1794	574	0	1024	0
Mybph	1116.312500	1934	983	1286	1751	1687	1857	236	303	298	203	1467	1998	2197	729	0	932	0
Tcstv3	1088.562500	1820	1719	2096	2318	1212	1016	1495	1472	1470	1473	307	492	527	0	0	0	0
Blmh	1063.812500	1920	1478	1618	1986	1771	1263	264	536	604	392	542	593	764	1584	187	1519	0
Pla2g6	1000.437500	1262	1315	1788	1822	915	699	678	1263	922	948	444	841	827	886	0	1397	0
Abi2	989.937500	1698	1836	1700	1847	1421	683	674	812	677	671	505	1028	968	463	0	856	0
Mtpap	972.812500	1965	777	973	1413	1745	483	640	1227	905	883	616	1115	1221	899	0	703	0
Arl14	960.125000	1056	1307	1129	1731	571	0	1075	1229	1141	1299	1014	1610	1603	303	0	294	0
Bcl2l11	933.187500	555	1111	1564	1814	322	0	930	1504	1159	1258	492	1054	947	971	0	1250	0
Kctd11	898.687500	1674	1089	1123	1601	100	0	777	1395	967	1020	583	1195	1101	775	0	979	0
Ppbp	893.937500	2074	952	732	1372	1472	975	780	870	641	789	624	1245	1127	227	0	423	0
Pf4	893.937500	2074	952	732	1372	1472	975	780	870	641	789	624	1245	1127	227	0	423	0
Tmem95	892.437500	1674	1089	1123	1601	0	0	777	1395	967	1020	583	1195	1101	775	0	979	0
Notch3	879.500000	1214	1180	969	1531	2022	1189	344	591	402	500	604	1113	951	609	0	853	0
Slc48a1	865.687500	1795	670	749	1166	1101	959	831	1121	702	1081	690	989	1033	443	0	521	0
Arrdc3	853.125000	1245	1407	1785	1883	553	275	386	710	554	417	385	984	680	1138	0	1248	0
Fth1	852.062500	1484	1301	1619	1774	833	690	351	650	308	313	612	1003	951	671	0	1073	0
Plekhh3	850.312500	1294	963	1053	1508	1014	821	363	442	407	373	837	1120	1027	1165	114	1104	0
Cntnap1	850.312500	1294	963	1053	1508	1014	821	363	442	407	373	837	1120	1027	1165	114	1104	0
Ccr10	850.312500	1294	963	1053	1508	1014	821	363	442	407	373	837	1120	1027	1165	114	1104	0
Aldh9a1	843.062500	1118	613	884	1117	423	322	618	1255	814	988	914	1252	1404	646	0	1121	0
Fmn1	838.500000	140	584	1003	1257	0	0	924	1531	1056	1100	1277	1726	1958	520	0	340	0
4930503B20Rik	836.812500	1685	1259	902	1527	1483	723	447	831	679	678	471	777	745	384	0	798	0
Dnm3	828.750000	1497	669	446	888	592	101	896	867	841	978	1270	1750	1893	251	0	321	0
Wdr62	827.062500	321	719	733	1194	388	172	1036	1471	1305	1379	849	1198	1290	389	0	789	0
Cd300ld3	817.062500	2020	1363	1848	2009	884	766	291	339	371	308	0	252	315	1055	0	1252	0
Zfp963	807.687500	737	390	808	1032	268	196	868	1244	1022	904	784	1094	1242	1030	0	1304	0
Fdps	803.812500	1852	535	1084	1262	1296	718	346	524	314	463	473	727	665	999	0	1603	0
Ppp4r1	801.500000	1601	544	871	1219	1201	410	774	994	750	678	546	1048	1187	227	0	774	0
Zfp267	792.187500	1768	419	299	636	1019	291	836	1418	1124	1026	951	1185	1271	222	0	210	0
Sod2	778.000000	1414	642	699	1059	1120	657	385	858	532	532	954	1496	1524	160	0	416	0
Ap2m1	775.437500	1535	1695	1557	1856	680	169	446	523	440	415	466	750	883	318	0	674	0
Arhgef18	774.687500	1185	1169	1171	1560	642	159	682	733	633	666	758	1023	1087	545	0	382	0
Spg11	761.312500	1619	1271	1280	1678	917	194	569	773	645	559	434	653	648	356	0	585	0
Sesn3	759.187500	1210	497	684	952	999	406	1308	1204	1272	1162	472	660	685	354	0	282	0
Lexm	755.812500	1721	1193	1103	1624	1361	971	439	741	480	625	156	167	355	213	0	944	0
Smarcc1	753.375000	1583	1692	1423	1934	862	0	563	802	619	602	240	364	519	336	0	515	0
Mafg	751.562500	870	871	936	1256	824	1006	375	615	447	509	616	1046	1105	791	0	758	0
Adnp2	747.062500	1500	1118	1164	1612	1448	514	375	430	511	525	526	632	798	399	0	401	0
1110008P14Rik	742.500000	993	657	515	919	662	259	662	1014	778	901	754	1266	1500	380	0	620	0
Ccl1	738.562500	2129	1964	2157	2316	0	0	141	347	190	241	198	268	278	1083	0	505	0
Prdm1	735.500000	1416	856	864	1272	959	294	796	1055	712	794	379	704	716	419	0	532	0
Vstm4	735.312500	1409	1126	1438	1812	0	0	386	399	474	352	426	642	794	593	0	1914	0
Msh6	732.937500	1348	1265	1122	1510	1216	285	494	722	502	548	411	631	784	315	0	574	0
Vps13b	732.062500	1348	425	255	588	1037	402	812	1088	774	712	658	1268	1489	275	0	582	0
Eif3d	730.625000	1773	681	1119	1501	597	351	564	749	454	494	356	629	813	684	0	925	0
Ppp1r1a	730.187500	1222	749	739	1089	391	0	1010	861	682	1014	737	1335	1320	325	0	209	0
Nfia	722.812500	0	351	604	850	837	361	953	1338	1040	1472	731	1187	1145	301	82	313	0
Ufl1	719.000000	1511	455	594	916	907	725	380	646	512	515	677	959	1038	601	0	1068	0
Galr3	708.625000	632	825	784	1258	815	303	760	902	805	654	558	1036	1033	411	0	562	0
Tmem37	706.875000	303	1435	1380	1763	936	890	145	203	260	220	423	744	749	835	0	1024	0
Rad23a	704.125000	1168	617	612	997	602	327	667	896	800	739	796	1165	1112	336	0	432	0
Btc	697.187500	1277	657	621	1091	1213	441	668	932	780	784	665	697	905	272	0	152	0
Rtn3	692.500000	558	141	117	213	830	262	988	1351	1502	1147	1020	1356	1391	0	0	204	0
Oxr1	692.375000	956	649	721	1102	1033	489	693	888	674	788	478	779	802	341	0	685	0
