Target_genes	Mecp2|Average	SRX150258|Brain	SRX150260|Brain	SRX2384329|Brain_cortex	SRX2384331|Brain_cortex	SRX2384333|Brain_cortex	SRX2384335|Brain_cortex	SRX2384337|Brain_cortex	SRX2384339|Brain_cortex	ERX132617|B_cells	SRX968953|Cerebellar_Cortex	SRX2607713|Cerebellar_granule_neurons	SRX2607715|Cerebellar_granule_neurons	SRX150262|Cerebellum	SRX669237|Cerebellum	SRX669239|Cerebellum	SRX22079977|Cortex	SRX22079978|Cortex	SRX22079979|Cortex	SRX22079980|Cortex	SRX22079981|Cortex	SRX22079982|Cortex	SRX22079983|Cortex	SRX22079984|Cortex	SRX3242157|Cortex	SRX3242158|Cortex	SRX4017503|Cortex	SRX4017505|Cortex	SRX5509026|Embryonic_brains	SRX5509027|Embryonic_brains	SRX5509028|Embryonic_brains	SRX5509029|Embryonic_brains	SRX5509030|Embryonic_brains	SRX5509031|Embryonic_brains	SRX5509032|Embryonic_brains	SRX5509033|Embryonic_brains	SRX669235|Embryonic_brains	SRX7066399|Embryonic_brains	SRX7066400|Embryonic_brains	SRX7066401|Embryonic_brains	SRX7066402|Embryonic_brains	SRX7066403|Embryonic_brains	SRX7066404|Embryonic_brains	SRX7066405|Embryonic_brains	SRX7066406|Embryonic_brains	SRX22049164|Forebrain	SRX22049165|Forebrain	SRX22049166|Forebrain	SRX22049167|Forebrain	SRX22049168|Forebrain	SRX22049169|Forebrain	SRX3430978|Frontal_cortex	SRX3430979|Frontal_cortex	SRX3430980|Frontal_cortex	SRX3430984|Frontal_cortex	SRX3430985|Frontal_cortex	SRX3430986|Frontal_cortex	SRX5731669|Frontal_cortex	SRX5731670|Frontal_cortex	SRX5731672|Frontal_cortex	SRX5731673|Frontal_cortex	SRX5731675|Frontal_cortex	SRX5731676|Frontal_cortex	SRX5731678|Frontal_cortex	SRX5731679|Frontal_cortex	SRX968949|Frontal_cortex	SRX968951|Frontal_cortex	SRX19731113|Liver	SRX19731114|Liver	SRX19731115|Liver	SRX19731116|Liver	SRX19731117|Liver	SRX19731118|Liver	SRX5172955|MEF	SRX5172956|MEF	SRX1113143|Olfactory_epithelium	SRX1113144|Olfactory_epithelium	SRX5287318|Olfactory_Nerve	SRX5287319|Olfactory_Nerve	ERX132622|Th1_Cells	STRING
Cldn34d	1334.113924	494	271	1324	1467	1427	1209	1480	1428	0	818	1566	1485	333	909	770	2300	696	1172	840	2099	722	1218	967	1341	1366	1541	1088	1417	1359	1049	1176	1507	1369	917	1308	833	772	1068	821	1161	795	1013	855	860	1318	1147	1128	577	1062	1057	2998	3089	3156	3058	3199	3145	2303	2186	2231	2090	2291	2123	2063	2191	855	999	948	1845	1106	1838	2005	1972	790	1029	214	272	235	264	0	0
Brox	1154.632911	364	236	651	808	887	777	987	1014	918	442	1136	891	200	491	415	2606	3519	2720	3046	2638	3053	2552	2384	730	780	810	441	653	580	429	437	673	601	317	579	513	325	258	372	503	302	403	387	427	589	445	533	156	392	368	4033	3518	3544	3621	3628	3387	887	840	930	879	954	702	590	718	437	668	675	1487	642	1288	1179	1138	489	846	1930	1627	1898	1615	1328	0
Aida	1154.632911	364	236	651	808	887	777	987	1014	918	442	1136	891	200	491	415	2606	3519	2720	3046	2638	3053	2552	2384	730	780	810	441	653	580	429	437	673	601	317	579	513	325	258	372	503	302	403	387	427	589	445	533	156	392	368	4033	3518	3544	3621	3628	3387	887	840	930	879	954	702	590	718	437	668	675	1487	642	1288	1179	1138	489	846	1930	1627	1898	1615	1328	0
Tcstv3	602.253165	361	321	0	0	0	0	0	0	0	515	943	937	135	917	1122	535	652	670	717	701	506	624	568	0	0	0	0	0	0	0	0	0	0	0	0	714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1621	1690	1666	1642	1600	1792	1482	2027	1678	1966	1585	1740	1556	1942	827	1086	0	404	0	354	342	424	1248	1168	2205	1217	2239	1139	0	0
Tmem125	563.227848	305	0	189	510	600	341	674	684	1193	223	623	411	0	330	314	1479	1618	1506	1624	1552	1423	1586	1622	356	445	169	264	281	338	0	0	185	0	183	104	240	258	253	220	311	242	381	272	388	97	196	254	0	180	183	644	896	735	902	679	968	214	182	239	151	196	0	219	157	372	539	588	1347	881	1384	1435	1228	532	485	967	829	948	872	1299	0
Oasl1	304.316456	355	240	466	544	805	508	795	815	242	602	0	0	173	618	402	0	0	0	0	0	0	0	0	740	1002	812	327	429	607	495	619	628	688	477	820	402	268	351	177	239	278	363	0	226	718	534	665	0	506	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	745	0	0	0	0	0	0	1165	739	328	260	391	254	279	0
Kpna1	275.075949	233	310	197	475	619	411	545	868	809	217	0	0	223	341	321	0	0	0	0	0	0	0	0	252	458	357	0	514	363	363	443	491	535	346	791	347	177	202	0	170	0	276	339	317	630	398	527	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	497	0	0	0	0	0	0	1344	377	1005	1017	1030	1013	1025	0
Il31ra	203.240506	0	0	185	435	427	0	359	583	542	0	0	0	0	161	277	0	0	0	0	0	0	0	0	0	0	357	0	302	302	240	379	262	483	205	510	126	0	0	0	0	0	243	167	183	495	219	378	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	0	1266	584	1377	1343	1387	1349	692	0
Asmt	196.379747	119	92	0	337	208	0	203	240	362	517	353	0	0	587	567	0	0	0	0	0	0	0	0	394	0	0	0	0	0	0	0	0	0	0	0	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	257	351	460	391	456	307	487	248	415	224	330	313	369	540	933	0	0	0	0	0	0	715	876	779	708	760	576	327	0
Gm4981	186.620253	0	0	0	0	128	0	187	156	1272	0	190	115	0	0	0	320	397	280	346	348	375	212	267	102	0	0	0	121	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	622	597	687	570	666	830	191	0	0	183	0	0	130	119	0	112	154	190	0	209	261	127	318	227	563	564	578	531	1389	0
Sspn	130.113924	0	0	0	0	168	0	0	188	1176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	544	226	1725	1311	1701	1398	1504	0
Sfi1	116.468354	0	0	0	0	0	0	0	0	1879	0	0	0	0	0	0	179	265	135	176	129	175	161	160	0	0	95	0	89	0	73	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	183	171	177	192	174	140	103	145	0	94	0	68	0	0	0	0	152	0	0	79	103	0	85	479	295	471	290	1990	0
Dux	102.810127	0	0	0	0	0	0	0	0	1272	0	190	0	0	0	0	96	244	195	183	128	156	139	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	232	372	237	361	306	0	0	0	0	0	0	130	0	0	0	0	0	0	77	128	99	318	178	390	288	382	306	1389	0
9230019H11Rik	100.189873	0	0	0	0	0	0	0	74	0	0	142	105	0	0	0	371	581	524	559	387	647	482	462	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	152	178	207	216	190	207	327	0	91	113	180	93	185	186	317	80	129	131	0	125	80	0	0
Cdh12	82.215190	146	0	217	260	249	0	301	380	0	522	0	0	0	356	211	0	0	0	0	0	0	0	0	276	255	0	0	0	0	0	0	0	0	0	0	379	0	0	0	0	0	0	0	0	179	0	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	758	0	0	0	0	0	0	325	590	260	0	208	0	0	0
Vmn2r4	82.189873	519	0	0	0	0	0	0	0	0	421	0	0	0	176	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	320	557	0	0	0	0	0	0	779	734	631	594	579	645	0	0
Trim50	80.468354	0	0	202	463	366	201	374	394	1192	185	0	0	0	161	180	0	0	0	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	224	0	0	0	0	0	0	119	351	79	118	81	119	1139	0
Csf2ra	77.949367	241	211	0	0	0	0	0	0	1001	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	178	300	759	477	820	558	898	0
