Target_genes	Meis1|Average	SRX1056342|416B	SRX10065381|Choroid_Plexus	SRX9090997|Embryoid_Bodies	SRX9090998|Embryoid_Bodies	SRX9090999|Embryoid_Bodies	SRX170714|Embryonic_trunk	SRX20233053|Ganglionic_eminence	SRX21310614|Heart	SRX21310615|Heart	SRX21310621|Heart	SRX21310622|Heart	SRX7299483|Heart	SRX7299484|Heart	SRX7299485|Heart	SRX7821061|Hematopoietic_progenitors	SRX1939446|Lymphoid-primed_multipotent_progenitors	SRX310204|Mast_Cells	SRX442881|MEF	SRX442882|MEF	SRX442883|MEF	SRX625488|MEF	SRX625490|MEF	SRX1035389|mESC_derived_haematopoietic_progenitor	SRX475272|MLL-AF9_leukemic_cell	SRX475273|MLL-AF9_leukemic_cell	SRX475274|MLL-AF9_leukemic_cell	SRX475275|MLL-AF9_leukemic_cell	SRX110438|Myeloblastic_cell_lines	SRX110441|Myeloblastic_cell_lines	SRX319739|Myeloid_leukemia	SRX745813|Optic_cups	SRX101594|P19	SRX1824745|P19	SRX1824746|P19	SRX1824747|P19	SRX1824748|P19	SRX1824749|P19	SRX1824750|P19	SRX435084|Superior_Cervical_Ganglion	SRX3730254|Trophoblast_stem_cells	SRX3730281|Trophoblast_stem_cells	SRX10012093|VOT-E36	STRING
Gpr84	1143.571429	272	854	2692	2703	2453	508	139	0	0	0	0	341	565	413	3680	3678	193	2438	2285	2424	2405	1449	192	2281	1667	2244	1642	339	0	2814	0	1927	0	0	136	362	1003	1428	0	2071	0	432	0
Cldn34d	1037.785714	122	1117	460	494	691	687	1332	1920	1518	1837	1509	2052	1744	1998	1860	1786	996	1644	1840	1459	1331	1835	566	158	1080	783	960	665	135	0	1482	208	646	564	538	1099	988	1182	0	1185	336	780	0
Tcstv3	1033.500000	0	1257	2112	2200	2249	817	1911	756	649	634	744	273	252	111	990	1196	2102	1674	1866	1980	2070	1730	1006	217	341	378	274	269	121	701	1988	2221	727	661	616	1138	1222	1182	1830	0	336	606	0
Brox	829.690476	700	1157	277	283	395	582	1029	917	838	805	934	1323	1473	1297	2769	2769	178	1281	1381	1305	1037	1320	440	275	1430	746	1385	240	0	184	1004	63	345	361	385	714	935	900	403	294	0	693	0
Aida	829.690476	700	1157	277	283	395	582	1029	917	838	805	934	1323	1473	1297	2769	2769	178	1281	1381	1305	1037	1320	440	275	1430	746	1385	240	0	184	1004	63	345	361	385	714	935	900	403	294	0	693	0
Tle3	762.785714	1357	839	1705	1488	1247	389	497	317	208	372	225	544	453	548	1883	1883	545	886	2224	597	932	215	0	1362	2460	1715	2294	0	0	1095	83	837	0	0	0	171	358	389	0	1676	0	243	0
Pcnx3	696.142857	318	0	474	1882	1368	222	0	0	0	0	0	0	0	0	2711	2709	252	1263	2657	839	722	243	0	1954	2442	1894	2272	190	0	1153	0	747	0	0	0	0	217	380	0	2176	0	153	0
Map3k11	696.142857	318	0	474	1882	1368	222	0	0	0	0	0	0	0	0	2711	2709	252	1263	2657	839	722	243	0	1954	2442	1894	2272	190	0	1153	0	747	0	0	0	0	217	380	0	2176	0	153	0
Kpna1	673.785714	270	1089	345	304	561	688	915	868	994	1092	940	1438	1504	1404	547	641	290	659	918	478	730	726	441	718	1074	792	1109	0	246	393	1490	529	430	403	581	625	770	412	0	680	205	0	0
Lemd2	547.642857	0	0	0	1367	279	85	0	0	0	0	0	0	0	0	3280	3280	0	595	1734	629	328	117	0	1485	2283	1804	2147	540	0	2058	0	0	0	0	0	0	0	0	0	990	0	0	0
Lrrfip1	545.476190	155	106	177	487	424	0	0	0	0	0	0	0	0	0	2401	2401	929	631	1610	330	493	0	0	1491	2393	1549	2267	0	0	1718	0	1153	0	0	0	0	273	236	0	1686	0	0	0
Pds5b	540.785714	1278	647	718	864	600	200	357	183	121	0	0	405	552	403	865	867	1396	0	1616	384	394	0	0	1133	2693	956	2601	0	0	154	0	554	0	0	0	79	239	355	0	2099	0	0	0
Ermn	513.285714	0	126	960	1872	1331	0	0	0	0	0	0	0	0	0	363	364	151	0	1543	684	296	113	0	1285	3012	1742	2959	0	0	763	0	730	0	0	167	280	754	852	0	1211	0	0	0
Zfp945	483.880952	185	0	175	684	310	79	0	0	0	0	0	0	239	0	1854	1857	0	615	1769	380	395	0	0	1357	2675	1859	2716	175	0	1211	0	942	0	0	0	0	131	232	0	290	0	193	0
Depp1	478.619048	195	417	277	401	392	173	0	0	0	0	0	148	138	299	3239	3239	0	0	0	0	251	0	0	1530	2623	1732	2417	197	0	978	0	279	0	0	0	93	0	247	0	837	0	0	0
Ing3	442.285714	169	400	659	837	896	109	0	0	0	0	0	0	239	139	0	0	1700	194	740	0	159	0	0	1203	2541	1294	2530	0	0	559	0	2150	0	0	0	0	195	169	0	1694	0	0	0
Rab3gap1	441.523810	0	116	531	838	851	99	0	0	0	0	0	0	0	0	454	444	203	0	1030	251	222	0	0	1691	2882	2034	2680	122	0	1607	0	681	0	0	0	0	199	391	0	1218	0	0	0
Tmem11	437.928571	0	0	1186	1606	1887	139	0	0	0	0	0	0	0	0	177	178	0	178	1702	398	159	0	0	705	1713	540	1718	0	0	224	0	1390	0	0	172	308	676	824	0	2362	0	151	0
Pknox1	431.547619	277	618	267	445	330	109	224	172	0	154	0	472	645	493	0	0	1045	0	334	0	161	0	0	1597	2510	1757	2428	0	0	0	0	1502	0	0	0	0	329	405	0	1851	0	0	0
