Target_genes	Mlxipl|Average	SRX15941723|Liver	SRX15941725|Liver	SRX6099407|Liver	SRX6099408|Liver	SRX6099409|Liver	SRX6099410|Liver	SRX6099411|Liver	SRX6099412|Liver	SRX6099413|Liver	SRX6099414|Liver	SRX6099415|Liver	SRX6099416|Liver	SRX6099417|Liver	SRX6099418|Liver	STRING
Ttc25	1792.928571	2875	1869	253	407	0	0	2676	2871	2445	2646	2280	2368	2069	2342	0
Acaca	1581.571429	2567	1799	187	330	0	0	2295	2469	2391	2656	1480	1887	1890	2191	0
Ddhd2	1496.500000	1795	1396	321	419	0	0	2323	2433	1723	2258	1973	2327	1851	2132	0
Cldn34d	1489.571429	916	991	1821	1896	1604	1742	1410	1548	1222	1550	1369	1838	1364	1583	0
C1rl	1486.214286	1404	893	319	399	0	0	2191	2662	2172	2370	1790	2273	2076	2258	0
Mlxipl	1439.285714	2023	1264	195	294	0	0	2586	2844	2313	2638	1226	1410	1455	1902	0
Txnip	1434.571429	1785	1187	385	503	0	0	1754	2111	1781	1911	2155	2416	1879	2217	474
Klf11	1424.642857	1062	703	366	591	0	0	2071	2180	2073	2138	1996	2429	2174	2162	0
Shroom1	1357.071429	1134	886	343	294	0	0	2127	2204	2153	2205	1647	1933	1917	2156	0
Tkfc	1273.857143	1953	1167	0	279	0	0	1959	2098	1753	2301	1250	1790	1551	1733	0
Ddb1	1273.857143	1953	1167	0	279	0	0	1959	2098	1753	2301	1250	1790	1551	1733	0
Gpi1	1240.857143	1915	770	196	226	0	0	1915	2212	1852	2106	1367	1939	1159	1715	0
Pdhb	1197.571429	1575	923	190	183	0	0	1589	2253	1567	1982	1379	1905	1355	1865	0
Ywhae	1194.428571	762	539	270	350	0	0	2222	2331	1846	2205	1368	1612	1455	1762	0
Glul	1192.500000	847	680	168	250	0	0	1414	1813	1713	1938	1831	2130	1791	2120	0
Klf10	1163.714286	1929	1297	0	152	0	0	1436	1684	1579	1882	1666	1896	1233	1538	0
Gapdh	1155.357143	1044	805	199	355	0	0	1726	1938	1561	1764	1536	2030	1540	1677	0
Ppp1r3c	1152.285714	1556	1286	0	183	0	0	1958	1842	1587	1724	1575	1612	1330	1479	0
Khk	1146.857143	2060	1263	123	212	0	0	1720	1990	1614	1661	1133	1417	1270	1593	0
Brox	1140.214286	799	819	1235	1759	1229	1486	965	1393	762	1046	868	1513	893	1196	0
Aida	1140.214286	799	819	1235	1759	1229	1486	965	1393	762	1046	868	1513	893	1196	0
Trim65	1131.785714	814	662	182	156	0	0	2051	1906	1646	2002	1615	1681	1488	1642	0
Cyp2c67	1109.571429	1223	776	0	0	0	0	1461	2014	1784	2167	1238	1725	1394	1752	0
Arrdc4	1096.142857	1013	708	442	527	0	0	1086	1463	1124	1742	1779	2227	1307	1928	0
Map2k4	1092.714286	178	282	0	0	0	0	1709	1956	1809	2124	1881	2068	1564	1727	0
Pklr	1083.142857	1333	1007	204	212	0	0	1699	1845	1652	1737	1183	1490	1155	1647	0
Lmbrd1	1064.142857	1071	884	0	0	0	0	1972	2039	1424	1896	1226	1482	1172	1732	0
Zfp146	1039.857143	811	711	0	167	0	0	1599	1944	1805	2058	1220	1829	1076	1338	0
Ralgapa2	1038.714286	1011	783	0	0	0	0	1814	2138	1511	1923	1191	1518	1258	1395	0
Derl1	1029.071429	1060	581	0	226	0	0	1436	1915	1405	1739	1436	1539	1403	1667	0
Serpina12	1014.214286	907	520	166	256	0	0	1515	1964	1539	1801	1263	1439	1108	1721	0
Top1	1001.357143	958	787	0	189	0	0	1610	1699	1624	1692	1370	1430	1333	1327	0
Sbk1	991.857143	1455	1045	109	115	0	0	1564	1997	1277	1726	939	1334	1007	1318	0
Comt	990.285714	1196	920	0	142	0	0	1287	1725	1536	1729	1111	1573	1320	1325	0
Tha1	981.857143	1670	867	0	0	0	0	1703	2274	1799	2264	478	955	713	1023	0
1700122O11Rik	959.857143	430	231	0	0	0	0	1441	1805	1597	1894	1255	1595	1426	1764	0
Irf6	932.071429	550	368	0	0	0	0	1783	1844	1396	1724	1416	1498	1191	1279	0
Inhba	907.000000	1187	657	0	86	0	0	1483	1707	1245	1550	892	1394	1086	1411	0
Atf3	901.285714	1018	574	0	0	0	0	1300	1636	1253	1610	1274	1535	1061	1357	0
Angptl6	886.714286	1657	1195	0	0	0	0	1412	1525	1286	1222	1031	1120	946	1020	0
