Target_genes	Mnt|Average	SRX9514748|Lung_cancer	SRX9514749|Lung_cancer	SRX7849445|Lung_tumors	SRX7849446|Lung_tumors	SRX7849455|Lung_tumors	SRX7849456|Lung_tumors	STRING
Cldn34d	1414.833333	257	1397	2148	1132	2311	1244	0
Tcstv3	701.666667	234	874	349	1105	728	920	0
Brox	700.166667	185	378	1365	660	939	674	0
Aida	700.166667	185	378	1365	660	939	674	0
Kmt2a	631.000000	0	0	0	1958	0	1828	0
Snx12	507.333333	0	248	0	1544	0	1252	0
Ipo13	412.333333	0	646	0	1029	0	799	0
Pemt	404.333333	0	2135	0	291	0	0	0
Uspl1	389.000000	0	1852	0	309	0	173	0
Riok2	375.000000	0	1849	0	401	0	0	0
Ccng2	374.833333	0	255	0	830	0	1164	0
Gtf3c4	368.666667	0	608	0	1004	0	600	0
Ddx31	368.666667	0	608	0	1004	0	600	0
Psmd12	366.166667	0	314	0	1060	0	823	0
Tma16	365.000000	0	1943	0	247	0	0	0
Hspa9	349.333333	0	1248	0	589	0	259	0
Unkl	324.000000	0	899	0	577	0	468	0
Supv3l1	324.000000	0	650	0	865	0	429	0
Percc1	324.000000	0	899	0	577	0	468	0
BC003965	324.000000	0	899	0	577	0	468	0
Nol8	301.500000	0	1136	0	476	0	197	0
Cenpp	301.500000	0	1136	0	476	0	197	0
Zfp335	298.833333	0	251	0	901	0	641	0
Nme1	297.500000	0	1456	0	329	0	0	0
Mcm7	297.000000	0	1484	0	298	0	0	0
Ap4m1	297.000000	0	1484	0	298	0	0	0
Rps12	286.500000	0	741	0	623	0	355	0
Nup85	282.666667	0	347	0	816	0	533	0
Trmt10a	282.333333	0	1694	0	0	0	0	0
Mttp	282.333333	0	1694	0	0	0	0	0
S1pr4	278.666667	0	209	0	794	0	669	0
Ncln	278.666667	0	209	0	794	0	669	0
Lsm12	277.666667	0	1454	0	212	0	0	0
G6pc3	277.666667	0	1454	0	212	0	0	0
Rpl27	274.500000	0	1087	0	361	0	199	0
Skp1	272.833333	0	213	0	826	0	598	0
Twnk	268.000000	0	1413	0	195	0	0	0
Mrpl43	268.000000	0	1413	0	195	0	0	0
Ndc1	266.666667	0	151	0	1034	0	415	0
Rpl32	264.833333	0	609	0	561	0	419	0
Rps27a	263.500000	0	957	0	393	0	231	0
Clhc1	263.500000	0	957	0	393	0	231	0
Rbbp5	260.500000	0	401	0	796	0	366	0
Zfp661	256.000000	0	420	0	765	0	351	0
Mrps5	256.000000	0	420	0	765	0	351	0
Rps23	255.500000	0	1084	0	245	0	204	0
Taf1d	255.166667	0	1531	0	0	0	0	0
4931406C07Rik	255.166667	0	1531	0	0	0	0	0
Psme3	253.666667	0	1352	0	170	0	0	0
Snrnp200	253.000000	0	364	0	720	0	434	0
1810024B03Rik	253.000000	0	364	0	720	0	434	0
Rpl21	251.666667	0	759	0	465	0	286	0
Slc35b1	249.666667	0	107	0	774	0	617	0
