Target_genes	Mxi1|Average	SRX140388|CH12	SRX140391|MEL	SRX15939545|NIH/3T3	SRX15939546|NIH/3T3	STRING
Smim17	2926.500000	2449	2265	3551	3441	0
Gpatch4	2548.250000	2035	1873	3218	3067	0
Utp20	2529.000000	1866	1969	3171	3110	0
Rrp15	2392.000000	1931	1846	2906	2885	0
Tma16	2259.750000	2227	2048	2391	2373	0
Trmt61a	2255.750000	1881	1456	2961	2725	0
Rrp12	2252.000000	1773	1454	3029	2752	0
Rbm19	2229.750000	1751	2177	2628	2363	0
Ccdc134	2224.500000	1408	1909	2821	2760	0
Znhit6	2196.000000	1738	1872	2649	2525	0
Sugp2	2183.000000	1707	1599	2729	2697	0
Armc6	2183.000000	1707	1599	2729	2697	0
Mettl1	2176.750000	1616	1818	2604	2669	0
Eef1akmt3	2176.750000	1616	1818	2604	2669	0
Pwp2	2171.500000	1798	1945	2575	2368	0
Usp2	2158.250000	1988	1843	2364	2438	0
Pyroxd1	2158.250000	2081	1893	2309	2350	0
Wdr4	2157.000000	1866	1863	2509	2390	0
Ttc27	2146.500000	1784	1917	2555	2330	0
Smyd5	2146.500000	1646	1858	2664	2418	0
BC048403	2131.000000	1795	2067	2464	2198	0
Rtn4rl1	2127.500000	1742	1619	2448	2701	0
Dph1	2127.500000	1742	1619	2448	2701	0
Gle1	2125.250000	1760	1782	2523	2436	0
Wars2	2123.750000	1813	1834	2411	2437	0
Ccdc86	2121.500000	1984	1900	2222	2380	0
Sdad1	2111.000000	1781	1858	2354	2451	0
Ebna1bp2	2110.750000	1680	1769	2508	2486	0
Cfap57	2110.750000	1680	1769	2508	2486	0
Atic	2097.250000	1573	1574	2661	2581	0
Noc3l	2094.000000	1615	1623	2615	2523	0
3110082I17Rik	2070.250000	1819	1643	2411	2408	0
Dph5	2037.250000	1745	1854	2294	2256	0
Unc45b	2033.500000	1852	1854	2103	2325	0
Nle1	2033.500000	1852	1854	2103	2325	0
Rcl1	2033.000000	1578	1540	2455	2559	0
Slc39a11	2031.250000	1905	2048	1997	2175	0
Adh5	2012.500000	1519	1815	2459	2257	0
Shmt1	1998.250000	1493	1547	2503	2450	0
Pus1	1995.750000	1760	1804	2216	2203	0
Spout1	1979.750000	1870	1913	2203	1933	0
Heatr1	1975.750000	1762	1889	2062	2190	0
Senp2	1973.500000	1749	1846	2074	2225	0
Nat10	1973.250000	1636	1522	2521	2214	0
Npas4	1970.500000	2100	2537	1683	1562	0
Scfd2	1970.250000	1694	1414	2402	2371	0
Fip1l1	1970.250000	1694	1414	2402	2371	0
Rcc1l	1965.000000	1659	1770	2249	2182	0
Dhx33	1947.250000	1707	1728	2110	2244	0
9130401M01Rik	1944.750000	1289	1490	2418	2582	0
Lsm12	1939.250000	1650	1450	2300	2357	0
G6pc3	1939.250000	1650	1450	2300	2357	0
Wdr92	1936.000000	1611	1385	2310	2438	0
Pno1	1936.000000	1611	1385	2310	2438	0
Nme2	1931.000000	1422	1537	2396	2369	0
Ltv1	1898.250000	1290	1226	2466	2611	0
Mybbp1a	1895.750000	1628	1666	2077	2212	0
Pms2	1886.250000	1334	1307	2427	2477	0
Aimp2	1886.250000	1334	1307	2427	2477	0
Thada	1885.500000	1142	1471	2343	2586	0
Slc25a26	1879.250000	1678	1858	1893	2088	0
Cad	1877.500000	1320	1506	2344	2340	0
Slc49a4	1871.750000	1400	1552	2175	2360	0
Gar1	1866.000000	1651	1606	2113	2094	0
Mthfd1	1857.000000	1491	1568	2211	2158	0
Trub1	1854.500000	1539	1792	2145	1942	0
Polr3d	1853.500000	1448	1568	2269	2129	0
Mecr	1852.000000	1711	1898	1640	2159	0
Aen	1847.000000	1504	1594	2295	1995	0
Wdr77	1846.500000	1477	1520	2253	2136	0
Atp5pb	1846.500000	1477	1520	2253	2136	0
Atf7	1846.500000	1234	1465	2445	2242	0
Ppa1	1845.750000	1305	1541	2328	2209	0
Naa40	1843.000000	1657	1724	1940	2051	0
Nol6	1819.750000	1678	1767	1908	1926	0
C1qbp	1818.750000	1365	1633	2143	2134	0
Mettl2	1798.750000	1323	1410	2179	2283	0
Usp36	1796.750000	1512	1486	2024	2165	0
Ccne2	1791.000000	1419	1415	2251	2079	0
Ncl	1790.000000	1210	1219	2412	2319	0
Utp25	1788.500000	1787	1644	1730	1993	0
Stat3	1786.500000	1376	1348	2109	2313	0
Rrs1	1784.750000	1543	1687	2033	1876	0
Adhfe1	1784.750000	1543	1687	2033	1876	0
Papola	1776.250000	1180	1469	2226	2230	0
Wdr36	1774.750000	1105	1422	2332	2240	0
Mrm1	1765.000000	1622	1328	2169	1941	0
Rwdd1	1764.500000	1122	1444	2254	2238	0
Dusp12	1761.000000	1216	1263	2163	2402	0
Nppb	1758.250000	1316	1397	1957	2363	0
Zbed5	1755.250000	1271	1413	2097	2240	0
