Target_genes	Myb|Average	SRX8737398|Bone_Marrow_Cells	SRX3889819|Embryonic_liver	SRX3889820|Embryonic_liver	SRX140366|MEL	SRX884094|MLL-AF9_leukemic_cell	SRX884095|MLL-AF9_leukemic_cell	STRING
Tcstv3	1424.333333	979	1741	1089	1587	2371	779	0
Cldn34d	1125.333333	1349	1520	872	1131	1423	457	0
Brox	846.500000	728	1258	769	1547	587	190	0
Aida	846.500000	728	1258	769	1547	587	190	0
Mmachc	809.333333	397	197	0	2105	1748	409	0
Ccdc163	809.333333	397	197	0	2105	1748	409	0
Kpna1	790.333333	759	446	189	1209	1022	1117	0
Il31ra	637.000000	823	166	0	859	1074	900	0
Urb2	627.166667	276	139	0	2246	1015	87	0
Taf5l	627.166667	276	139	0	2246	1015	87	0
Ccp110	623.000000	147	0	0	2511	903	177	0
Erlin2	581.500000	178	0	0	2257	877	177	0
Bex6	552.333333	283	0	0	1985	899	147	0
Mettl6	518.833333	327	250	189	1373	830	144	0
Eaf1	518.833333	327	250	189	1373	830	144	0
Nfe2	509.666667	324	731	393	1374	236	0	0
Serinc3	504.000000	332	673	463	1379	177	0	0
Atg12	496.500000	294	0	0	1835	693	157	0
Ap3s1	496.500000	294	0	0	1835	693	157	0
Tmem125	493.666667	329	988	835	0	660	150	0
Ndufaf3	484.000000	334	198	0	1663	602	107	0
Dalrd3	484.000000	334	198	0	1663	602	107	0
Hdgf	482.833333	392	665	296	1330	214	0	0
Zbed4	473.833333	322	0	0	1910	611	0	0
Asmt	469.500000	318	803	776	131	627	162	0
Rdh11	469.000000	274	0	0	1690	740	110	0
Cmtm7	469.000000	226	0	0	1857	561	170	0
Cbfa2t3	461.500000	310	145	0	1810	371	133	0
Sspn	456.666667	753	0	0	915	688	384	0
Kif20a	451.666667	591	0	0	1773	346	0	0
Brd8	451.666667	591	0	0	1773	346	0	0
Pomt1	451.333333	262	152	0	1217	979	98	0
H2ax	441.666667	344	0	0	1887	419	0	0
Calr	427.666667	340	0	0	1512	586	128	0
Maz	421.666667	559	190	82	1347	352	0	0
Zzef1	415.833333	240	0	0	1724	459	72	0
Cyb5d2	415.833333	240	0	0	1724	459	72	0
Tab1	413.166667	135	285	85	1974	0	0	0
Med26	411.666667	214	0	0	1721	535	0	0
Banp	392.833333	117	0	0	1537	586	117	0
Tesmin	390.166667	307	0	0	1544	490	0	0
Tfr2	389.333333	321	135	115	1765	0	0	0
Snx1	389.000000	127	0	0	1490	338	379	0
Ciao2a	389.000000	127	0	0	1490	338	379	0
Oasl1	386.666667	402	367	197	593	523	238	0
Kdm4d	385.166667	155	0	0	1911	245	0	0
Cwc15	385.166667	155	0	0	1911	245	0	0
Rsbn1	379.666667	213	0	0	1777	288	0	0
Abcb4	378.666667	153	227	0	1892	0	0	0
Snx27	374.000000	107	0	0	1642	495	0	0
Calm3	370.833333	361	0	0	1573	291	0	0
Rnf139	368.500000	0	200	0	1638	373	0	0
Yipf2	366.500000	109	0	0	1596	494	0	0
Timm29	366.500000	109	0	0	1596	494	0	0
Idh3a	366.333333	106	0	0	2092	0	0	0
Gzf1	365.333333	93	0	0	1750	349	0	0
Cep43	365.333333	309	0	0	1560	323	0	0
Tagap1	363.166667	274	0	0	1665	240	0	0
Bloc1s5	361.666667	0	0	81	1846	243	0	0
Cnot6l	361.333333	267	0	0	1901	0	0	0
Yy1	357.333333	120	0	0	1408	458	158	0
Ripor1	356.500000	247	198	0	1694	0	0	0
Sema4d	353.833333	165	146	0	1812	0	0	0
Vamp8	352.833333	255	377	89	1396	0	0	0
Nxpe5	352.333333	119	0	0	1738	257	0	0
Myl6b	350.000000	390	0	0	1428	282	0	0
Myl6	350.000000	390	0	0	1428	282	0	0
Shoc2	345.166667	273	0	0	1479	319	0	0
Bbip1	345.166667	273	0	0	1479	319	0	0
Ppp6r1	340.666667	135	0	0	1541	368	0	0
Srsf7	337.000000	285	0	0	1447	290	0	0
Caprin1	337.000000	81	0	0	1607	334	0	0
Ces2g	335.666667	98	0	0	1916	0	0	0
Znrd1as	333.166667	483	0	0	1162	354	0	0
Znrd1	333.166667	483	0	0	1162	354	0	0
Mbd6	332.666667	196	0	0	1372	332	96	0
Ddit3	332.666667	196	0	0	1372	332	96	0
Trcg1	332.333333	143	0	0	1739	112	0	0
Car1	330.000000	117	0	0	1863	0	0	0
Cdc20	328.333333	169	0	0	1484	317	0	0
Mfsd2b	326.500000	347	250	0	1362	0	0	0
Zc3h7a	326.333333	252	0	0	1458	248	0	0
Oaf	326.166667	166	174	105	1270	242	0	0
Trim56	325.666667	154	166	102	1532	0	0	0
Bloc1s2	324.000000	173	0	0	1615	156	0	0
Mettl7a1	323.833333	188	0	0	1634	121	0	0
Ilf3	323.500000	306	0	0	1470	165	0	0
Pigv	323.166667	290	0	0	1493	156	0	0
Capza1	322.666667	284	0	0	1396	256	0	0
Tmcc2	322.000000	282	632	431	431	156	0	0
Ptpa	321.166667	197	0	0	1410	320	0	0
Crat	321.166667	197	0	0	1410	320	0	0
Tnfaip8	320.333333	267	304	388	406	462	95	0
Ifi47	320.166667	122	131	0	1668	0	0	0
Ccdc61	320.166667	126	0	0	1531	264	0	0
Adcy7	319.333333	233	179	0	1504	0	0	0
Sugct	318.166667	225	0	0	1278	406	0	0
Mplkip	318.166667	225	0	0	1278	406	0	0
Epor	317.333333	189	347	192	1176	0	0	0
Nadk2	315.333333	0	408	134	1350	0	0	0
Mpzl2	315.166667	103	0	0	1788	0	0	0
Snrnp35	315.000000	270	0	0	1459	161	0	0
Rilpl2	314.333333	270	0	0	1459	157	0	0
Cox20	314.333333	336	0	0	1257	293	0	0
Gse1	311.500000	209	314	141	1064	141	0	0
Asrgl1	311.166667	100	0	0	800	174	793	0
Supt20	310.333333	255	0	0	1304	303	0	0
Zfp91	307.166667	78	0	0	1584	181	0	0
Lpxn	307.166667	78	0	0	1584	181	0	0
Diablo	306.333333	262	0	0	1340	236	0	0
Ndst2	305.166667	139	0	0	1692	0	0	0
Hscb	305.166667	141	242	165	1202	81	0	0
Chek2	305.166667	141	242	165	1202	81	0	0
Psmd3	304.333333	0	0	0	488	1200	138	0
Ap5s1	303.000000	228	458	467	502	163	0	0
Xpo5	301.666667	203	0	0	1320	287	0	0
Polh	301.666667	203	0	0	1320	287	0	0
C330018D20Rik	300.666667	189	292	217	1106	0	0	0
Sde2	299.500000	205	443	357	381	411	0	0
Cbll1	298.000000	213	0	0	1287	288	0	0
Hps5	296.666667	0	0	0	869	304	607	0
Gtf2h1	296.666667	0	0	0	869	304	607	0
Pradc1	294.666667	159	0	0	1385	224	0	0
Cct7	294.666667	159	0	0	1385	224	0	0
Adcy6	293.500000	179	201	0	1381	0	0	0
Sesn1	292.333333	221	0	0	1162	371	0	0
Cep57l1	292.333333	221	0	0	1162	371	0	0
Aqp9	290.666667	110	305	290	879	160	0	0
Slc26a1	290.500000	0	0	0	1743	0	0	0
Dock10	290.166667	221	0	0	1401	119	0	0
Wdr37	288.666667	346	0	0	1067	319	0	0
Hyls1	285.333333	85	0	0	1453	174	0	0
Ear3	285.333333	119	0	0	1593	0	0	0
Ear2	285.333333	119	0	0	1593	0	0	0
Ear12	285.333333	119	0	0	1593	0	0	0
Spty2d1	284.000000	235	0	0	1162	307	0	0
Pex12	283.000000	91	0	0	1213	394	0	0
Ap2b1	283.000000	91	0	0	1213	394	0	0
Nol8	282.500000	385	0	0	1106	204	0	0
Cenpp	282.500000	385	0	0	1106	204	0	0
Rmnd1	281.333333	286	0	0	1089	313	0	0
Rictor	281.333333	141	0	0	1547	0	0	0
Armt1	281.333333	286	0	0	1089	313	0	0
Emp3	280.833333	280	0	0	1238	167	0	0
Ccdc114	280.833333	280	0	0	1238	167	0	0
Acyp1	280.666667	119	0	0	1381	184	0	0
Ruvbl2	279.333333	314	0	0	1070	292	0	0
Gys1	279.333333	314	0	0	1070	292	0	0
Iba57	279.000000	221	0	107	1346	0	0	0
Pef1	278.500000	259	0	0	1183	229	0	0
Birc2	277.833333	229	0	0	1290	148	0	0
Eif4e	276.000000	72	0	0	1359	225	0	0
Mst1r	275.000000	0	0	0	1650	0	0	0
Samd14	274.333333	149	207	275	1015	0	0	0
Cpox	274.000000	103	550	464	527	0	0	0
Vta1	273.833333	263	0	0	1047	333	0	0
Clta	273.166667	139	241	176	1083	0	0	0
Dhx8	272.333333	187	0	0	1076	371	0	0
Vcpip1	271.833333	176	0	0	1257	198	0	0
Ints7	270.333333	148	0	0	1268	206	0	0
Dtl	270.333333	148	0	0	1268	206	0	0
Rpl22	269.833333	0	0	0	200	1216	203	0
Map11	268.666667	0	0	0	1612	0	0	0
Psmg2	268.500000	165	0	0	1289	157	0	0
Cep76	268.500000	165	0	0	1289	157	0	0
Atp1b2	268.500000	0	0	0	1611	0	0	0
Rhag	268.333333	83	305	167	1055	0	0	0
