Target_genes	Mybl1|Average	SRX10052064|Testis	SRX1764251|Testis	SRX1764252|Testis	SRX244353|Testis	STRING
Gmeb1	1327.750000	2501	230	347	2233	0
Cldn34d	1290.500000	3126	1020	930	86	0
Mov10l1	1270.750000	2799	357	516	1411	0
Mlc1	1270.750000	2799	357	516	1411	0
Dnajc12	1238.250000	2445	251	280	1977	0
Zscan2	1235.500000	2191	295	269	2187	0
Zfp91	1233.250000	2807	305	387	1434	0
Lpxn	1233.250000	2807	305	387	1434	0
Ptchd3	1222.250000	2741	202	402	1544	0
Ccnb3	1218.750000	2648	228	386	1613	0
Zfp128	1203.500000	2328	237	203	2046	0
Piwil1	1193.750000	3067	211	289	1208	0
Vars	1180.500000	2537	253	270	1662	0
D17H6S56E-5	1180.500000	2537	253	270	1662	0
Maz	1178.750000	2785	197	241	1492	0
Diablo	1164.250000	2782	187	393	1295	0
Adam2	1158.750000	2436	250	462	1487	0
Ppm1g	1142.250000	2490	180	323	1576	0
Sppl3	1131.750000	2488	143	320	1576	0
Znrd1as	1125.250000	2895	0	428	1178	0
Znrd1	1125.250000	2895	0	428	1178	0
Scml1	1116.000000	2948	236	270	1010	0
Ube2t	1113.250000	2995	181	324	953	0
Sult2a2	1110.750000	2218	302	291	1632	0
Acin1	1101.500000	2908	0	165	1333	0
1700123O20Rik	1101.500000	2908	0	165	1333	0
Topors	1097.000000	2401	226	214	1547	0
Smim27	1097.000000	2401	226	214	1547	0
H2az2	1093.500000	2089	382	214	1689	0
1700010B08Rik	1076.250000	2119	187	318	1681	0
Zc3h7a	1065.750000	1833	182	390	1858	0
Bicral	1064.500000	2657	127	451	1023	0
Ckap5	1061.750000	3052	173	211	811	0
Gnao1	1059.000000	2578	267	523	868	0
4931417E11Rik	1053.500000	2825	0	454	935	0
Cdc20	1047.250000	2338	216	504	1131	0
Pbld2	1046.250000	2286	0	284	1615	0
Hnrnph3	1046.250000	2286	0	284	1615	0
Sf3b1	1044.250000	2498	0	214	1465	0
Olfr895	1035.750000	2365	157	133	1488	0
Zmym2	1035.250000	2783	68	246	1044	0
Tent5d	1035.250000	2925	138	255	823	0
2610002M06Rik	1035.250000	2925	138	255	823	0
Prpf19	1029.250000	3178	0	254	685	0
Rsph1	1025.000000	2717	0	365	1018	0
Cbll1	1022.500000	2458	0	347	1285	0
Zbed4	1021.000000	2778	110	204	992	0
1700102P08Rik	1020.750000	2508	130	436	1009	0
Gbgt1	1018.750000	1814	229	253	1779	0
Rsbn1	1017.000000	2643	0	219	1206	0
Ddx39a	1005.750000	1800	213	333	1677	0
LOC666331	1004.250000	2548	127	409	933	0
Rbm14	1003.750000	2461	0	306	1248	0
Gm21992	1003.750000	2461	0	306	1248	0
Cks2	1002.750000	2639	145	290	937	0
Mgst3	1000.250000	1546	428	395	1632	0
Gstt2	996.000000	2795	0	178	1011	0
Msh5	995.750000	2669	0	300	1014	0
Clic1	995.750000	2669	0	300	1014	0
Pabpc1	995.500000	2044	0	361	1577	0
Cdc20b	994.250000	1621	360	343	1653	0
Actl9	991.000000	3077	89	238	560	0
Prok2	988.750000	1616	152	261	1926	0
Ube2s	986.250000	2297	226	324	1098	0
Med26	986.250000	2616	0	260	1069	0
Siah1a	984.000000	2356	0	220	1360	0
Cfap97d2	981.250000	2253	98	130	1444	0
Erlin2	979.250000	2392	170	334	1021	0
Psma8	977.500000	2685	0	213	1012	0
Upf1	974.500000	2775	0	154	969	0
Gm3448	974.000000	2275	132	233	1256	0
Gm3417	974.000000	2275	132	233	1256	0
Tob1	970.250000	2423	119	273	1066	0
Arl6ip1	961.000000	2720	0	355	769	0
Slc25a31	958.250000	2515	0	283	1035	0
Rab8a	958.250000	2808	0	214	811	0
Ybx2	957.750000	2860	0	256	715	0
Ube2d2b	957.750000	2654	0	397	780	0
Ppp1ccb	952.000000	2322	0	307	1179	0
Ppp1cc	952.000000	2322	0	307	1179	0
Srrt	950.500000	2085	0	351	1366	0
Apba1	949.750000	1743	262	250	1544	0
Brox	949.250000	1935	877	667	318	0
Aida	949.250000	1935	877	667	318	0
Sephs2	949.000000	2782	0	318	696	0
Prdm10	945.000000	1678	202	221	1679	0
Tcte3	941.000000	2275	0	233	1256	0
Tmem143	936.250000	2247	135	308	1055	0
