Target_genes	Mycn|Average	SRX821477|Medulloblastoma	SRX821480|Medulloblastoma	SRX2960250|Neuroblastoma	SRX2960253|Neuroblastoma	SRX2960256|Neuroblastoma	SRX8423446|Tumor	SRX8423448|Tumor	SRX8423450|Tumor	SRX8423452|Tumor	SRX8423454|Tumor	SRX14407156|T_cell_lymphoma_cells	STRING
Cldn34d	1476.363636	258	357	1361	1584	1385	1682	2750	1680	1649	2924	610	0
Brox	1039.090909	171	316	840	844	468	1243	2150	1499	1586	1796	517	0
Aida	1039.090909	171	316	840	844	468	1243	2150	1499	1586	1796	517	0
Tcstv3	954.727273	241	379	0	0	0	1972	2167	1722	1396	1960	665	0
Pemt	918.454545	0	174	810	521	0	1517	2838	491	583	2979	190	0
Cox5a	769.909091	0	427	373	236	0	1550	2229	572	520	2346	216	0
Rpl32	730.727273	0	218	286	319	0	1560	2708	244	368	2105	230	0
Gm3448	729.818182	0	289	450	241	0	1450	1943	464	616	2383	192	0
Gm3417	729.818182	0	289	450	241	0	1450	1943	464	616	2383	192	0
Ncl	726.727273	0	179	1221	711	372	1067	1947	250	180	1851	216	0
Tbrg4	715.909091	0	581	208	199	0	1055	1970	677	617	2384	184	0
Kpna1	712.090909	121	226	552	1075	449	955	473	717	709	1960	596	0
Tcte3	707.090909	0	289	450	241	0	1424	1719	464	616	2383	192	0
9030025P20Rik	703.272727	0	230	307	222	0	1450	1943	453	567	2383	181	0
Gm3435	694.636364	0	289	450	202	0	1424	1719	379	616	2383	179	0
Arhgdia	681.181818	0	925	204	190	0	850	2050	398	399	2283	194	0
Trmo	679.454545	0	330	1419	579	180	545	1203	461	431	2210	116	0
Mrpl23	677.181818	0	0	780	265	124	893	1958	339	339	2560	191	0
Npm1	663.272727	0	502	1229	649	261	760	1730	185	131	1757	92	0
Ube2q1	661.181818	0	1271	819	335	148	782	912	343	260	2274	129	0
Fbxl5	660.818182	0	146	603	181	0	1293	1814	363	392	2210	267	0
Rpl5	657.000000	0	141	297	164	0	1099	2469	184	312	2399	162	0
Cand1	655.272727	0	289	370	250	0	1023	2206	682	501	1722	165	0
Gamt	654.181818	0	662	703	442	0	1048	935	644	449	2104	209	0
Dazap1	654.181818	0	662	703	442	0	1048	935	644	449	2104	209	0
Mettl1	652.454545	0	297	282	209	0	849	1997	442	497	2516	88	0
Eef1akmt3	652.454545	0	297	282	209	0	849	1997	442	497	2516	88	0
Angptl6	644.090909	0	118	438	329	0	1239	980	649	609	2466	257	0
Rpl10a	631.818182	0	339	329	216	0	1135	2275	384	311	1748	213	0
Trmt10a	623.636364	0	250	228	109	0	1290	2102	423	558	1741	159	0
Mttp	623.636364	0	250	228	109	0	1290	2102	423	558	1741	159	0
Psme3	622.454545	0	0	148	146	0	1117	1727	527	665	2269	248	0
Dtwd2	620.000000	0	162	107	0	0	795	2244	405	338	2588	181	0
Mtg1	619.727273	0	563	142	105	0	710	1888	195	202	2832	180	0
Wdr41	618.090909	0	181	0	0	0	804	2176	424	481	2621	112	0
Klhl35	615.909091	0	0	230	153	0	1024	2041	263	438	2340	286	0
Prmt3	613.818182	0	275	317	251	0	883	1994	309	313	2207	203	0
Rpp38	612.727273	0	168	1032	347	0	785	1307	319	342	2295	145	0
Acbd7	612.727273	0	168	1032	347	0	785	1307	319	342	2295	145	0
Ubfd1	612.090909	0	138	925	430	132	761	1565	280	297	2057	148	0
Ears2	612.090909	0	138	925	430	132	761	1565	280	297	2057	148	0
Cops7a	608.545455	0	111	1076	250	114	668	1377	230	393	2318	157	0
Fbxl22	603.090909	0	682	357	311	0	985	1165	421	312	2136	265	0
Snx5	599.363636	0	257	231	134	0	845	2217	278	416	2046	169	0
Mgme1	599.363636	0	257	231	134	0	845	2217	278	416	2046	169	0
Ncoa5	598.090909	0	330	0	222	0	561	2131	316	362	2526	131	0
Lsm2	596.272727	0	407	0	100	0	828	1729	390	455	2546	104	0
Thg1l	596.090909	0	0	168	0	0	1136	1827	498	440	2401	87	0
Ermard	592.181818	0	179	358	241	0	1265	1135	464	554	2126	192	0
Snrpf	590.272727	0	147	0	0	0	984	2025	441	447	2235	214	0
Zzz3	583.181818	0	335	547	249	0	980	1371	360	438	1993	142	0
Gar1	581.090909	0	289	260	230	0	1000	1429	344	423	2276	141	0
Gramd4	579.727273	107	1381	293	289	0	677	923	194	203	2147	163	0
Polr1b	578.818182	0	0	180	155	0	663	1627	425	371	2815	131	0
Il31ra	578.272727	0	95	387	782	234	979	789	557	601	1065	872	0
Ttc25	576.272727	0	232	174	240	0	840	1264	268	271	2920	130	0
Telo2	574.909091	0	139	194	155	0	775	1816	330	325	2590	0	0
Ptx4	574.909091	0	139	194	155	0	775	1816	330	325	2590	0	0
Xpot	573.818182	0	179	1002	348	74	754	989	412	275	2101	178	0
Rgcc	573.636364	0	249	1741	941	659	89	153	0	0	2478	0	0
Aspscr1	572.454545	0	172	116	206	0	930	1407	288	547	2535	96	0
Phf20	570.545455	0	182	165	235	0	635	1435	378	489	2574	183	0
Khdrbs1	569.363636	0	249	400	502	0	679	1254	323	330	2363	163	0
Cep43	569.090909	0	269	174	71	0	790	1838	238	312	2472	96	0
Zfp507	567.090909	0	139	0	0	0	911	1931	316	357	2439	145	0
E2f5	565.363636	0	1065	0	0	0	696	1078	290	472	2503	115	0
Urb2	563.272727	0	141	270	233	0	850	1405	247	496	2324	230	0
Taf5l	563.272727	0	141	270	233	0	850	1405	247	496	2324	230	0
Sdf4	563.272727	0	346	270	317	0	853	1625	314	406	1888	177	0
B3galt6	563.272727	0	346	270	317	0	853	1625	314	406	1888	177	0
Riox2	562.454545	0	71	133	165	0	788	1644	294	393	2612	87	0
Fasn	560.545455	0	1445	131	136	0	809	1098	279	265	1821	182	0
Bax	560.545455	0	83	603	241	0	758	1345	246	318	2500	72	0
Napepld	560.454545	0	235	248	0	0	871	1742	320	363	2227	159	0
Ppp1r15b	559.181818	0	216	108	155	0	908	1199	614	287	2436	228	0
Dctd	556.909091	0	205	330	328	0	715	1486	228	263	2385	186	0
Phf7	555.000000	0	155	256	0	0	875	1476	304	308	2568	163	0
Bap1	555.000000	0	155	256	0	0	875	1476	304	308	2568	163	0
Pigw	554.636364	0	211	400	225	0	1126	1247	246	251	2222	173	0
Myo19	554.636364	0	211	400	225	0	1126	1247	246	251	2222	173	0
Esco1	551.000000	0	1883	0	0	0	454	1065	186	338	2135	0	0
Osgep	550.363636	0	190	1569	721	257	417	674	205	223	1798	0	0
Apex1	550.363636	0	190	1569	721	257	417	674	205	223	1798	0	0
Iba57	548.909091	0	176	0	0	0	794	1968	324	530	2166	80	0
Eef1e1	548.090909	0	79	113	0	0	819	2140	345	325	1998	210	0
Aebp2	547.272727	0	537	0	105	0	1035	1460	402	279	2047	155	0
Tmem185b	547.090909	0	182	492	343	104	703	1388	214	287	2171	134	0
Srsf7	547.000000	0	213	150	83	0	664	1994	408	445	1916	144	0
Riok2	546.636364	0	0	188	124	0	941	1765	426	274	2295	0	0
Hnrnpab	545.454545	0	336	0	101	0	834	2160	394	432	1609	134	0
Ciart	545.272727	0	448	856	231	124	519	1026	310	240	2036	208	0
Laptm4a	545.181818	0	0	234	169	0	733	1700	480	341	2139	201	0
Tmem42	541.818182	0	189	0	0	0	834	1712	338	330	2409	148	0
Trim44	541.727273	0	215	0	0	0	780	1876	229	437	2310	112	0
Cyp20a1	541.727273	0	80	295	241	0	669	1280	262	324	2673	135	0
Rps19	539.181818	0	284	72	119	0	874	2288	288	401	1477	128	0
Nolc1	536.818182	0	81	279	207	0	681	1090	571	441	2369	186	0
Kctd9	535.909091	0	195	497	177	0	769	1550	392	307	1841	167	0
Cdca2	535.909091	0	195	497	177	0	769	1550	392	307	1841	167	0
Anapc10	535.818182	0	110	151	0	0	649	1560	329	340	2582	173	0
Abce1	535.818182	0	110	151	0	0	649	1560	329	340	2582	173	0
Snx8	535.272727	0	126	822	238	0	529	730	402	455	2461	125	0
Zfat	534.818182	99	1568	0	0	0	776	731	233	188	2146	142	0
Colgalt1	534.636364	0	556	0	0	0	674	1659	198	272	2447	75	0
Bod1l	531.272727	0	226	0	0	0	969	928	360	354	2840	167	0
