Target_genes	Nfatc1|Average	SRX376930|Hair_Follicle	DRX111909|Osteoclasts	SRX174585|Pancreatic_cancer_cells	SRX174586|Pancreatic_cancer_cells	STRING
Tcstv3	1237.500000	1488	1768	962	732	0
Abhd6	694.750000	790	668	462	859	0
Olfr806	691.250000	737	631	485	912	0
Wwox	568.250000	406	426	571	870	0
Cldn34d	499.000000	533	701	462	300	0
Kpna1	487.000000	515	390	644	399	0
Rps29	457.750000	273	351	525	682	0
Brox	457.000000	516	706	374	232	0
Aida	457.000000	516	706	374	232	0
Nemf	425.750000	302	174	541	686	0
Fam227b	423.500000	0	238	624	832	0
Dtwd1	423.500000	0	238	624	832	0
Oasl1	402.000000	645	208	408	347	0
Malt1	391.000000	0	342	501	721	0
Spns2	377.000000	0	661	729	118	0
Srsf7	374.250000	0	1497	0	0	0
Rasip1	356.500000	0	188	560	678	0
Esr1	342.750000	178	301	251	641	0
Il31ra	339.750000	694	213	248	204	0
Arhgap19	331.750000	0	792	441	94	0
Tent5c	326.500000	191	289	233	593	0
Vmn2r102	322.750000	871	266	154	0	0
Plec	317.250000	0	705	463	101	0
Izumo1	309.500000	0	0	560	678	0
Akirin2	307.000000	0	117	337	774	0
Ing1	294.250000	0	1177	0	0	0
Asmt	293.250000	653	368	152	0	0
Taf13	291.750000	0	1167	0	0	0
Gadd45b	290.750000	166	997	0	0	0
H4f16	290.000000	0	1160	0	0	0
H2aj	290.000000	0	1160	0	0	0
H4c8	286.000000	0	579	234	331	0
H3c8	286.000000	0	579	234	331	0
H2ac10	286.000000	0	579	234	331	0
Slc35g3	284.500000	0	1138	0	0	0
Polr2a	284.500000	0	1138	0	0	0
Fxyd5	278.250000	0	712	401	0	0
Syne3	277.750000	0	332	667	112	0
Rdm1	274.750000	0	1099	0	0	0
Prkdc	268.250000	173	179	296	425	0
Cd9	265.500000	0	392	573	97	0
Rrn3	263.000000	0	593	162	297	0
Spg11	261.750000	0	1047	0	0	0
Hmox2	258.000000	94	420	169	349	0
Gtf3c6	258.000000	0	1032	0	0	0
Slc5a6	250.750000	0	300	349	354	0
