Target_genes	Nfe2|Average	SRX203211|Erythroblasts	SRX18530089|Erythroid_Cells	SRX18530090|Erythroid_Cells	SRX1629386|M1	SRX203207|Megakaryocytes	SRX203208|Megakaryocytes	SRX204382|Megakaryocytes	SRX2200549|Pro-B_cells	SRX298037|Ter119_Erythrocytes	STRING
Tcstv3	1205.777778	1674	419	851	290	1040	2025	522	1670	2361	0
Cldn34d	1100.444444	1172	1136	981	1305	690	1176	0	1492	1952	0
Brox	890.111111	763	879	603	667	569	857	133	1746	1794	0
Aida	890.111111	763	879	603	667	569	857	133	1746	1794	0
Ftl1	774.666667	980	119	0	342	278	872	142	2902	1337	0
Slc48a1	727.333333	738	140	175	888	167	775	0	2330	1333	0
Fth1	634.666667	620	111	141	642	194	489	0	1971	1544	0
Txnrd1	592.222222	340	121	0	568	143	292	62	3263	541	0
Tmem125	579.222222	410	0	168	466	405	335	460	1480	1489	0
Mafg	570.000000	919	152	107	356	165	472	0	1844	1115	0
Nqo1	568.555556	866	118	160	0	255	798	0	1451	1469	0
Gpi1	566.222222	721	78	80	235	241	474	137	2255	875	0
Pak6	533.111111	721	225	150	223	211	652	0	1653	963	0
4930503B20Rik	532.222222	682	261	250	798	393	466	0	946	994	0
Psmd5	531.555556	807	257	314	0	346	511	0	1223	1326	0
Cutal	531.555556	807	257	314	0	346	511	0	1223	1326	0
Rab18	499.555556	873	137	123	401	218	545	0	816	1383	0
Snrpc	498.111111	0	0	0	1347	0	0	0	3136	0	0
Lrp8	492.555556	443	0	0	229	209	425	282	2396	449	0
Psmg2	484.000000	610	190	194	184	122	650	0	1713	693	0
Cep76	484.000000	610	190	194	184	122	650	0	1713	693	0
Rnf183	474.222222	1165	289	353	109	201	340	0	685	1126	0
Mrpl38	470.777778	1105	87	122	0	202	680	0	606	1435	0
Mybph	464.777778	0	0	0	987	0	0	0	3196	0	0
Prdx1	462.555556	295	0	0	631	0	396	0	2592	249	0
Hmox1	456.222222	400	0	0	582	102	797	123	1897	205	0
Cd276	452.000000	0	0	0	643	0	148	0	3277	0	0
Tbcel	451.888889	833	347	337	0	202	373	0	715	1260	0
Nol11	444.333333	0	0	0	1052	0	0	0	2947	0	0
Txn1	440.666667	647	137	106	147	119	732	0	1003	1075	0
Nup153	437.888889	809	246	313	0	250	263	0	756	1304	0
Asmt	434.222222	631	0	196	0	419	659	205	723	1075	0
