Target_genes	Nfe2l1|Average	SRX2311119|MEF	SRX2311120|MEF	SRX2311121|MEF	STRING
Adrm1	2165.000000	2897	2184	1414	0
Cldn34d	2008.333333	1722	2180	2123	0
Gstp2	1811.333333	2467	1928	1039	0
Brox	1710.000000	1320	2047	1763	0
Aida	1710.000000	1320	2047	1763	0
Psmd3	1515.666667	2348	1341	858	0
Zscan21	1416.666667	1983	1623	644	0
Txnrd1	1405.333333	1936	1400	880	0
Psmb3	1375.333333	2058	1399	669	0
Pcgf2	1375.333333	2058	1399	669	0
Gclc	1350.666667	1570	1522	960	0
Dynlt1b	1319.333333	1940	1508	510	0
Psmd1	1293.666667	1807	1392	682	0
Ptges3	1190.000000	1496	1430	644	0
Chpf2	1137.000000	1580	1213	618	0
Ftl1	1011.666667	1444	1050	541	0
Sqstm1	993.333333	1248	1251	481	0
Uba52	991.666667	1558	1009	408	0
Rex1bd	991.666667	1558	1009	408	0
Fth1	960.333333	1513	939	429	0
Crtc1	946.000000	1395	988	455	0
Srsf2	939.000000	1101	1224	492	0
Mfsd11	939.000000	1101	1224	492	0
Psmd7	938.000000	1410	1031	373	0
Tmem41b	937.000000	1416	1175	220	0
Slc48a1	931.333333	1186	1207	401	0
Nsfl1c	928.000000	1332	927	525	0
Tcstv3	913.000000	797	956	986	0
Epb41	909.333333	1396	1132	200	0
Srxn1	908.333333	1362	1230	133	0
Psma2	864.000000	1420	822	350	0
Mrpl32	864.000000	1420	822	350	0
Prdx1	863.000000	1181	1058	350	0
Vcp	838.333333	1453	595	467	0
Psma3	828.333333	1324	791	370	0
Cdc45	823.666667	1108	990	373	0
Txn1	822.333333	1214	1092	161	0
Gpi1	820.666667	1226	964	272	0
Atf1	813.333333	961	1067	412	0
Tfap4	805.666667	1226	853	338	0
Keap1	805.666667	1289	822	306	0
Cox20	802.000000	1087	1057	262	0
Hmox1	778.000000	1161	777	396	0
Cyp1a2	774.666667	1177	842	305	0
Cyp1a1	774.666667	1177	842	305	0
Psmd14	773.666667	1271	860	190	0
Psmc4	761.666667	1061	973	251	0
Tmem125	740.666667	598	848	776	0
Aox1	729.000000	1122	835	230	0
Txnl1	720.000000	1177	678	305	0
Rassf8	720.000000	1089	871	200	0
Setd1b	706.666667	922	790	408	0
Nqo1	704.666667	1056	697	361	0
Kmt2d	696.666667	1172	738	180	0
4930548H24Rik	683.000000	929	701	419	0
Psma6	682.666667	1033	785	230	0
Pgd	675.000000	945	775	305	0
Rad23b	673.666667	915	916	190	0
Psmc2	673.333333	996	881	143	0
Dnajc2	673.333333	996	881	143	0
Nutf2	654.666667	1061	723	180	0
Gclm	640.666667	959	602	361	0
Vasn	635.666667	870	754	283	0
Psmd12	629.666667	1056	672	161	0
Mllt11	628.000000	907	767	210	0
Cdc42se1	628.000000	907	767	210	0
Psmb6	623.333333	1047	623	200	0
Ap1g1	617.000000	990	631	230	0
Mrpl38	611.666667	925	710	200	0
Oat	609.000000	812	710	305	0
Osgin1	593.333333	922	697	161	0
Rab18	584.666667	922	494	338	0
Lrp8	583.000000	846	631	272	0
Oser1	580.333333	951	790	0	0
Zwint	569.000000	783	753	171	0
Bcat1	568.666667	1008	698	0	0
Slc22a12	561.666667	949	565	171	0
Efemp2	558.666667	816	717	143	0
Klhl21	558.333333	824	631	220	0
Gstm6	558.000000	773	721	180	0
Asmt	557.333333	493	736	443	0
Grm4	554.666667	994	670	0	0
Ttc12	549.666667	856	593	200	0
Dysf	544.333333	820	613	200	0
Kansl2	542.333333	821	555	251	0
Ly6a	538.000000	765	649	200	0
Psmd4	527.000000	906	434	241	0
Dynlt1f	519.666667	714	570	275	0
Dynlt1c	519.666667	714	570	275	0
Polr2e	516.333333	804	593	152	0
Ltbp3	516.000000	862	506	180	0
Gpam	513.666667	713	695	133	0
Pkm	512.333333	579	778	180	0
Sod1	506.666667	697	593	230	0
Tmc8	506.333333	793	506	220	0
Tmc6	506.333333	793	506	220	0
Riok3	502.333333	952	555	0	0
Rheb	501.666667	719	606	180	0
Cd151	496.666667	801	518	171	0
Psma1	490.666667	828	511	133	0
Fosl1	484.666667	777	457	220	0
Tctex1d4	482.333333	953	494	0	0
Btbd19	482.333333	953	494	0	0
Zmynd8	480.666667	862	580	0	0
Pdc	478.000000	796	526	112	0
Creld1	476.666667	741	518	171	0
Cst6	471.000000	813	467	133	0
Plaa	470.000000	719	530	161	0
Lrrc59	469.000000	810	377	220	0
Gstm1	466.333333	689	469	241	0
Mrvi1	456.000000	547	631	190	0
Zfp869	448.000000	750	594	0	0
Gzmm	445.666667	665	672	0	0
Cdc34	445.666667	665	672	0	0
Gabarapl1	443.333333	610	530	190	0
Mafg	437.333333	773	539	0	0
Tbp	437.000000	768	543	0	0
Psmb1	437.000000	768	543	0	0
Ranbp2	436.333333	849	362	98	0
Hspb8	428.666667	731	555	0	0
Nploc4	426.333333	749	387	143	0
Mlx	425.666667	626	518	133	0
Hsd17b1	425.666667	626	518	133	0
Coasy	425.666667	626	518	133	0
Nol3	425.333333	708	568	0	0
Psmd11	424.000000	739	381	152	0
Zfp36	415.333333	538	518	190	0
Fam168a	415.000000	776	308	161	0
Cbr3	415.000000	702	543	0	0
Plaur	414.666667	579	494	171	0
Kif2a	413.000000	721	518	0	0
Mt3	408.000000	656	452	116	0
Psmc3	406.666667	677	543	0	0
Dgkz	406.333333	651	568	0	0
H2-DMa	400.333333	555	341	305	0
Brd2	400.333333	555	341	305	0
Arl2	395.333333	776	410	0	0
Gstm3	392.333333	597	580	0	0
Pfn2	389.000000	637	530	0	0
Psma5	385.000000	732	423	0	0
Itga2b	384.000000	683	469	0	0
Defb45	384.000000	777	375	0	0
Defb36	384.000000	777	375	0	0
Psmb7	382.333333	690	457	0	0
Pla2g6	378.333333	586	549	0	0
Psmb2	378.000000	541	593	0	0
D630003M21Rik	372.333333	719	255	143	0
Impact	371.333333	647	280	187	0
Tnfrsf1a	368.333333	562	543	0	0
Pak6	367.333333	633	469	0	0
Gm36028	367.333333	692	410	0	0
Sspn	366.333333	202	565	332	0
Slc11a1	366.333333	605	494	0	0
Eif3d	364.333333	622	471	0	0
Fmn1	360.666667	695	387	0	0
Flywch1	359.000000	631	330	116	0
Bnipl	356.333333	575	494	0	0
Taldo1	355.666667	482	375	210	0
Prl2c4	355.666667	672	395	0	0
Prl2c3	355.666667	672	395	0	0
Tmem205	353.000000	602	341	116	0
Hsp90ab1	353.000000	541	518	0	0
Ccdc159	353.000000	602	341	116	0
Tsr2	351.000000	678	375	0	0
Ankrd55	350.000000	720	330	0	0
Ywhag	349.333333	684	364	0	0
C2cd4c	349.333333	518	530	0	0
Gtf3c4	347.666667	615	276	152	0
Ddx31	347.666667	615	276	152	0
Ntn5	344.000000	657	375	0	0
H1f8	344.000000	599	433	0	0
Fam219a	342.000000	581	445	0	0
Dnaic1	342.000000	581	445	0	0
Htatip2	340.666667	523	499	0	0
Slc2a1	338.666667	641	375	0	0
Zfand5	334.000000	683	319	0	0
Tbcel	329.666667	659	330	0	0
Map2k7	329.333333	470	518	0	0
Gm3776	328.333333	536	449	0	0
Psmd6	325.000000	565	410	0	0
Lrrc49	325.000000	522	453	0	0
Sytl3	317.666667	617	336	0	0
Acyp2	317.000000	501	450	0	0
Calr3	315.333333	408	538	0	0
Srrm2	312.666667	586	352	0	0
Fkbpl	312.666667	563	375	0	0
Clcf1	312.666667	597	341	0	0
Atf6b	312.666667	563	375	0	0
Taf7	312.333333	468	469	0	0
Esyt1	311.000000	558	375	0	0
Psmd5	310.666667	389	353	190	0
Cutal	310.666667	389	353	190	0
Dnaja2	310.333333	521	410	0	0
Cltc	310.000000	625	305	0	0
Rabggtb	309.333333	506	422	0	0
Larp4	309.000000	608	319	0	0
Ikbkg	309.000000	433	494	0	0
G6pdx	309.000000	433	494	0	0
Gsta2	306.000000	684	234	0	0
Naa25	304.666667	550	364	0	0
Fetub	304.000000	618	294	0	0
Armc7	301.000000	550	353	0	0
Usp5	298.666667	454	442	0	0
Cdca3	298.666667	454	442	0	0
Hspe1	298.333333	608	287	0	0
Hspd1	298.333333	608	287	0	0
Gsta1	297.333333	573	319	0	0
Ino80	296.666667	468	422	0	0
Gins1	293.333333	423	457	0	0
Akr1b3	293.000000	560	319	0	0
C77080	289.666667	694	175	0	0
Atox1	288.333333	524	341	0	0
Zfand2a	285.666667	470	387	0	0
Ptpa	284.666667	524	330	0	0
Crat	284.666667	524	330	0	0
Togaram2	284.333333	512	341	0	0
Pde4a	284.333333	566	287	0	0
Snrnp70	284.000000	477	375	0	0
Lpin3	283.666667	510	341	0	0
Numbl	283.000000	508	341	0	0
Tcp10c	281.666667	375	318	152	0
Usp14	280.000000	442	398	0	0
Rusc2	277.333333	468	364	0	0
Dnmt3l	277.000000	501	330	0	0
Psmc6	275.333333	561	265	0	0
Ccl1	274.000000	557	265	0	0
Ncor2	273.666667	545	276	0	0
Apon	271.666667	539	276	0	0
Faf1	271.000000	579	234	0	0
Hspa4	268.666667	509	297	0	0
Tcp10b	263.000000	483	306	0	0
Gpr31b	263.000000	483	306	0	0
Ttll12	261.000000	518	265	0	0
Maz	259.666667	345	434	0	0
Tspo	259.333333	414	364	0	0
Surf4	259.000000	413	364	0	0
Stkld1	259.000000	413	364	0	0
Tmem209	258.333333	356	276	143	0
Ssmem1	258.333333	356	276	143	0
Sirt7	257.666667	773	0	0	0
Pafah2	255.333333	479	287	0	0
Psma4	254.666667	477	287	0	0
Npcd	254.666667	519	245	0	0
Cbx6	254.666667	519	245	0	0
AY074887	254.666667	477	287	0	0
Zranb2	254.000000	404	358	0	0
Pim3	252.666667	339	419	0	0
Ppfibp2	252.333333	470	287	0	0
Gsr	252.000000	448	308	0	0
Lctl	251.333333	379	375	0	0
Upf3a	251.000000	445	308	0	0
Zfp874b	250.666667	476	276	0	0
Clec2i	248.666667	345	401	0	0
BC035044	248.666667	345	401	0	0
Psmb5	248.333333	363	382	0	0
Abcf3	248.333333	458	287	0	0
Prr13	247.000000	382	359	0	0
Smc3	246.666667	443	297	0	0
Hoatz	245.333333	522	214	0	0
Aldh1l2	245.333333	522	214	0	0
Sod2	243.666667	333	398	0	0
Guca2b	242.666667	553	175	0	0
