Target_genes	Nfil3|Average	SRX11995968|Heart	SRX11995969|Heart	SRX11995970|Heart	SRX11995971|Heart	SRX11995972|Heart	SRX11995973|Heart	SRX11995974|Heart	SRX11995975|Heart	SRX11995976|Heart	SRX11995977|Heart	SRX11995978|Heart	SRX10820639|Hematopoietic_progenitors	DRX178623|Liver	DRX178625|Liver	DRX178631|Liver	DRX178633|Liver	SRX655369|Liver	SRX8376387|Liver	SRX8376388|Liver	SRX11972855|RAW_264.7	SRX11972856|RAW_264.7	STRING
Brox	776.333333	0	590	266	581	0	221	0	0	0	305	0	1712	948	1249	408	1823	1891	823	656	2659	2171	0
Aida	776.333333	0	590	266	581	0	221	0	0	0	305	0	1712	948	1249	408	1823	1891	823	656	2659	2171	0
Cldn34d	746.571429	206	755	221	364	0	261	0	238	0	223	270	1480	920	1211	420	1204	1960	1391	1136	1848	1570	0
Tmem125	624.761905	279	1294	460	918	223	518	284	450	414	300	489	623	845	1678	278	1430	952	303	360	644	378	0
Naa60	519.666667	0	0	0	371	0	0	0	0	0	0	141	1002	2089	3497	0	314	488	0	0	1819	1192	0
Adnp	518.571429	0	0	0	65	0	0	0	0	0	0	0	1183	1916	3638	0	247	374	0	0	2104	1363	0
Sec62	518.428571	0	0	0	0	0	0	0	0	0	0	147	1104	1976	3432	0	220	267	0	0	2108	1633	0
Wee1	507.904762	0	0	0	232	0	155	0	0	0	0	0	425	2486	3407	104	308	1321	0	0	1128	1100	0
Baz1b	503.000000	0	0	0	240	72	0	0	0	0	0	0	1138	1724	3108	0	232	1580	0	0	1561	908	0
Irf2bp1	499.428571	0	0	0	314	197	179	0	0	0	0	201	1550	293	1961	0	0	1099	0	0	2473	2221	0
Coq10b	443.333333	0	0	0	152	0	125	0	0	0	0	0	664	1745	3154	0	0	1115	0	0	1323	1032	0
Nfe2	420.285714	0	0	0	0	0	0	0	0	0	0	0	895	1344	3281	0	201	1199	86	0	1023	797	0
Per3	409.571429	0	0	0	0	0	0	0	0	0	0	0	1600	1305	2612	0	105	201	0	0	1726	1052	0
Herpud1	367.095238	0	0	0	148	0	0	0	0	0	0	0	1060	1017	2528	0	140	1303	0	0	963	550	0
Sumo2	360.809524	0	0	0	0	0	0	0	0	0	0	0	1299	423	1521	0	0	0	0	0	2455	1879	0
Tcstv3	354.333333	0	731	290	0	0	315	0	315	0	249	151	1715	186	797	131	455	2106	0	0	0	0	0
Aktip	343.904762	0	0	0	0	0	0	0	0	0	0	0	1026	1032	3517	0	99	406	0	0	703	439	0
Zfp706	342.142857	0	0	0	0	0	0	0	0	0	0	0	1492	1110	3104	0	0	0	0	0	962	517	0
Oplah	339.523810	0	0	0	66	0	0	0	0	0	0	0	0	1740	3532	0	0	1792	0	0	0	0	0
Lonrf1	338.142857	0	0	0	93	0	0	0	0	0	0	0	1068	673	3365	0	0	544	0	0	786	572	0
Fam76a	335.523810	0	0	0	0	0	0	0	0	0	0	0	1561	1162	3546	0	0	0	0	0	498	279	0
Nr1d1	331.142857	0	202	0	122	0	0	0	0	0	0	0	963	823	2988	0	0	205	0	0	905	746	0
Per1	330.285714	0	0	0	102	0	0	0	0	0	0	0	1017	1234	3163	0	0	345	0	0	615	460	0
Arid2	328.095238	0	0	0	302	186	134	0	0	128	0	265	794	449	1584	0	0	1260	0	0	1096	692	0
Smim10l1	324.333333	0	0	0	0	0	139	0	0	0	0	0	671	377	1059	0	82	1531	0	0	1592	1360	0
Hjurp	324.142857	0	0	0	0	0	0	0	0	0	0	0	941	1034	2336	0	938	974	119	0	265	200	0
A730008H23Rik	324.142857	0	0	0	0	0	0	0	0	0	0	0	941	1034	2336	0	938	974	119	0	265	200	0
Ddx42	276.809524	0	0	0	0	0	0	0	0	0	0	0	1261	453	2362	0	129	649	0	0	621	338	0
Ccdc47	276.809524	0	0	0	0	0	0	0	0	0	0	0	1261	453	2362	0	129	649	0	0	621	338	0
Kpna1	276.523810	0	0	0	0	0	0	0	0	0	0	0	614	0	468	0	720	1061	914	397	798	835	0
Tgfbr2	265.047619	0	0	0	0	0	0	0	0	0	0	0	447	1123	431	0	0	1780	0	0	924	861	0
Rabl6	264.285714	0	0	0	159	0	0	0	0	0	0	0	175	335	2575	0	0	183	0	0	1273	850	0
Pogz	261.714286	0	0	0	230	0	0	0	0	0	0	0	424	90	1085	0	0	627	0	0	1661	1379	0
Kdm6b	255.619048	0	0	0	253	0	0	0	0	0	0	0	272	886	1425	0	0	783	0	0	899	850	0
Gdf15	249.523810	0	0	0	0	0	0	0	0	0	0	0	98	1014	2525	0	1261	342	0	0	0	0	0
Sumo1	248.761905	0	0	0	0	0	0	0	0	0	0	0	256	334	1838	0	90	92	0	0	1536	1078	0
Tfeb	244.190476	0	0	0	0	0	0	0	0	0	0	0	0	767	1650	0	224	0	0	0	1474	1013	0
Abhd11	242.476190	0	0	0	94	0	94	0	0	0	0	0	933	362	1617	0	0	1101	0	0	580	311	0
Nr1d2	240.238095	0	0	0	0	0	0	0	0	0	0	0	1306	599	1859	0	0	117	0	0	662	502	0
Ahctf1	238.428571	0	0	0	0	0	0	0	0	0	0	0	338	411	1544	0	121	521	0	0	1322	750	0
Ddx5	235.904762	0	0	0	0	0	0	0	0	0	0	76	595	608	1658	0	97	383	0	0	900	637	0
Cep95	235.904762	0	0	0	0	0	0	0	0	0	0	76	595	608	1658	0	97	383	0	0	900	637	0
Rabggta	235.666667	0	0	0	0	0	0	0	0	0	0	0	1166	892	491	0	0	1436	0	0	659	305	0
Stk35	234.142857	0	0	0	0	0	0	0	0	0	0	0	355	752	2479	0	104	596	0	0	373	258	0
Tchhl1	233.047619	0	0	0	0	0	0	0	0	0	0	0	0	1746	1046	0	0	1962	0	0	0	140	0
Nfil3	231.904762	0	0	0	241	140	0	0	0	0	0	87	285	318	1764	0	113	966	0	0	624	332	0
Tef	231.666667	0	0	0	0	0	0	0	0	0	0	0	480	532	2391	0	132	499	0	0	530	301	0
Igsf8	228.904762	0	0	0	0	0	0	0	0	0	0	0	283	192	1224	0	125	340	0	0	1548	1095	0
Asmt	224.714286	0	0	0	0	0	0	0	0	0	0	0	531	353	443	152	1045	958	501	213	274	249	0
Oasl1	222.285714	0	0	0	0	0	0	0	0	0	0	0	374	433	473	528	366	799	484	406	461	344	0
Gtpbp4	215.952381	0	0	0	0	0	0	0	0	0	0	0	884	398	2420	0	266	169	0	0	203	195	0
D5Ertd579e	214.095238	0	0	0	0	0	0	0	0	0	0	0	912	692	2202	0	0	287	0	0	203	200	0
Plcb1	213.761905	0	0	0	0	0	0	0	0	0	0	0	215	908	2774	0	420	172	0	0	0	0	0
AW549877	212.285714	0	0	0	0	0	0	0	0	0	0	0	868	281	2644	0	129	214	0	0	136	186	0
Paqr7	212.000000	0	0	0	0	0	0	0	0	0	0	0	586	425	2175	0	185	307	0	0	466	308	0
Il31ra	211.761905	0	0	0	0	0	0	0	0	0	0	0	444	0	0	0	750	995	778	244	578	658	0
Ccni	208.857143	0	0	0	236	0	0	0	0	0	0	69	898	356	1589	0	155	517	0	0	273	293	0
2010109A12Rik	208.857143	0	0	0	236	0	0	0	0	0	0	69	898	356	1589	0	155	517	0	0	273	293	0
Yif1b	206.476190	0	0	0	0	0	0	0	0	0	0	0	1087	551	2220	0	0	478	0	0	0	0	0
Zfp788	206.428571	0	0	0	0	0	0	0	0	0	0	0	472	435	1900	0	357	314	0	0	347	510	0
Kif13a	205.190476	0	0	0	129	0	0	0	0	0	0	0	376	589	1621	0	116	772	0	0	396	310	0
Usp2	204.333333	0	0	0	0	0	0	0	0	0	0	0	240	618	1949	0	224	859	0	0	231	170	0
Map4	200.095238	0	0	0	0	0	0	0	0	0	0	0	709	413	1782	0	156	0	0	0	630	512	0
