Target_genes	Nfix|Average	SRX7895562|Cerebellum_neural_progenitors	SRX7895563|Cerebellum_neural_progenitors	SRX10118211|HPC5	SRX10118213|HPC5	SRX10118215|HPC5	SRX10118216|HPC5	STRING
Bahcc1	1548.000000	1454	1984	2578	2489	783	0	0
Tef	1312.000000	966	1509	2914	2483	0	0	0
Tcstv3	1273.833333	1053	760	1561	1432	1697	1140	0
Brox	1267.500000	290	263	2116	1871	2378	687	0
Aida	1267.500000	290	263	2116	1871	2378	687	0
Hjurp	1241.500000	738	1204	2596	2699	212	0	0
A730008H23Rik	1241.500000	738	1204	2596	2699	212	0	0
Oasl1	1240.833333	603	905	2575	2267	456	639	0
Scml4	1066.666667	1166	1489	1910	1835	0	0	0
Cldn34d	1066.000000	377	404	1675	1291	1678	971	0
Dohh	948.500000	156	0	2946	2385	204	0	0
Zfp933	918.333333	413	865	2535	1697	0	0	0
Mrps23	915.833333	0	934	2603	1958	0	0	0
Fzr1	914.500000	156	0	2946	2385	0	0	0
Lhpp	896.333333	503	730	1972	2063	110	0	0
Kpna1	813.000000	503	392	1044	938	1023	978	0
Nfia	808.333333	394	838	1921	1697	0	0	0
Il31ra	775.666667	180	254	1003	1068	926	1223	0
Tspan3	744.000000	509	872	1911	1172	0	0	0
Pknox1	736.500000	0	132	1444	1084	1540	219	0
Dynll1	723.666667	0	0	2349	426	1280	287	0
Slc35b4	703.833333	362	618	1690	1553	0	0	0
Cd302	695.666667	272	637	1778	1487	0	0	0
Crlf3	646.833333	113	246	2182	1340	0	0	0
Scrn3	626.500000	290	671	1580	1218	0	0	0
Cir1	626.500000	290	671	1580	1218	0	0	0
Asmt	612.000000	226	170	672	705	1072	827	0
Eef2	606.666667	378	568	1590	956	148	0	0
Plscr2	599.333333	286	442	1522	1346	0	0	0
Vim	598.500000	286	423	1863	1019	0	0	0
Tmem125	593.666667	166	239	848	647	1146	516	0
Kat2b	592.000000	298	521	1772	961	0	0	0
Wdr13	572.833333	221	204	1676	1336	0	0	0
Pgp	571.000000	397	675	1512	742	100	0	0
Bricd5	571.000000	397	675	1512	742	100	0	0
Tsc22d4	567.833333	509	705	1444	644	105	0	0
Nyap1	550.333333	509	705	1444	644	0	0	0
Kmt2a	543.833333	179	450	2335	0	299	0	0
Cldn12	540.500000	408	531	1455	849	0	0	0
Ncaph	535.333333	139	521	1599	953	0	0	0
Selenos	527.666667	292	366	1289	1219	0	0	0
Mest	527.000000	302	475	1304	1081	0	0	0
Cltc	525.500000	300	409	1182	1262	0	0	0
Pebp1	514.833333	364	499	1042	1184	0	0	0
Arrdc3	505.500000	0	0	1687	271	969	106	0
Ptbp1	502.333333	0	241	1489	1176	108	0	0
H2-DMa	496.666667	0	354	942	653	911	120	0
Brd2	496.666667	0	354	942	653	911	120	0
Gsdmd	496.166667	200	294	1518	965	0	0	0
Kdm1a	492.666667	505	647	1061	743	0	0	0
Ift88	491.000000	292	671	764	1136	83	0	0
Sspn	487.833333	192	118	884	411	663	659	0
Vwa7	464.833333	697	1144	517	431	0	0	0
Rsrp1	462.000000	0	0	927	528	1183	134	0
Snrnp35	461.000000	219	690	1174	683	0	0	0
Rilpl2	461.000000	219	690	1174	683	0	0	0
Tpst1	459.500000	118	276	1055	1181	127	0	0
Akirin1	448.166667	216	546	1201	726	0	0	0
Angptl7	446.333333	796	1161	383	338	0	0	0
Gstm7	444.166667	846	1194	352	273	0	0	0
Sdhaf1	442.000000	107	200	1165	1180	0	0	0
Il12b	441.333333	819	1390	198	241	0	0	0
Hk1	439.000000	260	467	1276	631	0	0	0
Lmna	434.500000	222	480	1218	687	0	0	0
Got2	426.666667	132	377	1155	792	104	0	0
Syne4	420.166667	0	176	1165	1180	0	0	0
Zfp120	418.500000	267	405	1156	683	0	0	0
Myd88	413.000000	137	368	1358	615	0	0	0
Acaa1a	413.000000	137	368	1358	615	0	0	0
Muc20	412.166667	336	468	949	720	0	0	0
Ankrd13b	407.166667	192	286	1211	754	0	0	0
Arid3b	406.000000	308	351	1057	720	0	0	0
Bod1l	400.833333	0	146	1403	773	83	0	0
Arhgap40	397.500000	0	134	1217	1034	0	0	0
Ttyh3	396.333333	395	440	875	668	0	0	0
Mbd4	391.666667	243	318	804	985	0	0	0
Ift122	391.666667	243	318	804	985	0	0	0
Gm51425	391.000000	0	259	1114	769	204	0	0
Cs	380.000000	196	222	1240	622	0	0	0
Arhgef37	378.333333	218	343	844	865	0	0	0
Wiz	373.500000	726	1058	245	212	0	0	0
Adora2b	372.333333	221	248	1104	661	0	0	0
Bloc1s1	359.000000	408	603	423	530	190	0	0
Tmigd1	358.333333	0	0	1288	862	0	0	0
Il1r1	358.166667	0	286	1249	614	0	0	0
Macrod1	354.500000	0	91	1212	716	108	0	0
Zfp36l2	352.833333	0	0	661	409	911	136	0
Abca7	350.666667	0	0	1457	647	0	0	0
Itm2b	349.833333	284	406	896	513	0	0	0
Dchs2	347.500000	194	221	368	386	262	654	0
Zbtb46	341.000000	616	1430	0	0	0	0	0
Sfswap	340.166667	347	795	694	205	0	0	0
Pik3r3	338.500000	118	335	1018	560	0	0	0
Tns1	336.333333	257	244	950	567	0	0	0
Rufy4	336.333333	257	244	950	567	0	0	0
Hnrnpa0	334.333333	0	233	494	352	830	97	0
Glyctk	329.000000	164	384	1041	385	0	0	0
Ptprj	327.500000	0	0	1240	725	0	0	0
Nptx1	327.333333	294	231	725	714	0	0	0
Secisbp2	327.166667	0	139	699	315	690	120	0
Rbm15b	326.000000	158	399	885	514	0	0	0
Manf	326.000000	158	399	885	514	0	0	0
