Target_genes	Nfkb1|Average	SRX122534|Dendritic_Cells	SRX122535|Dendritic_Cells	SRX122536|Dendritic_Cells	SRX122537|Dendritic_Cells	SRX122538|Dendritic_Cells	SRX122539|Dendritic_Cells	SRX122540|Dendritic_Cells	SRX122541|Dendritic_Cells	SRX122542|Dendritic_Cells	SRX122543|Dendritic_Cells	SRX450298|Macrophages	SRX450299|Macrophages	SRX450300|Macrophages	SRX450301|Macrophages	SRX450302|Macrophages	SRX450303|Macrophages	SRX450304|Macrophages	SRX7618597|Macrophages	STRING
Tcstv3	942.000000	1066	1157	454	0	790	653	1180	893	729	762	1460	828	975	1569	1535	573	455	1877	0
Wwox	365.611111	0	0	0	0	0	0	0	0	0	0	703	1022	1186	1004	954	892	681	139	0
Olfr806	348.055556	0	0	149	0	0	0	0	0	0	0	773	962	1098	891	973	757	662	0	0
Abhd6	319.666667	0	0	219	0	0	0	0	0	0	0	829	938	945	831	749	598	645	0	0
Esr1	302.222222	0	0	0	0	0	0	0	0	0	0	680	736	834	745	709	880	856	0	0
Slc30a3	266.444444	0	0	0	0	0	0	0	0	0	0	403	245	469	471	545	106	0	2557	0
Spata13	230.500000	0	0	0	0	0	0	0	0	0	0	299	223	202	265	323	87	0	2750	0
Fbrs	224.444444	0	0	0	0	0	0	0	0	0	0	323	241	356	352	521	0	0	2247	0
Tent5c	221.333333	0	0	0	0	0	0	0	0	0	0	428	578	673	501	600	581	528	95	0
Hpn	219.500000	0	0	0	0	0	0	0	0	0	0	167	141	234	225	287	142	0	2755	0
Kcnn1	217.500000	0	0	0	0	0	0	0	0	0	0	317	173	299	326	380	0	0	2420	0
Sbno2	214.722222	0	0	0	0	0	0	0	0	0	0	225	367	414	265	320	647	402	1225	0
Slc6a12	203.333333	0	0	0	0	0	0	0	0	0	0	331	199	202	248	227	0	0	2453	0
Tefm	195.222222	0	0	0	0	0	0	0	0	0	0	237	154	317	214	266	0	0	2326	0
Cldn34d	186.944444	226	182	270	160	218	0	215	312	320	329	0	0	0	0	100	0	0	1033	0
Asb2	185.666667	0	0	0	0	0	0	0	0	0	0	140	184	189	283	224	82	0	2240	0
Gcgr	183.777778	0	0	0	0	0	0	0	0	0	0	339	545	455	316	417	695	541	0	0
Gpbp1	182.111111	0	0	0	0	0	0	0	0	0	0	255	164	269	190	370	119	0	1911	0
Wrap53	177.500000	0	0	0	0	0	0	0	0	0	0	231	266	300	345	190	88	0	1775	0
