Target_genes	Nfya|Average	SRX12799800|Acute_myeloid_leukemia	SRX12799801|Acute_myeloid_leukemia	SRX032472|ES_cells	SRX032473|ES_cells	SRX518333|ES_cells	SRX032482|mESC_derived_neural_cells	SRX032483|mESC_derived_neural_cells	SRX032491|Neurons	SRX032492|Neurons	STRING
Gm5165	1009.777778	143	1300	152	873	4053	465	177	1117	808	0
3110082I17Rik	973.666667	1202	2088	130	631	2093	513	111	1050	945	0
Gatad2a	963.000000	1445	2126	155	400	3097	149	0	761	534	0
Gm51425	939.111111	0	1348	161	620	3917	446	91	1070	799	0
Tepsin	917.333333	1210	2261	0	647	2528	477	122	682	329	0
Ndufaf8	917.333333	1210	2261	0	647	2528	477	122	682	329	0
Abhd2	907.555556	988	2393	93	435	2896	181	83	682	417	0
Prkaca	905.666667	1571	2721	83	443	1892	271	99	708	363	0
Sharpin	905.222222	926	2061	217	601	2876	404	95	514	453	0
Maf1	905.222222	926	2061	217	601	2876	404	95	514	453	0
Gm35339	905.222222	926	2061	217	601	2876	404	95	514	453	0
Hspa5	869.111111	1673	2705	0	212	2091	184	0	588	369	0
Arrdc4	867.111111	1279	2402	154	243	2450	216	0	629	431	0
Canx	866.222222	1435	2581	103	316	2161	166	0	668	366	0
Ankrd54	851.888889	636	2239	127	499	2791	314	107	553	401	0
Ube2c	839.333333	1358	2356	0	277	2326	233	95	510	399	0
Jpt2	835.666667	1451	2211	0	274	2544	130	0	544	367	0
Flad1	834.222222	426	1892	137	495	2521	466	132	805	634	0
Zswim4	830.888889	840	2387	87	356	2510	177	0	623	498	0
Osbp	828.333333	883	2359	106	277	2619	214	105	527	365	0
Rab5b	825.222222	632	2000	94	442	2916	296	81	560	406	0
G3bp1	824.333333	670	1985	0	420	2851	272	116	556	549	0
Hnrnpc	820.777778	490	2455	0	368	2802	200	77	584	411	0
Glrx5	812.666667	1095	2041	0	223	2785	189	0	518	463	0
Rfx1	810.888889	756	1358	104	575	2913	408	144	553	487	0
Traf2	807.666667	1348	2047	0	244	2374	353	0	448	455	0
Dnm2	801.000000	823	1821	69	604	2286	319	0	654	633	0
Atp5b	797.666667	807	2311	0	288	2598	248	114	513	300	0
Mis12	791.555556	1315	2320	0	403	2039	130	0	558	359	0
Derl2	791.555556	1315	2320	0	403	2039	130	0	558	359	0
Eif2ak3	790.444444	809	2427	101	227	2483	202	0	527	338	0
Ppwd1	777.333333	1836	2184	0	185	734	431	109	946	571	0
