Target_genes	Nfyc|Average	SRX22006953|Embryonic_brains	SRX518335|ES_cells	STRING
Tepsin	1859.500000	159	3560	0
Ndufaf8	1859.500000	159	3560	0
Arrdc4	1632.500000	446	2819	0
Tcstv3	1625.500000	1374	1877	0
Fam83d	1574.500000	0	3149	0
Ap3m2	1554.000000	96	3012	0
Sharpin	1502.000000	0	3004	0
Maf1	1502.000000	0	3004	0
Gm35339	1502.000000	0	3004	0
Gm5165	1499.500000	0	2999	0
Fdft1	1485.500000	164	2807	0
Arid4a	1471.500000	252	2691	0
Iffo1	1410.000000	0	2820	0
Tnrc6b	1396.500000	163	2630	0
Ube2c	1356.000000	134	2578	0
Paip2b	1350.500000	0	2701	0
Nucb2	1335.000000	0	2670	0
Dolpp1	1330.000000	176	2484	0
Ankrd54	1322.500000	176	2469	0
Gm51425	1316.500000	0	2633	0
Maea	1295.500000	0	2591	0
Cnot1	1276.500000	190	2363	0
Cldn34d	1274.500000	1512	1037	0
Vps26b	1256.000000	0	2512	0
Ncapd3	1256.000000	0	2512	0
Prkaca	1241.000000	207	2275	0
Ptbp1	1226.000000	0	2452	0
Hnrnpc	1225.000000	0	2450	0
Mxd4	1212.500000	0	2425	0
Gatad2a	1211.000000	0	2422	0
Zswim3	1207.500000	0	2415	0
Acot8	1207.500000	0	2415	0
Brox	1203.000000	1653	753	0
Aida	1203.000000	1653	753	0
Jpt2	1202.500000	0	2405	0
Glrx5	1191.000000	0	2382	0
Aktip	1189.500000	0	2379	0
Zfp960	1184.500000	0	2369	0
Srf	1179.000000	657	1701	0
Klf10	1179.000000	222	2136	0
Traf2	1173.500000	0	2347	0
Cyp2u1	1165.500000	0	2331	0
Atp5g1	1138.500000	0	2277	0
H3c4	1129.500000	0	2259	0
H2bc8	1129.500000	0	2259	0
H2bc7	1129.500000	0	2259	0
H2ac8	1129.500000	0	2259	0
H2ac7	1129.500000	0	2259	0
G3bp1	1125.500000	0	2251	0
Sp1	1121.500000	0	2243	0
3110082I17Rik	1111.000000	0	2222	0
Tsacc	1095.500000	0	2191	0
Cct3	1095.500000	0	2191	0
Rrbp1	1093.500000	342	1845	0
H2ax	1090.500000	0	2181	0
Wdr62	1077.500000	166	1989	0
Cnot3	1077.000000	0	2154	0
Frem2	1067.000000	0	2134	0
Supt6	1066.500000	0	2133	0
Sdf2	1066.500000	0	2133	0
Hmgcs1	1065.000000	0	2130	0
Tesk2	1062.000000	0	2124	0
Ift140	1060.000000	0	2120	0
Cramp1l	1060.000000	0	2120	0
Tigd3	1058.000000	0	2116	0
Stip1	1055.500000	0	2111	0
Zfp143	1052.000000	0	2104	0
Rab11b	1038.500000	0	2077	0
Tdrkh	1037.000000	0	2074	0
Opa3	1037.000000	360	1714	0
Kri1	1037.000000	0	2074	0
Cdkn2d	1037.000000	0	2074	0
Jpt1	1030.500000	0	2061	0
Elavl2	1016.500000	0	2033	0
Tom1	1009.000000	0	2018	0
Rfx1	1007.000000	169	1845	0
Gm20346	1005.500000	0	2011	0
Anp32a	1005.500000	0	2011	0
Sufu	989.500000	0	1979	0
Actr1a	989.500000	0	1979	0
Rpn2	987.500000	0	1975	0
Mroh8	987.500000	0	1975	0
Top2a	987.000000	500	1474	0
H4c18	970.000000	0	1940	0
H4bc24	970.000000	0	1940	0
H2bc23	970.000000	0	1940	0
H2ac24	970.000000	0	1940	0
H2ac23	970.000000	0	1940	0
Ncapd2	966.500000	0	1933	0
Mrpl51	966.500000	0	1933	0
Pitpnm1	964.000000	0	1928	0
Cdk2ap2	964.000000	0	1928	0
Wasf2	963.500000	0	1927	0
H4c17	962.500000	0	1925	0
Samd4b	957.500000	0	1915	0
Gmfg	957.500000	0	1915	0
Dnaaf3	957.500000	0	1915	0
Txnip	950.000000	201	1699	0
Aph1c	946.500000	0	1893	0
Traf7	945.500000	0	1891	0
Ska2	932.000000	175	1689	0
Prr11	932.000000	175	1689	0
Ensa	922.000000	0	1844	0
Rbm27	918.500000	0	1837	0
H4c1	914.500000	0	1829	0
H3c1	914.500000	0	1829	0
H1f1	914.500000	0	1829	0
Sp2	913.000000	0	1826	0
Myh10	913.000000	0	1826	0
Znrf4	905.500000	0	1811	0
Copz1	902.500000	303	1502	0
Ttbk2	888.500000	0	1777	0
Mpzl1	888.500000	0	1777	0
Hspa5	884.000000	260	1508	0
Hnrnpl	881.000000	0	1762	0
Per1	878.500000	0	1757	0
Ivd	878.000000	0	1756	0
Polr3h	876.500000	0	1753	0
Lamtor4	864.000000	0	1728	0
Mcm5	860.500000	150	1571	0
Ankrd39	856.500000	0	1713	0
Rnf181	855.000000	0	1710	0
Os9	850.000000	0	1700	0
Prr12	849.000000	0	1698	0
Actn1	848.000000	0	1696	0
Kmt5a	847.500000	0	1695	0
Atp5b	847.500000	0	1695	0
Rnf5	841.500000	0	1683	0
Agpat1	841.500000	0	1683	0
Pdp2	840.500000	0	1681	0
Mvk	836.000000	0	1672	0
Mmab	836.000000	0	1672	0
Arntl	834.500000	456	1213	0
Npc2	833.500000	0	1667	0
Isca2	833.500000	0	1667	0
Syvn1	832.500000	0	1665	0
Gtpbp3	826.500000	0	1653	0
Ano8	826.500000	0	1653	0
Srgap2	822.500000	122	1523	0
Fam72a	822.500000	122	1523	0
Dnm2	821.500000	0	1643	0
Get4	818.500000	0	1637	0
Zfp869	816.500000	107	1526	0
Ap2a1	816.000000	0	1632	0
Sarnp	815.500000	321	1310	0
Ormdl2	815.500000	321	1310	0
Cdk5rap3	813.000000	0	1626	0
Ciart	811.000000	291	1331	0
