Target_genes	Nr1d2|Average	SRX109462|Liver	SRX128174|Liver	SRX128175|Liver	SRX1161941|Th17_Cells	STRING
Tcstv3	1208.750000	1827	1739	381	888	0
Cpa4	730.750000	1647	1276	0	0	0
Smagp	697.250000	1245	1544	0	0	0
Lemd2	688.500000	0	2315	439	0	0
Txndc15	645.500000	720	1685	177	0	0
Spink10	630.000000	0	2223	297	0	0
Fbxo38	630.000000	0	2223	297	0	0
Cradd	597.500000	381	1657	352	0	0
Slmap	557.750000	138	1810	283	0	0
Usp31	543.500000	0	1823	351	0	0
Prkcsh	536.750000	0	1775	372	0	0
Ccdc151	536.750000	0	1775	372	0	0
Cldn34d	531.000000	1245	315	270	294	0
Slx4ip	512.000000	0	1764	284	0	0
Mkks	512.000000	0	1764	284	0	0
Atxn7l1	507.000000	1923	105	0	0	0
Cxxc1	493.500000	0	1763	211	0	0
Npas2	486.750000	228	1575	0	144	0
Rcc1l	486.000000	0	1706	238	0	0
Arsg	467.500000	1607	263	0	0	0
Slc26a8	454.750000	1681	138	0	0	0
Mapk14	454.750000	1681	138	0	0	0
Baiap2	453.250000	1519	294	0	0	0
Szrd1	453.000000	0	1550	262	0	0
Map1lc3b	446.250000	0	1629	156	0	0
Uqcrh	444.750000	0	1517	114	148	0
Lrrc41	444.750000	0	1517	114	148	0
Csad	442.500000	970	800	0	0	0
Brox	437.500000	1330	185	126	109	0
Aida	437.500000	1330	185	126	109	0
Farsa	430.500000	0	1572	150	0	0
Saa1	426.750000	1707	0	0	0	0
Pnpla6	425.250000	243	1326	132	0	0
Cdk5rap2	417.500000	0	1494	176	0	0
Mroh2a	416.250000	1504	161	0	0	0
Cacul1	416.250000	1453	212	0	0	0
Acsm1	413.500000	1414	240	0	0	0
Ugt1a1	408.000000	1432	200	0	0	0
Cdkn1a	402.750000	270	1341	0	0	0
Fam71e1	401.000000	983	621	0	0	0
Emc10	401.000000	983	621	0	0	0
Agpat2	390.250000	1250	311	0	0	0
Coq8a	388.750000	715	840	0	0	0
Trim2	383.250000	1411	122	0	0	0
Kat7	381.500000	0	1369	157	0	0
St6gal1	376.250000	1154	351	0	0	0
Supt5	375.750000	223	1173	107	0	0
Ptgds	370.000000	758	722	0	0	0
Serpina3m	369.250000	1222	255	0	0	0
Bhmt	368.250000	1162	311	0	0	0
Tpgs1	367.250000	0	1351	118	0	0
Madcam1	367.250000	0	1351	118	0	0
Knstrn	364.750000	0	1459	0	0	0
Slc4a4	363.000000	467	985	0	0	0
Nr0b2	361.000000	1091	353	0	0	0
Rab7	360.500000	0	1442	0	0	0
Cbs	359.500000	459	979	0	0	0
Ndrg3	358.750000	0	1207	228	0	0
Nnmt	356.000000	1424	0	0	0	0
Olfr806	354.750000	428	737	254	0	0
Apon	345.750000	1290	93	0	0	0
Aspscr1	345.250000	1381	0	0	0	0
Pxmp4	340.750000	891	472	0	0	0
Tubb2a	340.500000	308	1054	0	0	0
Frat1	338.750000	735	491	0	129	0
Tle3	336.750000	1258	89	0	0	0
Tchhl1	336.000000	1213	131	0	0	0
Acat3	335.500000	1123	219	0	0	0
Trak1	333.500000	1334	0	0	0	0
A630076J17Rik	331.000000	1152	172	0	0	0
Tor1a	328.500000	138	1176	0	0	0
Adra1b	328.500000	982	332	0	0	0
Abhd6	328.250000	424	504	385	0	0
Psmb5	327.250000	0	1075	234	0	0
Wwox	324.250000	352	589	356	0	0
Leo1	323.750000	392	903	0	0	0
Reep4	319.500000	403	875	0	0	0
Itih1	319.500000	746	532	0	0	0
Fga	318.500000	1062	212	0	0	0
Asmt	318.000000	476	345	154	297	0
Insig2	313.750000	799	456	0	0	0
Wfdc21	312.000000	1168	80	0	0	0
C3	310.750000	953	290	0	0	0
Lrrc8d	307.250000	900	329	0	0	0
AI661453	307.250000	1098	131	0	0	0
1700001C19Rik	307.250000	1098	131	0	0	0
Inhbe	306.500000	1044	182	0	0	0
Homer2	303.250000	1213	0	0	0	0
Olfr1036	302.000000	1208	0	0	0	0
Rnf141	300.750000	552	651	0	0	0
Mapk1ip1l	300.000000	1082	118	0	0	0
Rdh7	299.750000	989	210	0	0	0
Hacd2	299.750000	0	951	248	0	0
Tomm40l	299.000000	173	1023	0	0	0
Apoa2	299.000000	173	1023	0	0	0
Cyp2d9	295.250000	1086	95	0	0	0
Arntl	295.000000	182	998	0	0	505
Lipc	294.500000	715	463	0	0	0
Foxo3	292.250000	1169	0	0	0	0
Atg7	292.000000	1168	0	0	0	0
Ski	289.000000	1016	140	0	0	0
Lmbr1l	289.000000	1156	0	0	0	0
Exosc2	288.000000	0	1015	137	0	0
Creld2	286.500000	0	982	164	0	0
Alg12	286.500000	0	982	164	0	0
Gm20594	285.500000	0	768	374	0	0
Otulin	282.000000	1128	0	0	0	0
Rwdd3	281.250000	968	157	0	0	0
Sec23ip	280.250000	0	969	152	0	0
Mcmbp	280.250000	0	969	152	0	0
Clock	280.000000	402	718	0	0	0
Haao	279.750000	930	189	0	0	0
Pon1	278.000000	632	480	0	0	0
Serpina3k	277.750000	1035	76	0	0	0
Mocs1	277.500000	1110	0	0	0	0
Fam222a	277.000000	660	448	0	0	0
Gpx7	276.750000	1107	0	0	0	0
Ormdl3	276.500000	526	580	0	0	0
Cyp2a22	276.000000	1104	0	0	0	0
Usf1	274.000000	0	923	173	0	0
Cuedc2	272.750000	0	1091	0	0	0
Saa3	272.000000	1003	85	0	0	0
Ccdc174	271.750000	0	984	103	0	0
Spop	271.000000	570	514	0	0	0
Plg	270.750000	840	243	0	0	0
Ces1e	269.000000	984	92	0	0	0
Plrg1	268.250000	943	130	0	0	0
Fgb	268.250000	943	130	0	0	0
Morf4l1	267.000000	0	881	187	0	0
Acnat2	266.500000	381	685	0	0	0
Arhgap24	263.750000	212	843	0	0	0
Grhpr	263.500000	739	315	0	0	0
Rnf217	263.250000	1053	0	0	0	0
G6pc	260.750000	585	458	0	0	0
S100a13	260.500000	175	786	81	0	0
S100a1	260.500000	175	786	81	0	0
Chtop	260.500000	175	786	81	0	0
Rassf5	259.000000	1036	0	0	0	0
Gbp10	257.250000	752	277	0	0	0
Rgl3	256.250000	1025	0	0	0	0
Ctcfl	255.250000	947	74	0	0	0
Lgalsl	254.250000	638	379	0	0	0
Leap2	254.000000	940	76	0	0	0
Tbc1d17	252.750000	0	871	140	0	0
Akt1s1	252.750000	0	871	140	0	0
Trf	252.500000	913	97	0	0	0
Khdc4	252.250000	0	886	123	0	0
Ndrg2	251.000000	876	128	0	0	0
Rps27rt	250.000000	0	1000	0	0	0
Rab13	250.000000	0	1000	0	0	0
Hjurp	249.750000	825	174	0	0	0
A730008H23Rik	249.750000	825	174	0	0	0
Igfbp4	249.500000	722	276	0	0	0
Sema4g	249.250000	997	0	0	0	0
Nup62	248.500000	284	710	0	0	0
Il4i1b	248.500000	284	710	0	0	0
Atf5	248.500000	284	710	0	0	0
Igfn1	248.000000	992	0	0	0	0
Ccdc124	248.000000	0	860	132	0	0
Osbpl9	247.500000	990	0	0	0	0
Stat2	247.250000	875	114	0	0	0
Apof	247.250000	875	114	0	0	0
Qsox1	247.000000	838	150	0	0	0
Gpd1	247.000000	988	0	0	0	0
Taar1	246.750000	829	158	0	0	0
Tmem125	245.500000	568	199	0	215	0
Cyp7a1	244.750000	749	230	0	0	0
Gtf3c6	243.750000	0	884	91	0	0
Rapgef1	243.500000	974	0	0	0	0
Cyp2d26	243.000000	788	184	0	0	0
Apoe	243.000000	695	277	0	0	0
Fst	242.750000	883	88	0	0	0
Mafg	241.750000	893	74	0	0	0
Bmp1	241.750000	778	189	0	0	0
Slc38a7	241.500000	876	90	0	0	0
Itih2	239.750000	726	233	0	0	0
Hacl1	239.750000	579	380	0	0	0
Btd	239.750000	579	380	0	0	0
Bdh1	239.750000	959	0	0	0	0
Chic2	237.500000	827	123	0	0	0
Ndufs2	236.250000	114	831	0	0	0
Cpt1a	236.250000	701	244	0	0	0
Adamts4	236.250000	114	831	0	0	0
Mustn1	235.250000	825	116	0	0	0
Tymp	235.000000	287	653	0	0	0
Sco2	235.000000	287	653	0	0	0
Odf3b	235.000000	287	653	0	0	0
Mug1	235.000000	706	234	0	0	0
Cep350	234.500000	0	805	133	0	0
Eef2	234.000000	753	183	0	0	0
Zfhx2	233.000000	932	0	0	0	0
Thtpa	233.000000	932	0	0	0	0
Slc35d1	231.250000	925	0	0	0	0
