Target_genes	Nr4a1|Average	SRX6927319|CD4+_T_cells	SRX868176|ES_cells	SRX868179|ES_cells	SRX3075749|Macrophages	SRX3075750|Macrophages	SRX3075751|Macrophages	SRX1077593|Treg	STRING
Tcstv3	857.571429	270	1261	1181	459	803	527	1502	0
Cpm	713.857143	0	309	496	495	2954	743	0	0
Cst3	608.000000	0	0	203	647	2570	836	0	0
Sema4d	599.000000	0	966	1041	225	1691	270	0	0
Ninj2	555.714286	0	763	530	303	1709	585	0	0
Dus2	530.142857	0	0	0	665	1963	1083	0	0
Ddx28	530.142857	0	0	0	665	1963	1083	0	0
Tmem144	527.285714	0	1053	1132	253	1037	216	0	0
Ubc	518.142857	0	111	73	589	1899	955	0	0
Brox	501.285714	352	377	360	815	528	260	817	0
Aida	501.285714	352	377	360	815	528	260	817	0
Dao	497.428571	0	0	0	387	2358	737	0	0
Sdhaf1	490.857143	0	221	0	532	1892	791	0	0
Guca2b	486.285714	0	1384	1256	0	635	129	0	0
Ikbke	480.571429	0	888	774	154	1314	234	0	0
Mars1	479.571429	0	346	415	293	1698	605	0	0
Dph5	467.857143	0	158	0	292	2180	645	0	0
Spire1	464.714286	0	1439	1349	0	465	0	0	0
Tpra1	463.000000	0	0	0	458	2387	396	0	0
Kat7	458.571429	0	0	0	451	2022	737	0	0
Tal2	453.857143	0	891	999	152	984	151	0	0
Ggnbp1	441.428571	0	516	566	236	1772	0	0	0
Bak1	441.428571	0	516	566	236	1772	0	0	0
Dennd2d	438.428571	0	608	676	215	1234	336	0	0
Nmnat3	436.857143	0	1275	1317	0	466	0	0	0
N4bp2l1	434.285714	0	0	0	493	1902	645	0	0
Csgalnact2	427.428571	0	0	156	476	1936	424	0	0
Mrpl52	419.428571	0	1329	1340	0	267	0	0	0
Rbm47	419.285714	0	1289	1369	0	277	0	0	0
Rbfox1	416.142857	0	1474	1374	0	65	0	0	0
Eif4g3	415.857143	0	0	0	351	2097	463	0	0
G0s2	415.142857	0	0	0	400	2005	501	0	401
Kin	415.142857	0	1365	1354	0	187	0	0	0
Atp5c1	415.142857	0	1365	1354	0	187	0	0	0
Arf2	413.857143	0	0	285	481	1778	353	0	0
Ccl5	411.285714	0	526	542	147	1323	341	0	0
Slc7a7	406.571429	0	1329	1340	0	177	0	0	0
Fam171b	405.142857	0	1461	1375	0	0	0	0	0
Ccdc181	403.714286	0	1283	1195	0	256	92	0	0
Adh4	402.571429	0	1474	1344	0	0	0	0	0
Nmt1	400.714286	0	908	997	0	761	139	0	0
Vmn2r4	400.428571	193	1338	1111	0	0	0	161	0
Dennd2c	399.571429	0	705	682	124	1144	142	0	0
Myo1c	399.428571	0	223	200	331	1697	345	0	0
Myf6	398.000000	0	1550	1236	0	0	0	0	0
Coro2a	397.857143	0	718	712	124	1009	222	0	0
Zfyve9	395.571429	0	1038	1196	0	318	0	217	0
Gpr37	394.285714	0	1376	1384	0	0	0	0	0
Mrps23	394.142857	0	258	249	290	1429	533	0	0
Itih1	393.857143	0	0	0	241	2005	511	0	0
Ice2	393.428571	0	1379	1282	0	93	0	0	0
Defb46	391.857143	0	1383	1360	0	0	0	0	0
Rassf3	391.000000	0	0	0	373	1857	507	0	0
Slc35a4	390.142857	0	0	0	293	2438	0	0	0
Apbb3	390.142857	0	0	0	293	2438	0	0	0
Mto1	389.571429	0	436	608	162	1288	233	0	0
Tmem198b	388.428571	0	1234	1186	0	299	0	0	0
Dnajc14	388.428571	0	1234	1186	0	299	0	0	0
Dhtkd1	387.714286	0	1365	1349	0	0	0	0	0
Lims1	382.571429	0	459	688	204	1012	315	0	0
Slc6a12	382.000000	0	0	0	256	1819	599	0	0
Mctp1	381.714286	0	686	720	0	1067	199	0	0
Herc3	381.000000	0	0	231	306	1725	405	0	0
Cfh	380.714286	0	1364	1301	0	0	0	0	0
