Target_genes	Ovol2|Average	SRX424872|HC11_Mammary_Epithelium	STRING
Ap1m1	3191.000000	3191	0
Vim	2841.000000	2841	0
Atp13a1	1879.000000	1879	0
Brox	1859.000000	1859	0
Aida	1859.000000	1859	0
Ovol2	1478.000000	1478	0
Zeb1	1342.000000	1342	0
Tspyl1	1287.000000	1287	0
Ppp1r12c	1213.000000	1213	0
Hjurp	1132.000000	1132	0
A730008H23Rik	1132.000000	1132	0
Pygo2	1113.000000	1113	0
Pbxip1	1113.000000	1113	0
Snai2	1101.000000	1101	0
Zcchc8	1084.000000	1084	0
Vmn2r102	1076.000000	1076	0
Slc9a5	1068.000000	1068	0
Fhod1	1068.000000	1068	0
Zfp128	1056.000000	1056	0
Sdccag8	1049.000000	1049	0
Cep170	1049.000000	1049	0
Tcstv3	1030.000000	1030	0
Gm9949	1015.000000	1015	0
Adrb2	1015.000000	1015	0
Tm4sf1	962.000000	962	0
Cldn34d	960.000000	960	0
Zbtb41	952.000000	952	0
Abca8b	941.000000	941	0
Phldb1	939.000000	939	0
Ovol1	937.000000	937	0
Id1	929.000000	929	0
Dennd5a	929.000000	929	0
Nectin3	917.000000	917	0
Dcxr	904.000000	904	0
Cbr2	904.000000	904	0
Med11	893.000000	893	0
Zfp1	819.000000	819	0
Soga1	815.000000	815	0
Ifnar2	811.000000	811	0
Zfp207	784.000000	784	0
5730455P16Rik	784.000000	784	0
Tnc	780.000000	780	0
Mphosph9	717.000000	717	0
2810006K23Rik	717.000000	717	0
Ipo9	712.000000	712	0
Ireb2	711.000000	711	0
Lix1l	706.000000	706	0
Ankrd34a	706.000000	706	0
Stk16	678.000000	678	0
Glb1l	678.000000	678	0
Mmachc	673.000000	673	0
Ccdc163	673.000000	673	0
Kctd7	665.000000	665	0
Erc1	657.000000	657	0
Maz	647.000000	647	0
P3h1	646.000000	646	0
AU022252	646.000000	646	0
Oasl1	644.000000	644	0
Rnf44	642.000000	642	0
Actg1	642.000000	642	0
Lgals1	634.000000	634	0
Myadm	626.000000	626	0
Gk5	615.000000	615	0
Nfatc2	607.000000	607	0
Katnal1	607.000000	607	0
Phip	604.000000	604	0
Ruvbl2	602.000000	602	0
Gys1	602.000000	602	0
Ing5	595.000000	595	0
Dtymk	595.000000	595	0
Timm9	594.000000	594	0
2700049A03Rik	594.000000	594	0
Scoc	592.000000	592	0
Heatr4	557.000000	557	0
Acot2	557.000000	557	0
Cx3cl1	551.000000	551	0
Tmem126a	544.000000	544	0
Mex3b	531.000000	531	0
Snx1	529.000000	529	0
Ciao2a	529.000000	529	0
Slc29a1	526.000000	526	0
Lrrc8a	522.000000	522	0
Fam185a	521.000000	521	0
Ccdc146	521.000000	521	0
Spg20	518.000000	518	0
Vtn	516.000000	516	0
Sarm1	516.000000	516	0
Emp3	511.000000	511	0
Ccdc114	511.000000	511	0
Rab30	510.000000	510	0
1810055G02Rik	504.000000	504	0
Ppp1r3f	503.000000	503	0
Mtmr2	493.000000	493	0
Commd4	493.000000	493	0
Ppp1r35	492.000000	492	0
Zfp775	487.000000	487	0
Sowahc	474.000000	474	0
Septin10	474.000000	474	0
