Target_genes	Patz1|Average	SRX20088451|ES_cells	SRX20088452|ES_cells	SRX20088453|ES_cells	SRX20088454|ES_cells	STRING
Gabpb2	1077.000000	2277	2031	0	0	0
Cldn34d	1022.250000	1414	1265	761	649	0
Tcstv3	993.250000	1322	952	933	766	0
Tmem181a	977.000000	2013	1895	0	0	0
Dclre1b	924.250000	2068	1629	0	0	0
Ap4b1	924.250000	2068	1629	0	0	0
Adnp	738.250000	1629	1324	0	0	0
Nme1	594.000000	1235	1141	0	0	0
Cep41	592.250000	1303	1066	0	0	0
Mto1	582.500000	1209	1121	0	0	0
Cgas	582.500000	1209	1121	0	0	0
Pan3	579.750000	1104	1215	0	0	0
Kmt2a	558.500000	1247	987	0	0	0
N4bp1	552.750000	1302	909	0	0	0
H2-DMa	550.750000	1280	923	0	0	0
Brd2	550.750000	1280	923	0	0	0
Brox	539.750000	1367	487	90	215	0
Aida	539.750000	1367	487	90	215	0
Nanog	516.250000	1212	853	0	0	0
Tsc22d1	511.000000	945	1099	0	0	0
Kpna1	500.000000	786	397	491	326	0
Zfp282	479.500000	895	1023	0	0	0
Gimap9	479.250000	1295	622	0	0	0
Adamts9	472.750000	1000	891	0	0	0
Zfp850	465.000000	1099	761	0	0	0
Oasl1	461.750000	524	372	551	400	0
Cops3	460.750000	975	868	0	0	0
St3gal2	457.750000	1036	795	0	0	0
Rab30	457.250000	1088	741	0	0	0
Phf5a	453.500000	968	846	0	0	0
Aco2	453.500000	968	846	0	0	0
Tmsb10	435.750000	811	932	0	0	0
Gdf1	433.750000	920	815	0	0	0
Cers1	433.750000	920	815	0	0	0
Ptpn6	426.250000	1012	693	0	0	0
Grcc10	426.250000	1012	693	0	0	0
Zfp978	415.000000	885	775	0	0	0
Slc4a7	413.250000	828	825	0	0	0
Acad12	413.250000	998	655	0	0	0
Sv2b	410.750000	201	383	583	476	0
Pcolce2	406.000000	918	706	0	0	0
Jund	406.000000	884	740	0	0	0
Iqcn	406.000000	884	740	0	0	0
Tlk2	405.000000	826	794	0	0	0
Smo	405.000000	725	895	0	0	0
Junb	403.500000	996	618	0	0	0
L1td1	401.250000	976	629	0	0	0
Mllt6	398.000000	742	850	0	0	0
Aldh4a1	397.000000	896	692	0	0	0
Asmt	394.500000	366	424	430	358	0
Tdgf1	391.750000	1001	566	0	0	0
Lrrc2	391.750000	1001	566	0	0	0
Hsdl1	388.750000	644	911	0	0	0
Dnaaf1	388.750000	644	911	0	0	0
Suox	388.250000	781	772	0	0	0
Il31ra	385.250000	520	355	358	308	0
Erdr1	376.000000	780	724	0	0	0
Spns2	370.500000	750	732	0	0	0
Cat	370.000000	679	801	0	0	0
Pikfyve	366.000000	865	599	0	0	0
Idh1	366.000000	865	599	0	0	0
Rif1	361.500000	744	702	0	0	0
Zc3h4	359.000000	959	477	0	0	0
Ywhag	357.000000	684	744	0	0	0
Grm4	356.000000	839	585	0	0	0
Dlgap3	351.750000	862	545	0	0	0
Hspe1	347.500000	731	529	130	0	0
Hspd1	347.500000	731	529	130	0	0
Dctd	346.250000	740	645	0	0	0
Rbm14	335.500000	798	544	0	0	0
Gm21992	335.500000	798	544	0	0	0
Utp3	328.000000	517	795	0	0	0
Foxa2	327.750000	653	658	0	0	0
Rfc2	327.250000	662	647	0	0	0
Vps13c	327.000000	805	503	0	0	0
Fchsd2	319.000000	571	705	0	0	0
Dmtn	317.000000	579	689	0	0	0
Prdm14	315.750000	860	403	0	0	0
Smg7	314.500000	674	584	0	0	0
Kmt2d	312.250000	687	562	0	0	0
Mtus1	312.000000	665	583	0	0	0
Enpp4	311.500000	648	598	0	0	0
Thrap3	309.750000	682	557	0	0	0
Phip	307.750000	584	647	0	0	0
Necab2	305.000000	668	552	0	0	0
Gm45915	304.750000	780	439	0	0	0
Ppp1r37	304.500000	676	542	0	0	0
Mpzl3	304.500000	620	598	0	0	0
Spata1	302.750000	621	590	0	0	0
Gng5	302.750000	621	590	0	0	0
Zfp384	301.000000	621	583	0	0	0
Minpp1	300.750000	510	693	0	0	0
Ercc6l	294.000000	648	528	0	0	0
Patz1	292.500000	585	585	0	0	0
Zfp428	292.250000	784	385	0	0	0
Zmiz1	291.250000	533	632	0	0	0
Fubp3	288.250000	501	652	0	0	0
Gar1	287.000000	519	629	0	0	0
Guk1	286.750000	587	560	0	0	0
Setd1b	284.750000	590	549	0	0	0
Kcnb1	284.000000	593	543	0	0	0
Zfp408	282.750000	513	618	0	0	0
Arhgap1	282.750000	513	618	0	0	0
Znrf1	282.250000	593	536	0	0	0
Slc43a2	279.500000	591	527	0	0	0
Tjp3	279.000000	487	629	0	0	0
Agfg1	278.750000	478	637	0	0	0
Stmn2	278.500000	649	465	0	0	0
Pcbp1	277.500000	431	679	0	0	0
Etv1	277.500000	760	350	0	0	0
Esyt1	274.500000	665	433	0	0	0
Marcksl1	273.500000	584	510	0	0	0
Bhlhb9	273.500000	526	568	0	0	0
Slc35g3	270.500000	522	560	0	0	0
Polr2a	270.500000	522	560	0	0	0
Ubr5	270.250000	484	597	0	0	0
Slc4a8	268.500000	618	456	0	0	0
Hnrnpf	268.500000	515	559	0	0	0
Mlst8	268.250000	512	561	0	0	0
Bricd5	268.250000	512	561	0	0	0
Akt2	267.750000	616	455	0	0	0
Ggnbp2	267.250000	496	573	0	0	0
Ube2e3	264.000000	618	438	0	0	0
Ywhaz	263.250000	404	649	0	0	0
Crebrf	262.750000	454	597	0	0	0
Hspa8	261.750000	306	615	126	0	0
Phf13	259.750000	447	592	0	0	0
Kbtbd3	258.500000	577	457	0	0	0
Aasdhppt	258.500000	577	457	0	0	0
St3gal5	256.250000	479	546	0	0	0
Nemf	256.250000	543	155	327	0	0
Rab8b	253.500000	170	154	316	374	0
Akirin1	250.000000	452	548	0	0	0
Kdm3b	249.750000	516	483	0	0	0
Tpm3	249.500000	513	485	0	0	0
Tsn	249.250000	670	327	0	0	0
Trap1	248.750000	444	551	0	0	0
Ube2b	248.250000	424	569	0	0	0
Cdkl3	248.250000	424	569	0	0	0
Llgl1	247.000000	474	514	0	0	0
Cul1	247.000000	433	555	0	0	0
Tecr	246.000000	560	424	0	0	0
Ube2d3	245.250000	499	482	0	0	0
Tgm2	245.250000	489	492	0	0	0
Ep300	244.750000	560	419	0	0	0
Zkscan17	242.250000	503	466	0	0	0
Scd2	242.000000	491	477	0	0	0
