Target_genes	Pbx1|Average	SRX520199|3T3-L1	SRX1482287|C2C12	SRX1482288|C2C12	SRX1557407|C2C12	SRX1557408|C2C12	SRX9088764|Embryoid_Bodies	SRX9088765|Embryoid_Bodies	SRX1602947|Embryonic_brains	SRX1602948|Embryonic_brains	SRX1629941|Embryonic_brains	SRX1629942|Embryonic_brains	SRX170716|Embryonic_trunk	SRX6879007|ES_cells	SRX14359346|Hindlimb	SRX14359347|Hindlimb	SRX319742|Myeloid_leukemia	SRX319743|Myeloid_leukemia	SRX1824751|P19	SRX25508382|Spinal_Cord	STRING
Slc39a3	2065.736842	2233	2945	2921	2949	2577	0	0	2036	0	2465	0	1168	418	3998	4214	4005	3839	515	2966	0
Fbh1	1969.368421	1410	3099	2869	2895	2532	98	0	1513	0	2130	0	1118	412	3929	4284	4118	3915	482	2614	0
Ankrd16	1969.368421	1410	3099	2869	2895	2532	98	0	1513	0	2130	0	1118	412	3929	4284	4118	3915	482	2614	0
Sharpin	1956.894737	2023	3336	3075	2600	2439	0	0	1682	0	2223	0	1128	368	3886	3673	3841	3540	483	2884	0
Maf1	1956.894737	2023	3336	3075	2600	2439	0	0	1682	0	2223	0	1128	368	3886	3673	3841	3540	483	2884	0
Gm35339	1956.894737	2023	3336	3075	2600	2439	0	0	1682	0	2223	0	1128	368	3886	3673	3841	3540	483	2884	0
Flad1	1889.631579	2357	3515	3594	2520	2378	0	0	1731	0	2119	0	1100	325	3486	1950	3632	3515	500	3181	0
Tom1	1864.421053	2089	2197	2293	2897	2297	0	0	1786	0	2273	0	739	386	3844	4262	3753	3290	413	2905	0
Zfp809	1862.368421	1759	3686	3529	2771	2590	0	0	2317	0	2555	0	1035	433	3118	2514	3116	2646	658	2658	0
Rab5b	1855.315789	1821	3458	3354	2501	2242	0	0	1389	0	1958	0	873	339	3647	3592	3659	2991	484	2943	0
Abhd2	1845.947368	1694	3331	3223	2602	2480	0	0	1215	0	1896	0	835	324	3623	3436	3537	3182	439	3256	0
Dnm2	1823.421053	1862	3353	2977	2694	2419	0	0	1031	0	1839	0	662	364	3722	3553	3673	2829	387	3280	0
Mon1b	1813.736842	2411	3605	3282	2476	2368	0	0	1703	0	2203	0	1191	390	3050	2675	3379	2992	645	2091	0
Sp2	1801.894737	1729	3267	3524	2140	2028	0	0	1546	0	2032	0	871	256	3360	3986	3326	3064	443	2664	0
Prdm9	1773.842105	1248	2816	2636	2639	2379	0	0	1220	0	1665	0	656	386	3929	4269	3621	2851	423	2965	0
Rplp0	1769.947368	1343	2243	2117	2846	2441	0	0	1341	0	1972	0	714	464	3984	3429	3905	3158	477	3195	0
Rab11b	1743.052632	1990	2997	2715	2502	2142	105	0	1449	0	2003	0	606	364	3517	3556	3277	2993	416	2486	0
Mphosph8	1741.789474	1068	1875	1634	2345	1983	0	0	1519	0	2044	0	622	437	4150	4573	4012	3364	406	3062	0
Nlk	1709.421053	1877	3196	3173	2704	2379	0	0	1112	0	1681	0	637	383	3510	3593	3444	2723	436	1631	0
Mrtfa	1704.368421	922	2362	2263	2349	2066	0	0	1378	0	1918	0	566	430	4043	4323	3314	2953	453	3043	0
Mfsd13b	1696.052632	1243	2354	2024	3135	2417	0	0	1000	0	1434	0	817	481	3867	3759	3461	2829	346	3058	0
Cdr2	1696.052632	1243	2354	2024	3135	2417	0	0	1000	0	1434	0	817	481	3867	3759	3461	2829	346	3058	0
Cenpa	1679.842105	1818	2550	2369	3007	2678	0	0	1237	0	1874	0	610	482	3412	2818	3764	3094	461	1743	0
Tle3	1672.157895	1808	2746	2031	2667	2426	0	0	1292	0	1861	0	1091	466	3129	3290	2951	2851	516	2646	0
Pan2	1666.947368	1272	1982	1786	2750	2243	0	0	1452	0	2135	0	528	485	3986	3621	3417	2801	581	2633	0
Atp5b	1649.052632	1714	3103	2932	2561	2294	0	0	969	0	1502	0	428	323	3174	2269	3699	3072	263	3029	0
Ppp1r35	1610.842105	1267	1967	2280	2894	2646	0	0	1234	0	1840	0	750	451	3937	3623	3338	2719	528	1132	0
Gm5165	1608.736842	1967	3337	3422	2265	2138	0	0	1006	0	1718	0	293	300	2968	2106	3596	3234	429	1787	0
Rragc	1590.578947	556	2069	1920	2077	1785	0	0	1179	0	1732	0	695	400	3943	4299	3420	2658	333	3155	0
Zfp691	1586.052632	1402	3862	3160	2900	2680	0	0	1472	0	2181	0	445	518	2316	2237	3208	2416	558	780	0
Ncoa2	1584.105263	1346	1933	1364	2886	2187	0	0	1447	0	1690	0	586	494	3617	3630	3099	2391	492	2936	0
Zfp33b	1576.105263	2046	2050	2213	2549	2219	0	0	1430	0	1787	0	740	435	3233	2279	3636	2575	509	2245	0
Rbm27	1575.684211	747	2641	2442	2974	2169	0	0	911	0	1211	0	421	460	3459	3422	3108	2410	342	3221	0
Sp3	1560.789474	1130	2200	1816	2657	2226	0	0	1124	0	1669	0	716	460	3465	3779	3332	2690	463	1928	0
Isoc2b	1560.157895	836	2888	2315	2971	2593	0	0	1237	0	1918	0	814	445	3682	2784	3206	2658	0	1296	0
Srsf6	1559.263158	1574	2768	2428	3076	2651	0	0	1109	0	1636	0	878	466	2506	1897	2908	2172	454	3103	0
G3bp1	1558.105263	1624	3222	3447	2319	2133	0	0	1059	0	1394	0	520	305	2776	2813	3182	2550	475	1785	0
Slc25a25	1545.789474	2055	3402	3074	2551	2275	0	0	968	0	1801	0	624	436	2410	1656	3733	3350	609	426	0
Naif1	1545.789474	2055	3402	3074	2551	2275	0	0	968	0	1801	0	624	436	2410	1656	3733	3350	609	426	0
Eri3	1543.684211	986	1812	1705	1437	1038	0	0	1504	0	1960	0	712	489	4168	4542	3225	2822	505	2425	0
Mrpl37	1539.421053	1441	2203	1622	2974	2532	0	0	1029	0	1897	0	439	471	3435	3253	3325	2829	519	1280	0
Cyb5rl	1539.421053	1441	2203	1622	2974	2532	0	0	1029	0	1897	0	439	471	3435	3253	3325	2829	519	1280	0
Zfp994	1534.631579	1830	1522	1549	2998	2076	0	0	1284	0	2032	0	667	607	3237	2626	3294	2716	485	2235	0
Kmt5c	1532.947368	1340	3270	3233	2386	2191	0	0	1050	0	1448	0	436	311	3100	2419	2921	2298	414	2309	0
Diaph3	1532.473684	1021	1973	1862	2623	2019	0	0	1136	0	1759	0	803	457	3354	3157	3457	2687	323	2486	0
Pde6d	1526.263158	1476	1409	1212	2810	2368	123	0	1462	0	1978	0	516	472	3559	3538	3099	2694	436	1847	0
Cops7b	1526.263158	1476	1409	1212	2810	2368	123	0	1462	0	1978	0	516	472	3559	3538	3099	2694	436	1847	0
Actr2	1523.157895	720	2070	1600	1031	993	0	0	1206	0	1936	0	901	466	4182	4781	3654	2794	450	2156	0
Hnrnpc	1522.894737	903	2907	2807	2412	2035	0	0	796	0	1368	0	673	352	3185	2928	2896	2467	361	2845	0
Traf2	1522.842105	815	2420	1896	2299	2050	0	0	835	0	1280	0	259	409	3570	4082	3406	2619	382	2612	0
Tcerg1	1519.473684	1315	2602	2082	2880	2489	0	0	924	0	1669	0	359	496	2942	2760	3200	2492	388	2272	0
Tmbim6	1518.000000	1828	2960	2527	2488	2091	0	0	940	0	1124	0	469	420	3185	2464	2761	2174	297	3114	0
Aktip	1514.210526	1167	3406	3304	2368	1948	0	0	594	0	1080	0	421	361	3454	3565	2279	1995	212	2616	0
Rpl36al	1509.315789	671	1914	1473	2366	1803	0	0	1211	0	1633	0	576	467	4048	4485	2753	2129	352	2796	0
Mgat2	1509.315789	671	1914	1473	2366	1803	0	0	1211	0	1633	0	576	467	4048	4485	2753	2129	352	2796	0
Srgap2	1503.789474	1139	1882	1668	2780	2276	0	0	1179	0	1747	0	660	453	3341	3338	3650	2775	500	1184	0
Fam72a	1503.789474	1139	1882	1668	2780	2276	0	0	1179	0	1747	0	660	453	3341	3338	3650	2775	500	1184	0
B3gntl1	1496.684211	798	1993	1622	2639	2017	0	0	967	0	1761	0	554	508	3466	3124	3222	2255	497	3014	0
Nfatc2ip	1494.368421	1657	2609	2379	2809	2436	0	0	863	0	1366	0	492	378	2442	1925	2961	2679	434	2963	0
Hbp1	1485.000000	1383	2745	2584	2761	2398	0	0	782	0	1230	0	254	485	2733	1929	3172	2857	338	2564	0
Hemk1	1479.368421	1191	1674	1419	2590	2033	0	0	1005	0	1477	0	764	470	3828	3882	2549	2478	524	2224	0
6430571L13Rik	1479.368421	1191	1674	1419	2590	2033	0	0	1005	0	1477	0	764	470	3828	3882	2549	2478	524	2224	0
Stt3a	1475.210526	1474	3045	2873	2775	2458	0	0	798	0	1317	0	345	463	2581	1831	3147	2458	315	2149	0
Drosha	1473.105263	1235	2769	2348	2941	2401	0	74	722	0	1295	0	325	505	3012	2617	2606	1854	359	2926	0
6030458C11Rik	1473.105263	1235	2769	2348	2941	2401	0	74	722	0	1295	0	325	505	3012	2617	2606	1854	359	2926	0
Lrch4	1472.473684	2050	2585	2677	2567	2247	0	0	978	0	1449	0	674	344	2580	1724	3382	2505	483	1732	0
Fbxo24	1472.473684	2050	2585	2677	2567	2247	0	0	978	0	1449	0	674	344	2580	1724	3382	2505	483	1732	0
Smdt1	1471.473684	1203	2698	1831	2758	2205	0	0	1243	0	1549	0	327	436	2931	1878	3002	2607	412	2878	0
Nipal3	1470.578947	926	1203	1138	2788	2274	0	0	1151	0	1910	0	703	493	3629	3532	3531	2626	446	1591	0
Pabpn1	1467.789474	1209	2887	2408	2721	2265	0	0	455	0	926	0	371	416	2924	2515	3313	2507	238	2733	0
Zswim4	1464.473684	1482	3497	3442	2295	2025	0	0	640	0	1137	0	434	438	2258	1705	2815	2367	413	2877	0
Stpg1	1464.473684	926	1203	1138	2788	2274	0	0	1151	0	1910	0	703	377	3629	3532	3531	2626	446	1591	0
Bcl2l1	1463.421053	748	2695	2679	1522	954	0	0	956	0	1581	0	540	473	3951	4343	2930	2066	598	1769	0
Map1lc3b	1463.315789	1326	1877	1330	2531	1926	0	0	1216	0	1519	0	620	419	3433	3268	3217	2272	468	2381	0
Kdm4b	1459.894737	1106	2636	1977	2649	2029	0	0	706	0	1135	0	443	440	3109	3340	2713	2133	370	2952	0
Nr2c2	1458.842105	912	1726	1310	1582	1139	0	0	1004	0	1286	0	490	512	4142	4382	3222	2342	382	3287	0
Tom1l2	1452.473684	1669	3350	2885	2700	2423	0	0	684	0	1604	0	402	427	1946	1896	3147	2403	518	1543	0
Drc3	1452.473684	1669	3350	2885	2700	2423	0	0	684	0	1604	0	402	427	1946	1896	3147	2403	518	1543	0
Gm7072	1452.000000	1943	1551	1539	2634	2059	0	0	1249	0	1745	0	689	604	3054	2547	3398	2705	596	1275	0
Spag7	1450.947368	1306	2569	2269	2603	2298	0	0	1230	0	1995	0	601	431	2438	1184	3020	2841	473	2310	0
Ip6k1	1450.684211	1131	2144	1844	2894	2457	0	0	871	0	1588	0	473	471	2599	2108	2906	2549	503	3025	0
Cops3	1436.736842	515	1134	735	2609	2090	0	0	844	0	1500	0	343	475	4056	4462	3150	2736	450	2199	0
Nxt1	1427.684211	1099	1740	1781	2340	1743	0	0	960	0	1608	0	561	525	3759	3857	3353	2502	491	807	0
Zfp961	1427.315789	1166	1821	1784	2785	2264	0	0	919	0	1330	0	349	426	2977	2470	2849	2578	324	3077	0
Slc46a3	1426.263158	1019	2269	1890	2965	2416	0	0	809	0	1019	0	504	456	3383	2871	2683	1933	478	2404	0
Uvrag	1422.789474	505	2518	1989	2378	1972	0	0	712	0	1391	0	382	435	3509	3445	2919	2007	486	2385	0
Txndc16	1421.736842	1152	1809	1424	1854	1585	0	0	622	0	947	0	545	519	3959	4375	2967	2381	490	2384	0
Gpr137c	1421.736842	1152	1809	1424	1854	1585	0	0	622	0	947	0	545	519	3959	4375	2967	2381	490	2384	0
Gm6712	1421.052632	1878	3066	3159	2489	2269	0	0	774	0	1318	0	301	390	2563	1508	2924	2354	415	1592	0
Dcaf7	1418.263158	1065	2914	2590	2670	2316	0	0	790	0	1174	0	403	415	2686	2112	3041	2187	299	2285	0
Tcstv3	1414.210526	232	1879	1582	2209	2321	2127	2286	2267	1253	2412	1206	678	172	1957	1651	763	884	430	561	0
Myh9	1414.000000	831	1418	984	2252	1649	0	0	1248	0	1906	0	738	404	3823	3703	3038	2677	321	1874	0
Eno1	1409.210526	471	2260	1047	1936	1536	0	0	1277	0	1661	0	467	430	3832	4130	2976	2094	352	2306	0
