Target_genes	Peg3|Average	SRX11596560|MEF	SRX11596561|MEF	STRING
Tcstv3	2673.000000	2649	2697	0
Cldn34d	1644.500000	1584	1705	0
Il31ra	713.500000	629	798	0
Kpna1	689.000000	493	885	0
Asmt	550.000000	658	442	0
Hexim1	521.500000	693	350	0
Gpx8	517.000000	756	278	0
Brox	506.000000	487	525	0
Aida	506.000000	487	525	0
Tmem125	505.500000	490	521	0
Sspn	407.500000	311	504	0
Dazap2	265.500000	284	247	0
Abhd6	251.500000	263	240	0
Ddah2	245.500000	374	117	0
Pgk1	218.000000	208	228	0
Gm11213	210.000000	229	191	0
Bod1	138.500000	0	277	0
Gm4981	136.000000	138	134	0
Mbd2	134.500000	141	128	0
Plekhh3	115.500000	231	0	0
Cntnap1	115.500000	231	0	0
Ccr10	115.500000	231	0	0
Tnik	112.500000	225	0	0
9230019H11Rik	99.000000	70	128	0
Prdm11	89.500000	179	0	0
Sfxn5	88.500000	177	0	0
Oasl1	88.500000	0	177	0
Taar7a	82.000000	164	0	0
Taar6	82.000000	164	0	0
Epc1	82.000000	164	0	0
Pdk2	79.500000	159	0	0
Cd248	77.500000	155	0	0
Sufu	74.500000	149	0	0
Actr1a	74.500000	149	0	0
Rin1	63.000000	126	0	0
Pds5a	63.000000	126	0	0
Anks6	62.500000	125	0	0
Ndufs7	61.500000	123	0	0
Msl3	61.000000	122	0	0
Tob2	57.500000	115	0	0
Wwc2	57.000000	114	0	0
Lmo4	56.500000	113	0	0
Fbxo8	55.500000	111	0	0
Cep44	55.500000	111	0	0
Sumo3	54.500000	109	0	0
Rara	53.000000	106	0	0
Znrf1	52.000000	104	0	0
Gm11100	51.500000	103	0	0
Adam10	51.500000	103	0	0
Anxa7	49.000000	98	0	0
Zfat	46.000000	92	0	0
Msl1	46.000000	92	0	0
Abl1	44.000000	88	0	0
Dpp3	43.000000	86	0	0
Smarca2	42.500000	85	0	0
Sephs1	42.500000	85	0	0
Slc26a6	42.000000	84	0	0
Zfp629	40.000000	80	0	0
Sfswap	35.000000	70	0	0
Nectin1	34.500000	69	0	0
