Target_genes	Pknox1|Average	SRX170715|Embryonic_trunk	SRX759626|ES_cells	SRX442884|MEF	SRX625489|MEF	SRX625491|MEF	STRING
Flad1	2572.400000	2026	2481	2918	2443	2994	0
Sharpin	2563.200000	2098	2182	3000	2513	3023	0
Maf1	2563.200000	2098	2182	3000	2513	3023	0
Gm35339	2563.200000	2098	2182	3000	2513	3023	0
Zfp809	2510.200000	1925	1858	3079	2416	3273	0
Slc39a3	2491.200000	2057	2156	3083	2100	3060	0
Fbh1	2449.600000	1995	2300	2829	2318	2806	0
Ankrd16	2449.600000	1995	2300	2829	2318	2806	0
Rbm27	2413.600000	1898	2365	3044	1773	2988	0
Hemk1	2402.800000	1909	2221	2865	2025	2994	0
6430571L13Rik	2402.800000	1909	2221	2865	2025	2994	0
Pknox1	2390.400000	1786	2299	3072	1768	3027	0
Mrtfa	2360.000000	2067	2257	2749	2189	2538	0
Spryd3	2346.000000	1993	2218	2863	1870	2786	0
Plekha8	2326.400000	1924	2304	2830	1818	2756	0
Fkbp14	2326.400000	1924	2304	2830	1818	2756	0
Nlk	2300.000000	1962	2194	2728	1812	2804	0
Abhd2	2287.200000	2058	2358	2571	1686	2763	0
Ddx19b	2281.800000	1745	2050	2768	1851	2995	0
Aars	2281.800000	1745	2050	2768	1851	2995	0
Zswim4	2246.200000	1783	2118	2684	1815	2831	0
Rplp0	2238.600000	1964	2058	2656	1675	2840	0
Cyp2u1	2235.400000	2020	2188	2823	1534	2612	0
Tmbim6	2218.000000	1778	1646	2850	1981	2835	0
Ncoa2	2200.000000	2084	2018	2330	1991	2577	0
Rab5b	2195.200000	1792	2152	2632	1766	2634	0
G3bp1	2171.800000	1797	2041	2672	1688	2661	0
Isoc2b	2170.600000	1839	1818	2809	1334	3053	0
Ppp3ca	2169.800000	2045	1938	2827	1543	2496	0
Epha7	2158.400000	1704	2061	2755	1510	2762	0
Prdm9	2155.400000	1754	2096	2682	1581	2664	0
Rpusd3	2155.200000	1928	1729	2704	1531	2884	0
Gm10033	2153.600000	1450	1962	2784	1800	2772	0
Foxo1	2145.600000	1640	2491	2698	1225	2674	0
Diaph3	2143.000000	1854	1869	2677	1549	2766	0
Srsf6	2129.800000	1971	1693	2591	1664	2730	0
Dnm2	2127.600000	1795	2033	2525	1821	2464	0
Sp2	2117.800000	1734	1992	2418	2103	2342	0
Nr2c2	2108.600000	1942	1935	2794	1365	2507	0
3110082I17Rik	2102.600000	1831	2197	2516	1691	2278	0
Ankrd54	2102.200000	1640	1930	2722	1369	2850	0
Prkaca	2089.800000	1591	1816	2496	1725	2821	0
Bcl2l1	2084.400000	2045	1990	2290	1729	2368	0
Smdt1	2081.800000	1101	1738	2723	1806	3041	0
Pheta2	2081.800000	1101	1738	2723	1806	3041	0
Mrpl28	2081.200000	1781	2041	2517	1577	2490	0
Nfatc2ip	2077.200000	1985	2116	2308	1402	2575	0
Ypel2	2075.400000	1978	2285	2428	1390	2296	0
Glo1	2075.400000	1978	1765	2850	1166	2618	0
Rpn2	2071.800000	1883	2042	2458	1559	2417	0
Mroh8	2071.800000	1883	2042	2458	1559	2417	0
Drosha	2071.200000	1867	2091	2677	1042	2679	0
6030458C11Rik	2071.200000	1867	2091	2677	1042	2679	0
Gm5165	2070.800000	1261	2037	2696	1565	2795	0
Sp3	2070.200000	1767	2318	2440	1491	2335	0
Marchf3	2063.400000	1854	2166	2586	1297	2414	0
Lrch4	2063.400000	1576	1748	2500	1969	2524	0
Fbxo24	2063.400000	1576	1748	2500	1969	2524	0
Trappc11	2062.600000	1644	1701	2627	1691	2650	0
Rwdd4a	2062.600000	1644	1701	2627	1691	2650	0
Gas2	2058.000000	2088	2039	2420	1190	2553	0
Fancf	2058.000000	2088	2039	2420	1190	2553	0
Fmnl3	2056.800000	1541	2363	2616	1349	2415	0
Map1lc3b	2056.600000	1619	1905	2534	1606	2619	0
Ralgps1	2056.200000	2135	2384	2420	1299	2043	0
Gm6712	2050.000000	1107	1852	2604	1887	2800	0
Gm38396	2049.200000	0	2045	2973	2297	2931	0
Zfp33b	2041.000000	1143	1794	2744	1754	2770	0
Acyp1	2040.600000	2042	2098	2308	1284	2471	0
Eri3	2039.000000	1925	2317	2320	1270	2363	0
Mon1b	2035.200000	1673	1356	2464	2016	2667	0
Me2	2033.000000	2035	2313	2309	1267	2241	0
Slc25a25	2032.000000	1624	1526	2473	1778	2759	0
Slc25a19	2032.000000	1710	1846	2429	1498	2677	0
Naif1	2032.000000	1624	1526	2473	1778	2759	0
Psmb3	2023.000000	1639	1902	2534	1447	2593	0
Pcgf2	2023.000000	1639	1902	2534	1447	2593	0
Aktip	2015.400000	1484	1836	2527	1584	2646	0
Ugp2	2010.600000	1898	1793	2569	1355	2438	0
Jpt2	2010.400000	1714	2053	2438	1391	2456	0
Gm20346	2010.200000	1852	2127	2481	1382	2209	0
Anp32a	2010.200000	1852	2127	2481	1382	2209	0
Myh10	2009.200000	1568	1898	2519	1563	2498	0
Mphosph8	2009.200000	1613	2042	2314	1518	2559	0
Nsd3	2009.000000	1850	1704	2430	1691	2370	0
Letm2	2009.000000	1850	1704	2430	1691	2370	0
Josd1	2009.000000	1440	1829	2545	1723	2508	0
Gtpbp1	2009.000000	1440	1829	2545	1723	2508	0
Sufu	2006.400000	1726	1981	2462	1544	2319	0
Actr1a	2006.400000	1726	1981	2462	1544	2319	0
Spag7	2003.000000	1905	1860	2492	1448	2310	0
Tle3	1993.200000	1652	1825	2478	1407	2604	0
Zfp960	1990.400000	868	1851	2669	1760	2804	0
