Target_genes	Ppara|Average	SRX7647798|Brown_adipose_tissue	SRX7647799|Brown_adipose_tissue	SRX7647800|Brown_adipose_tissue	SRX7647801|Brown_adipose_tissue	SRX745823|Burst-forming_unit_erythroids	SRX745825|Burst-forming_unit_erythroids	SRX745827|Burst-forming_unit_erythroids	SRX11366178|Liver	SRX11366179|Liver	SRX11366180|Liver	SRX11366181|Liver	SRX11366182|Liver	SRX11366183|Liver	SRX11366184|Liver	SRX11366185|Liver	SRX11366186|Liver	SRX11366187|Liver	SRX11366188|Liver	SRX11366189|Liver	SRX11366190|Liver	SRX11366191|Liver	SRX11366192|Liver	SRX11366193|Liver	SRX118173|Liver	SRX118174|Liver	SRX3582928|Liver	SRX3582929|Liver	SRX3582931|Liver	SRX3582932|Liver	SRX5028158|Liver	SRX5028159|Liver	SRX5028160|Liver	SRX5028161|Liver	SRX5028180|Liver	SRX5028181|Liver	SRX5028182|Liver	SRX5028183|Liver	SRX5028184|Liver	SRX5028185|Liver	SRX5142526|Liver	SRX5142527|Liver	SRX5142528|Liver	SRX5142529|Liver	SRX5142530|Liver	SRX5142531|Liver	SRX8715535|Liver	SRX8715536|Liver	SRX8715537|Liver	SRX8715538|Liver	SRX8715539|Liver	SRX8715540|Liver	SRX18696494|Thymus	SRX305976|Unclassified	SRX305978|Unclassified	SRX305980|Unclassified	SRX305982|Unclassified	STRING
Tcstv3	1338.017857	1242	1932	977	1128	355	330	51	1965	1775	1701	2222	1827	1924	2106	2087	2067	2142	2120	1975	2239	2130	1976	2062	1239	911	1602	0	1373	0	1069	904	1087	1097	1596	1843	1918	2025	1815	1814	1164	1678	1277	801	930	1266	161	630	508	536	278	0	1866	1646	874	1843	845	0
Cldn34d	1038.089286	715	1337	315	523	557	343	92	1945	1371	1903	2007	1981	1751	2011	1748	1402	877	1872	1087	1253	1161	1368	1679	0	366	1125	0	881	0	1333	1156	1122	821	1365	1414	1827	1382	1713	1235	662	956	706	664	679	1016	0	913	812	1138	966	0	2857	396	180	611	539	0
Brox	618.410714	1248	1603	646	622	342	243	153	1145	677	735	588	658	728	851	769	671	308	691	293	387	208	656	732	214	385	713	0	680	0	643	782	480	512	771	921	1212	797	918	695	314	456	519	242	289	456	827	271	252	800	648	605	2552	336	426	457	504	0
Aida	618.410714	1248	1603	646	622	342	243	153	1145	677	735	588	658	728	851	769	671	308	691	293	387	208	656	732	214	385	713	0	680	0	643	782	480	512	771	921	1212	797	918	695	314	456	519	242	289	456	827	271	252	800	648	605	2552	336	426	457	504	0
Kpna1	582.035714	994	1323	807	1119	1061	1106	1160	0	298	0	0	0	225	0	0	257	345	388	318	193	437	281	268	384	425	433	0	715	0	1083	1048	1381	1048	1455	1411	1436	1578	1666	1786	599	711	603	782	1433	1327	0	0	0	0	0	0	0	0	271	176	263	0
Il31ra	542.196429	751	1024	869	1143	951	1081	1217	201	295	0	0	0	319	286	273	305	306	440	546	220	429	780	376	210	0	314	0	517	0	1089	924	1116	1083	1363	1245	1206	1394	1581	1572	572	725	644	603	1190	1069	0	0	0	0	0	0	0	0	134	0	0	0
Gale	505.446429	1056	1347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1122	650	550	0	249	0	0	0	0	0	1523	1707	1398	1521	1560	1743	1738	2012	1961	2033	2195	2033	0	0	0	0	0	0	0	0	1391	310	206	0
Tmem125	500.321429	477	928	515	463	186	208	0	1014	558	885	836	920	659	794	990	659	495	861	486	787	508	890	924	282	194	566	0	374	0	447	308	494	397	523	603	420	340	460	455	299	510	407	627	617	859	0	337	355	423	432	335	724	447	93	520	127	0
Ptgds	500.178571	174	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2725	2127	119	0	0	0	201	243	0	0	1943	1903	1317	1509	1905	2014	1330	1601	1697	1859	1648	2038	0	0	0	0	0	0	0	196	960	0	223	0
Smagp	492.160714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1431	828	155	0	0	0	767	300	0	0	1677	1791	1370	1519	1777	1929	1910	2013	2086	2345	2249	2230	0	0	0	0	0	0	0	0	1023	0	161	0
