Target_genes	Prdm1|Average	SRX316287|CD8+_T_cells	SRX1131938|Plasmablasts	SRX1131939|Plasmablasts	SRX885786|Small_intestine	SRX885787|Small_intestine	SRX1465782|Th17_Cells	SRX1465783|Treg	STRING
Tcstv3	1640.571429	893	2069	1985	1917	2193	1220	1207	0
Taf7	1527.285714	0	2784	1996	2866	3045	0	0	0
Rbck1	1518.857143	0	2887	1814	2950	2981	0	0	0
Rassf5	1392.428571	0	2417	1470	3033	2827	0	0	0
Itpka	1356.142857	0	2738	696	3104	2955	0	0	0
Hnrnpa3	1336.000000	0	2479	1360	2717	2796	0	0	0
Vav2	1250.571429	0	2819	1489	2266	2180	0	0	0
Elk4	1250.428571	0	1855	1245	2799	2854	0	0	0
Fus	1245.714286	0	2828	2174	1517	1980	221	0	0
Prcc	1243.142857	0	2066	1416	2657	2563	0	0	0
Trib3	1188.142857	0	2380	1549	2085	2060	243	0	0
Dennd2d	1185.571429	0	1723	559	2973	3044	0	0	0
Dennd4b	1180.285714	0	2122	1244	2290	2606	0	0	0
Zfp36l1	1149.428571	0	1812	703	2603	2928	0	0	0
Them6	1127.714286	0	2205	880	2386	2423	0	0	0
Zscan10	1127.285714	0	2740	1234	1853	2064	0	0	0
Zfp13	1127.285714	0	2740	1234	1853	2064	0	0	0
Atxn7l3	1118.428571	0	1291	195	3316	3027	0	0	0
Zbtb18	1104.857143	0	1720	544	2601	2869	0	0	0
Casp8ap2	1099.571429	0	1794	1116	2393	2394	0	0	0
Csf1	1096.142857	0	1894	810	2544	2425	0	0	0
Snrpd3	1092.714286	0	2083	849	2383	2334	0	0	0
Gucd1	1092.714286	0	2083	849	2383	2334	0	0	0
Card19	1091.142857	0	960	398	3189	3091	0	0	0
Hamp	1050.000000	0	1162	280	2979	2929	0	0	0
P4hb	1042.571429	0	1474	438	2612	2774	0	0	0
Lrif1	1028.571429	0	2341	1620	1622	1617	0	0	0
Bcl7b	1016.857143	0	1891	607	2188	2432	0	0	0
H4c4	1005.000000	0	2459	909	1823	1844	0	0	0
H2bc6	1005.000000	0	2459	909	1823	1844	0	0	0
Zc3h11a	998.857143	0	2755	1333	1343	1561	0	0	0
Zbed6	998.857143	0	2755	1333	1343	1561	0	0	0
Fubp3	993.285714	0	733	301	2979	2940	0	0	0
Ctbp1	990.428571	0	1772	340	2004	2817	0	0	0
Ppm1l	947.714286	0	1638	875	1924	2197	0	0	0
Cmtr1	921.428571	0	931	240	2348	2931	0	0	0
Brox	915.857143	0	1289	874	1640	1873	416	319	0
Aida	915.857143	0	1289	874	1640	1873	416	319	0
Chd1	913.857143	0	2525	1266	1226	1380	0	0	0
Tmem140	908.714286	0	1247	665	2133	2316	0	0	0
Psmb10	906.000000	0	1420	595	2131	2196	0	0	0
Ctrl	906.000000	0	1420	595	2131	2196	0	0	0
Cldn34d	905.285714	0	1603	1126	1307	1531	357	413	0
Trim26	875.714286	0	1512	694	1775	2149	0	0	0
Olfr1361	874.428571	0	894	188	2454	2585	0	0	0
Ubc	860.571429	0	2482	1662	881	576	423	0	0
Seh1l	851.000000	0	1420	669	1824	2044	0	0	0
Kif17	847.428571	0	1949	419	1450	2114	0	0	0
Stat6	829.285714	0	2072	831	1521	1381	0	0	0
Nvl	826.142857	0	0	0	2822	2961	0	0	0
Cnih4	826.142857	0	0	0	2822	2961	0	0	0
Upf2	824.000000	0	848	378	2162	2380	0	0	0
Prrg2	818.571429	0	1607	688	1636	1799	0	0	0
Nosip	818.571429	0	1607	688	1636	1799	0	0	0
Qars	809.000000	0	492	141	2371	2659	0	0	0
B4galt3	808.857143	0	916	428	2015	2303	0	0	0
Scamp2	794.142857	0	1141	342	2127	1949	0	0	0
Nudt19	787.714286	0	2012	757	1473	1272	0	0	0
Cdyl	787.285714	0	741	330	2371	2069	0	0	0
Fbxw5	784.000000	0	1588	609	1515	1776	0	0	0
C8g	784.000000	0	1588	609	1515	1776	0	0	0
Tmcc3	781.571429	0	1145	516	1940	1870	0	0	0
Nr4a3	760.714286	0	1720	591	1422	1592	0	0	0
Dennd4c	745.285714	0	1206	205	1750	2056	0	0	0
Rpl29	742.428571	0	1617	501	1665	1414	0	0	0
Ino80	740.857143	0	1876	811	990	1372	137	0	0
Nbeal2	733.000000	0	2161	1409	775	786	0	0	0
Ccdc12	733.000000	0	2161	1409	775	786	0	0	0
Foxp1	730.142857	0	798	223	1976	2114	0	0	0
Prrc2c	723.571429	0	1996	878	1156	1035	0	0	0
Dbx1	705.000000	0	1661	297	1647	1330	0	0	0
Top3a	704.857143	0	153	117	2325	2339	0	0	0
Smcr8	704.857143	0	153	117	2325	2339	0	0	0
Lrrc45	700.428571	0	435	162	1954	2352	0	0	0
Cenpx	700.428571	0	435	162	1954	2352	0	0	0
