Target_genes	Prdm15|Average	SRX5299924|E6.5_embryos	SRX1301547|ES_cells	SRX2754629|ES_cells	SRX2754630|ES_cells	SRX2754632|ES_cells	SRX2754633|ES_cells	SRX2754635|ES_cells	SRX2754636|ES_cells	SRX5379469|ES_cells	STRING
Wwox	2750.888889	207	2427	3161	3132	3525	3443	2998	2888	2977	0
Kansl3	2633.333333	208	2376	3092	3055	3481	3414	2881	2687	2506	0
Fer1l5	2633.333333	208	2376	3092	3055	3481	3414	2881	2687	2506	0
Foxk1	2595.333333	148	2312	3187	3134	3481	3327	2512	2517	2740	0
Cenpu	2503.555556	0	2430	3115	3075	3329	3367	2221	1917	3078	0
Zmym3	2498.555556	0	2221	2967	2887	3287	3272	2649	2342	2862	0
Itgb1bp1	2488.111111	0	2301	2916	2865	3270	3216	2625	2350	2850	0
Cpsf3	2488.111111	0	2301	2916	2865	3270	3216	2625	2350	2850	0
Spry1	2470.111111	0	2600	3088	3070	3231	3179	2237	2190	2636	0
Ints10	2450.000000	0	2375	2950	2863	3331	3212	2192	2160	2967	0
Actr3	2443.222222	71	2344	3412	3363	3278	3196	1833	1548	2944	0
Zfp609	2353.555556	161	2157	2646	2623	3517	3404	2301	2173	2200	0
Brox	2316.444444	723	1913	2929	3057	2426	2519	2775	2554	1952	0
Aida	2316.444444	723	1913	2929	3057	2426	2519	2775	2554	1952	0
Arx	2272.666667	0	2145	2785	2771	3170	3127	2161	1709	2586	0
Rap2a	2238.666667	0	2274	2601	2573	3135	3087	1946	1891	2641	0
Kif16b	2226.000000	0	2425	2915	2936	2722	2832	1824	1775	2605	0
Cited2	2192.777778	167	1924	2332	2288	2806	2766	2716	2596	2140	0
Pls1	2165.222222	0	2506	3167	3191	2871	2940	1039	909	2864	0
Wwp1	2149.111111	0	2667	3330	3273	2342	2275	1344	1196	2915	0
Pde8a	2114.111111	134	1910	2070	2016	3094	3117	2419	2288	1979	0
Trappc9	2101.888889	0	2483	2992	2950	2919	2963	863	896	2851	0
Nfkbiz	2070.333333	0	2329	3516	3488	2323	2435	753	991	2798	0
Usp3	2068.222222	0	2331	2527	2483	2876	2853	1636	1678	2230	0
Kmt2c	2063.888889	210	2504	2967	2902	2654	2721	1133	1141	2343	0
Rgl2	2048.777778	76	2191	2195	2196	2808	2584	2092	1966	2331	0
Sema6a	2027.333333	0	2336	2636	2549	3048	3073	1017	858	2729	0
Ptpn3	2012.444444	0	2453	3078	3078	2707	2662	851	666	2617	0
Eps15	1985.444444	335	2492	3041	3021	1836	1895	1267	1394	2588	0
Tjp3	1955.000000	228	2073	2338	2321	2617	2653	1476	1468	2421	0
Kdelr3	1954.444444	0	2189	2918	2887	2529	2436	993	944	2694	0
Cldn34d	1942.333333	1007	2336	1859	1824	1767	1958	2214	2237	2279	0
Ppat	1914.666667	0	2344	2783	2780	2401	2326	752	970	2876	0
Paics	1914.666667	0	2344	2783	2780	2401	2326	752	970	2876	0
Pigm	1908.888889	0	2489	3618	3564	1735	1448	984	867	2475	0
Foxk2	1901.333333	0	2205	2905	2928	2320	2448	847	916	2543	0
Insr	1886.555556	0	2437	2840	2818	2320	2116	828	919	2701	0
