Target_genes	Prdm5|Average	SRX731121|MC3T3	SRX731122|MC3T3	SRX731123|MC3T3	STRING
Snx12	1469.666667	2078	2331	0	0
Kmt2a	1461.666667	2067	2318	0	0
2610001J05Rik	1442.000000	2030	2296	0	0
Bub3	1438.666667	1990	2326	0	0
C1qbp	1381.000000	1988	2155	0	0
Postn	1357.666667	1872	2201	0	0
Lig4	1341.666667	1875	2150	0	0
Abhd13	1341.666667	1875	2150	0	0
Clock	1299.666667	1909	1990	0	0
Col12a1	1299.000000	1688	2209	0	0
Tcstv3	1298.000000	1462	1754	678	0
Syt8	1293.000000	1903	1976	0	0
Zfp672	1255.000000	1570	2195	0	0
Col9a3	1250.000000	1775	1975	0	0
Slc5a5	1225.333333	1645	2031	0	0
Rpl18a	1225.333333	1645	2031	0	0
Serpinh1	1223.000000	1823	1846	0	0
Zscan26	1222.666667	1567	2101	0	0
Col5a1	1220.666667	1734	1928	0	0
Ppard	1219.000000	1792	1865	0	0
Ccn4	1195.666667	1724	1863	0	0
Srpx	1172.666667	1460	2058	0	0
Cldn34d	1159.000000	1210	1539	728	0
Naglu	1158.666667	1419	2057	0	0
Nsmf	1151.666667	1602	1853	0	0
Arhgap33	1137.333333	1496	1916	0	0
Dmxl1	1116.666667	1362	1988	0	0
Usp20	1096.666667	1283	2007	0	0
BC005624	1096.666667	1283	2007	0	0
Mkx	1085.333333	1916	1340	0	0
S100a6	1084.333333	1414	1839	0	0
Atg16l2	1078.333333	1421	1814	0	0
Atxn7l3	1054.666667	1288	1876	0	0
Cnmd	1050.000000	1274	1876	0	0
Adamts2	1047.333333	1365	1777	0	0
Hspe1	1043.333333	1859	1271	0	0
Hspd1	1043.333333	1859	1271	0	0
Zfp523	1022.000000	1903	1163	0	0
C1qc	975.000000	1257	1668	0	0
Fmod	965.333333	1281	1615	0	0
Cdt1	945.666667	1091	1746	0	0
Slc26a8	921.000000	1143	1620	0	0
Mapk14	921.000000	1143	1620	0	0
Tef	871.000000	1101	1512	0	0
Trim35	856.000000	1085	1483	0	0
Col1a2	844.333333	1243	1290	0	0
Golph3	837.333333	944	1568	0	0
Tm7sf3	836.333333	1203	1306	0	0
Chd8	806.666667	885	1535	0	0
Plekhg6	800.666667	983	1419	0	0
Ogfrl1	785.333333	822	1534	0	0
Atg7	782.000000	1017	1329	0	0
Tex261	779.666667	961	1378	0	0
Slc25a25	773.000000	879	1440	0	0
Naif1	773.000000	879	1440	0	0
Dctd	771.666667	858	1457	0	0
Lmod1	754.333333	1017	1246	0	0
Mettl24	740.000000	832	1388	0	0
Tiam2	739.000000	800	1417	0	0
Ppan	733.666667	876	1325	0	0
Irf2bp1	729.333333	775	1413	0	0
Bckdk	728.333333	782	1403	0	0
Clmp	691.666667	758	1317	0	0
Zfp143	686.666667	1259	686	115	0
Bag2	678.666667	683	1353	0	0
Serinc4	664.333333	775	1218	0	0
Hypk	664.333333	775	1218	0	0
Cr1l	655.666667	743	1224	0	0
Kpna1	645.333333	644	735	557	0
Oasl1	643.666667	718	737	476	0
Slc39a13	630.000000	702	1188	0	0
Ptprs	626.333333	766	1113	0	0
Setd1b	609.333333	730	1098	0	0
Brox	605.000000	607	845	363	0
Aida	605.000000	607	845	363	0
Slc35a4	599.333333	771	1027	0	0
Apbb3	599.333333	771	1027	0	0
Eps8	594.333333	578	1205	0	0
Fgfr2	577.666667	570	1163	0	0
Col14a1	574.000000	688	1034	0	0
Pdgfra	572.333333	609	1108	0	0
Col9a2	571.000000	620	1093	0	0
Prcd	568.333333	561	1144	0	0
Cygb	568.333333	561	1144	0	0
Pole3	563.000000	587	1102	0	0
Alad	563.000000	587	1102	0	0
4933430I17Rik	563.000000	587	1102	0	0
Rcn1	556.333333	598	1071	0	0
Ptpn12	556.000000	503	1165	0	0
Tmem88	548.333333	604	1041	0	0
Naa38	548.333333	604	1041	0	0
Cyb5d1	548.333333	604	1041	0	0
Rubcn	547.666667	484	1159	0	0
Sik3	542.666667	554	1074	0	0
Pafah1b2	542.666667	554	1074	0	0
Snapin	542.333333	592	1035	0	0
Tmem63b	542.000000	617	1009	0	0
Mrpl14	542.000000	617	1009	0	0
Eif2s1	534.000000	474	1128	0	0
Atp6v1d	534.000000	474	1128	0	0
Yipf3	528.333333	634	951	0	0
Polr1c	528.333333	634	951	0	0
Cemip2	527.666667	474	1109	0	0
Wwox	522.333333	426	452	689	0
Fnip1	519.666667	657	902	0	0
Olfr806	518.666667	540	506	510	0
Tmem125	518.333333	541	712	302	0
Strn	517.666667	586	967	0	0
Abhd6	514.666667	471	402	671	0
Prkd3	507.333333	520	1002	0	0
Hells	506.000000	569	949	0	0
Asmt	505.666667	527	544	446	0
Ap3b1	504.000000	633	879	0	0
Wdcp	498.333333	542	953	0	0
Dbn1	495.000000	529	956	0	0
Rybp	494.666667	504	980	0	0
Foxf1	492.333333	495	982	0	0
Zfp219	491.666667	429	1046	0	0
Tmem253	491.666667	429	1046	0	0
Tkfc	488.000000	557	907	0	0
Ddb1	488.000000	557	907	0	0
Rrbp1	487.666667	369	1094	0	0
Exoc2	484.666667	640	814	0	0
Fam227a	480.000000	519	921	0	0
Cby1	480.000000	519	921	0	0
Psmd3	478.666667	570	866	0	0
Wnt10b	476.000000	489	939	0	0
Setd4	475.666667	563	864	0	0
Cbr1	475.666667	563	864	0	0
Olfml2b	475.333333	573	853	0	0
Oas1c	474.000000	444	978	0	0
Oas1b	474.000000	444	978	0	0
Fosl1	474.000000	444	978	0	0
Ercc5	473.000000	578	841	0	0
Rbms1	467.333333	603	799	0	0
Xab2	467.000000	612	789	0	0
Pet100	467.000000	612	789	0	0
Pcp2	467.000000	612	789	0	0
Bbs5	463.333333	451	939	0	0
Atp6v1g1	461.333333	543	841	0	0
Klf3	456.666667	558	812	0	0
Cbll1	455.333333	420	946	0	0
Adra2a	452.333333	527	830	0	0
Rab23	450.333333	501	850	0	0
Smim13	440.000000	439	881	0	0
C1ql4	439.333333	453	865	0	0
Fryl	438.666667	619	697	0	0
Arhgap10	437.333333	414	898	0	0
Esd	437.000000	555	756	0	0
Ypel4	436.000000	494	814	0	0
Wdr37	435.333333	410	896	0	0
Ccdc171	434.666667	412	892	0	0
Rfc2	430.666667	417	875	0	0
Plekhg3	426.000000	263	1015	0	0
Tpgs1	424.000000	435	837	0	0
Smpd1	421.000000	431	832	0	0
Zbtb5	418.666667	400	856	0	0
Polr1e	418.666667	400	856	0	0
Smim14	418.000000	352	902	0	0
Vmn2r4	413.666667	397	368	476	0
Chpf2	398.666667	508	688	0	0
Esr1	394.333333	313	313	557	0
Rab32	384.666667	444	710	0	0
Rplp0	382.333333	406	741	0	0
Gcn1	382.333333	406	741	0	0
Prps1l3	381.000000	426	717	0	0
Mipol1	381.000000	426	717	0	0
Yeats2	380.000000	495	645	0	0
Cuedc1	380.000000	415	725	0	0
Tspo	379.666667	397	742	0	0
Sec23ip	378.000000	420	714	0	0
Mcmbp	378.000000	420	714	0	0
Ints13	376.333333	231	898	0	0
Fgfr1op2	376.333333	231	898	0	0
Srsf4	369.666667	407	702	0	0
Cep70	369.000000	447	660	0	0
Fosl2	365.000000	479	616	0	0
Marveld1	359.333333	493	585	0	0
Sec63	358.666667	343	733	0	0
Dusp10	358.666667	370	706	0	0
1700056E22Rik	358.666667	370	706	0	0
Antxr1	356.000000	415	653	0	0
Triobp	355.333333	377	689	0	0
