Target_genes	Rara|Average	SRX018669|ES_cells	SRX10562781|ES_cells	SRX208055|ES_cells	SRX208062|ES_cells	SRX520462|F9	SRX520468|F9	SRX520474|F9	SRX520479|F9	SRX3301664|Forelimb	SRX3301665|Forelimb	SRX4369776|Germline_stem_cells	SRX4369779|Germline_stem_cells	SRX4369782|Germline_stem_cells	SRX4369785|Germline_stem_cells	SRX337439|Liver	SRX018670|mESC_derived_neural_cells	SRX118692|mESC_derived_neural_cells	SRX118693|mESC_derived_neural_cells	SRX675957|Th1_Cells	STRING
Tcstv3	1397.315789	612	2312	2391	2330	845	1538	813	815	2427	2443	844	829	925	526	2188	613	2041	741	1316	0
Olfr806	612.105263	791	0	633	582	1025	392	945	1045	0	0	759	765	794	164	760	827	677	784	687	0
Cldn34d	600.473684	245	2640	0	0	198	402	120	259	1496	1382	676	712	506	179	223	284	1231	233	623	0
Abhd6	580.894737	730	0	477	553	867	290	903	1017	0	0	797	765	800	291	548	705	650	790	854	0
Wwox	536.210526	833	0	283	305	987	409	954	908	0	0	712	602	677	336	588	741	631	835	387	0
Kpna1	436.947368	535	0	543	292	654	419	626	747	0	0	549	502	429	147	886	552	493	300	628	0
Brox	411.368421	356	1219	574	332	184	494	115	206	351	301	483	579	414	319	163	429	867	0	430	0
Aida	411.368421	356	1219	574	332	184	494	115	206	351	301	483	579	414	319	163	429	867	0	430	0
Esr1	378.684211	821	0	157	168	614	303	590	546	0	0	376	444	500	233	337	810	403	683	210	0
Asmt	319.842105	126	523	160	199	199	1443	184	320	220	627	360	247	233	239	280	0	167	85	465	0
Tent5c	279.947368	645	0	0	154	618	0	527	678	0	0	418	444	218	0	269	686	223	439	0	0
Csf2ra	279.210526	491	0	0	0	624	244	545	575	0	0	452	501	362	491	0	473	354	0	193	0
Slc15a1	272.631579	0	712	79	108	209	3077	241	268	0	0	0	0	0	0	0	0	486	0	0	0
Oasl1	267.736842	311	0	0	0	215	101	239	174	0	0	679	706	646	591	0	391	441	277	316	0
Il31ra	252.105263	367	0	818	344	300	163	377	455	0	0	196	0	0	0	632	312	249	236	341	0
Vmn2r102	241.578947	577	0	0	0	264	293	125	223	0	0	562	638	280	302	0	649	525	152	0	0
H4c8	240.421053	0	230	764	700	431	210	666	569	0	0	0	0	0	0	808	0	0	190	0	0
Calr	229.210526	0	506	428	343	0	1163	128	102	0	0	0	0	0	0	1113	0	496	76	0	0
H2ac10	228.315789	0	0	764	700	431	210	666	569	0	0	0	0	0	0	808	0	0	190	0	0
Sspn	222.368421	250	363	866	557	162	113	162	180	0	0	96	0	0	0	872	148	153	189	114	0
Eapp	222.000000	0	136	1182	1269	0	0	0	0	139	294	0	0	0	0	1198	0	0	0	0	0
Gabarapl2	221.842105	0	707	0	0	140	2116	179	140	0	0	0	0	0	0	283	0	650	0	0	0
Tex14	221.421053	0	176	1273	1159	0	0	0	0	172	448	0	0	0	0	979	0	0	0	0	0
Adgra2	218.684211	0	516	86	0	0	1984	108	175	0	0	0	0	0	0	0	0	1286	0	0	0
Rbks	215.052632	163	714	87	115	99	878	159	235	209	311	185	0	0	0	138	151	433	106	103	0
Babam2	215.052632	163	714	87	115	99	878	159	235	209	311	185	0	0	0	138	151	433	106	103	0
Fbxw7	208.526316	0	0	103	0	853	182	921	1013	0	0	0	0	0	0	278	0	0	612	0	0
Akirin2	207.105263	0	0	108	0	863	385	806	806	0	0	0	0	0	0	421	0	0	546	0	0
Tmem181a	203.684211	0	846	0	106	0	1656	151	0	0	0	0	0	0	0	0	0	1111	0	0	0
Tmem125	200.894737	161	373	133	0	0	566	0	0	316	531	257	309	0	0	382	173	0	168	448	0
Hivep3	199.947368	0	603	0	0	0	1716	113	160	0	0	0	0	0	0	0	0	1207	0	0	0
Tomm5	199.736842	0	851	173	98	0	1285	85	80	0	0	106	0	0	0	256	0	861	0	0	0
Gpx4	197.052632	0	692	289	141	89	1068	0	74	87	0	0	0	0	0	536	0	768	0	0	0
Efnb3	195.473684	0	316	0	0	159	2428	201	136	0	0	0	0	0	0	0	0	474	0	0	0
Ints3	194.894737	0	570	170	88	114	1435	137	205	0	0	0	0	0	0	201	0	783	0	0	0
Kcnk5	192.368421	0	237	210	0	160	1479	148	100	0	0	0	0	0	0	675	0	646	0	0	0
Bcl2a1a	191.578947	0	904	0	0	79	2304	107	0	0	0	0	0	0	0	0	0	246	0	0	0
Aqp3	189.631579	0	467	0	0	155	1940	147	195	0	0	0	0	0	0	0	0	699	0	0	0
Fubp3	188.631579	0	581	88	0	125	1422	184	132	0	0	0	0	0	0	133	0	919	0	0	0
Atp11b	187.789474	0	557	0	0	154	1826	142	229	0	0	0	0	0	0	333	0	327	0	0	0
Plekhb1	187.631579	157	268	0	0	0	916	104	173	521	466	0	0	0	0	438	0	433	89	0	0
Hoxb13	187.000000	0	792	336	233	88	1282	95	0	0	0	0	0	0	0	0	0	727	0	0	0
H4c3	186.157895	0	0	978	868	0	0	0	0	0	0	0	0	0	0	1691	0	0	0	0	0
H1f6	186.157895	0	0	978	868	0	0	0	0	0	0	0	0	0	0	1691	0	0	0	0	0
Gcgr	185.526316	636	0	0	0	396	0	380	490	0	0	322	222	0	0	93	591	0	395	0	0
Oxnad1	181.526316	0	257	129	173	92	1376	168	189	178	79	0	0	0	0	0	0	808	0	0	0
Dph3	181.526316	0	257	129	173	92	1376	168	189	178	79	0	0	0	0	0	0	808	0	0	0
Mtf2	180.947368	0	514	310	167	0	1775	101	0	0	0	0	0	0	0	122	0	449	0	0	0
Cdx1	180.894737	0	526	83	0	138	1334	148	218	0	0	0	0	0	0	0	87	903	0	0	0
Rarb	178.947368	0	165	147	0	115	1356	186	211	259	244	106	0	0	0	269	126	216	0	0	441
Sbno2	178.789474	542	203	74	0	331	164	320	414	0	154	208	0	0	0	150	615	222	0	0	0
Tmem33	177.052632	0	0	62	0	795	192	680	862	0	0	0	0	0	0	309	0	0	464	0	0
Nemf	173.052632	217	283	154	164	592	271	236	251	0	0	0	0	0	0	338	214	0	568	0	0
Cdk15	171.157895	0	742	0	0	0	1711	109	92	0	0	0	0	0	0	0	0	598	0	0	0
Mkrn1	170.842105	0	608	92	0	58	1672	0	0	0	0	0	0	0	0	0	0	816	0	0	0
Fam227b	170.631579	289	0	147	112	620	267	356	393	0	0	0	0	0	0	291	165	0	602	0	0
Dtwd1	170.631579	289	0	147	112	620	267	356	393	0	0	0	0	0	0	291	165	0	602	0	0
H3c7	169.000000	0	0	885	1052	175	0	124	236	0	0	0	0	0	0	739	0	0	0	0	0
Xylb	168.000000	0	956	0	0	0	705	0	0	0	0	0	0	0	0	643	0	888	0	0	0
Bcl2a1b	166.473684	0	512	0	0	118	2066	151	95	0	0	0	0	0	0	0	0	221	0	0	0
Notch4	166.210526	0	576	0	0	132	1427	0	80	0	0	0	0	0	0	0	0	943	0	0	0
Cyp26a1	165.368421	0	668	0	96	87	1226	141	117	0	0	0	0	0	0	0	165	489	153	0	0
Pidd1	164.631579	89	343	275	73	0	516	76	132	235	266	0	0	0	0	379	109	551	84	0	0
Znfx1	163.894737	0	132	315	212	0	1127	0	0	0	0	0	0	0	0	995	0	333	0	0	0
Socs3	163.789474	0	163	0	115	81	927	0	0	0	0	0	0	0	0	922	0	904	0	0	0
Rps29	163.631579	300	229	112	0	485	266	255	424	0	0	0	0	0	0	433	224	0	381	0	0
H4c2	161.578947	0	0	1108	931	0	0	0	0	0	0	0	0	0	0	817	0	0	214	0	0
Slc25a22	161.473684	89	343	0	117	0	516	76	132	235	266	0	0	0	0	550	109	551	84	0	0
Trim29	160.052632	0	0	0	0	881	276	782	888	0	0	0	0	0	0	0	0	0	214	0	0
Hmox2	158.894737	138	0	92	105	531	141	665	600	0	0	0	0	0	0	599	148	0	0	0	0
Ilf2	158.684211	0	304	141	0	541	273	589	673	0	0	0	0	0	0	129	0	0	365	0	0
Tmem191c	158.368421	0	517	229	0	88	1337	0	0	0	0	0	0	0	0	365	0	473	0	0	0
Enpp4	156.578947	0	667	109	0	128	1319	138	99	0	0	0	0	0	0	0	0	515	0	0	0
Tctn1	156.526316	0	375	0	0	94	1589	189	166	0	0	0	0	0	0	209	0	352	0	0	0
Prdx6	154.842105	0	155	113	0	96	1443	216	116	0	0	0	0	0	0	474	0	329	0	0	0
BC107364	154.421053	0	193	876	1034	0	157	0	0	0	296	0	0	0	0	378	0	0	0	0	0
H3c6	154.368421	0	0	1203	1084	0	0	0	0	0	0	0	0	0	0	646	0	0	0	0	0
Ssty2	153.263158	0	0	0	0	749	354	778	794	0	0	0	0	0	0	0	0	0	237	0	0
Gm21242	153.263158	0	0	0	0	749	354	778	794	0	0	0	0	0	0	0	0	0	237	0	0
H4c4	152.947368	0	0	767	609	0	0	0	0	0	0	0	0	0	0	1433	0	0	97	0	0
H2bc6	152.947368	0	0	767	609	0	0	0	0	0	0	0	0	0	0	1433	0	0	97	0	0
Brwd1	152.631579	0	453	105	87	112	806	136	204	0	0	0	0	0	0	335	0	662	0	0	0
Taf13	151.105263	0	141	344	230	0	701	0	0	0	0	0	0	0	0	1247	0	208	0	0	0
H3c2	150.315789	0	0	1108	931	0	0	0	0	0	0	0	0	0	0	817	0	0	0	0	0
H3f3b	150.263158	0	0	694	743	0	0	0	0	0	0	0	0	0	0	1418	0	0	0	0	0
Rdm1	147.000000	0	0	351	586	0	0	0	0	181	323	0	0	0	0	1352	0	0	0	0	0
Cidea	146.947368	0	498	0	0	89	1327	93	69	0	0	0	0	0	0	0	0	716	0	0	0
Rasip1	145.842105	316	0	0	0	603	218	228	382	0	0	0	0	0	0	326	228	0	470	0	0
Bcl2a1d	145.736842	0	362	0	0	0	1871	172	52	0	0	0	0	0	0	0	0	312	0	0	0
Capns1	145.105263	0	394	0	0	0	1361	143	125	0	0	0	0	0	0	172	0	562	0	0	0
Slc6a16	143.789474	0	942	0	0	0	774	64	140	0	0	0	0	0	0	0	0	812	0	0	0
Cd37	143.789474	0	942	0	0	0	774	64	140	0	0	0	0	0	0	0	0	812	0	0	0
Srsf7	143.578947	0	0	791	476	0	0	0	0	0	0	0	0	0	0	1461	0	0	0	0	0
Slc35g3	142.526316	0	0	678	658	0	0	0	0	0	0	0	0	0	0	1372	0	0	0	0	0
Polr2a	142.526316	0	0	678	658	0	0	0	0	0	0	0	0	0	0	1372	0	0	0	0	0
Mafa	142.526316	0	571	0	0	0	981	84	152	0	0	0	0	0	0	95	0	825	0	0	0
Tcp11	142.421053	0	480	117	0	78	948	69	70	0	0	0	0	0	0	137	0	807	0	0	0
Izumo1	142.315789	316	0	0	0	603	218	228	382	0	0	0	0	0	0	259	228	0	470	0	0
Tfrc	141.947368	0	286	267	262	136	798	120	70	0	0	0	0	0	0	562	0	196	0	0	0
Cic	141.421053	0	491	0	69	64	1048	168	142	0	0	0	0	0	0	160	0	545	0	0	0
Pspn	140.894737	0	225	160	0	119	698	86	90	160	261	134	0	0	0	386	0	358	0	0	0
Erdr1	140.894737	0	210	338	229	0	239	0	206	0	0	463	452	0	415	125	0	0	0	0	0
Alkbh7	140.894737	0	225	160	0	119	698	86	90	160	261	134	0	0	0	386	0	358	0	0	0
H2bc9	140.842105	0	0	885	1052	0	0	0	0	0	0	0	0	0	0	739	0	0	0	0	0
Olfr180	140.105263	0	0	0	0	675	0	576	966	0	0	0	0	0	0	0	0	0	445	0	0
Ksr1	139.315789	0	300	198	209	0	766	0	64	0	0	0	0	0	0	502	0	608	0	0	0
