Target_genes	Rarb|Average	SRX993450|Caudate_putamen	STRING
Dpysl3	1444.000000	1444	0
Olfr180	1432.000000	1432	0
Trim29	1352.000000	1352	0
Fbxw7	1284.000000	1284	0
Tcstv3	1254.000000	1254	0
Ssty2	1251.000000	1251	0
Gm21242	1251.000000	1251	0
Dlg4	1251.000000	1251	0
Tpm2	1242.000000	1242	0
Tro	1226.000000	1226	0
Cd44	1199.000000	1199	0
Tmem33	1196.000000	1196	0
Rlbp1	1139.000000	1139	0
Fanci	1139.000000	1139	0
Akirin2	1118.000000	1118	0
Trim40	1113.000000	1113	0
Rgs18	1098.000000	1098	0
Olfr806	1092.000000	1092	0
Abhd6	1058.000000	1058	0
Exosc2	1054.000000	1054	0
Adam5	1039.000000	1039	0
Olfr646	1029.000000	1029	0
Slc38a5	1021.000000	1021	0
Creb3l3	1003.000000	1003	0
Sumo1	997.000000	997	0
Gpr141	996.000000	996	0
Fgl2	991.000000	991	0
Grap	984.000000	984	0
Serpinf1	966.000000	966	0
Trib3	964.000000	964	0
Ehd4	932.000000	932	0
Ilf2	930.000000	930	0
Trp73	924.000000	924	0
Hsd11b1	922.000000	922	0
Tdpoz3	908.000000	908	0
Ugt1a8	901.000000	901	0
Tas2r134	899.000000	899	0
Myh2	890.000000	890	0
Fam24b	890.000000	890	0
Cyth4	863.000000	863	0
Cela1	860.000000	860	0
Gnl2	852.000000	852	0
Rrn3	842.000000	842	0
Depdc1a	839.000000	839	0
Stpg4	824.000000	824	0
Sema4f	824.000000	824	0
Ccn3	822.000000	822	0
Vgll2	814.000000	814	0
Nup50	813.000000	813	0
Sbk2	802.000000	802	0
Slc26a4	801.000000	801	0
Il4	792.000000	792	0
Avpr1a	789.000000	789	0
Tmigd1	787.000000	787	0
Cxcl5	783.000000	783	0
Kcna6	780.000000	780	0
Npbwr1	778.000000	778	0
Prss47	775.000000	775	0
Ccin	772.000000	772	0
Gabrb3	770.000000	770	0
Klf4	766.000000	766	0
Coa3	763.000000	763	0
Cntd1	763.000000	763	0
Abr	759.000000	759	0
Gm20806	729.000000	729	0
Gm21943	724.000000	724	0
Gm21330	724.000000	724	0
Vmn1r212	723.000000	723	0
P4ha3	721.000000	721	0
Defb48	719.000000	719	0
Pak3	717.000000	717	0
H4c8	709.000000	709	0
H3c8	709.000000	709	0
H2ac10	709.000000	709	0
Chn2	699.000000	699	0
Bgn	693.000000	693	0
AU018091	686.000000	686	0
Olfr628	684.000000	684	0
Aldh3b2	683.000000	683	0
Olfr1015	682.000000	682	0
Ccn4	682.000000	682	0
Lgi4	681.000000	681	0
Fxyd7	681.000000	681	0
Fxyd1	681.000000	681	0
Sim2	680.000000	680	0
Trim34a	674.000000	674	0
H60c	671.000000	671	0
Cmas	671.000000	671	0
Olfr243	669.000000	669	0
Thbs4	664.000000	664	0
Stk3	660.000000	660	0
Ranbp3l	656.000000	656	0
Cyfip2	649.000000	649	0
Akap14	644.000000	644	0
Wwox	639.000000	639	0
Sp7	626.000000	626	0
Vgll4	623.000000	623	0
Prkcb	622.000000	622	0
Gm648	620.000000	620	0
Arg1	620.000000	620	0
Gucy1a2	616.000000	616	0
Hbb-bt	613.000000	613	0
Hbb-b2	613.000000	613	0
Adamts19	610.000000	610	0
Lilr4b	609.000000	609	0
Atp1a4	607.000000	607	0
Prss51	596.000000	596	0
Asb2	595.000000	595	0
Rgr	593.000000	593	0
Olfr702	593.000000	593	0
Olfr449	589.000000	589	0
Hes7	587.000000	587	0
Aloxe3	587.000000	587	0
Tpcn2	585.000000	585	0
Klk8	585.000000	585	0
Omp	580.000000	580	0
Ier5	577.000000	577	0
Mboat1	576.000000	576	0
Gsx2	575.000000	575	0
Slx4ip	574.000000	574	0
Npy5r	572.000000	572	0
4930519L02Rik	568.000000	568	0
Npy6r	565.000000	565	0
Limch1	565.000000	565	0
Adck5	564.000000	564	0
Ccdc60	562.000000	562	0
Olfr685	559.000000	559	0
Kpna1	553.000000	553	0
Fam89a	553.000000	553	0
Gm20854	549.000000	549	0
Slc33a1	545.000000	545	0
Olfm5	545.000000	545	0
Faim	544.000000	544	0
Med1	542.000000	542	0
Gpm6a	541.000000	541	0
Gc	539.000000	539	0
Zfp101	538.000000	538	0
Capn3	535.000000	535	0
Tmprss11e	534.000000	534	0
Ankrd66	533.000000	533	0
Zfp275	532.000000	532	0
Inmt	532.000000	532	0
Rbmy	529.000000	529	0
Gm21708	529.000000	529	0
Gm21677	529.000000	529	0
Kcnn2	528.000000	528	0
Mettl14	526.000000	526	0
Olfr1375	524.000000	524	0
Pax7	523.000000	523	0
Slfn4	522.000000	522	0
Acp6	520.000000	520	0
Fuca2	519.000000	519	0
Rergl	518.000000	518	0
Nme7	518.000000	518	0
Blzf1	518.000000	518	0
Ikzf4	515.000000	515	0
Etv3l	513.000000	513	0
4921539E11Rik	510.000000	510	0
Tent5c	508.000000	508	0
Olfr1200	505.000000	505	0
Grid2ip	505.000000	505	0
Gja4	505.000000	505	0
Tnfsf9	503.000000	503	0
Xrcc1	502.000000	502	0
Pinlyp	502.000000	502	0
Clrn3	502.000000	502	0
Zic4	500.000000	500	0
Trim41	500.000000	500	0
Ghrhr	499.000000	499	0
Olfr1487	498.000000	498	0
Gm4787	498.000000	498	0
Gm20826	498.000000	498	0
Acp1	498.000000	498	0
Zfp322a	495.000000	495	0
Slc2a9	495.000000	495	0
Gas1	492.000000	492	0
Foxp2	492.000000	492	0
Gm21394	491.000000	491	0
Akap17b	489.000000	489	0
Fabp6	487.000000	487	0
Cald1	486.000000	486	0
Ctxn2	485.000000	485	0
Speer4a	484.000000	484	0
Hmox2	484.000000	484	0
Slc44a3	483.000000	483	0
Gm10471	481.000000	481	0
Mill1	480.000000	480	0
Lce3c	480.000000	480	0
5031410I06Rik	480.000000	480	0
Nrg2	479.000000	479	0
Gpr31b	479.000000	479	0
Cd53	479.000000	479	0
Pitrm1	478.000000	478	0
Cxcl11	477.000000	477	0
Best2	475.000000	475	0
Atxn1	473.000000	473	0
Mycn	472.000000	472	0
Gsdmc4	470.000000	470	0
Gm21302	469.000000	469	0
Gm20852	469.000000	469	0
Agbl5	465.000000	465	0
Rragb	462.000000	462	0
Lgi1	462.000000	462	0
Spg20	459.000000	459	0
Igfbp2	459.000000	459	0
Scgb2b2	455.000000	455	0
Defb8	455.000000	455	0
Ibsp	454.000000	454	0
Slc22a23	452.000000	452	0
Ncam1	452.000000	452	0
Mynn	452.000000	452	0
Lce1e	452.000000	452	0
Actrt3	452.000000	452	0
Olfr1128	451.000000	451	0
