Target_genes	Rarg|Average	SRX087270|F9	SRX087271|F9	SRX087272|F9	SRX087273|F9	SRX087274|F9	STRING
Tcstv3	679.800000	612	755	764	565	703	0
Olfr806	466.000000	194	626	409	561	540	0
Wwox	462.800000	268	590	418	456	582	0
Esr1	423.000000	207	523	409	494	482	0
Kpna1	399.200000	572	347	378	235	464	0
Abhd6	356.800000	0	484	252	537	511	0
Csf2ra	291.600000	373	255	286	262	282	0
Il31ra	268.000000	274	194	406	169	297	0
Brox	243.800000	342	292	261	167	157	0
Aida	243.800000	342	292	261	167	157	0
Crebzf	222.200000	0	306	244	371	190	0
Notch4	194.800000	0	707	267	0	0	0
Aadacl2fm1	181.800000	0	576	333	0	0	0
Snap25	160.000000	227	0	371	0	202	0
Ifna13	155.000000	203	0	306	0	266	0
Gabarapl2	148.000000	0	467	273	0	0	0
Oasl1	135.800000	146	128	223	0	182	0
Dchs2	130.800000	0	200	151	160	143	0
Lrit2	115.800000	209	0	228	0	142	0
Sspn	108.600000	178	148	217	0	0	0
Eapp	96.800000	122	0	257	0	105	0
H4c18	91.200000	151	0	196	0	109	0
H4bc24	91.200000	151	0	196	0	109	0
H2bc23	91.200000	151	0	196	0	109	0
H2ac24	91.200000	151	0	196	0	109	0
H2ac23	91.200000	151	0	196	0	109	0
BC107364	90.800000	138	0	237	0	79	0
Enpp4	90.400000	0	337	115	0	0	0
Adgra2	89.000000	0	445	0	0	0	0
Copz1	83.600000	0	227	0	0	191	0
H4c6	81.600000	97	0	229	0	82	0
H1f3	81.600000	97	0	229	0	82	0
Tomm5	80.800000	0	404	0	0	0	0
Armc8	79.000000	169	0	226	0	0	0
H2bc4	77.800000	149	0	161	0	79	0
H2ac6	77.800000	149	0	161	0	79	0
Nodal	76.400000	0	222	160	0	0	0
Taf12	74.400000	164	0	208	0	0	0
Tti2	69.600000	115	0	233	0	0	0
Pmepa1	68.600000	0	225	118	0	0	0
Bcl2a1a	68.600000	107	100	136	0	0	0
Gtf3c6	68.000000	128	0	212	0	0	0
Slc35f4	67.800000	0	0	244	0	95	0
Cdk15	67.800000	0	224	115	0	0	0
H3c6	63.000000	0	0	241	0	74	0
Zfp143	61.800000	159	150	0	0	0	0
Asmt	61.400000	0	160	147	0	0	0
Gpx4	60.800000	0	304	0	0	0	0
H4c12	60.400000	145	0	157	0	0	0
H2bc15	60.400000	145	0	157	0	0	0
H2ac15	60.400000	145	0	157	0	0	0
Schip1	59.000000	159	0	136	0	0	0
H4c4	59.000000	0	0	189	0	106	0
H2bc6	59.000000	0	0	189	0	106	0
Hivep3	58.600000	0	182	111	0	0	0
Tex14	57.800000	152	0	137	0	0	0
Dusp9	55.200000	0	276	0	0	0	0
Glra1	54.800000	0	0	142	0	132	0
Dcaf4	54.800000	0	274	0	0	0	0
Cic	54.000000	0	270	0	0	0	0
Tbc1d10b	53.000000	0	265	0	0	0	0
Mylpf	53.000000	0	265	0	0	0	0
Fubp3	50.800000	0	254	0	0	0	0
Zfp827	49.000000	0	245	0	0	0	0
Marchf4	48.400000	0	0	148	0	94	0
Efnb3	47.800000	91	148	0	0	0	0
Atp11b	47.000000	0	150	85	0	0	0
Dppa2	46.400000	0	232	0	0	0	0
Dcaf5	44.800000	0	96	128	0	0	0
Zfp532	42.600000	0	213	0	0	0	0
Gm20939	42.600000	0	213	0	0	0	0
Slc6a16	41.600000	0	208	0	0	0	0
Hoxb13	41.600000	0	114	94	0	0	0
Cd37	41.600000	0	208	0	0	0	0
Acsl4	41.400000	0	207	0	0	0	0
H4c2	41.200000	0	0	109	0	97	0
H4c1	41.200000	0	0	109	0	97	0
H3c1	41.200000	0	0	109	0	97	0
H1f1	41.200000	0	0	109	0	97	0
Cbr3	38.200000	0	0	0	191	0	0
Scn8a	37.400000	0	0	187	0	0	0
Nphs1	37.400000	0	187	0	0	0	0
H4c9	37.200000	0	0	186	0	0	0
H2bc11	37.200000	0	0	186	0	0	0
