Target_genes	Rb1|Average	SRX183328|MEF	SRX183330|MEF	STRING
Tcstv3	1258.000000	1222	1294	0
Cldn34d	882.500000	948	817	0
Med16	708.500000	1090	327	0
Rps29	630.000000	733	527	0
Asmt	612.000000	594	630	0
Nemf	592.000000	633	551	0
Kpna1	573.000000	618	528	0
Abhd6	570.500000	519	622	0
Oasl1	531.000000	621	441	0
Pgk1	511.500000	870	153	0
Olfr806	502.000000	550	454	0
Brox	488.000000	512	464	0
Aida	488.000000	512	464	0
Malt1	458.500000	539	378	0
Cdh12	421.500000	516	327	0
Fam227b	405.500000	484	327	0
Dtwd1	405.500000	484	327	0
Pou5f1	393.500000	165	622	0
Rasip1	348.500000	386	311	0
Izumo1	348.500000	386	311	0
Prkdc	344.500000	369	320	0
Tmem125	293.500000	262	325	0
Wwox	291.500000	321	262	0
Il31ra	291.500000	337	246	0
Klf4	279.000000	0	558	0
Ankar	272.000000	242	302	0
Sox2	271.000000	0	542	0
Myc	263.500000	0	527	0
Zfp263	244.500000	227	262	0
Vmn2r102	244.500000	222	267	0
Eef1a1	241.000000	0	482	0
Csf2ra	198.000000	182	214	0
Gm20594	163.500000	0	327	0
Vmn2r4	121.000000	242	0	0
Trim50	112.000000	86	138	0
Ifna13	99.000000	0	198	0
Taar7a	91.000000	182	0	0
Taar6	91.000000	182	0	0
Npm2	84.000000	168	0	0
Sspn	70.000000	140	0	0
Evc2	57.500000	0	115	0
Evc	57.500000	0	115	0
Cdh1	0.000000	0	0	435
Neo1	0.000000	0	0	413
Uhrf1	0.000000	0	0	401
