Target_genes	Rbpj|Average	SRX13832280|BEko	SRX13832281|BEko	SRX13832282|BEko	SRX13832297|BEko	SRX13832298|BEko	SRX13832303|BEko	SRX13832304|BEko	SRX20794974|BEko	SRX20794975|BEko	SRX20794984|BEko	SRX20794985|BEko	SRX20794986|BEko	SRX20794987|BEko	SRX23493367|BEko	SRX23493368|BEko	SRX4670704|BEko	SRX4670705|BEko	SRX19144157|Brain_endothelial_cells	SRX19144158|Brain_endothelial_cells	SRX4740104|Brain_pericytes	SRX4740105|Brain_pericytes	SRX140327|C2C12	SRX140328|C2C12	SRX140329|C2C12	SRX140330|C2C12	SRX140331|C2C12	SRX140332|C2C12	SRX140337|C2C12	SRX140338|C2C12	SRX140339|C2C12	SRX140340|C2C12	SRX140342|C2C12	SRX140343|C2C12	SRX262848|F9	SRX262849|F9	SRX297989|F9	SRX297990|F9	SRX884573|GM18946	SRX070892|Leukemia,_Lymphoid	SRX070895|Leukemia,_Lymphoid	SRX287018|Neural_tube	SRX287019|Neural_tube	SRX485442|Neural_tube	SRX702808|T-ALL	SRX702809|T-ALL	SRX266509|T29	SRX266510|T29	SRX13239041|T_cells	SRX13239042|T_cells	SRX13239043|T_cells	SRX13239044|T_cells	SRX13239045|T_cells	SRX13239049|T_cells	SRX13239050|T_cells	SRX13239052|T_cells	SRX13239053|T_cells	SRX13239055|T_cells	SRX13239056|T_cells	SRX5551015|Unclassified	SRX5551016|Unclassified	SRX5551019|Unclassified	SRX5551020|Unclassified	STRING
Cldn34d	1294.564516	2084	2209	2240	2358	2425	1944	2498	2209	2240	1720	2010	2050	2056	1573	2038	1564	1613	1294	1340	2724	2733	285	350	335	284	290	366	345	332	314	343	332	412	152	0	0	0	1081	862	514	795	757	772	473	169	334	353	2063	2117	1817	2015	1947	2180	1994	2498	2071	2080	2149	1685	1734	242	499	0
Tcstv3	1151.774194	1919	1808	1842	819	716	881	652	1808	1842	1695	1880	1961	2069	1695	2055	1557	1887	285	411	2284	2202	638	632	787	789	804	831	652	664	704	654	769	828	1138	1278	569	257	2196	1476	1484	1985	1980	1912	1125	2025	597	580	388	229	1019	236	0	1061	1034	678	830	982	938	2310	2083	0	0	0
Brox	1064.774194	1403	1324	1472	1637	1566	1514	1745	1324	1472	936	1339	1330	1312	916	1332	872	999	897	987	2100	2134	75	134	137	119	112	96	242	173	187	128	177	134	2100	1901	1587	1944	1116	1337	1027	282	466	264	284	211	110	0	2140	2267	1522	1903	1712	1751	1552	1704	1681	1440	1710	1247	1252	577	604	0
Aida	1064.774194	1403	1324	1472	1637	1566	1514	1745	1324	1472	936	1339	1330	1312	916	1332	872	999	897	987	2100	2134	75	134	137	119	112	96	242	173	187	128	177	134	2100	1901	1587	1944	1116	1337	1027	282	466	264	284	211	110	0	2140	2267	1522	1903	1712	1751	1552	1704	1681	1440	1710	1247	1252	577	604	0
Tmem125	767.112903	1525	1475	1410	2025	1895	1859	1631	1475	1410	1238	1308	1289	1163	1129	1316	1009	1102	273	209	1739	1655	137	190	212	138	215	160	250	145	158	0	201	173	389	136	105	0	331	265	428	268	219	321	182	158	0	0	1484	1127	860	1331	1251	1262	1048	1072	1055	1136	1182	987	850	0	0	0
Cnot10	553.693548	642	1257	1277	1073	849	1035	510	1257	1277	1216	1387	1024	936	1228	1408	971	1125	0	0	853	839	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	1447	586	410	193	349	192	374	922	0	0	362	348	495	0	0	795	582	628	370	933	964	343	176	1787	1731	0
Rpl23	502.709677	525	1270	1104	832	721	709	461	1270	1104	1093	1059	946	668	1250	1421	1058	888	0	0	584	428	0	0	0	0	0	0	0	0	0	0	0	0	459	0	171	0	1373	796	329	400	251	399	167	604	0	0	516	423	478	0	0	712	612	788	444	851	996	375	135	1309	1189	0
Il31ra	426.322581	303	669	628	0	0	0	0	669	628	586	840	647	718	376	626	453	343	0	0	599	596	0	0	73	0	82	0	125	0	0	377	175	0	1569	1490	1299	1102	1549	1475	809	221	426	281	635	631	0	0	0	0	510	0	0	507	452	730	402	493	523	903	912	0	0	0
Kpna1	349.983871	232	251	0	0	0	0	0	251	0	0	198	215	385	0	236	0	0	0	0	373	336	181	146	181	324	277	209	227	243	283	530	292	270	1349	1476	1143	1338	1264	1667	1010	480	637	393	737	602	0	140	0	0	0	0	0	0	242	262	243	182	335	1021	1070	251	217	0
Asmt	313.000000	626	735	581	252	0	0	0	735	581	493	573	429	611	487	588	316	452	0	0	1132	1041	303	290	231	218	288	286	322	233	200	136	310	234	482	351	139	0	720	477	177	270	280	295	131	275	194	210	0	0	0	0	0	248	226	205	0	249	172	764	858	0	0	0
Gk5	293.725806	298	650	735	593	407	560	256	650	735	591	759	538	519	810	825	720	784	0	0	655	559	0	0	0	0	0	0	0	0	0	0	0	0	425	0	0	0	1611	874	138	336	288	338	0	314	0	0	0	0	0	0	0	0	0	0	0	0	0	235	254	905	849	0
