Target_genes	Relb|Average	SRX122464|Dendritic_Cells	SRX122465|Dendritic_Cells	SRX122466|Dendritic_Cells	SRX122467|Dendritic_Cells	SRX122576|Dendritic_Cells	SRX122577|Dendritic_Cells	SRX20904785|Dendritic_Cells	SRX20904786|Dendritic_Cells	SRX20904788|Dendritic_Cells	SRX20904789|Dendritic_Cells	SRX4680244|MEF	SRX4680245|MEF	SRX4680246|MEF	SRX4680247|MEF	STRING
Cldn34d	794.785714	369	514	315	382	518	0	761	605	962	529	1400	1409	1544	1819	0
Tcstv3	708.571429	872	1351	906	872	412	0	1635	1449	1631	792	0	0	0	0	0
Brox	548.142857	357	661	196	247	565	206	459	409	535	318	850	863	898	1110	0
Aida	548.142857	357	661	196	247	565	206	459	409	535	318	850	863	898	1110	0
Bicdl2	457.857143	0	0	0	0	0	0	2990	3188	232	0	0	0	0	0	0
Nup160	447.071429	0	0	0	0	0	0	2987	2962	310	0	0	0	0	0	0
Uts2b	431.714286	0	219	0	0	0	0	2872	2690	263	0	0	0	0	0	0
Sh3bp5	414.714286	0	0	0	0	0	0	2932	2759	115	0	0	0	0	0	0
Kpna1	397.928571	277	224	180	285	0	0	350	395	303	543	869	826	687	632	0
Inpp5a	379.214286	0	0	0	0	0	0	2639	2512	158	0	0	0	0	0	0
Car13	378.142857	0	0	0	0	0	0	2704	2477	0	0	0	0	0	113	0
Rmi2	376.571429	0	0	0	0	0	0	2383	2436	453	0	0	0	0	0	0
P2ry14	375.214286	0	0	0	0	0	0	2490	2763	0	0	0	0	0	0	0
Ifnar1	373.785714	0	0	0	0	0	0	2570	2267	151	0	0	0	0	245	0
Adam11	373.071429	0	0	0	0	0	0	2658	2565	0	0	0	0	0	0	0
Gm10634	372.571429	0	0	0	0	0	0	2516	2542	158	0	0	0	0	0	0
Cetn4	370.857143	0	0	0	0	0	0	2594	2466	132	0	0	0	0	0	0
Bbs12	370.857143	0	0	0	0	0	0	2594	2466	132	0	0	0	0	0	0
Spns3	369.357143	0	0	0	0	0	0	2380	2569	222	0	0	0	0	0	0
Mefv	368.571429	0	0	0	0	0	0	2624	2434	102	0	0	0	0	0	0
Nedd4	368.357143	0	0	0	0	0	0	2603	2355	199	0	0	0	0	0	0
Hdac10	368.285714	0	0	0	0	0	0	2534	2329	293	0	0	0	0	0	0
Mfsd6	365.714286	0	0	0	0	0	0	2436	2389	295	0	0	0	0	0	0
Cxcl9	363.142857	0	0	0	0	0	0	2447	2491	146	0	0	0	0	0	0
Art3	363.142857	0	0	0	0	0	0	2447	2491	146	0	0	0	0	0	0
Ankrd55	360.500000	0	0	0	0	0	0	2320	2727	0	0	0	0	0	0	0
Traf3	358.142857	0	0	0	0	0	0	2347	2446	221	0	0	0	0	0	0
Asb2	357.857143	0	179	0	0	0	0	2268	2369	194	0	0	0	0	0	0
Bloc1s6	357.214286	0	0	0	0	0	0	2346	2510	145	0	0	0	0	0	0
Tmprss9	357.142857	0	0	0	0	0	0	2233	2591	176	0	0	0	0	0	0
Nab1	352.714286	0	0	0	0	0	0	2522	2111	305	0	0	0	0	0	0
Il33	350.785714	0	0	0	0	0	0	2634	2277	0	0	0	0	0	0	0
Elmod2	349.500000	0	0	0	0	0	0	2312	2507	74	0	0	0	0	0	0
Rmnd5b	348.071429	0	0	0	0	0	0	2461	2412	0	0	0	0	0	0	0
Fam166b	347.214286	0	0	0	0	0	0	2273	2334	254	0	0	0	0	0	0
Pltp	347.000000	0	0	0	0	0	0	2434	2176	248	0	0	0	0	0	0
Lgi4	346.785714	0	0	0	0	0	0	2198	2571	86	0	0	0	0	0	0
Fxyd1	346.785714	0	0	0	0	0	0	2198	2571	86	0	0	0	0	0	0
