Target_genes	Rest|Average	SRX3660765|Bone_Marrow_Cells	SRX3660766|Bone_Marrow_Cells	SRX142526|C2C12	SRX3660763|CD4_CD8_double_negative_cells	SRX3660764|CD4_CD8_double_negative_cells	SRX13924406|Cortex	SRX13924407|Cortex	SRX13924408|Cortex	SRX13924409|Cortex	SRX21301484|Cortex	SRX21301485|Cortex	SRX21301486|Cortex	SRX21301487|Cortex	SRX8342507|Cortex	SRX8342508|Cortex	SRX8342509|Cortex	SRX8342510|Cortex	SRX11249163|Embryonic_pancreas	SRX11249164|Embryonic_pancreas	SRX11249165|Embryonic_pancreas	SRX11249166|Embryonic_pancreas	SRX11249167|Embryonic_pancreas	DRX013319|EpiSC	DRX013336|EpiSC	DRX013348|ES_cells	SRX039034|ES_cells	SRX041297|ES_cells	SRX041298|ES_cells	SRX041299|ES_cells	SRX041307|ES_cells	SRX047144|ES_cells	SRX310328|ES_cells	SRX310329|ES_cells	SRX315199|ES_cells	SRX3827070|ES_cells	SRX3827071|ES_cells	SRX3827072|ES_cells	SRX3827073|ES_cells	SRX4551451|ES_cells	SRX4551452|ES_cells	SRX4551453|ES_cells	SRX4551454|ES_cells	SRX4551457|ES_cells	SRX4551458|ES_cells	SRX4551459|ES_cells	SRX4551460|ES_cells	SRX4980243|ES_cells	SRX4980244|ES_cells	SRX4980245|ES_cells	SRX4980246|ES_cells	SRX9172002|ES_cells	SRX9172003|ES_cells	SRX9172004|ES_cells	SRX9172005|ES_cells	SRX9172006|ES_cells	SRX9172007|ES_cells	SRX9172008|ES_cells	SRX9172009|ES_cells	SRX7627564|Hippocampus	SRX7627566|Hippocampus	SRX9552253|MEF	SRX9552254|MEF	SRX9552255|MEF	SRX9552256|MEF	SRX11127137|mESC_derived_cardiac_cells	SRX11127139|mESC_derived_cardiac_cells	SRX11127141|mESC_derived_cardiac_cells	SRX11127143|mESC_derived_cardiac_cells	SRX041302|mESC_derived_neural_cells	SRX041303|mESC_derived_neural_cells	SRX041304|mESC_derived_neural_cells	SRX9084749|Placenta	SRX9084750|Placenta	SRX1559578|RAW_264.7	SRX1559579|RAW_264.7	SRX3660793|Scid.adh.2c2	SRX3660794|Scid.adh.2c2	SRX10580902|Unclassified	SRX10580903|Unclassified	STRING
Tcstv3	1228.632911	1468	1411	335	1498	1380	631	1338	383	1344	483	383	2073	2127	558	611	285	215	1149	1143	1200	1234	1130	448	506	1081	569	464	1624	165	706	1664	2136	879	1842	1930	2166	1972	2004	1957	2017	2040	1906	2322	2323	1265	1027	1300	1379	1872	1814	1240	1247	1313	1246	1304	1306	1245	1257	2373	2314	982	521	515	0	1061	1264	1704	1685	482	1434	655	2118	1947	149	125	1851	1967	0	0	0
Smim17	1199.531646	2870	3074	1354	2746	2947	1229	2377	1490	1779	2137	1540	3320	3723	201	0	0	0	153	315	448	154	95	377	309	541	2063	335	1603	1808	0	1863	2183	0	1151	2431	1677	2555	1712	1785	2641	2251	2316	2092	2305	273	408	0	0	3761	3895	160	129	210	0	179	412	116	0	96	484	0	0	0	0	0	0	0	0	326	559	1152	2788	2629	1575	1541	3252	3353	221	1294	0
Cacng2	1067.506329	2661	2833	1239	2500	2651	1833	2207	1838	1905	2081	1818	3468	3438	262	182	0	0	233	314	367	148	124	419	275	356	1923	178	1334	1278	0	1962	2002	0	996	1803	1229	2149	1428	1382	2125	2009	1807	1884	1894	155	212	0	0	3514	3584	88	140	142	0	118	273	0	0	0	247	0	0	0	0	0	0	0	0	140	371	961	2121	1926	348	556	3116	3247	637	1902	0
Npas4	1047.974684	1946	2059	1192	1725	1811	808	1346	895	807	1172	893	2410	2131	163	0	0	0	210	419	569	250	169	366	504	680	1899	371	1739	1673	0	1795	2084	0	1098	2560	1915	2768	1841	2169	2854	2573	2630	2208	2249	461	591	0	0	2642	2580	160	182	354	109	211	447	101	175	0	384	0	0	0	0	0	0	0	0	614	1009	1173	1896	2025	1550	1470	2266	2664	700	2075	0
Glra1	933.797468	2900	3093	1558	2770	2965	467	495	364	305	377	0	887	1006	0	0	0	0	123	321	475	148	160	0	159	593	1148	264	1383	1546	0	1864	1792	0	732	1929	1225	2195	1542	1653	2458	2107	1896	2106	2076	336	613	0	0	3482	3581	119	117	394	0	203	434	78	108	0	0	0	0	0	0	0	0	0	0	311	772	1188	1992	1658	1436	1602	3380	3422	342	1120	0
Celsr3	903.000000	2728	2798	1189	2437	2494	1020	1093	1145	880	997	787	2274	2427	0	0	0	0	158	288	217	91	117	252	245	414	915	299	1394	1497	0	1418	1434	0	685	2089	1165	1712	1344	1622	2296	1824	1686	1823	2000	319	452	0	0	2432	2435	213	192	382	0	202	262	94	132	0	136	0	0	0	0	0	0	0	0	327	719	1128	1854	1770	1621	1670	3345	1531	112	755	0
Vstm2l	873.924051	2377	2480	1285	2139	2305	799	1345	841	1065	1206	977	2367	2597	0	0	0	0	134	382	347	0	0	177	139	500	664	121	1093	1508	0	1666	1629	0	896	1620	1120	1947	1201	1330	1844	1563	1381	1709	1813	283	325	0	0	3063	3123	88	107	223	0	136	132	0	0	0	171	0	0	0	0	0	0	0	0	254	505	980	1911	1406	1370	1451	2671	2814	336	1124	0
Iqsec3	868.632911	3056	3117	1412	2681	2889	882	902	1054	644	773	594	2046	1836	0	0	0	0	171	289	345	155	0	205	336	468	1381	136	1144	1008	0	1706	1272	0	678	1538	704	1694	1034	1077	1482	1347	1289	1612	1898	244	241	0	0	3341	3388	109	148	201	0	130	237	0	0	0	0	0	0	0	0	0	0	0	0	170	351	1064	2294	1857	1322	1506	3212	2815	199	938	0
Xkr7	851.987342	2824	3054	1329	2536	2687	486	443	450	343	278	0	1039	1186	0	0	0	0	168	305	307	106	73	156	239	556	1223	292	1624	1401	0	1901	1431	0	651	1484	1101	1696	872	1216	1819	1523	1575	1843	2009	228	277	0	0	3167	3248	166	127	171	0	169	388	0	0	0	0	0	0	0	0	0	0	0	0	406	701	1357	1959	1433	1613	1588	3201	3368	338	1176	0
Nkx1-1	843.417722	2924	3066	1403	2653	2830	385	454	510	408	541	373	1475	1699	0	0	0	0	0	312	316	116	0	199	223	460	1351	235	1328	1427	0	1900	2082	0	727	1403	896	1512	993	998	1631	1385	1276	1710	1809	167	249	0	0	3256	3434	0	0	99	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	295	221	912	1742	1514	1624	1550	3169	3353	497	1300	0
