Target_genes	Rfx1|Average	SRX7671902|Embryonic_brains	SRX7671903|Embryonic_brains	SRX027337|mESC_derived_neural_cells	SRX1161944|MIN6B1	STRING
Cnih2	2546.000000	2003	2721	3468	1992	0
Fam227b	2464.250000	1943	2394	3464	2056	0
Dtwd1	2464.250000	1943	2394	3464	2056	0
Tmx4	2458.500000	2509	2745	2454	2126	0
Mks1	2400.500000	1948	1990	3364	2300	0
Xrcc1	2307.250000	2061	2083	3286	1799	0
Pinlyp	2307.250000	2061	2083	3286	1799	0
Ccdc30	2275.000000	1939	2153	3299	1709	0
Pofut2	2269.000000	1800	1512	3872	1892	0
Cfap298	2207.500000	2022	2142	3020	1646	0
Rfx1	2207.000000	1550	1875	3491	1912	0
Wdr90	2203.000000	1818	1949	2888	2157	0
3110082I17Rik	2182.000000	1713	1865	3114	2036	0
Foxj1	2178.250000	1606	1924	3129	2054	0
E4f1	2172.000000	1624	1971	2904	2189	0
1700030J22Rik	2132.250000	1654	1935	3345	1595	0
Tctex1d2	2129.750000	1922	1907	2450	2240	0
Mthfr	2116.250000	1642	1871	3271	1681	0
Clcn6	2116.250000	1642	1871	3271	1681	0
Zdhhc1	2099.000000	1218	1593	3472	2113	0
Tecpr2	2090.500000	1645	2083	2501	2133	0
Cinp	2090.500000	1645	2083	2501	2133	0
Wdr34	2083.500000	1522	1394	3248	2170	0
Zc3h3	2076.750000	1589	1951	2742	2025	0
Ssbp2	2073.750000	1582	1716	3054	1943	0
Fam131a	2072.750000	1611	1915	2643	2122	0
Gar1	2071.750000	1460	1672	2988	2167	0
Jund	2069.500000	1443	1467	3470	1898	0
Iqcn	2069.500000	1443	1467	3470	1898	0
Jam3	2061.000000	1612	1635	2853	2144	0
Mapre3	2059.250000	2080	2115	2215	1827	0
Rundc1	2032.500000	1678	1620	2791	2041	0
Ptges3l	2032.500000	1678	1620	2791	2041	0
Tctn1	2028.250000	1537	1773	2747	2056	0
Cenpf	2027.500000	1399	1623	2892	2196	0
Sde2	2016.500000	1353	1738	3031	1944	0
