Target_genes	Rfx2|Average	SRX7671904|Embryonic_brains	SRX7671905|Embryonic_brains	SRX17748066|Epidermis	SRX1011026|Testis	SRX1011027|Testis	STRING
Tmx4	1705.800000	1372	1289	0	3815	2053	0
Pin1	1617.800000	1476	1077	0	3550	1986	0
Sema4b	1534.000000	1194	980	0	3613	1883	0
Tcstv3	1441.000000	1875	1968	216	1576	1570	0
Thnsl1	1406.200000	967	630	0	3645	1789	0
Enkur	1406.200000	967	630	0	3645	1789	0
Cfap298	1255.600000	804	1035	0	2895	1544	0
Dnajc16	1194.600000	556	733	0	2998	1686	0
Casp9	1194.600000	556	733	0	2998	1686	0
Mapre3	1161.800000	1075	854	0	2623	1257	0
Fez1	1123.800000	615	508	0	2846	1650	0
Orai3	1075.800000	953	861	0	2390	1175	0
Cfap65	1075.400000	408	721	0	2886	1362	0
Josd2	1044.800000	976	789	0	2266	1193	0
Aspdh	1044.800000	976	789	0	2266	1193	0
Caly	1018.800000	375	421	0	3009	1289	0
Cnih2	1011.600000	1136	843	0	2063	1016	0
Klhl18	1010.400000	436	499	0	2590	1527	0
Kif9	1010.400000	436	499	0	2590	1527	0
Ccdc13	1006.000000	529	663	0	2528	1310	0
Tctn2	990.000000	530	548	0	2737	1135	0
Lrrc56	976.800000	811	894	0	2178	1001	0
Hras	976.800000	811	894	0	2178	1001	0
1110051M20Rik	962.400000	544	493	0	2653	1122	0
Sfi1	955.200000	141	436	0	2604	1595	0
Cfap20	951.800000	489	455	0	2528	1287	0
Katnal2	945.400000	575	377	0	2584	1191	0
Marchf10	936.000000	267	220	0	2927	1266	0
1700030J22Rik	928.800000	436	324	349	2314	1221	0
Mapk8ip1	928.200000	574	364	0	2546	1157	0
Mast3	927.000000	598	398	654	2063	922	0
Mink1	915.800000	531	500	0	2408	1140	0
Wdr66	906.600000	230	346	0	2797	1160	0
Brox	894.800000	1362	672	200	1067	1173	0
Aida	894.800000	1362	672	200	1067	1173	0
Pnma1	891.400000	505	345	0	2364	1243	0
Pifo	889.800000	516	374	0	2352	1207	0
Ebna1bp2	886.600000	375	351	0	2512	1195	0
Cfap57	886.600000	375	351	0	2512	1195	0
Gstt2	884.000000	293	293	0	2670	1164	0
Arl6	883.800000	328	394	0	2459	1238	0
3110082I17Rik	882.400000	437	318	0	2427	1230	0
Mok	882.000000	542	524	0	2294	1050	0
Lrrc49	858.800000	315	402	0	2532	1045	0
Micos10	858.600000	551	492	0	2430	820	0
Ccdc181	858.600000	439	353	0	2375	1126	0
Mindy4	858.000000	439	426	0	2233	1192	0
Kifbp	857.000000	572	553	0	2297	863	0
Rlf	855.600000	403	534	0	2259	1082	0
B9d1	849.600000	537	378	0	2357	976	0
Ufsp2	841.600000	409	321	0	2498	980	0
1700029J07Rik	841.600000	409	321	0	2498	980	0
Eaf2	838.800000	420	381	0	2293	1100	0
Dad1	838.400000	556	454	0	2272	910	0
Abhd4	838.400000	556	454	0	2272	910	0
Mks1	835.400000	409	459	0	2379	930	0
Cep112	826.600000	493	370	0	2276	994	0
Lztfl1	826.000000	352	380	0	2390	1008	0
Dync2h1	824.600000	306	329	0	2468	1020	0
Dcun1d5	824.600000	306	329	0	2468	1020	0
Bbs1	824.600000	362	355	0	2352	1054	0
Pitpnm1	822.600000	320	455	0	2415	923	0
Cdk2ap2	822.600000	320	455	0	2415	923	0
Tox2	822.400000	1890	1543	0	546	133	0
Rpl35a	819.800000	282	428	0	2236	1153	0
Iqcg	819.800000	282	428	0	2236	1153	0
Jam3	815.600000	290	248	0	2627	913	0
Tmem209	806.200000	338	498	0	2214	981	0
Ssmem1	806.200000	338	498	0	2214	981	0
Cplane2	802.800000	350	326	0	2484	854	0
Chd4	799.400000	677	678	0	1947	695	0
Eif2b2	798.400000	353	306	0	2412	921	0
Tmem9	794.800000	290	386	0	2290	1008	0
Akap11	790.200000	258	212	0	2489	992	0
Etfbkmt	789.200000	385	262	0	2346	953	0
Rundc1	786.600000	322	407	0	2096	1108	0
Ptges3l	786.600000	322	407	0	2096	1108	0
Churc1	786.600000	215	184	0	2400	1134	0
Zc3h3	779.800000	368	249	0	2299	983	0
Ankfy1	777.000000	271	442	0	2267	905	0
Ap1s1	775.400000	419	333	0	2168	957	0
Pick1	774.600000	202	296	0	2335	1040	0
Muc1	769.000000	912	777	0	1465	691	0
Tmem138	765.800000	293	517	0	2188	831	0
Cyb561a3	765.800000	293	517	0	2188	831	0
Dusp18	764.200000	454	436	0	2102	829	0
4921536K21Rik	764.200000	454	436	0	2102	829	0
Ccdc30	762.600000	636	586	0	1716	875	0
Fbxl16	762.400000	1385	1032	0	1020	375	0
Stoml2	761.800000	581	548	0	1794	886	0
1700037H04Rik	761.800000	144	254	144	2398	869	0
Agbl3	761.400000	439	417	0	1902	1049	0
Hydin	752.000000	368	347	0	2283	762	0
Mthfr	751.600000	231	369	0	2134	1024	0
Clcn6	751.600000	231	369	0	2134	1024	0
Cfap54	750.200000	538	501	0	1831	881	0
Prkcsh	749.800000	302	561	0	1912	974	0
Lrriq1	749.800000	482	420	0	2044	803	0
Cldn34d	749.800000	1444	762	0	761	782	0
Ccdc151	749.800000	302	561	0	1912	974	0
Rsph1	745.600000	317	419	0	2000	992	0
Ccdc57	745.200000	369	542	0	2051	764	0
Fam131a	745.000000	645	805	0	1556	719	0
Cfl1	744.600000	546	366	0	2057	754	0
Xrcc1	743.800000	232	353	0	2112	1022	0
Pinlyp	743.800000	232	353	0	2112	1022	0
1700010I14Rik	742.800000	170	127	0	2217	1200	0
Map1a	737.600000	256	295	0	2031	1106	0
Pigx	734.200000	407	214	0	2155	895	0
Cep19	734.200000	407	214	0	2155	895	0
Mettl15	730.000000	358	233	0	2241	818	0
Kif18a	730.000000	358	233	0	2241	818	0
Fam98b	729.600000	265	260	0	2142	981	0
Kmt5c	729.200000	411	390	0	2006	839	0
Ppp2r1a	728.000000	430	324	0	1999	887	0
Fam214a	724.400000	479	430	0	1761	952	0
Tsnaxip1	714.200000	224	253	0	2144	950	0
Ranbp10	714.200000	224	253	0	2144	950	0
Rfx1	713.000000	848	796	173	1189	559	0
Dnah2	712.200000	235	335	0	2157	834	0
Serf1	712.000000	324	375	0	2038	823	0
Bdp1	712.000000	324	375	0	2038	823	0
Ppm1e	706.600000	258	325	0	1926	1024	0
Fam204a	705.600000	236	316	0	2044	932	0
Elmod2	704.600000	285	350	0	2122	766	0
Pef1	697.200000	160	319	0	2262	745	0
Mbd4	696.800000	389	214	0	1976	905	0
Ift122	696.800000	389	214	0	1976	905	0
Ccdc39	696.000000	425	325	0	1923	807	0
Dyrk1a	695.400000	378	331	0	2121	647	0
Wdr31	694.200000	270	279	0	2157	765	0
Stpg1	693.000000	239	338	0	1898	990	0
Nipal3	693.000000	239	338	0	1898	990	0
Lrrc23	692.800000	400	316	0	2006	742	0
Zdhhc1	690.600000	440	324	0	1851	838	0
Pak1ip1	689.600000	302	487	0	1859	800	0
Stx18	689.000000	221	165	0	2037	1022	0
Chchd3	689.000000	317	544	0	1786	798	0
Maats1	688.000000	322	430	0	1901	787	0
Cox17	688.000000	322	430	0	1901	787	0
Prr7	685.600000	327	229	0	2002	870	0
Cmtr2	679.800000	160	229	0	2058	952	0
Fanci	675.600000	293	298	0	1821	966	0
Syt5	673.200000	571	532	0	1589	674	0
Fam227b	672.400000	345	289	0	1935	793	0
Dtwd1	672.400000	345	289	0	1935	793	0
Psmc3ip	668.600000	547	298	0	1841	657	0
Usp30	664.000000	304	194	0	2001	821	0
Wdr90	660.000000	422	404	0	1698	776	0
Ttc30a2	660.000000	0	0	0	2339	961	0
Ttc30a1	660.000000	0	0	0	2339	961	0
Cenpf	660.000000	342	412	0	1748	798	0
Txndc17	656.800000	191	195	0	1995	903	0
4933427D14Rik	656.800000	191	195	0	1995	903	0
Sde2	654.200000	271	153	0	1870	977	0
Nek2	653.600000	120	292	0	2003	853	0
Fndc11	652.000000	229	341	0	1864	826	0
Ubxn6	649.000000	235	331	0	1901	778	0
Hdgfl2	649.000000	235	331	0	1901	778	0
Gtf2f1	647.600000	188	274	0	1953	823	0
Spef2	645.200000	451	447	0	1644	684	0
Gar1	644.600000	156	386	0	1818	863	0
Cep162	643.000000	251	231	0	1982	751	0
Setd4	642.600000	330	321	0	1835	727	0
