Target_genes	Rfx3|Average	SRX7671906|Embryonic_brains	SRX7671907|Embryonic_brains	SRX1161945|MIN6B1	STRING
Sema4b	2354.333333	2510	2735	1818	0
Cnih2	2224.666667	2353	2566	1755	0
Tmx4	2205.000000	2243	2529	1843	0
Ssbp2	2164.333333	2363	2456	1674	0
Sik3	2147.666667	2455	2225	1763	0
Pafah1b2	2147.666667	2455	2225	1763	0
Zdhhc1	2144.666667	2301	2151	1982	0
Mks1	2124.666667	1993	2375	2006	0
Wdr90	2122.333333	2170	2330	1867	0
Tcstv3	2094.333333	2684	2431	1168	0
Chd4	2086.666667	2091	2401	1768	0
Rfx1	2077.333333	2286	2214	1732	0
Tox2	2076.000000	2312	2361	1555	0
Muc1	2056.666667	2132	2068	1970	0
Bbs5	2046.000000	1946	2174	2018	0
Ccdc30	2045.333333	2068	2275	1793	0
Ncoa5	2044.333333	2100	2327	1706	0
Sdcbp	2044.000000	2067	2088	1977	0
Srsf7	2026.333333	2128	2280	1671	0
Pnma1	1986.333333	1909	2145	1905	0
Pold3	1985.333333	1951	2053	1952	0
Gar1	1984.666667	1934	2087	1933	0
Ufsp2	1979.000000	1887	2130	1920	0
1700029J07Rik	1979.000000	1887	2130	1920	0
Anks3	1972.333333	2007	2104	1806	0
4930451G09Rik	1972.333333	2007	2104	1806	0
Hydin	1972.000000	2156	2223	1537	0
Fhad1	1966.666667	2032	2027	1841	0
Pin1	1963.333333	1788	2166	1936	0
Ccdc57	1943.000000	1931	2038	1860	0
Wfdc3	1935.333333	1909	1951	1946	0
Dnttip1	1935.333333	1909	1951	1946	0
Elmod2	1928.666667	1514	2316	1956	0
Fam227b	1926.666667	1948	1964	1868	0
Dtwd1	1926.666667	1948	1964	1868	0
Nudt2	1921.333333	1844	2170	1750	0
Kif24	1921.333333	1844	2170	1750	0
Cfap44	1920.000000	1829	2021	1910	0
Dync2h1	1917.000000	1918	1914	1919	0
Dcun1d5	1917.000000	1918	1914	1919	0
Mapre3	1912.000000	1952	2228	1556	0
Pigx	1909.000000	1885	1886	1956	0
Cep19	1909.000000	1885	1886	1956	0
Wdr34	1900.666667	1841	1885	1976	0
Xrcc1	1898.000000	1858	2012	1824	0
Pinlyp	1898.000000	1858	2012	1824	0
Samd4b	1892.333333	1833	1929	1915	0
Gmfg	1892.333333	1833	1929	1915	0
Dnajc16	1892.000000	1807	2254	1615	0
Casp9	1892.000000	1807	2254	1615	0
Wdr31	1891.333333	1764	1943	1967	0
Ccdc181	1891.000000	1726	1879	2068	0
Sik1	1883.333333	2002	1859	1789	0
Ropn1l	1880.666667	1762	1992	1888	0
Map9	1877.666667	1998	2213	1422	0
B9d1	1874.666667	1797	1961	1866	0
Syt5	1866.000000	1752	2007	1839	0
9530077C05Rik	1862.000000	1871	1946	1769	0
Tctn1	1861.333333	1661	2018	1905	0
Fam214a	1860.666667	1720	1923	1939	0
Tecpr2	1859.000000	1696	1968	1913	0
Cinp	1859.000000	1696	1968	1913	0
3110082I17Rik	1857.666667	1765	1822	1986	0
Rundc1	1856.000000	1786	1786	1996	0
Ptges3l	1856.000000	1786	1786	1996	0
Poll	1856.000000	1816	1859	1893	0
Dpcd	1856.000000	1816	1859	1893	0
Eif2b2	1853.333333	1836	1967	1757	0
Tppp3	1849.000000	1960	2326	1261	0
Srek1	1847.333333	1823	1810	1909	0
Arl6	1832.333333	1717	1791	1989	0
Morn2	1827.666667	1704	1904	1875	0
Dhx57	1827.666667	1704	1904	1875	0
Fbxw7	1827.333333	1905	1876	1701	0
Eaf2	1822.666667	1882	1974	1612	0
Dync2li1	1821.333333	1786	1693	1985	0
Cfap298	1819.666667	1794	2137	1528	0
Cfap54	1809.666667	1502	2422	1505	0
Akap11	1800.000000	1697	1877	1826	0
Ccdc39	1798.000000	1692	1996	1706	0
Saxo2	1796.333333	1669	1843	1877	0
Efl1	1796.333333	1669	1843	1877	0
Pofut2	1796.000000	1742	1766	1880	0
Map1a	1790.666667	1846	1655	1871	0
Cfap20	1789.666667	1814	2073	1482	0
Map6	1783.000000	1742	1815	1792	0
Dusp18	1778.666667	1722	1949	1665	0
4921536K21Rik	1778.666667	1722	1949	1665	0
Dad1	1775.000000	1605	1864	1856	0
Abhd4	1775.000000	1605	1864	1856	0
Tctex1d2	1773.666667	1712	1746	1863	0
Prdm4	1770.666667	1643	1931	1738	0
Irak1bp1	1769.333333	1488	1909	1911	0
Fos	1760.666667	1732	1863	1687	0
Iqsec1	1760.333333	1508	1840	1933	0
Tctn2	1757.333333	1759	1961	1552	0
Mindy4	1752.333333	1542	1905	1810	0
Gstt2	1747.000000	1542	1792	1907	0
Fanci	1745.666667	1574	1797	1866	0
Nucb2	1744.333333	1603	1866	1764	0
Eif4a3	1740.000000	1580	1904	1736	0
Lztfl1	1737.333333	1637	1937	1638	0
Kifbp	1735.333333	1820	1794	1592	0
Ttll10	1734.333333	1556	2184	1463	0
Tmem138	1730.000000	1564	1828	1798	0
Cyb561a3	1730.000000	1564	1828	1798	0
Meig1	1728.666667	1579	1727	1880	0
Marchf9	1728.666667	1716	1725	1745	0
Dclre1c	1728.666667	1579	1727	1880	0
Cdk4	1728.666667	1716	1725	1745	0
Mapk8ip1	1727.666667	1627	1874	1682	0
Ppm1e	1725.000000	1646	1860	1669	0
Cfap65	1724.000000	1771	2033	1368	0
Sipa1l1	1723.666667	1684	1898	1589	0
Gtf2f1	1723.333333	1502	1805	1863	0
Prr7	1723.000000	1663	1692	1814	0
Cetn4	1722.666667	1479	1743	1946	0
Bbs12	1722.666667	1479	1743	1946	0
Fam204a	1717.666667	1539	2007	1607	0
Rfx3	1716.333333	1747	1779	1623	0
Wdr60	1716.000000	1546	1660	1942	0
Prkcsh	1713.666667	1575	1929	1637	0
Ccdc151	1713.666667	1575	1929	1637	0
Lrrc49	1713.000000	1675	1973	1491	0
Wdr66	1712.666667	1676	1747	1715	0
Tsnaxip1	1711.666667	1574	1676	1885	0
Ranbp10	1711.666667	1574	1676	1885	0
Dyrk3	1709.333333	1652	1577	1899	0
Foxj1	1709.000000	1581	1692	1854	0
Stk32c	1708.666667	1536	1660	1930	0
Lrrc27	1708.666667	1536	1660	1930	0
Dyrk1a	1705.333333	1777	1849	1490	0
Ptpn13	1705.000000	1589	1738	1788	0
Myg1	1703.333333	1563	1695	1852	0
Mlec	1698.333333	1683	1790	1622	0
Klhl18	1696.666667	1471	1716	1903	0
Kif9	1696.666667	1471	1716	1903	0
Mettl15	1695.666667	1422	1716	1949	0
Kif18a	1695.666667	1422	1716	1949	0
Rpl30	1689.666667	1537	1878	1654	0
Lmbrd1	1688.333333	1639	1782	1644	0
Fam131a	1686.000000	1547	1743	1768	0
Txndc17	1684.333333	1602	1803	1648	0
4933427D14Rik	1684.333333	1602	1803	1648	0
Cep162	1682.333333	1458	1581	2008	0
Dyrk1b	1682.000000	1720	1768	1558	0
Hspa12a	1678.000000	1551	1968	1515	0
Eno4	1678.000000	1551	1968	1515	0
Ccdc34	1678.000000	1517	1603	1914	0
Lmtk3	1677.000000	1557	1608	1866	0
Wdr27	1674.000000	1601	1616	1805	0
Csnk1g2	1674.000000	1678	1812	1532	0
1600012H06Rik	1674.000000	1601	1616	1805	0
Mink1	1673.333333	1720	1956	1344	0
Cep112	1673.333333	1470	1729	1821	0
Ube2o	1673.000000	1568	1580	1871	0
1700030J22Rik	1667.666667	1601	1692	1710	0
Tmem9	1666.666667	1509	1698	1793	0
Cabin1	1665.333333	1313	1716	1967	0
Rtca	1660.000000	1550	1696	1734	0
Dbt	1660.000000	1550	1696	1734	0
Agtrap	1655.000000	1667	1489	1809	0
Pak1ip1	1653.000000	1457	1758	1744	0
Bbs1	1653.000000	1395	1518	2046	0
E4f1	1652.000000	1570	1629	1757	0
Lrrc73	1650.666667	1521	1533	1898	0
Caly	1650.666667	1552	1522	1878	0
Cplane2	1647.666667	1488	1470	1985	0
Jam3	1645.333333	1502	1704	1730	0
Wdfy1	1643.000000	1454	1495	1980	0
Mafg	1637.333333	1468	1489	1955	0
Etfbkmt	1635.666667	1572	1553	1782	0
Josd2	1632.000000	1651	1824	1421	0
Aspdh	1632.000000	1651	1824	1421	0
Wdr78	1631.666667	1405	1662	1828	0
Mier1	1631.666667	1405	1662	1828	0
Usp30	1630.666667	1568	1689	1635	0
H1f10	1630.333333	1565	1532	1794	0
Rara	1629.333333	1463	1734	1691	0
Sf3a1	1629.000000	1408	1544	1935	0
Ccdc157	1629.000000	1408	1544	1935	0
Marchf8	1621.333333	1457	1519	1888	0
Rnf141	1620.666667	1473	1526	1863	0
Phc2	1619.333333	1542	1768	1548	0
Zc3h3	1619.000000	1404	1599	1854	0
Nek2	1618.666667	1553	1624	1679	0
Cnpy3	1618.666667	1416	1570	1870	0
Sde2	1617.333333	1476	1639	1737	0
Lrriq1	1616.333333	1924	2149	776	0
Cep41	1615.000000	1318	1702	1825	0
Ccdc65	1611.333333	1404	1627	1803	0
Oxnad1	1607.000000	1366	1507	1948	0
Dph3	1607.000000	1366	1507	1948	0
Cfap36	1603.000000	1485	1583	1741	0
Lca5l	1601.666667	1418	1476	1911	0
Ccdc158	1601.000000	1546	1758	1499	0
Maats1	1600.333333	1377	1548	1876	0
Ywhaq	1600.000000	1188	1839	1773	0
Katnal2	1600.000000	1444	1716	1640	0
Orai3	1597.333333	1642	1847	1303	0
Prr3	1595.000000	1584	1667	1534	0
Gnl1	1595.000000	1584	1667	1534	0
Ywhaz	1594.666667	1531	1572	1681	0
Ubn2	1593.000000	1480	1932	1367	0
Ankrd13d	1593.000000	1621	1682	1476	0
Rer1	1591.666667	1651	1722	1402	0
Morn1	1591.666667	1651	1722	1402	0
Pcgf1	1590.666667	1462	1498	1812	0
Hspbp1	1587.000000	1562	1833	1366	0
Rnf32	1585.666667	1404	1375	1978	0
Pi4k2a	1583.666667	1556	1630	1565	0
Morn4	1583.666667	1556	1630	1565	0
Eri3	1583.333333	1338	1648	1764	0
1110051M20Rik	1583.333333	1267	1514	1969	0
Brd3os	1583.000000	1399	1607	1743	0
Zfp24	1582.000000	1467	1408	1871	0
Rsph1	1581.666667	1424	1684	1637	0
Tsga10	1579.666667	1386	1533	1820	0
Pifo	1577.333333	1270	1614	1848	0
Zfp523	1576.666667	1343	1602	1785	0
Trip4	1574.333333	1292	1856	1575	0
Smpd2	1574.333333	1375	1507	1841	0
Ppil6	1574.333333	1375	1507	1841	0
Csnk1g1	1574.333333	1292	1856	1575	0
Oscp1	1572.000000	1431	1563	1722	0
Ankfy1	1570.333333	1395	1716	1600	0
Trim2	1569.666667	1372	1640	1697	0
Lrrc56	1567.666667	1427	1693	1583	0
Hras	1567.666667	1427	1693	1583	0
Gcc2	1565.333333	1554	1551	1591	0
Trub2	1561.666667	1309	1438	1938	0
Tube1	1559.000000	1327	1525	1825	0
Fam229b	1559.000000	1327	1525	1825	0
Cherp	1556.000000	1490	1656	1522	0
Nup50	1553.000000	1559	1705	1395	0
Sirt3	1552.666667	1411	1587	1660	0
Psmd13	1552.666667	1411	1587	1660	0
Ccdc184	1550.666667	1427	1636	1589	0
Asb8	1550.666667	1427	1636	1589	0
Ptdss2	1550.333333	1270	1483	1898	0
Prepl	1549.333333	1518	1527	1603	0
Iqch	1549.333333	1355	1452	1841	0
Camkmt	1549.333333	1518	1527	1603	0
Aagab	1549.333333	1355	1452	1841	0
Rhbdd2	1548.333333	1401	1372	1872	0
Etfrf1	1545.666667	779	1916	1942	0
Casc1	1545.666667	779	1916	1942	0
Gemin8	1538.000000	1319	1596	1699	0
Efcab1	1537.666667	1308	1549	1756	0
Fndc11	1534.666667	1260	1402	1942	0
Prkar1a	1532.333333	1279	1485	1833	0
Gde1	1532.000000	1259	1450	1887	0
Tasp1	1531.333333	1533	1593	1468	0
Tada2b	1530.000000	1418	1399	1773	0
Ccdc96	1530.000000	1418	1399	1773	0
Ubxn6	1529.333333	1386	1413	1789	0
Hdgfl2	1529.333333	1386	1413	1789	0
Ebna1bp2	1526.666667	1273	1561	1746	0
Cfap57	1526.666667	1273	1561	1746	0
Mrpl10	1526.333333	1310	1585	1684	0
Lrrc46	1526.333333	1310	1585	1684	0
Prkar1b	1526.000000	1342	1334	1902	0
Ift57	1526.000000	1322	1422	1834	0
Dnaaf5	1526.000000	1342	1334	1902	0
Naa40	1523.333333	1371	1341	1858	0
Dnah2	1520.000000	1339	1483	1738	0
Timm10	1519.000000	1359	1582	1616	0
Smtnl1	1519.000000	1359	1582	1616	0
1700010I14Rik	1517.666667	1240	1378	1935	0
Spef1l	1517.333333	1295	1368	1889	0
Brms1	1517.000000	1627	1431	1493	0
B4gat1	1517.000000	1627	1431	1493	0
Tbc1d32	1514.666667	1421	1609	1514	0
Mycbp	1514.333333	1326	1630	1587	0
Wdr35	1514.000000	1423	1550	1569	0
B9d2	1513.666667	1472	1480	1589	0
Chchd6	1510.333333	1487	1483	1561	0
Tbcel	1510.000000	1120	1571	1839	0
Spef2	1509.333333	1950	2095	483	0
Katnal1	1504.000000	1213	1371	1928	0
Cfl1	1503.000000	1311	1515	1683	0
Spats1	1502.666667	1396	1323	1789	0
Ddx41	1502.666667	1244	1503	1761	0
Ap1s1	1502.666667	1335	1572	1601	0
Gdf1	1498.333333	1590	2157	748	0
Cers1	1498.333333	1590	2157	748	0
Ankef1	1497.333333	1405	1353	1734	0
Dnajc1	1497.000000	1264	1370	1857	0
Mok	1494.000000	1387	1521	1574	0
Ap3m2	1494.000000	1535	1594	1353	0
Nbr1	1493.000000	1037	1506	1936	0
