Target_genes	Rreb1|Average	SRX12298595|B_cells	STRING
Slain2	3116.000000	3116	0
Bbs5	2667.000000	2667	0
Fam217a	2627.000000	2627	0
Snx1	2626.000000	2626	0
Ciao2a	2626.000000	2626	0
Spib	2476.000000	2476	0
Cpt2	2462.000000	2462	0
Tspan6	2391.000000	2391	0
Fscn1	2225.000000	2225	0
Dmrta1	2212.000000	2212	0
Kcnk15	2208.000000	2208	0
Mlf1	2193.000000	2193	0
Btn1a1	2173.000000	2173	0
Ddx11	2143.000000	2143	0
Srgap2	2137.000000	2137	0
Fam72a	2137.000000	2137	0
Adam15	2124.000000	2124	0
Atf6	2100.000000	2100	0
Bend4	2063.000000	2063	0
Art3	2062.000000	2062	0
Slc12a7	2057.000000	2057	0
Cldn34d	2054.000000	2054	0
Rassf10	2052.000000	2052	0
Spats2	2047.000000	2047	0
Pofut1	2033.000000	2033	0
Plagl2	2033.000000	2033	0
Atp8b1	2021.000000	2021	0
Gpsm2	2019.000000	2019	0
Rab4a	2004.000000	2004	0
Gan	1996.000000	1996	0
Avpr1a	1974.000000	1974	0
Brox	1973.000000	1973	0
Aida	1973.000000	1973	0
Foxe3	1962.000000	1962	0
Stx18	1959.000000	1959	0
Tmem30b	1955.000000	1955	0
Sspn	1954.000000	1954	0
Perp	1919.000000	1919	0
Dnm1	1919.000000	1919	0
Terf2	1908.000000	1908	0
Hoxd4	1891.000000	1891	0
Clasp1	1863.000000	1863	0
Lrfn2	1845.000000	1845	0
Utf1	1834.000000	1834	0
D930020B18Rik	1822.000000	1822	0
Flt4	1813.000000	1813	0
Scube3	1808.000000	1808	0
Mroh5	1808.000000	1808	0
Gm6569	1808.000000	1808	0
Espn	1772.000000	1772	0
Dnm3	1768.000000	1768	0
Colgalt2	1763.000000	1763	0
Ppp1r37	1757.000000	1757	0
Coa7	1751.000000	1751	0
Slc6a20a	1724.000000	1724	0
Slc26a4	1716.000000	1716	0
Mto1	1710.000000	1710	0
Cgas	1710.000000	1710	0
Ripk4	1706.000000	1706	0
Elovl4	1705.000000	1705	0
Sp1	1702.000000	1702	0
Clcn7	1693.000000	1693	0
Gtf3c6	1691.000000	1691	0
Mt1	1690.000000	1690	0
Gm8909	1666.000000	1666	0
Col26a1	1666.000000	1666	0
Tcstv3	1663.000000	1663	0
Smo	1662.000000	1662	0
2810459M11Rik	1650.000000	1650	0
Syt6	1646.000000	1646	0
H2-Q1	1644.000000	1644	0
Rbfox3	1642.000000	1642	0
Srp68	1639.000000	1639	0
Snph	1639.000000	1639	0
Rnf125	1638.000000	1638	0
Ddx43	1638.000000	1638	0
Enox1	1636.000000	1636	0
Hoxa2	1625.000000	1625	0
Tnfaip6	1606.000000	1606	0
Pax2	1606.000000	1606	0
Hoxb2	1605.000000	1605	0
Gnat1	1594.000000	1594	0
Dlx4	1593.000000	1593	0
Timp3	1577.000000	1577	0
Adcy5	1569.000000	1569	0
Mtmr10	1567.000000	1567	0
Ptpn6	1560.000000	1560	0
Bmyc	1560.000000	1560	0
Cldn3	1555.000000	1555	0
Slit1	1553.000000	1553	0
Cldn5	1553.000000	1553	0
Chic1	1551.000000	1551	0
9130008F23Rik	1547.000000	1547	0
Srms	1544.000000	1544	0
Hspa1l	1544.000000	1544	0
Hspa1a	1544.000000	1544	0
Fndc11	1544.000000	1544	0
Gpr63	1541.000000	1541	0
Rassf2	1530.000000	1530	0
Sned1	1529.000000	1529	0
Cited4	1524.000000	1524	0
Peli2	1516.000000	1516	0
Shisa6	1489.000000	1489	0
Jund	1486.000000	1486	0
Iqcn	1486.000000	1486	0
Adra1a	1486.000000	1486	0
Iqgap2	1485.000000	1485	0
Gfap	1485.000000	1485	0
Popdc3	1474.000000	1474	0
Pom121l2	1468.000000	1468	0
Epb41l1	1467.000000	1467	0
Wscd2	1466.000000	1466	0
Igsf11	1465.000000	1465	0
Susd4	1458.000000	1458	0
Ttpa	1457.000000	1457	0
Gm5294	1457.000000	1457	0
Aox4	1453.000000	1453	0
Aldh1a2	1446.000000	1446	0
Ip6k2	1443.000000	1443	0
Nefl	1441.000000	1441	0
Hoxd1	1440.000000	1440	0
B4galt6	1440.000000	1440	0
Tcf15	1439.000000	1439	0
Dmrt1	1437.000000	1437	0
H2-Q2	1436.000000	1436	0
Gnal	1432.000000	1432	0
Btbd8	1432.000000	1432	0
Fgf3	1428.000000	1428	0
Htra1	1419.000000	1419	0
Btbd11	1417.000000	1417	0
Flnc	1415.000000	1415	0
Gm10710	1410.000000	1410	0
Dchs2	1410.000000	1410	0
Camk4	1410.000000	1410	0
Stk33	1407.000000	1407	0
Scnn1g	1397.000000	1397	0
Qrfprl	1396.000000	1396	0
Ptf1a	1392.000000	1392	0
Zfp516	1391.000000	1391	0
Slc18b1	1390.000000	1390	0
Tgfb2	1384.000000	1384	0
Il17rd	1381.000000	1381	0
Pdk1	1378.000000	1378	0
