Target_genes	Shox2|Average	SRX1074621|Embryonic_heart	SRX22892144|Palate	SRX22892145|Palate	STRING
Cldn34d	1485.333333	1037	1675	1744	0
Brox	744.000000	721	736	775	0
Aida	744.000000	721	736	775	0
Tmem125	441.333333	562	379	383	0
Tcstv3	441.333333	1324	0	0	0
Kpna1	287.000000	861	0	0	0
Asmt	257.333333	772	0	0	0
Oasl1	219.000000	657	0	0	0
Abhd6	173.666667	521	0	0	0
Il31ra	169.333333	508	0	0	0
Olfr806	145.000000	435	0	0	0
Cdh12	130.666667	392	0	0	0
Nkap	128.000000	0	187	197	0
Gm4981	104.666667	187	0	127	0
Ankar	85.666667	257	0	0	0
Wwox	81.333333	244	0	0	0
Zfp143	72.333333	217	0	0	0
Sspn	68.666667	206	0	0	0
Dchs2	68.666667	206	0	0	0
Vmn1r2	57.666667	173	0	0	0
Vmn2r102	56.666667	170	0	0	0
Csf2ra	56.666667	170	0	0	0
Trim50	41.333333	124	0	0	0
9230019H11Rik	38.000000	0	114	0	0
Nkx2-5	0.000000	0	0	0	496
Tbx4	0.000000	0	0	0	484
Gja1	0.000000	0	0	0	421
Bmp4	0.000000	0	0	0	421
Isl1	0.000000	0	0	0	348
Dlx2	0.000000	0	0	0	199
Nkx2-3	0.000000	0	0	0	197
