Target_genes	Six1|Average	SRX1462976|C3H/10T1/2	SRX3473280|Cochlea	SRX9671583|Cochlea	SRX9671584|Cochlea	SRX3473281|E10.5_embryos	SRX10070638|Otic_vesicle	SRX15441802|Thymic_epithelial_cells	STRING
Brox	1010.285714	220	684	719	1132	695	1081	2541	0
Aida	1010.285714	220	684	719	1132	695	1081	2541	0
Cldn34d	927.571429	381	870	1597	897	891	1523	334	0
Kpna1	641.714286	690	748	760	601	562	1131	0	0
Tcstv3	547.571429	350	1152	0	176	1129	1026	0	0
Il31ra	445.428571	262	349	351	674	444	1038	0	0
Tmem125	437.000000	365	456	0	245	664	733	596	0
Asmt	343.714286	291	682	0	301	443	376	313	0
Oasl1	333.857143	219	589	255	217	545	512	0	0
Selenow	255.285714	0	92	558	639	147	351	0	0
Rhobtb3	251.714286	165	0	479	795	0	323	0	0
Psmb6	214.714286	0	164	897	222	0	220	0	0
Six2	212.142857	0	91	563	456	0	375	0	0
Sdad1	211.285714	120	82	604	480	0	193	0	0
Smad7	197.142857	282	0	390	529	0	179	0	0
Atf6	177.142857	0	0	585	381	121	153	0	0
Prkab1	177.000000	111	0	412	494	0	222	0	0
Ppp4r3b	173.857143	140	0	552	403	0	122	0	0
Sspn	173.285714	121	142	165	310	0	234	241	0
Cltc	168.285714	107	0	398	408	0	99	166	0
Mars1	167.714286	0	0	693	291	0	190	0	0
Mos	165.714286	330	0	398	432	0	0	0	0
Tmem170b	163.428571	106	0	527	511	0	0	0	0
Rdx	160.714286	212	0	419	494	0	0	0	0
Bud13	160.428571	0	0	358	575	0	190	0	0
Zfp780b	156.857143	0	0	541	358	0	199	0	0
Pdgfra	155.142857	0	0	399	508	0	179	0	0
Cast	153.285714	0	0	395	533	0	145	0	0
Abhd6	151.142857	0	550	0	0	508	0	0	0
Setd7	150.571429	139	0	357	412	0	146	0	0
Sobp	147.428571	0	0	442	434	0	156	0	0
Xrcc5	147.142857	0	0	544	204	136	146	0	0
Nemf	146.428571	689	0	131	205	0	0	0	0
Rps29	144.714286	819	0	0	194	0	0	0	0
Eno1	142.142857	0	0	639	228	0	128	0	0
Abhd4	141.428571	0	0	296	615	0	79	0	0
Trim35	140.571429	0	0	453	328	0	203	0	0
Fam227b	140.428571	581	0	186	216	0	0	0	0
Dtwd1	140.428571	581	0	186	216	0	0	0	0
Zfp949	136.571429	70	0	564	198	0	124	0	0
Dnaaf3	135.142857	0	0	221	445	0	280	0	0
Spns1	132.000000	0	0	569	212	0	143	0	0
Lima1	130.428571	182	0	350	137	0	244	0	0
Nfatc4	126.142857	0	0	283	343	78	179	0	0
Surf6	126.000000	0	0	418	349	0	115	0	0
Chmp5	125.571429	0	0	216	571	0	92	0	0
Bag1	125.571429	0	0	216	571	0	92	0	0
Eef2	123.857143	83	0	461	168	0	155	0	0
Gpx8	122.428571	0	0	393	464	0	0	0	0
Slc29a2	121.285714	109	0	201	431	0	108	0	0
