Target_genes	Smad1|Average	SRX23601748|Cortex	SRX23601749|Cortex	SRX23601750|Cortex	SRX23601751|Cortex	DRX138414|Embryonic_brains	DRX138415|Embryonic_brains	DRX138416|Embryonic_brains	DRX138417|Embryonic_brains	DRX138418|Embryonic_brains	DRX138419|Embryonic_brains	DRX138420|Embryonic_brains	DRX138421|Embryonic_brains	SRX23585200|Embryonic_brains	SRX23585203|Embryonic_brains	SRX23585206|Embryonic_brains	SRX23585209|Embryonic_brains	SRX23585212|Embryonic_brains	SRX23585215|Embryonic_brains	SRX1082039|ES_cells	SRX1082040|ES_cells	SRX2401993|ES_cells	SRX2401994|ES_cells	SRX2401996|ES_cells	SRX2401997|ES_cells	SRX7643902|ES_cells	SRX7643903|ES_cells	SRX7643904|ES_cells	SRX7643905|ES_cells	SRX100314|G1E	SRX100317|G1E	SRX700955|Hair_Follicle	SRX700957|Hair_Follicle	SRX1082042|mESC_derived_epiblast-like_cells	SRX1082043|mESC_derived_epiblast-like_cells	STRING
Tcstv3	942.852941	0	178	160	242	783	799	1598	1970	826	822	737	1628	0	0	0	0	127	0	2106	2071	1298	1274	1321	1266	2076	1273	1306	816	2453	1210	629	1339	868	881	0
Cldn34d	849.000000	415	517	628	592	636	657	1248	1270	662	660	635	1247	1441	1660	393	1287	1629	1651	755	832	886	898	870	899	1061	616	889	406	647	559	462	940	455	463	0
Brox	776.441176	274	468	348	527	601	569	1500	1447	611	610	584	1685	1433	1508	490	986	1352	1348	855	1018	671	650	617	534	902	296	977	271	955	751	375	589	241	356	0
Aida	776.441176	274	468	348	527	601	569	1500	1447	611	610	584	1685	1433	1508	490	986	1352	1348	855	1018	671	650	617	534	902	296	977	271	955	751	375	589	241	356	0
Tia1	563.147059	317	362	758	380	0	0	0	0	0	0	0	0	3670	3037	866	3192	3532	3033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ilf2	545.882353	522	497	905	588	0	0	0	0	0	0	0	0	3469	2935	318	3264	3414	2648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fmc1	507.147059	255	239	589	286	0	0	0	0	0	0	0	0	3520	2922	420	3100	3158	2754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mettl26	486.088235	290	172	443	284	0	0	0	0	0	0	0	0	3213	2874	378	3203	3153	2517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kpna1	477.970588	0	0	0	0	697	713	933	877	648	697	349	534	0	0	476	0	0	0	275	327	732	560	505	539	541	687	1248	587	859	775	712	1068	388	524	0
Prmt5	469.970588	459	434	628	656	0	0	0	0	0	0	0	0	2908	2425	200	2817	3168	2284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nemf	467.264706	352	208	281	277	384	294	166	192	0	0	0	0	2248	1808	177	2062	2316	1692	0	0	0	0	0	0	421	696	550	745	220	129	0	492	177	0	0
Knl1	466.705882	452	276	603	401	0	0	0	0	0	0	0	0	2998	2406	448	2865	3112	2307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lta4h	455.588235	549	330	319	415	0	0	0	0	0	0	0	0	2821	2523	297	2774	3237	2016	0	0	0	0	0	0	0	0	0	0	0	209	0	0	0	0	0
Abhd6	450.411765	0	0	0	0	763	735	435	445	753	790	458	376	0	0	117	280	0	255	684	699	644	646	654	716	421	579	212	405	833	378	447	723	932	934	0
Polg	446.147059	350	208	535	646	0	0	0	0	0	0	0	0	2581	2389	234	2710	2755	2394	0	0	0	0	0	0	0	0	277	0	90	0	0	0	0	0	0
Ndufs7	438.235294	281	211	412	256	0	0	0	0	0	0	0	0	3039	2452	436	2681	2872	2067	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0
Mynn	437.676471	217	203	370	164	0	0	0	0	0	0	0	0	3094	2384	461	2862	2928	2198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actrt3	437.676471	217	203	370	164	0	0	0	0	0	0	0	0	3094	2384	461	2862	2928	2198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr806	432.676471	0	0	0	0	680	715	405	477	753	804	634	386	0	0	0	0	0	0	720	695	604	612	706	786	335	599	261	402	818	439	554	578	831	917	0
H4c8	430.941176	348	281	603	304	0	0	0	0	0	0	0	0	2716	2439	277	2599	2616	1940	0	0	0	0	0	0	0	0	0	0	155	256	0	118	0	0	0
H3c8	430.941176	348	281	603	304	0	0	0	0	0	0	0	0	2716	2439	277	2599	2616	1940	0	0	0	0	0	0	0	0	0	0	155	256	0	118	0	0	0
H2ac10	430.941176	348	281	603	304	0	0	0	0	0	0	0	0	2716	2439	277	2599	2616	1940	0	0	0	0	0	0	0	0	0	0	155	256	0	118	0	0	0
Wbp4	425.705882	183	0	374	266	0	0	0	0	0	0	0	0	2964	2241	665	2628	2706	1935	0	0	0	0	0	0	0	0	268	0	175	69	0	0	0	0	0
Elf1	425.705882	183	0	374	266	0	0	0	0	0	0	0	0	2964	2241	665	2628	2706	1935	0	0	0	0	0	0	0	0	268	0	175	69	0	0	0	0	0
Trim7	422.882353	374	268	553	328	0	0	181	160	0	0	0	0	2487	2252	411	2382	2515	1942	257	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hes7	419.352941	345	167	444	292	0	0	0	96	0	0	0	0	2678	2397	258	2656	2785	2003	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0
Trim41	414.264706	0	0	311	0	0	0	0	0	0	0	0	0	2812	2504	618	2820	2926	2015	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0
Rps29	411.529412	320	129	319	317	296	193	128	0	0	0	0	0	1753	1393	488	1670	1888	1445	0	0	0	0	0	0	434	786	622	742	222	217	0	470	160	0	0
Smarcc2	408.205882	250	217	443	249	0	0	190	175	0	0	0	0	2594	1993	264	2619	2477	1980	0	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0
Plxdc1	406.705882	376	265	456	281	0	0	0	0	0	0	0	0	2568	2192	409	2505	2615	2161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610301B20Rik	402.029412	224	208	238	212	0	0	0	0	0	0	0	0	2617	2021	854	2456	2625	2063	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0
Agbl5	401.029412	319	268	514	354	0	0	0	0	0	0	0	0	2741	2137	263	2450	2527	2062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lasp1	396.911765	255	0	388	244	0	0	309	317	0	0	0	122	2593	2112	397	2342	2437	1882	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0
Zfp692	393.823529	378	315	536	491	0	0	0	0	0	0	0	0	2440	2049	249	2551	2500	1881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Plekhg2	386.823529	141	210	371	320	0	0	88	0	0	0	0	0	2402	2312	145	2599	2663	1901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ctnna3	385.470588	467	276	598	479	0	0	0	66	0	0	0	0	2487	1918	0	2122	2519	1826	0	0	0	0	0	0	93	0	255	0	0	0	0	0	0	0	0
Imp4	375.647059	201	217	270	221	0	0	0	0	0	0	0	0	2298	1998	519	2502	2546	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccdc115	375.647059	201	217	270	221	0	0	0	0	0	0	0	0	2298	1998	519	2502	2546	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp6r3	375.205882	216	173	456	305	0	0	0	0	0	0	0	0	2478	1918	318	2434	2690	1769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Med16	373.941176	0	0	0	139	206	136	0	157	62	204	81	391	2408	1920	707	2343	2296	1664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cfap126	371.382353	183	156	367	169	0	0	0	0	0	0	0	0	2415	2021	137	2286	2790	1725	0	0	0	0	0	0	0	0	102	0	276	0	0	0	0	0	0
H2bc13	371.352941	0	0	0	0	0	0	0	140	0	0	0	0	2631	2251	213	2504	2548	1884	0	0	0	0	0	0	0	0	0	0	145	223	0	87	0	0	0
Rab11a	366.058824	326	260	530	456	0	0	0	0	0	0	0	0	2461	1922	388	1962	2477	1664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oasl1	364.588235	0	0	0	0	632	693	736	871	641	736	464	693	0	0	0	0	0	0	380	338	664	581	476	567	361	244	272	343	226	255	757	748	358	360	0
Brms1	355.176471	399	341	468	353	0	0	0	0	0	0	0	0	2208	1911	232	2158	2175	1831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
