Target_genes	Smad3|Average	SRX14617681|CH12	SRX14617689|CH12	SRX14617690|CH12	SRX14617691|CH12	SRX14617703|CH12	SRX14617704|CH12	SRX9912241|CH12	SRX9912242|CH12	SRX2245993|Corpus_Striatum	SRX2245994|Corpus_Striatum	SRX2245995|Corpus_Striatum	SRX2245996|Corpus_Striatum	SRX5251393|Embryoid_Bodies	SRX5251394|Embryoid_Bodies	SRX130598|Embryonic_brains	SRX026254|ES_cells	SRX026255|ES_cells	SRX026256|ES_cells	SRX026257|ES_cells	SRX477547|ES_cells	SRX5251387|ES_cells	SRX1998723|MEF	SRX1998724|MEF	SRX1998725|MEF	SRX1998728|MEF	SRX1998729|MEF	SRX1998730|MEF	SRX15279811|TCMK-1	SRX3855869|Vascular_smooth_muscle_cells	SRX3855871|Vascular_smooth_muscle_cells	SRX3855877|Vascular_smooth_muscle_cells	SRX3855879|Vascular_smooth_muscle_cells	STRING
Cldn34d	1144.531250	1934	2097	2342	2668	2257	1533	1743	677	692	541	981	890	2282	2133	79	569	597	496	378	615	2313	318	669	676	379	694	487	2473	655	754	698	1005	0
Tcstv3	1050.718750	1679	1038	1362	1445	1547	1257	1687	254	248	454	319	373	2016	2033	950	424	875	1127	224	1996	2139	1030	1732	1753	1234	1869	1074	456	0	391	0	637	0
Brox	885.812500	1223	1090	1501	1453	1156	905	2091	590	606	419	879	515	2212	2338	150	693	799	499	855	594	2591	241	218	207	134	171	112	2539	302	420	309	534	0
Aida	885.812500	1223	1090	1501	1453	1156	905	2091	590	606	419	879	515	2212	2338	150	693	799	499	855	594	2591	241	218	207	134	171	112	2539	302	420	309	534	0
Slc35g3	382.718750	116	0	0	0	119	121	89	0	231	0	220	135	2218	2372	205	0	176	0	94	0	2701	97	822	453	80	406	0	0	287	491	372	442	0
Sspn	380.437500	598	578	671	679	429	513	925	0	182	161	0	146	1338	1035	170	315	550	207	758	0	1271	220	128	0	188	76	260	651	0	125	0	0	0
Polr2a	377.750000	78	0	0	0	119	0	89	0	231	0	220	135	2218	2372	205	0	176	0	94	0	2701	97	822	453	80	406	0	0	287	491	372	442	0
Il31ra	349.250000	783	520	610	538	399	525	1046	266	204	211	0	0	683	590	0	719	752	259	601	182	648	421	0	0	281	178	309	0	0	239	0	212	0
Gadd45b	296.000000	266	0	0	0	165	213	0	0	91	0	0	0	2036	1886	252	0	0	0	219	0	2214	0	501	342	0	234	0	173	186	280	113	301	0
Tesk2	292.625000	241	0	0	0	285	188	160	0	0	0	0	0	2770	2889	129	0	0	0	140	0	2562	0	0	0	0	0	0	0	0	0	0	0	0
Skil	291.437500	921	0	0	0	924	1083	446	0	0	0	0	0	1444	1554	122	0	419	0	312	0	957	0	357	131	0	193	0	463	0	0	0	0	0
Kpna1	282.718750	169	377	287	0	72	143	971	141	353	311	0	177	232	307	105	746	899	410	415	0	238	413	126	320	327	204	409	0	171	232	0	492	0
Cenpu	280.437500	1152	954	1319	1196	1092	1021	486	0	0	0	0	0	337	442	280	0	89	0	173	0	109	0	160	164	0	0	0	0	0	0	0	0	0
Asmt	274.593750	466	667	626	659	348	283	806	224	248	188	300	330	266	305	0	230	159	111	138	0	261	168	290	234	276	308	0	0	184	244	182	286	0
Ago1	269.937500	287	0	142	160	223	246	199	0	0	0	0	0	1109	2122	293	497	728	216	659	180	1469	0	108	0	0	0	0	0	0	0	0	0	0
Dcaf11	268.750000	134	0	0	0	162	140	155	0	0	0	0	0	2578	2697	156	0	0	0	0	0	2578	0	0	0	0	0	0	0	0	0	0	0	0
Nol6	264.218750	1040	0	75	0	1049	832	0	0	0	0	0	0	1418	1361	201	0	112	0	0	0	2367	0	0	0	0	0	0	0	0	0	0	0	0
Tti2	258.250000	786	598	859	823	723	631	0	0	0	0	0	0	458	602	279	123	138	0	0	0	369	0	222	215	0	144	0	0	243	374	196	481	0
Cth	254.781250	0	0	0	0	0	0	0	0	0	0	0	0	2729	2749	134	0	0	0	0	0	2541	0	0	0	0	0	0	0	0	0	0	0	0
Sfxn2	253.625000	68	0	0	0	0	0	102	0	0	0	0	0	2472	2479	236	0	0	0	0	0	2759	0	0	0	0	0	0	0	0	0	0	0	0
Arl3	253.625000	68	0	0	0	0	0	102	0	0	0	0	0	2472	2479	236	0	0	0	0	0	2759	0	0	0	0	0	0	0	0	0	0	0	0
Mpp7	253.562500	1064	0	0	0	870	951	83	0	0	0	0	0	1787	2101	173	0	129	0	158	0	455	0	144	0	0	94	0	105	0	0	0	0	0
