Target_genes	Smad4|Average	SRX3014617|CD4+_T_cells	SRX3014618|CD4+_T_cells	SRX3014619|CD4+_T_cells	SRX3014620|CD4+_T_cells	SRX13508245|CD8+_T_cells	SRX5023289|Duodenum	SRX5023290|Duodenum	SRX3101083|Embryoid_Bodies	SRX3101084|Embryoid_Bodies	SRX5251395|Embryoid_Bodies	SRX5251396|Embryoid_Bodies	SRX5251388|ES_cells	SRX4046280|Forelimb	SRX4061017|Forelimb	SRX4061018|Forelimb	SRX4061019|Forelimb	SRX4061020|Forelimb	SRX529265|Lung	SRX19498660|Microglia	SRX19498661|Microglia	SRX19498663|Microglia	SRX19498664|Microglia	SRX1094554|Neural_Stem_Cells	SRX5551007|Unclassified	SRX5551008|Unclassified	SRX5551011|Unclassified	SRX5551012|Unclassified	STRING
Brox	1023.851852	907	969	1603	995	346	1693	1966	1205	1610	457	1220	3053	504	1228	1182	3047	3295	273	106	108	76	89	869	607	236	0	0	0
Aida	1023.851852	907	969	1603	995	346	1693	1966	1205	1610	457	1220	3053	504	1228	1182	3047	3295	273	106	108	76	89	869	607	236	0	0	0
Cldn34d	1006.518519	2083	2277	2061	2283	519	1743	2109	1508	1930	992	1555	1573	636	350	616	797	370	645	98	144	0	189	922	1200	256	236	84	0
Skil	981.037037	1446	1188	0	0	0	1046	982	1343	267	238	1338	531	0	439	340	1735	2087	1419	1638	1643	1520	1778	1727	1378	1015	951	439	0
Tcstv3	956.666667	243	298	276	0	195	0	0	2222	2381	1290	2224	2108	943	1069	1131	0	0	2077	1938	802	974	1693	2062	1904	0	0	0	0
Smad7	762.407407	1402	1320	141	0	0	1547	1610	972	363	179	978	288	0	256	224	997	1096	1217	1085	1003	1108	1319	927	739	525	617	672	0
Ccny	688.814815	1821	1721	167	0	0	576	571	1016	226	180	1013	548	0	204	81	1353	1435	1739	524	323	340	532	1190	1461	723	492	362	0
Smad6	681.222222	789	490	0	0	0	1317	1233	607	0	0	604	0	0	189	88	1066	1125	1333	1082	912	1239	1714	761	1058	703	1187	896	0
Mpp7	654.777778	1772	1649	133	109	0	537	671	890	0	193	1014	397	0	453	372	977	1094	558	1178	311	1003	1544	686	831	462	438	407	0
Il31ra	608.518519	231	181	0	211	166	850	970	755	1336	1221	751	220	358	1688	1697	1338	1343	629	0	391	0	206	670	509	519	0	190	0
Kpna1	548.148148	102	180	0	0	343	768	812	959	727	1223	1024	0	570	1426	1569	1174	1075	758	0	475	0	0	695	255	454	0	211	0
Id2	518.000000	467	308	0	0	0	1499	1789	1122	109	121	1119	423	0	142	0	1115	1419	993	300	0	252	303	669	920	512	238	166	0
Sspn	502.000000	655	546	310	718	0	515	583	393	1347	579	498	558	98	1087	906	1584	1414	412	0	0	0	0	418	233	574	0	126	0
Atad2b	451.444444	1298	1213	0	0	0	952	1017	409	0	0	409	0	0	134	0	865	752	1237	592	265	380	474	347	1087	289	329	140	0
Cltc	419.703704	1683	1513	317	237	0	410	524	721	126	0	719	332	0	0	0	356	393	914	197	0	313	282	812	946	537	0	0	0
Myl6b	411.777778	1870	1517	0	0	0	186	0	912	0	0	913	167	0	0	0	378	512	446	103	161	0	240	1538	1170	276	470	259	0
Myl6	411.777778	1870	1517	0	0	0	186	0	912	0	0	913	167	0	0	0	378	512	446	103	161	0	240	1538	1170	276	470	259	0
Zfp148	411.074074	1212	1016	0	0	0	308	359	467	0	0	473	205	0	99	0	449	768	744	378	240	396	248	544	1609	1130	237	217	0
Ago1	365.000000	250	200	0	0	0	0	0	2171	533	228	2178	804	0	0	0	182	227	238	728	695	329	765	145	182	0	0	0	0
Tent4a	339.074074	784	971	106	0	0	277	278	481	0	73	479	344	0	0	0	240	298	698	702	442	409	699	485	722	340	208	119	0
Asmt	325.222222	887	750	477	510	166	245	333	203	253	270	236	210	809	962	796	591	380	272	0	0	0	0	243	188	0	0	0	0
Id3	323.037037	109	173	0	0	0	881	946	603	0	0	599	333	0	175	87	1009	1057	936	147	0	0	0	298	715	208	259	187	0
