Target_genes	Sox10|Average	SRX1062970|embryonic_skin	SRX1062971|embryonic_skin	SRX7856758|Melanoma	SRX7856759|Melanoma	STRING
Cldn34d	1357.250000	563	924	2092	1850	0
Tcstv3	863.750000	1235	1296	623	301	0
Tmem125	754.000000	606	629	1073	708	0
Brox	654.750000	501	749	843	526	0
Aida	654.750000	501	749	843	526	0
Smim38	472.750000	803	1088	0	0	0
Oasl1	423.000000	376	681	377	258	0
Myh14	403.250000	773	840	0	0	0
Kpna1	372.000000	367	444	404	273	0
Hr	321.250000	562	723	0	0	0
Il31ra	269.500000	156	0	578	344	0
Arhgef19	267.250000	401	668	0	0	0
Lrrc75b	249.500000	421	577	0	0	0
Limch1	243.500000	514	460	0	0	0
Cxxc5	243.250000	327	646	0	0	0
Agk	214.000000	313	543	0	0	0
Sema3b	197.000000	337	451	0	0	0
Mbnl2	195.500000	317	465	0	0	0
Gm11213	191.000000	0	0	534	230	0
Vmn2r102	188.250000	362	391	0	0	0
Sorbs3	177.500000	354	356	0	0	0
Olfr806	173.500000	318	376	0	0	0
Mtmr2	171.000000	166	518	0	0	0
Rtkn	168.000000	317	355	0	0	0
Car6	163.250000	285	368	0	0	0
Htra2	161.000000	184	460	0	0	0
Dqx1	161.000000	184	460	0	0	0
Abhd6	160.750000	258	385	0	0	0
Wwox	160.500000	356	286	0	0	0
Ap3m2	158.000000	238	394	0	0	0
Ifna13	155.500000	309	313	0	0	0
Tbx15	154.750000	230	389	0	0	0
Gm13290	154.750000	223	396	0	0	0
Gm13289	154.750000	223	396	0	0	0
Gm13285	154.750000	223	396	0	0	0
Art4	153.000000	216	396	0	0	0
Plxnd1	152.500000	374	236	0	0	0
Dct	151.750000	253	354	0	0	0
Aadacl2fm1	151.750000	259	348	0	0	0
1700034J05Rik	149.750000	277	322	0	0	0
Dpy19l4	148.500000	217	377	0	0	0
Ap1g1	148.500000	200	394	0	0	0
Cbr3	147.750000	371	220	0	0	0
Bcl9l	146.000000	282	302	0	0	0
Tinagl1	143.250000	213	360	0	0	0
Cabcoco1	143.000000	259	313	0	0	0
Grk5	141.500000	235	331	0	0	0
Kctd14	141.250000	225	340	0	0	0
Esr1	140.500000	269	293	0	0	0
Trim13	139.500000	260	298	0	0	0
Nsfl1c	139.500000	193	365	0	0	0
Kcnrg	139.500000	260	298	0	0	0
Hjurp	137.500000	219	331	0	0	0
A730008H23Rik	137.500000	219	331	0	0	0
Zfp24	137.000000	224	324	0	0	0
Eipr1	136.250000	263	282	0	0	0
Dglucy	136.250000	280	265	0	0	0
Asmt	135.250000	148	148	245	0	0
Rps29	134.500000	318	220	0	0	0
Mtf2	134.500000	141	397	0	0	0
Nemf	133.500000	257	277	0	0	0
Insc	131.750000	184	343	0	0	0
Pygo2	130.250000	228	293	0	0	0
Pbxip1	130.250000	228	293	0	0	0
Cltc	129.500000	211	307	0	0	0
Ppdpf	128.000000	196	316	0	0	0
Nudcd3	128.000000	224	288	0	0	0
Mrps33	127.750000	276	235	0	0	0
Bod1l	127.750000	212	299	0	0	0
Tfap2a	127.000000	223	285	0	0	0
Sde2	127.000000	219	289	0	0	0
Acp7	126.250000	166	339	0	0	0
Gm13279	126.000000	202	302	0	0	0
Gm13278	126.000000	202	302	0	0	0
Gm13275	126.000000	202	302	0	0	0
Snrnp27	124.500000	264	234	0	0	0
Rab5b	124.500000	192	306	0	0	0
Celf2	123.750000	169	326	0	0	0
Ncbp2	123.500000	180	314	0	0	0
Adnp	123.500000	136	358	0	0	0
0610012G03Rik	123.500000	180	314	0	0	0
Bzw1	123.000000	169	323	0	0	0
Crebzf	122.750000	286	205	0	0	0
Rab33b	121.500000	221	265	0	0	0
Mtg1	120.500000	180	302	0	0	0
Gramd1b	119.000000	202	274	0	0	0
Mterf1a	118.250000	194	279	0	0	0
Ptpn21	118.000000	216	256	0	0	0
Lrrc8e	118.000000	235	237	0	0	0
Gm13287	117.000000	202	266	0	0	0
Mllt11	116.750000	206	261	0	0	0
Cdc42se1	116.750000	206	261	0	0	0
Met	115.500000	233	229	0	0	0
Cpsf1	114.750000	224	235	0	0	0
Gm13288	113.500000	188	266	0	0	0
Ss18l2	113.000000	143	309	0	0	0
Dguok	113.000000	146	306	0	0	0
Dus1l	112.750000	229	222	0	0	0
Zbtb40	112.500000	227	223	0	0	0
Nmnat1	112.500000	189	261	0	0	0
Lzic	112.500000	189	261	0	0	0
Tatdn3	111.250000	142	303	0	0	0
Nsl1	111.250000	142	303	0	0	0
Mrpl39	111.000000	215	229	0	0	0
Fam71f1	110.500000	195	247	0	0	0
Veph1	110.250000	229	212	0	0	0
Gm13277	109.500000	136	302	0	0	0
Pbk	109.250000	265	172	0	0	0
Nfatc2	108.500000	139	295	0	0	0
Ssbp1	107.750000	193	238	0	0	0
Nacc2	107.250000	213	216	0	0	0
Stx16	106.750000	190	237	0	0	0
Mrps10	106.500000	147	279	0	0	0
Rin2	106.000000	168	256	0	0	0
Srp19	105.500000	207	215	0	0	0
Rps3a1	105.500000	143	279	0	0	0
Taok3	104.750000	183	236	0	0	0
Suds3	104.750000	183	236	0	0	0
Sec14l5	104.750000	157	262	0	0	0
Raf1	103.750000	190	225	0	0	0
Pemt	103.250000	184	229	0	0	0
Rbsn	102.750000	185	226	0	0	0
Opa1	102.750000	238	173	0	0	0
Mrpl44	102.750000	236	175	0	0	0
Dusp4	102.750000	217	194	0	0	0
Synpo	102.500000	187	223	0	0	0
Grik2	102.250000	209	200	0	0	0
Awat2	102.250000	227	182	0	0	0
Hps5	102.000000	187	221	0	0	0
Gtf2h1	102.000000	187	221	0	0	0
Sfi1	101.750000	148	259	0	0	0
Mfsd8	101.000000	148	256	0	0	0
Cep120	101.000000	222	182	0	0	0
Cenpu	100.750000	222	181	0	0	0
Tnpo3	100.000000	140	260	0	0	0
Gm829	100.000000	200	200	0	0	0
Gm13283	100.000000	166	234	0	0	0
Nvl	99.750000	158	241	0	0	0
U2surp	99.250000	136	261	0	0	0
Rnf13	99.000000	191	205	0	0	0
Atp6v0c	99.000000	189	207	0	0	0
Amdhd2	99.000000	189	207	0	0	0
Hilpda	98.750000	132	263	0	0	0
Gins4	98.500000	145	249	0	0	0
Mcam	98.000000	185	207	0	0	0
Cipc	97.750000	212	179	0	0	0
Ifnz	97.500000	140	250	0	0	0
Alx1	97.000000	191	197	0	0	0
Rmnd1	96.500000	159	227	0	0	0
Isy1	96.500000	133	253	0	0	0
Gm13276	96.500000	136	250	0	0	0
Cxcl11	96.500000	140	246	0	0	0
Bhlhe40	96.500000	0	386	0	0	0
Armt1	96.500000	159	227	0	0	0
Cops7a	96.250000	174	211	0	0	0
Slc33a1	95.750000	190	193	0	0	0
Mterf1b	95.750000	162	221	0	0	0
Kdm5a	95.750000	213	170	0	0	0
Vmn2r4	95.500000	175	207	0	0	0
Tomm6	95.250000	163	218	0	0	0
Them4	95.250000	241	140	0	0	0
Mrpl53	95.250000	135	246	0	0	0
Armc8	95.250000	156	225	0	0	0
Prrg4	95.000000	159	221	0	0	0
Sema4d	94.750000	0	379	0	0	0
Rpl21	94.500000	194	184	0	0	0
Tmem68	94.000000	150	226	0	0	0
Tgs1	94.000000	150	226	0	0	0
Sspn	94.000000	179	197	0	0	0
Larp4	93.750000	186	189	0	0	0
Gm13272	93.750000	140	235	0	0	0
Bin3	93.750000	139	236	0	0	0
Atf4	93.750000	163	212	0	0	0
Tmem101	93.500000	153	221	0	0	0
Slc39a13	93.500000	175	199	0	0	0
Slc27a1	93.500000	185	189	0	0	0
Sdhaf3	93.500000	157	217	0	0	0
Pcbp2	93.500000	0	374	0	0	0
Mcm7	93.500000	167	207	0	0	0
Ap4m1	93.500000	167	207	0	0	0
Sox10	93.250000	170	203	0	0	0
Smim8	93.000000	190	182	0	0	0
Sars2	93.000000	150	222	0	0	0
Mrps12	93.000000	150	222	0	0	0
Cnot10	92.750000	144	227	0	0	0
Hsd17b11	92.500000	120	250	0	0	0
C2cd5	92.500000	162	208	0	0	0
Esyt2	92.250000	162	207	0	0	0
Cd38	92.000000	221	147	0	0	0
Gas7	91.750000	198	169	0	0	0
Rlf	91.500000	131	235	0	0	0
Adcy7	91.500000	179	187	0	0	0
Krt40	91.000000	116	248	0	0	0
Kmt2d	91.000000	147	217	0	0	0
Khdrbs1	91.000000	183	181	0	0	0
Slc26a8	90.750000	113	250	0	0	0
Mapk14	90.750000	113	250	0	0	0
H2bc6	90.500000	148	214	0	0	0
H1f4	90.500000	148	214	0	0	0
Ttc4	89.000000	149	207	0	0	0
Sf3a3	88.750000	129	226	0	0	0
Zbtb45	88.000000	109	243	0	0	0
Rgl2	87.750000	128	223	0	0	0
Rcc2	87.250000	0	349	0	0	0
Arl8b	87.000000	151	197	0	0	0
Tsen2	86.750000	178	169	0	0	0
Gpr17	86.750000	181	166	0	0	0
Fcgr3	86.500000	114	232	0	0	0
Adck2	86.500000	140	206	0	0	0
Mrps18c	86.250000	156	189	0	0	0
Helq	86.250000	156	189	0	0	0
Utp3	86.000000	141	203	0	0	0
Rps20	85.750000	168	175	0	0	0
Cacybp	85.500000	196	146	0	0	0
H3c6	85.000000	153	187	0	0	0
Zcwpw2	84.750000	134	205	0	0	0
Azi2	84.750000	134	205	0	0	0
Pradc1	84.250000	113	224	0	0	0
Map4k5	84.250000	0	337	0	0	0
Cct7	84.250000	113	224	0	0	0
Atl1	84.250000	0	337	0	0	0
Tcte3	84.000000	169	167	0	0	0
Gm3448	84.000000	169	167	0	0	0
Gm3417	84.000000	169	167	0	0	0
Ermard	84.000000	169	167	0	0	0
Actg1	84.000000	174	162	0	0	0
Uchl5	83.750000	0	335	0	0	0
