Target_genes	Sox13|Average	SRX1411179|Gamma_delta_T_cells	STRING
Tmem125	955.000000	955	0
Tcstv3	824.000000	824	0
Brox	577.000000	577	0
Aida	577.000000	577	0
Kpna1	561.000000	561	0
Vmn2r4	508.000000	508	0
9230019H11Rik	352.000000	352	0
Asmt	268.000000	268	0
Sfi1	227.000000	227	0
Taar7a	226.000000	226	0
Taar6	226.000000	226	0
Sspn	223.000000	223	0
Esr2	222.000000	222	0
Gm4981	214.000000	214	0
Dux	214.000000	214	0
Upp2	178.000000	178	0
Acvr1	178.000000	178	0
Il31ra	173.000000	173	0
Btnl1	171.000000	171	0
Lrrc58	168.000000	168	0
Gm36028	168.000000	168	0
Emilin2	168.000000	168	0
Vat1l	160.000000	160	0
Lman1	160.000000	160	0
Pggt1b	154.000000	154	0
Olfr282	152.000000	152	0
Arl9	152.000000	152	0
Zfp697	148.000000	148	0
Cldn34d	143.000000	143	0
Gm7356	136.000000	136	0
Olfr279	134.000000	134	0
Gmnc	132.000000	132	0
Clcn4	129.000000	129	0
Afap1	127.000000	127	0
Rab3il1	126.000000	126	0
Best1	126.000000	126	0
Pdcd4	124.000000	124	0
Cox6b2	117.000000	117	0
Gm4846	109.000000	109	0
Colq	102.000000	102	0
Ppp1r3c	101.000000	101	0
Gng7	101.000000	101	0
Serpinb1b	98.000000	98	0
Kcnj8	97.000000	97	0
Zfp420	94.000000	94	0
Osmr	93.000000	93	0
C8a	91.000000	91	0
Tgm4	90.000000	90	0
Mymk	84.000000	84	0
Rragd	83.000000	83	0
Gm11567	76.000000	76	0
C1qtnf1	76.000000	76	0
Rab3b	70.000000	70	0
