Target_genes	Sox4|Average	SRX337568|B_cells	SRX2974918|EML_	SRX4791025|Keratinocytes	SRX4791026|Keratinocytes	SRX4802721|Neural_Stem_Cells	SRX1149735|Pancreatic_cancer_cell_lines	SRX14296655|Synoviocytes	SRX14296656|Synoviocytes	STRING
Tcstv3	1052.000000	978	0	1284	2163	0	1565	1199	1227	0
Cldn34d	905.125000	861	702	955	1651	0	1177	922	973	0
Epc1	854.000000	724	0	218	1726	3349	815	0	0	0
Brox	815.625000	751	420	675	1906	288	943	792	750	0
Aida	815.625000	751	420	675	1906	288	943	792	750	0
Mtf2	663.375000	849	0	293	2452	742	971	0	0	0
Khdrbs1	641.750000	419	0	322	1975	1699	719	0	0	0
Zfp113	634.500000	600	0	172	1579	2196	529	0	0	0
Kpna1	598.500000	753	283	614	751	0	1344	590	453	0
Hspa9	574.625000	755	0	131	1012	2142	557	0	0	0
Kansl2	544.500000	523	0	83	956	2466	328	0	0	0
Oasl1	539.750000	643	0	701	693	0	787	773	721	0
Asmt	524.500000	537	220	567	529	0	903	797	643	0
Il31ra	505.375000	659	0	687	576	0	1491	311	319	0
Cox20	498.625000	502	0	184	741	2107	455	0	0	0
Srsf3	487.250000	436	0	0	545	2514	403	0	0	0
Mcm7	475.750000	330	0	110	1141	1710	515	0	0	0
Ap4m1	475.750000	330	0	110	1141	1710	515	0	0	0
Tmem125	471.500000	430	191	470	1028	0	471	536	646	0
Scrt1	449.750000	0	0	225	2528	845	0	0	0	0
1700037H04Rik	442.875000	216	0	0	526	2674	127	0	0	0
Rala	441.250000	374	0	0	736	2086	334	0	0	0
Cacybp	427.625000	474	0	0	516	2176	255	0	0	0
Atxn7l2	421.250000	291	0	0	628	1865	586	0	0	0
Laptm4a	405.750000	221	0	105	1006	1619	295	0	0	0
Smarce1	399.375000	520	0	142	1450	676	407	0	0	0
Hnrnpab	397.000000	360	0	0	921	1446	449	0	0	0
Arhgdia	396.500000	169	0	0	600	2042	361	0	0	0
Cdh12	393.625000	421	0	556	256	0	549	658	709	0
Zfp146	393.125000	280	0	0	633	1821	411	0	0	0
Npas4	377.375000	0	0	308	2711	0	0	0	0	0
Sfpq	376.375000	387	0	0	982	1486	156	0	0	0
Rbm15b	366.000000	458	0	0	522	1345	603	0	0	0
Manf	366.000000	458	0	0	522	1345	603	0	0	0
Abhd6	366.000000	605	0	461	278	0	579	475	530	0
Tia1	365.125000	368	0	0	543	1665	345	0	0	0
Ncoa5	356.750000	242	0	0	646	1873	93	0	0	0
Trmt44	355.875000	386	0	143	1330	513	475	0	0	0
Zfp865	339.000000	238	0	0	755	1390	329	0	0	0
Zfp524	339.000000	238	0	0	755	1390	329	0	0	0
Fiz1	339.000000	238	0	0	755	1390	329	0	0	0
Ccni	326.750000	114	0	0	315	2185	0	0	0	0
2010109A12Rik	326.750000	114	0	0	315	2185	0	0	0	0
Olfr806	325.625000	538	0	430	246	0	449	427	515	0
Smim17	323.125000	0	0	215	2370	0	0	0	0	0
Zfp553	321.875000	246	0	113	892	1078	246	0	0	0
Zbtb17	320.375000	171	0	0	289	1974	129	0	0	0
Ip6k2	319.000000	263	0	0	341	1655	293	0	0	0
Etv6	317.375000	329	0	164	1108	476	462	0	0	0
Hnrnph1	317.000000	169	0	0	370	1884	113	0	0	0
Tecr	316.625000	377	0	0	687	1160	309	0	0	0
Trp53inp2	313.375000	76	0	0	289	2000	142	0	0	0
Ptma	310.875000	395	0	0	759	894	439	0	0	0
Ddx5	310.750000	301	0	86	504	1506	89	0	0	0
Cep95	310.750000	301	0	86	504	1506	89	0	0	0
Nme1	308.750000	370	0	0	732	1077	291	0	0	0
Csf2ra	306.375000	520	398	216	245	0	354	427	291	0
Zfp326	297.000000	294	0	0	445	1458	179	0	0	0
Zfp873	295.875000	180	0	0	282	1708	197	0	0	0
Dhx9	293.125000	173	0	0	225	1740	207	0	0	0
Sspn	291.875000	376	201	339	430	153	836	0	0	0
Rtbdn	291.250000	0	0	150	2180	0	0	0	0	0
Cacng2	289.875000	0	0	138	2181	0	0	0	0	0
Rnf44	283.000000	318	0	0	618	962	366	0	0	0
Tes	282.750000	330	0	169	1246	0	517	0	0	0
Trim28	279.250000	535	0	0	745	371	583	0	0	0
Glra1	279.250000	0	0	0	2234	0	0	0	0	0
Smarcd1	278.500000	193	0	0	467	1384	184	0	0	0
Snn	276.375000	305	0	0	333	1239	334	0	0	0
Ilf3	276.250000	321	0	0	361	1437	91	0	0	0
Dchs2	274.750000	672	0	355	300	0	871	0	0	0
Xkr7	274.500000	0	0	97	2099	0	0	0	0	0
Vmn2r4	274.500000	393	0	477	345	0	0	435	546	0
Vstm2l	274.000000	0	0	97	2095	0	0	0	0	0
