Target_genes	Sp7|Average	SRX18740507|Oligodendrocytes	SRX1702412|Osteoblasts	STRING
Cldn34d	1351.500000	1020	1683	0
Brox	926.000000	756	1096	0
Aida	926.000000	756	1096	0
Kpna1	609.500000	0	1219	0
Il31ra	559.000000	153	965	0
Oasl1	346.000000	0	692	0
Sspn	327.000000	254	400	0
Tmem125	260.500000	388	133	0
Asmt	233.500000	199	268	0
Kifc3	220.500000	0	441	0
Nelfa	206.500000	413	0	0
Vmn2r102	206.000000	0	412	0
Cdh12	183.500000	0	367	0
Hjurp	173.000000	346	0	0
A730008H23Rik	173.000000	346	0	0
Hspa14	172.000000	344	0	0
Cdnf	172.000000	344	0	0
Zfp574	171.500000	343	0	0
Grik5	171.500000	343	0	0
Golph3l	166.000000	332	0	0
Shb	157.500000	0	315	0
Atp5g1	153.000000	306	0	0
Ankar	150.500000	0	301	0
Dctpp1	148.000000	296	0	0
Prcc	147.500000	295	0	0
Zcchc17	145.500000	184	107	0
Pin1	144.500000	289	0	0
Rpp38	137.500000	0	275	0
Acbd7	137.500000	0	275	0
Dhx8	133.500000	267	0	0
Mvk	130.000000	260	0	0
Mmab	130.000000	260	0	0
Nlrp10	129.500000	259	0	0
Eif3f	129.500000	259	0	0
Ggct	129.000000	258	0	0
Asphd2	129.000000	0	258	0
9430015G10Rik	129.000000	258	0	0
Sel1l	127.000000	254	0	0
Pnpla7	127.000000	254	0	0
Mrpl41	127.000000	254	0	0
Zswim4	126.500000	253	0	0
Cstf2t	126.500000	253	0	0
Creb3l2	126.000000	252	0	0
Rps29	125.500000	251	0	0
Ppwd1	125.500000	251	0	0
Cenpk	125.500000	251	0	0
Stat3	123.000000	246	0	0
Fnbp1	123.000000	0	246	0
Ddx24	123.000000	246	0	0
Vcp	122.500000	245	0	0
Eprs	122.500000	0	245	0
Chd2	121.500000	243	0	0
Cdk5rap2	120.000000	240	0	0
Sh3glb2	117.500000	235	0	0
Miga2	117.500000	235	0	0
Dars2	117.000000	234	0	0
Wdpcp	116.000000	232	0	0
Ube2f	116.000000	232	0	0
Tmem218	116.000000	232	0	0
Rbm27	116.000000	232	0	0
Mdh1	116.000000	232	0	0
Gadd45a	116.000000	232	0	0
Copz1	114.000000	228	0	0
Cenpu	114.000000	228	0	0
Plb1	113.500000	0	227	0
Txn2	113.000000	226	0	0
Herpud1	112.500000	225	0	0
Psmd8	111.500000	223	0	0
Chst5	111.500000	223	0	0
Usp2	111.000000	222	0	0
Trim45	111.000000	222	0	0
Smim38	111.000000	222	0	0
Mxd4	110.500000	221	0	0
Vps37b	109.000000	101	117	0
Ubiad1	109.000000	218	0	0
Mtor	109.000000	218	0	0
Zbtb5	108.000000	216	0	0
Tomm40l	108.000000	216	0	0
Tcea1	108.000000	216	0	0
Cep152	108.000000	216	0	0
Apoa2	108.000000	216	0	0
Ap2s1	107.500000	215	0	0
Etv5	107.000000	214	0	0
Ccnt1	107.000000	214	0	0
4930415O20Rik	107.000000	214	0	0
Pitx3	106.500000	213	0	0
Gbf1	106.500000	213	0	0
Katnb1	105.500000	211	0	0
Zfp622	105.000000	210	0	0
Ptpn3	104.500000	0	209	0
Ubl3	104.000000	208	0	0
Ghitm	104.000000	208	0	0
Cops4	104.000000	208	0	0
Ankrd54	104.000000	208	0	0
Rrp9	103.500000	207	0	0
Parp3	103.500000	207	0	0
Elavl2	103.000000	206	0	0
Arrdc4	102.500000	205	0	0
Spata2	102.000000	204	0	0
Rnf114	102.000000	204	0	0
Slc25a10	101.500000	0	203	0
Sfpq	101.500000	203	0	0
Pcbp2	101.000000	202	0	0
Fam219a	100.500000	201	0	0
Dnaic1	100.500000	201	0	0
Lrch4	100.000000	200	0	0
Fbxo24	100.000000	200	0	0
Zfp276	99.500000	199	0	0
Vps9d1	99.500000	199	0	0
Rangap1	99.500000	199	0	0
Peli1	99.500000	199	0	0
Rpgrip1l	99.000000	198	0	0
Fto	99.000000	198	0	0
Prmt5	98.500000	197	0	0
Dglucy	98.000000	196	0	0
