Target_genes	Spib|Average	SRX556710|WEHI-279	SRX556711|WEHI-279	STRING
Tcstv3	2483.500000	2439	2528	0
Cldn34d	2250.000000	2178	2322	0
Brox	1316.500000	1672	961	0
Aida	1316.500000	1672	961	0
Tmem125	1226.500000	1127	1326	0
H2-L	1041.000000	1163	919	0
H2-D1	1041.000000	1163	919	0
Sp140	987.500000	965	1010	0
Sp110	987.500000	965	1010	0
Samd9l	920.500000	1064	777	0
Actr2	833.500000	925	742	0
Pdlim2	817.000000	1058	576	0
Pou2f2	786.500000	934	639	0
Kpna1	761.500000	1118	405	0
A530032D15Rik	747.000000	936	558	0
Npas4	744.500000	1201	288	0
Lin28a	736.000000	1081	391	0
H2-K1	732.000000	857	607	0
Sap30bp	694.000000	749	639	0
Recql5	694.000000	749	639	0
Mybph	692.000000	843	541	0
Dapp1	685.000000	799	571	0
Gm5431	626.500000	795	458	0
Lats2	624.500000	812	437	0
Arhgap45	621.000000	936	306	0
H2-Q9	617.500000	890	345	0
H2-Q7	617.500000	890	345	0
Ndst1	583.000000	868	298	0
Cd53	582.000000	725	439	0
H2-Q4	564.000000	859	269	0
Cib2	561.000000	849	273	0
Il31ra	551.000000	771	331	0
Actb	549.000000	698	400	0
Gpr18	546.000000	905	187	0
Calhm2	539.500000	771	308	0
Asmt	516.000000	577	455	0
Cd302	511.500000	799	224	0
Wdfy4	498.500000	693	304	0
Prcp	490.500000	510	471	0
Ddias	490.500000	510	471	0
Sik3	489.500000	649	330	0
Pafah1b2	489.500000	649	330	0
H2-Q8	488.000000	480	496	0
H2-Q6	488.000000	480	496	0
Pira7	484.000000	657	311	0
Pira6	484.000000	657	311	0
Pira4	484.000000	657	311	0
Pira11	484.000000	657	311	0
Gm14548	484.000000	657	311	0
Slc25a19	482.000000	599	365	0
Susd1	478.500000	736	221	0
Cyp4f18	474.500000	763	186	0
Cd74	471.500000	661	282	0
Kcna3	470.500000	733	208	0
Il6ra	463.500000	594	333	0
Rtbdn	462.000000	810	114	0
Ap1s3	458.500000	544	373	0
Mrpl16	450.000000	698	202	0
Mnt	447.000000	715	179	0
Cfp	445.500000	515	376	0
Senp7	442.000000	720	164	0
Tm4sf19	438.500000	570	307	0
Oasl1	438.000000	637	239	0
Olfr374	436.500000	587	286	0
Filip1l	429.500000	638	221	0
Smim17	428.500000	712	145	0
Neurl1a	426.000000	549	303	0
Vstm2l	425.500000	619	232	0
9930111J21Rik2	424.500000	612	237	0
Isg20	416.000000	538	294	0
Slc43a2	414.500000	532	297	0
