Target_genes	Srebf2|Average	SRX7671896|NLPCs	SRX7671897|NLPCs	SRX7671884|Oligodendrocytes	SRX7671885|Oligodendrocytes	STRING
Hmgcs1	1863.250000	2527	1673	2109	1144	0
Srebf2	1751.000000	3084	1767	1193	960	0
Msmo1	1666.250000	1838	1155	2493	1179	0
Sqle	1408.750000	2476	842	1547	770	0
Ralgapb	1361.500000	3060	1814	0	572	0
Cldn34d	1243.750000	639	950	1507	1879	0
Kifap3	1169.000000	2901	1510	0	265	0
Fdft1	1163.500000	1851	918	1200	685	0
Tti1	1063.750000	2660	1303	0	292	0
Rprd1b	1063.750000	2660	1303	0	292	0
Insig1	1029.000000	1681	835	1117	483	0
Cct5	989.250000	2595	1163	0	199	0
Atpsckmt	989.250000	2595	1163	0	199	0
Tmem125	987.250000	591	570	1463	1325	0
Patl1	958.250000	2282	1288	0	263	0
Aga	933.750000	2256	1245	0	234	0
Idi1	933.500000	1635	615	966	518	0
Hmgcr	913.750000	1636	674	937	408	474
Gmeb2	892.250000	2237	1119	0	213	0
Zfp653	819.000000	2094	915	0	267	0
Ythdf1	756.250000	1990	1035	0	0	0
Cyp51	753.750000	1295	547	820	353	0
Brox	748.250000	436	509	941	1107	0
Aida	748.250000	436	509	941	1107	0
Chd4	682.750000	1881	850	0	0	0
Chmp7	639.750000	1903	656	0	0	0
Tcstv3	625.750000	605	596	611	691	0
Hsd17b7	625.500000	1105	526	627	244	0
Sf3a2	607.000000	1393	897	0	138	0
Plekhj1	607.000000	1393	897	0	138	0
Ppip5k2	542.500000	1590	580	0	0	0
Gin1	542.500000	1590	580	0	0	0
Fdps	502.750000	1028	351	482	150	0
Kifc1	470.500000	1381	501	0	0	0
Etnk1	426.250000	1243	309	0	153	0
Stard4	417.750000	830	320	354	167	0
Lss	404.750000	820	354	445	0	0
Pank3	400.500000	676	327	419	180	0
Ldlr	394.750000	631	230	472	246	517
Nip7	382.250000	1124	405	0	0	0
Cog8	382.250000	1124	405	0	0	0
Adk	374.750000	1054	445	0	0	0
Atf4	370.500000	663	275	402	142	0
Fasn	367.500000	580	364	347	179	153
Hjurp	365.500000	988	474	0	0	0
A730008H23Rik	365.500000	988	474	0	0	0
Oaz1	360.000000	955	485	0	0	0
Enho	353.750000	1175	240	0	0	0
Nme7	349.500000	995	403	0	0	0
Blzf1	349.500000	995	403	0	0	0
Krt10	348.250000	977	416	0	0	0
Rpl37	341.500000	1020	346	0	0	0
Pmvk	333.750000	314	204	605	212	0
Dhcr24	333.750000	766	257	170	142	0
Acat2	331.250000	397	333	454	141	0
Mrpl36	327.000000	916	392	0	0	0
Rbm10	323.250000	721	572	0	0	0
Ndufb11	323.250000	721	572	0	0	0
Thumpd3	319.500000	1063	215	0	0	0
Snrpe	314.250000	939	318	0	0	0
Rps21	311.500000	867	379	0	0	0
Tmem97	302.000000	840	190	178	0	0
Cops7a	290.500000	872	290	0	0	0
Sc5d	289.500000	672	233	253	0	0
Acly	289.500000	605	258	295	0	0
Stk11ip	287.250000	919	230	0	0	0
Exoc3	282.750000	868	263	0	0	0
Ppih	279.500000	792	326	0	0	0
Mvk	278.750000	857	258	0	0	0
Mmab	278.750000	857	258	0	0	0
Ing4	265.500000	755	307	0	0	0
Rrs1	264.500000	817	241	0	0	0
Adhfe1	264.500000	817	241	0	0	0
Csnk1g2	263.000000	481	376	195	0	0
Map4k1	259.500000	745	293	0	0	0
Eif3k	259.500000	745	293	0	0	0
Psma6	259.250000	757	280	0	0	0
Canx	258.500000	766	85	183	0	0
Utp14b	258.250000	695	202	136	0	0
Acsl3	258.250000	695	202	136	0	0
Rps26	256.000000	697	327	0	0	0
Pdap1	250.500000	754	248	0	0	0
Bud31	250.500000	754	248	0	0	0
Rer1	249.000000	768	228	0	0	0
Morn1	249.000000	768	228	0	0	0
Zbtb22	248.250000	682	311	0	0	0
Tapbp	248.250000	682	311	0	0	0
Rars	242.750000	707	264	0	0	0
Nup107	236.250000	751	194	0	0	0
Pigm	236.000000	694	250	0	0	0
Ube2g2	230.000000	655	265	0	0	0
Tmco1	230.000000	647	273	0	0	0
Usp36	229.500000	740	178	0	0	0
Rpf1	228.250000	545	368	0	0	0
Elovl6	226.500000	516	215	175	0	0
Klhdc8b	225.750000	649	254	0	0	0
Ccdc71	225.750000	649	254	0	0	0
Supt16	223.250000	725	168	0	0	0
Dnpep	221.250000	348	181	356	0	0
Mrpl27	220.250000	651	230	0	0	0
Eme1	220.250000	651	230	0	0	0
Bbs10	218.250000	681	192	0	0	0
Pramel12	217.000000	684	184	0	0	0
Eif2s1	216.750000	666	201	0	0	0
Atp6v1d	216.750000	666	201	0	0	0
Ngrn	215.500000	710	152	0	0	0
Tmem170b	214.750000	313	299	247	0	0
Kti12	213.500000	638	216	0	0	0
Echdc1	212.750000	493	193	165	0	0
