Target_genes	Stat2|Average	SRX1441664|B_cells	SRX1441665|B_cells	SRX1441666|B_cells	SRX1441667|B_cells	SRX2647476|CD4+_T_cells	SRX2647477|CD4+_T_cells	SRX2647478|CD4+_T_cells	SRX2647492|CD4+_T_cells	SRX2647493|CD4+_T_cells	SRX2647494|CD4+_T_cells	SRX122565|Dendritic_Cells	SRX122566|Dendritic_Cells	SRX122567|Dendritic_Cells	SRX122568|Dendritic_Cells	SRX122569|Dendritic_Cells	SRX122570|Dendritic_Cells	SRX122571|Dendritic_Cells	SRX122572|Dendritic_Cells	SRX122573|Dendritic_Cells	SRX9426636|ES_cells	SRX9426637|ES_cells	SRX9426638|ES_cells	SRX9426647|ES_cells	SRX9426648|ES_cells	SRX9426649|ES_cells	SRX9426650|ES_cells	SRX9426651|ES_cells	SRX9426652|ES_cells	SRX9426653|ES_cells	SRX9426654|ES_cells	SRX9426663|ES_cells	SRX9426664|ES_cells	SRX9426665|ES_cells	SRX4178756|Macrophages	SRX4178757|Macrophages	SRX4178762|Macrophages	SRX4178763|Macrophages	SRX4178768|Macrophages	SRX4178769|Macrophages	SRX4178774|Macrophages	SRX4178775|Macrophages	SRX4178778|Macrophages	SRX4178779|Macrophages	SRX4178782|Macrophages	SRX4178783|Macrophages	SRX805962|Macrophages	SRX805963|Macrophages	SRX805964|Macrophages	SRX18239627|MEF	SRX18239630|MEF	SRX5503048|MEF	SRX5503051|MEF	SRX9426700|MEF	SRX9426701|MEF	SRX9426702|MEF	SRX9426711|MEF	SRX9426712|MEF	SRX9426713|MEF	STRING
Tcstv3	938.362069	576	253	307	286	1984	2101	1964	1806	1991	2134	965	869	263	0	769	646	901	945	1009	1208	1161	1163	1165	1318	1134	1224	1223	1126	1321	1140	1242	1246	1199	797	414	976	364	516	0	447	262	564	355	452	64	1042	1188	1586	1282	753	484	217	1171	1052	1141	1035	625	999	0
Irf9	749.068966	413	996	3540	3010	341	119	125	301	122	176	0	0	366	0	528	391	0	0	0	0	0	0	0	683	0	199	158	125	352	160	244	212	82	2081	489	2782	2194	1865	742	132	0	2622	1762	148	0	384	3621	4295	960	2772	1656	112	0	0	420	205	1050	511	0
Cldn34d	725.948276	205	932	982	1175	917	701	709	769	619	890	304	187	299	122	144	160	243	192	638	909	787	952	943	836	946	957	793	736	920	839	938	777	968	1256	610	1489	666	1034	179	469	255	919	517	355	408	676	902	1773	873	936	917	579	879	709	720	796	693	1006	0
Bst2	713.224138	0	115	3439	3245	333	309	0	421	0	0	0	0	219	0	280	0	0	0	0	0	0	0	0	647	0	367	239	281	658	250	356	380	138	1098	265	3089	2371	1624	394	0	0	1651	833	0	0	335	4404	4457	878	3036	2424	127	0	0	508	323	1470	403	0
Rtp4	694.672414	0	274	3289	3106	134	96	0	155	0	0	0	0	188	0	178	201	0	0	0	0	0	0	0	537	61	101	86	0	373	176	244	210	0	2173	548	3012	2430	2563	853	0	0	2290	1015	0	0	442	4178	4451	821	2528	1940	86	0	0	378	173	663	338	0
Stat2	678.103448	0	176	3302	2951	167	163	95	290	180	122	0	0	227	0	297	243	0	0	0	0	0	0	0	194	0	126	127	0	111	0	92	178	0	1378	319	2899	1897	1852	633	0	0	3100	1569	118	85	243	3924	4371	713	2333	1992	121	0	0	628	358	1422	334	0
Apof	678.103448	0	176	3302	2951	167	163	95	290	180	122	0	0	227	0	297	243	0	0	0	0	0	0	0	194	0	126	127	0	111	0	92	178	0	1378	319	2899	1897	1852	633	0	0	3100	1569	118	85	243	3924	4371	713	2333	1992	121	0	0	628	358	1422	334	0
Ifi27	619.103448	178	783	3107	2928	0	0	0	125	0	0	0	0	0	0	144	152	0	0	0	0	0	0	0	603	0	94	134	90	599	190	358	315	138	1964	507	2745	1903	2115	512	0	0	208	0	0	0	441	4202	4191	713	2509	1616	142	0	0	381	179	1255	387	0
Oasl2	594.706897	0	0	2083	1914	0	97	0	0	0	0	0	0	275	0	176	202	0	0	0	0	0	0	0	309	0	0	0	0	395	106	0	232	0	1746	377	2902	2345	2247	941	0	0	1917	945	0	0	395	3951	4140	832	2294	1443	0	0	0	320	249	1298	362	0
Ogfr	579.741379	0	497	2867	2935	273	188	140	360	221	397	0	0	217	0	187	138	0	0	0	0	0	0	0	150	0	0	0	0	105	0	0	0	0	792	219	2969	1706	1641	754	0	0	1775	851	0	0	233	2897	3703	721	1580	2035	0	0	0	530	422	1607	515	0
Irgm1	575.034483	0	337	3174	2762	272	146	0	274	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	713	0	363	325	212	688	220	448	570	185	1379	278	2266	1587	782	355	0	0	1368	792	0	0	230	3082	3447	769	2088	1855	0	0	0	599	260	1082	267	0
