Target_genes	Stat5b|Average	SRX3067395|CD4+_T_cells	SRX3067396|CD4+_T_cells	SRX3067405|CD4+_T_cells	SRX3067406|CD4+_T_cells	SRX3067407|CD4+_T_cells	SRX3067408|CD4+_T_cells	SRX3067401|CD8+_T_cells	SRX3067402|CD8+_T_cells	SRX041331|Dendritic_Cells	SRX041332|Dendritic_Cells	SRX041333|Dendritic_Cells	SRX187509|Mammary_cells	SRX187514|Mammary_cells	SRX3006598|Spleen	SRX3006599|Spleen	SRX3006600|Spleen	SRX3006601|Spleen	SRX041281|Th1_Cells	SRX191131|Th9	SRX353400|Th9	SRX353401|Th9	SRX353404|Th9	SRX353405|Th9	SRX041284|T_cells	SRX041285|T_cells	SRX132013|T_cells	SRX132016|T_cells	SRX132019|T_cells	SRX132022|T_cells	STRING
Cish	1036.724138	0	2030	1493	2326	1319	2417	0	707	0	1453	1632	1254	864	0	1941	0	1544	2228	2189	0	568	2621	1772	0	0	160	764	162	621	0
Tcstv3	1025.551724	204	666	2275	1836	2126	844	1546	1674	261	650	788	1984	2169	809	1790	887	1613	827	1364	1227	1594	1581	154	0	0	252	186	170	264	0
Socs2	923.000000	0	1823	2305	2629	2247	2990	0	964	0	1601	1455	509	537	0	1498	0	427	1866	2306	0	284	1193	584	0	0	0	1187	0	362	0
Tnf	898.413793	0	2677	1955	2550	1825	2779	0	1269	0	1362	1281	0	0	0	180	0	0	2110	1515	0	527	2722	1238	0	0	0	1773	0	291	0
Lta	898.413793	0	2677	1955	2550	1825	2779	0	1269	0	1362	1281	0	0	0	180	0	0	2110	1515	0	527	2722	1238	0	0	0	1773	0	291	0
Eif5a	894.724138	0	1729	2159	1881	2227	927	0	376	0	2203	2306	182	0	0	2100	0	1435	1468	1869	0	184	1767	528	0	0	0	1505	160	941	0
Bcl6	837.551724	0	1136	1752	1962	1686	1637	0	373	89	1283	1085	494	514	0	1652	379	1741	1167	1677	0	361	1855	1207	0	0	488	701	476	574	163
Hemk1	813.241379	0	1597	1717	2025	1589	1238	0	587	0	1052	651	455	0	0	1913	94	1836	1009	1719	0	520	1899	966	0	0	301	1130	492	794	0
Brox	784.965517	180	268	1393	1773	1791	1409	617	480	341	726	749	1721	2451	577	1767	613	1617	489	167	338	416	1054	534	0	321	238	160	179	395	0
Aida	784.965517	180	268	1393	1773	1791	1409	617	480	341	726	749	1721	2451	577	1767	613	1617	489	167	338	416	1054	534	0	321	238	160	179	395	0
Poli	761.172414	0	1440	2205	1903	2255	626	0	615	0	2152	1971	352	268	0	1492	0	708	1096	1090	0	287	1893	681	0	0	0	734	0	306	0
Pik3cd	751.103448	0	1247	2051	2170	1950	1441	0	0	0	1544	1367	0	0	0	1757	0	1296	1418	1328	0	0	1726	723	0	0	0	896	301	567	0
Gbp7	749.689655	0	1513	2335	811	2441	543	0	543	0	2410	2333	986	602	0	1081	0	331	866	940	0	260	2227	460	0	0	0	602	0	457	0
Socs3	720.034483	0	1115	1546	1842	1863	1830	0	104	0	1413	1163	410	371	0	1521	0	1660	1222	1314	0	257	1043	320	0	0	0	1039	351	497	0
Ikzf4	694.827586	0	799	1851	2370	1929	2290	0	250	0	1418	1061	258	238	0	1170	0	1209	1104	852	0	140	617	269	0	0	0	1439	0	886	0
Rhoq	694.689655	0	1544	2027	1741	2052	616	0	340	0	2113	2025	0	0	0	927	0	941	775	1199	0	365	1364	277	0	0	0	1150	0	690	0
Rasgrp1	694.689655	0	1435	2251	2691	2294	1959	0	404	0	829	689	182	0	0	564	0	0	1598	1033	0	290	1372	503	0	0	0	1575	0	477	0
Cndp2	671.517241	0	1259	2127	2467	2139	1244	0	286	0	970	796	806	449	0	395	0	303	1297	1090	0	184	1709	519	0	0	0	808	0	626	0
Cdk5rap1	652.517241	0	410	1536	1878	1878	1226	0	305	0	1958	1278	463	691	0	958	0	2270	778	481	0	0	320	0	0	0	0	984	181	1328	0
Amn1	637.896552	0	1177	1736	995	1893	236	0	228	0	1784	1766	340	348	0	1690	0	1717	753	1022	0	0	1237	173	0	0	0	932	130	342	0
Lfng	634.793103	0	1059	2004	1777	1994	1289	0	245	0	1536	1174	282	207	0	1208	0	540	886	794	0	174	651	145	0	0	0	1302	223	919	0
Moxd2	633.517241	0	1702	2252	170	2282	744	0	767	0	793	504	0	0	0	1155	0	961	905	1344	0	0	2703	522	0	0	0	838	213	517	0
