Target_genes	Stat6|Average	SRX197271|Macrophages	SRX197272|Macrophages	SRX197273|Macrophages	SRX197274|Macrophages	SRX197275|Macrophages	SRX197276|Macrophages	SRX6432727|Macrophages	SRX6432728|Macrophages	SRX9311781|Macrophages	SRX9311782|Macrophages	SRX9311783|Macrophages	SRX9311784|Macrophages	SRX9311785|Macrophages	SRX9311786|Macrophages	SRX9311787|Macrophages	SRX9311788|Macrophages	SRX9311789|Macrophages	SRX9311790|Macrophages	SRX9311791|Macrophages	SRX9311792|Macrophages	SRX9311793|Macrophages	SRX9311794|Macrophages	SRX9311795|Macrophages	SRX9311796|Macrophages	SRX9311797|Macrophages	SRX9311798|Macrophages	SRX9311799|Macrophages	SRX9311800|Macrophages	SRX9311801|Macrophages	SRX9311802|Macrophages	SRX9311803|Macrophages	SRX9311804|Macrophages	SRX9311885|Macrophages	SRX9311886|Macrophages	SRX9311887|Macrophages	SRX9311888|Macrophages	SRX9311889|Macrophages	SRX9311890|Macrophages	SRX9311891|Macrophages	SRX9311892|Macrophages	SRX832470|Naive_T_cells	SRX832476|Naive_T_cells	SRX12379720|RAW_264.7	SRX12379721|RAW_264.7	SRX12379722|RAW_264.7	SRX12379723|RAW_264.7	SRX12379724|RAW_264.7	SRX12379725|RAW_264.7	SRX12379726|RAW_264.7	SRX12379742|RAW_264.7	SRX12379743|RAW_264.7	SRX12379744|RAW_264.7	SRX12379745|RAW_264.7	SRX12379844|RAW_264.7	SRX12379845|RAW_264.7	SRX12379846|RAW_264.7	SRX12379847|RAW_264.7	SRX12379848|RAW_264.7	SRX12379849|RAW_264.7	SRX12379850|RAW_264.7	SRX12379851|RAW_264.7	SRX12379867|RAW_264.7	SRX13208232|RAW_264.7	SRX13208233|RAW_264.7	SRX13208234|RAW_264.7	SRX13208235|RAW_264.7	SRX021632|Th1_Cells	SRX021633|Th1_Cells	SRX191132|Th9	SRX353406|Th9	SRX353407|Th9	STRING
Tcstv3	1324.845070	1671	1779	1508	1699	1768	1733	2240	2139	2623	2501	0	2502	0	2456	2632	2570	2694	2551	2585	2568	2575	2651	2569	2416	2433	2657	2796	2609	2531	2405	1992	2101	2690	2272	2527	2063	2537	2060	2648	2112	311	203	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	520	574	1744	1519	157	0
Tnp2	861.281690	0	3349	3336	3201	2990	2928	1954	2292	0	0	1103	1728	1217	1669	1528	1476	0	0	737	1256	0	0	753	1153	0	0	1242	1996	0	0	1164	2079	0	0	1218	491	0	0	1022	317	0	0	0	2266	2272	0	0	2199	2038	1404	1456	195	151	0	0	260	0	382	217	0	0	0	0	0	186	0	1322	0	447	1863	2294	0
Socs1	861.281690	0	3349	3336	3201	2990	2928	1954	2292	0	0	1103	1728	1217	1669	1528	1476	0	0	737	1256	0	0	753	1153	0	0	1242	1996	0	0	1164	2079	0	0	1218	491	0	0	1022	317	0	0	0	2266	2272	0	0	2199	2038	1404	1456	195	151	0	0	260	0	382	217	0	0	0	0	0	186	0	1322	0	447	1863	2294	0
Prm3	861.281690	0	3349	3336	3201	2990	2928	1954	2292	0	0	1103	1728	1217	1669	1528	1476	0	0	737	1256	0	0	753	1153	0	0	1242	1996	0	0	1164	2079	0	0	1218	491	0	0	1022	317	0	0	0	2266	2272	0	0	2199	2038	1404	1456	195	151	0	0	260	0	382	217	0	0	0	0	0	186	0	1322	0	447	1863	2294	0
Cldn34d	802.887324	777	940	779	789	814	881	1249	1673	764	1674	1141	1050	1280	824	716	1061	955	930	842	694	931	926	641	731	0	0	0	0	1600	1955	1294	1972	1446	870	1107	1073	1201	1017	1346	914	0	0	550	519	402	385	347	404	358	1729	1607	645	946	791	839	599	519	807	420	521	533	610	764	685	496	468	352	504	404	944	0	0
Sys1	792.830986	0	3427	3397	3378	3394	3289	2073	2181	190	369	2261	1883	2316	1500	1855	1915	0	0	1194	1351	0	163	1165	1696	0	0	1704	2261	0	0	445	1224	0	0	475	695	0	0	527	349	0	0	0	1209	1023	0	0	1742	1464	508	605	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	1153	0	463	484	826	0
Brox	758.830986	513	760	601	463	467	597	1315	1416	338	1069	479	443	309	553	361	616	1177	1129	1039	1028	508	728	357	445	211	571	300	904	0	0	0	0	779	878	719	1323	932	1304	837	832	0	0	977	1148	1335	956	1087	652	632	1616	1607	1161	1164	1090	1062	979	1100	914	742	803	846	774	1081	1098	512	966	762	631	165	642	1074	0
Aida	758.830986	513	760	601	463	467	597	1315	1416	338	1069	479	443	309	553	361	616	1177	1129	1039	1028	508	728	357	445	211	571	300	904	0	0	0	0	779	878	719	1323	932	1304	837	832	0	0	977	1148	1335	956	1087	652	632	1616	1607	1161	1164	1090	1062	979	1100	914	742	803	846	774	1081	1098	512	966	762	631	165	642	1074	0
Frg2f1	704.676056	0	3491	3182	3167	3339	3192	2012	2358	0	0	2570	1603	2415	1199	1501	1285	0	0	718	591	0	0	683	1505	0	0	1420	1983	69	0	1031	1671	120	0	273	210	0	0	264	0	0	0	0	1459	1546	0	0	1782	1530	251	270	0	0	0	0	135	0	132	0	0	0	0	0	0	142	0	532	139	0	0	262	0
Foxj3	704.676056	0	3491	3182	3167	3339	3192	2012	2358	0	0	2570	1603	2415	1199	1501	1285	0	0	718	591	0	0	683	1505	0	0	1420	1983	69	0	1031	1671	120	0	273	210	0	0	264	0	0	0	0	1459	1546	0	0	1782	1530	251	270	0	0	0	0	135	0	132	0	0	0	0	0	0	142	0	532	139	0	0	262	0
Casp6	703.845070	0	2294	2053	2702	2445	2519	948	1183	0	115	2683	1746	2279	941	1222	1748	0	0	439	981	0	0	692	1351	0	0	932	2035	0	0	323	1115	0	0	428	303	0	0	449	0	0	0	0	1998	2170	0	0	1959	1632	384	375	0	0	0	0	147	0	0	114	0	0	0	0	0	152	0	1928	0	1264	2667	1257	0
Bcl6	665.887324	0	2077	1478	1729	1917	1925	1010	798	141	233	1510	1556	1538	810	1479	1138	114	0	714	703	129	160	905	927	0	222	1045	1602	0	0	1752	1999	0	0	402	197	0	0	240	0	0	0	0	2281	2265	0	0	2030	1915	1131	962	153	118	0	0	290	325	311	226	0	0	0	0	0	250	216	551	211	342	1269	1982	0
Tarm1	653.154930	0	3137	2424	2928	3427	3212	1246	1546	102	363	2142	1495	2156	983	1406	1571	0	0	706	996	148	298	634	1095	0	275	774	1775	193	223	1040	1992	145	0	497	424	0	0	343	192	0	0	0	1485	1683	0	0	1595	1305	222	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zc3h12a	637.929577	0	3684	3692	3551	3614	3507	1994	2125	0	194	2098	1412	1147	617	895	926	0	0	202	430	136	0	358	572	0	0	656	1434	123	0	673	1246	0	0	163	0	0	0	0	0	0	0	0	1139	1101	0	0	1604	1246	371	495	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	1191	0	519	1147	896	0
Sft2d2	611.605634	0	2976	2788	2827	2931	2895	886	1459	0	0	2215	1366	1867	809	971	870	0	0	452	458	0	0	542	686	0	0	660	1531	0	0	794	1739	84	0	290	275	0	0	235	0	0	0	0	1481	1796	0	0	1915	1708	442	363	0	0	0	0	150	0	232	171	0	0	0	0	0	161	0	882	0	241	1276	0	0
Cd74	598.323944	0	3103	2662	2818	2881	2865	1947	2045	295	317	1925	1103	1383	731	635	800	0	0	400	561	0	0	332	877	0	0	762	1142	0	0	705	1226	0	0	275	234	0	0	268	177	0	0	0	1748	1881	0	0	1909	1816	500	425	0	0	0	0	92	0	0	120	0	0	123	0	0	206	156	201	0	0	605	230	0
H1f8	597.267606	0	2453	1869	2542	2406	2658	1222	1857	118	105	1734	848	1422	650	1029	1094	0	0	469	506	0	0	515	655	0	116	566	1097	0	0	495	1032	0	0	294	192	0	0	241	152	0	0	186	1574	1594	0	108	1863	1615	153	171	0	0	0	0	85	0	115	0	0	0	150	0	0	0	0	1598	0	1211	2144	1502	0
Il1rl2	585.436620	0	3386	2969	3327	3385	3356	1893	2231	194	359	1878	1008	1701	1036	980	943	139	0	636	518	173	223	570	663	0	376	898	1358	0	270	191	531	0	0	173	303	0	0	0	0	0	0	0	1410	1310	0	0	1340	1385	187	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hfe	578.436620	0	2380	1976	2354	2672	2625	1088	1384	292	300	1383	1788	979	1305	1618	1405	279	0	776	765	0	0	340	576	0	158	981	1483	251	243	778	1540	0	0	411	342	0	0	340	203	0	0	0	1252	1621	0	0	1912	1729	326	288	0	0	0	0	0	0	0	0	0	0	0	0	0	158	188	0	0	153	427	0	0
Vrk1	577.042254	0	3024	2638	2515	2802	3085	768	956	126	132	2296	1483	1775	855	928	869	171	0	644	500	0	0	473	776	0	120	815	1549	135	0	960	1480	0	0	595	362	0	0	357	0	0	0	0	1162	1153	0	0	1883	1616	455	364	0	0	0	0	131	0	164	0	0	0	0	0	0	0	0	108	0	0	504	241	0
N4bp1	574.957746	0	3000	2478	2905	3008	2825	1056	1451	189	330	1881	1254	1607	890	1101	1367	202	0	444	587	257	195	365	904	0	250	803	1463	128	144	403	1172	0	0	460	212	144	0	265	0	0	0	0	1329	1301	0	0	1643	1230	354	336	0	0	0	0	0	0	189	0	0	0	0	0	0	0	0	108	0	0	360	232	0
Tmem79	568.647887	0	2588	2133	2294	2621	2583	1942	2463	0	0	2081	1310	1700	748	1253	1102	0	0	160	316	0	0	156	632	0	0	564	860	0	0	987	1603	0	0	312	383	0	0	309	0	0	0	0	1887	2055	0	0	1978	1789	473	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	106	146	204	0
Smg5	568.647887	0	2588	2133	2294	2621	2583	1942	2463	0	0	2081	1310	1700	748	1253	1102	0	0	160	316	0	0	156	632	0	0	564	860	0	0	987	1603	0	0	312	383	0	0	309	0	0	0	0	1887	2055	0	0	1978	1789	473	478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	106	146	204	0
Arg1	566.464789	0	2880	2430	2506	2743	2566	1489	1607	0	202	1624	1675	1637	1319	1124	1310	0	0	466	581	0	165	664	905	109	250	1249	1787	127	0	664	1440	0	0	600	573	0	0	392	196	0	0	0	1041	1180	0	0	1078	919	195	215	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	114	0	0
Ybx2	566.084507	0	1187	828	1232	1843	1914	631	1158	162	355	2447	1330	1867	1375	1302	1704	0	0	776	742	0	94	659	1055	0	335	1296	2241	149	332	984	1882	0	0	741	457	0	0	304	0	0	0	0	1132	1163	0	0	1734	1403	445	414	0	0	0	0	0	0	133	0	0	0	0	0	139	0	0	899	580	0	348	420	0
Nfe2	562.690141	0	1341	863	970	1066	1291	1070	1513	0	0	2126	1466	1866	914	1096	638	0	0	297	341	0	0	334	358	0	118	985	1504	127	0	974	1676	138	0	552	393	0	0	451	128	0	0	0	2665	2626	129	0	2570	2424	1340	1323	159	288	0	0	168	166	355	107	0	0	113	0	0	157	169	0	0	0	215	381	0
Prkcd	554.323944	0	3004	2589	3108	3083	3016	1378	1605	194	393	1664	1075	1306	608	939	748	125	104	318	479	159	210	531	628	0	186	776	1130	127	0	292	871	0	0	220	382	0	0	0	191	0	0	0	1411	1521	0	0	1534	1304	336	192	0	0	0	0	0	0	122	0	0	0	0	0	0	162	0	832	0	0	504	0	0
