Target_genes	Tal1|Average	SRX1056345|416B	SRX209469|Bone_Marrow_Cells	SRX079889|Embryonic_erythroblasts	SRX079890|Embryonic_erythroblasts	SRX145062|Embryonic_erythroblasts	SRX3889815|Embryonic_erythroblasts	SRX3889816|Embryonic_erythroblasts	SRX181747|Embryonic_megakaryocytes	SRX757571|ES_cells	SRX757572|ES_cells	SRX079861|G1E	SRX079862|G1E	SRX1030248|G1E	SRX1030249|G1E	SRX1030250|G1E	SRX145059|G1E	SRX1030252|G1E-ER4+E2	SRX1030253|G1E-ER4+E2	SRX1030254|G1E-ER4+E2	SRX1030255|G1E-ER4+E2	SRX1030256|G1E-ER4+E2	SRX1030257|G1E-ER4+E2	SRX1030258|G1E-ER4+E2	SRX1030259|G1E-ER4+E2	SRX1030260|G1E-ER4+E2	SRX1030261|G1E-ER4+E2	SRX145056|G1E-ER4+E2	SRX9290341|G1E-ER4+E2	SRX9290342|G1E-ER4+E2	SRX9290343|G1E-ER4+E2	SRX9290344|G1E-ER4+E2	SRX9290345|G1E-ER4+E2	SRX9290346|G1E-ER4+E2	SRX9290347|G1E-ER4+E2	SRX9290348|G1E-ER4+E2	SRX9290349|G1E-ER4+E2	SRX9290350|G1E-ER4+E2	SRX9290355|G1E-ER4+E2	SRX9290356|G1E-ER4+E2	SRX9290357|G1E-ER4+E2	SRX9290358|G1E-ER4+E2	SRX9290359|G1E-ER4+E2	SRX9290360|G1E-ER4+E2	SRX9290361|G1E-ER4+E2	SRX9290362|G1E-ER4+E2	SRX035991|Hematopoietic_progenitors	SRX7821060|Hematopoietic_progenitors	SRX180160|Hematopoietic_Stem_Cells	SRX180161|Hematopoietic_Stem_Cells	SRX1939449|Lymphoid-primed_multipotent_progenitors	SRX310207|Mast_Cells	SRX145058|MEL	SRX282674|MEL	SRX006799|mESC_derived_haematopoietic_progenitor	SRX006800|mESC_derived_haematopoietic_progenitor	SRX1035385|mESC_derived_haematopoietic_progenitor	SRX1035390|mESC_derived_haematopoietic_progenitor	SRX1035400|mESC_derived_haematopoietic_progenitor	SRX1035406|mESC_derived_macrophages	SRX282665|mESC_derived_mesodermal_cells	SRX282666|mESC_derived_mesodermal_cells	SRX282670|mESC_derived_mesodermal_cells	SRX2911513|mESC_derived_mesodermal_cells	SRX2911514|mESC_derived_mesodermal_cells	SRX757574|mESC_derived_mesodermal_cells	STRING
Ppp1r15a	1156.800000	3010	1288	1933	2355	2230	2980	3047	822	0	0	1622	2909	272	363	320	3126	181	0	168	199	268	331	181	239	561	463	1853	0	1617	2079	2879	2799	2417	2263	1914	243	0	0	2888	0	0	1414	939	730	1511	1185	687	539	2033	686	2519	2737	842	170	0	158	537	583	0	2813	2180	1451	889	266	503	0
Plekha4	1156.800000	3010	1288	1933	2355	2230	2980	3047	822	0	0	1622	2909	272	363	320	3126	181	0	168	199	268	331	181	239	561	463	1853	0	1617	2079	2879	2799	2417	2263	1914	243	0	0	2888	0	0	1414	939	730	1511	1185	687	539	2033	686	2519	2737	842	170	0	158	537	583	0	2813	2180	1451	889	266	503	0
Lyl1	1098.461538	2307	1447	1423	2272	2246	3181	3092	726	0	0	335	2669	159	310	286	2834	0	0	0	190	330	258	0	160	277	346	927	0	615	1221	2167	2255	1720	1106	1345	139	0	0	1842	0	0	388	304	215	1231	1252	2604	2230	1744	2604	2150	2772	421	1114	456	206	1177	670	0	2408	3140	1745	1987	1351	1046	0
Hdgf	1028.707692	2429	284	692	1444	2107	3059	2883	731	0	0	1647	2581	222	424	516	2983	0	0	0	216	217	266	259	318	376	314	991	0	1385	2049	2576	2525	1570	1575	1545	132	0	0	2794	0	0	1315	561	493	963	1352	2316	456	1029	2322	546	2874	1404	0	0	140	667	607	0	2873	2484	1891	726	137	600	0
Brox	1018.476923	760	150	1525	2395	2268	2092	2058	877	361	335	1727	1845	0	110	282	2375	0	0	0	109	0	0	171	0	147	293	1363	554	1814	1737	1770	1759	2176	1843	1876	623	737	794	2026	631	779	1886	1422	1220	1981	360	2590	184	396	2559	1478	2274	546	801	850	149	523	490	454	2390	1294	1403	0	0	589	0
Aida	1018.476923	760	150	1525	2395	2268	2092	2058	877	361	335	1727	1845	0	110	282	2375	0	0	0	109	0	0	171	0	147	293	1363	554	1814	1737	1770	1759	2176	1843	1876	623	737	794	2026	631	779	1886	1422	1220	1981	360	2590	184	396	2559	1478	2274	546	801	850	149	523	490	454	2390	1294	1403	0	0	589	0
Nfe2	947.892308	2894	776	917	1798	2302	3236	3341	717	0	0	917	2126	142	177	313	2282	0	0	0	181	168	202	139	220	404	338	713	0	700	1210	2187	2157	1358	1416	1157	126	0	93	2227	0	0	843	341	208	1047	1211	2999	1012	2076	3005	2665	2960	339	262	182	0	489	446	0	2163	1377	335	495	0	224	0
Sde2	921.169231	2953	1311	895	1702	2315	3350	3305	864	0	0	319	2164	0	0	159	2274	0	0	0	254	0	0	0	0	0	155	509	0	451	765	1629	1687	1243	1001	818	0	0	0	1717	0	0	378	126	124	653	1601	2682	2923	2412	2668	2885	2966	424	581	319	124	838	183	0	2733	1977	687	196	0	556	0
Tcstv3	908.261538	0	395	1744	1994	1355	228	335	972	1204	1312	317	1281	735	697	642	1399	429	205	0	0	784	465	428	448	688	415	340	0	695	591	831	758	1599	1409	1505	1070	904	316	640	198	144	351	425	227	1659	387	1307	1852	2329	1454	983	1573	167	702	273	939	1932	694	913	1806	2146	599	2523	2508	1816	0
Inka1	896.830769	2820	427	632	1399	1783	2800	2763	756	0	0	407	1569	132	185	174	1771	0	0	0	161	181	258	133	178	299	223	1115	0	723	1659	2666	2300	1754	1477	1347	153	0	0	2516	0	0	699	524	446	1074	1447	2781	1892	1996	2781	1032	2682	632	277	0	84	745	800	0	1958	954	379	350	0	0	0
