Target_genes	Tbr1|Average	SRX22670282|Cortex	SRX22670283|Cortex	SRX4632659|Cortex	SRX4632662|Cortex	SRX4632663|Cortex	SRX1121025|Embryonic_brains	STRING
Tcstv3	1830.500000	2010	2045	1977	1894	660	2397	0
Hexim1	1064.833333	1882	1774	1302	1431	0	0	0
Vnn1	878.166667	1188	1394	1392	1295	0	0	0
Necap1	841.166667	1245	1397	984	799	0	622	0
Nufip2	815.166667	1066	1191	935	932	0	767	0
Acox3	813.833333	1296	1151	1086	1350	0	0	0
Rgcc	809.166667	1024	1050	993	1179	0	609	0
Myo1h	804.333333	1231	1339	1011	1000	0	245	0
Ylpm1	792.166667	1101	1339	983	1045	0	285	0
Dlg4	747.500000	1169	1578	943	675	0	120	0
Slc17a7	729.333333	961	1272	1005	831	0	307	0
Scn2a	703.333333	745	1174	715	809	0	777	0
Pdia6	691.833333	767	1040	901	762	0	681	0
Sec14l4	681.666667	860	1238	842	890	0	260	0
Fam222a	667.500000	710	1718	294	332	0	951	0
Frg2f1	624.000000	1069	1089	681	596	0	309	0
Foxj3	624.000000	1069	1089	681	596	0	309	0
Zfp629	615.833333	1099	1309	648	639	0	0	0
Rasal1	610.833333	1003	1069	721	604	0	268	0
Asmt	607.666667	624	665	737	630	232	758	0
Ptprv	605.166667	970	1043	537	633	0	448	0
Ptpn7	605.166667	970	1043	537	633	0	448	0
Ccng2	599.166667	948	1364	429	592	0	262	0
Tinf2	593.000000	609	1123	768	716	0	342	0
Ube3b	589.333333	907	1179	693	757	0	0	0
Kctd10	589.333333	907	1179	693	757	0	0	0
Sfswap	583.833333	816	1189	674	585	0	239	0
Pnliprp2	580.333333	773	1091	428	315	0	875	0
Atxn2l	567.833333	1229	942	280	416	0	540	0
Dennd11	565.333333	842	1122	481	504	0	443	0
Gaa	553.833333	666	1063	621	717	0	256	0
Mtpn	548.166667	670	1003	715	901	0	0	0
Vps51	537.833333	603	882	600	534	0	608	0
Tmem262	537.833333	603	882	600	534	0	608	0
Eid2b	525.333333	706	990	585	871	0	0	0
Cldn34d	519.833333	522	512	528	384	485	688	0
Trp53rka	519.333333	816	886	560	565	0	289	0
Cnmd	518.666667	890	768	677	777	0	0	0
Abhd18	516.666667	457	1193	553	573	0	324	0
Map9	501.000000	525	1532	366	365	0	218	0
Ghr	498.666667	601	1010	336	277	0	768	0
Baz2b	495.000000	651	864	647	808	0	0	0
Piezo1	489.333333	873	641	644	778	0	0	0
Kat2b	486.666667	494	1268	320	286	0	552	0
Lnpep	483.166667	677	675	603	531	0	413	0
Vwa3a	479.000000	806	849	599	506	0	114	0
Nemf	477.666667	507	1237	475	384	0	263	0
Pde1a	477.500000	734	560	597	723	0	251	0
Usp31	477.000000	463	1363	370	304	0	362	0
Smad5	461.166667	457	1011	292	389	0	618	0
Galnt14	459.833333	376	877	451	514	0	541	0
Rnps1	458.833333	477	1223	479	463	0	111	0
LOC100861969	458.500000	634	1096	353	301	0	367	0
Il11ra2	458.500000	634	1096	353	301	0	367	0
Gm2002	458.500000	634	1096	353	301	0	367	0
Gm13305	458.500000	634	1096	353	301	0	367	0
Slc4a7	457.500000	656	416	772	550	0	351	0
Brox	453.000000	316	387	190	187	389	1249	0
Aida	453.000000	316	387	190	187	389	1249	0
Chrm5	445.500000	627	662	684	566	0	134	0
Ece2	444.666667	459	1170	314	312	0	413	0
Arhgap12	444.500000	348	1404	220	253	0	442	0
Med23	443.000000	441	967	368	449	0	433	0
Gjd2	441.166667	450	710	806	681	0	0	0
Zfp607b	438.666667	500	850	762	520	0	0	0
Wdr26	438.666667	827	701	500	604	0	0	0
Mfap3	434.833333	358	1138	223	206	0	684	0
Fam114a2	434.833333	358	1138	223	206	0	684	0
Adamts5	431.666667	393	803	430	290	0	674	0
Lta4h	429.333333	397	997	431	503	0	248	0
Lars	429.000000	564	814	559	458	0	179	0
Dcaf11	425.000000	607	1037	457	322	0	127	0
Atxn7l2	422.000000	811	772	458	352	0	139	0
Sema4g	421.666667	500	843	435	301	0	451	0
Prdm11	421.666667	786	529	627	588	0	0	0
Zfp560	421.500000	550	879	372	311	0	417	0
Rps29	420.666667	290	1171	455	452	0	156	0
AW551984	420.500000	390	802	204	162	0	965	0
Shoc1	414.166667	366	1294	387	438	0	0	0
Twistnb	413.166667	493	930	351	443	0	262	0
Zfp821	412.500000	569	853	367	337	0	349	0
Ist1	412.500000	569	853	367	337	0	349	0
Krtap19-4	411.333333	351	1485	225	144	0	263	0
Nabp2	410.666667	579	373	832	680	0	0	0
Lrig1	406.000000	419	946	347	528	0	196	0
Il11ra1	403.333333	553	818	299	311	0	439	0
Cabp1	403.000000	706	600	438	320	0	354	0
Timm50	401.833333	617	1034	302	334	0	124	0
Kpna1	395.500000	143	376	225	195	334	1100	0
Tex14	392.333333	505	981	341	287	0	240	0
Itgb2l	389.833333	451	937	291	384	0	276	0
Zc3h6	389.166667	573	1002	239	339	0	182	0
Hlcs	387.833333	353	1129	204	156	0	485	0
Frmd4b	387.166667	504	876	213	224	0	506	0
Tnpo1	381.333333	576	373	587	752	0	0	0
Coprs	377.500000	743	300	442	470	0	310	0
Gpr142	377.333333	423	904	247	197	0	493	0
Btbd17	377.333333	423	904	247	197	0	493	0
