Target_genes	Tcf3|Average	SRX1568859|B_cells	SRX1568860|B_cells	SRX1568861|B_cells	SRX1568862|B_cells	SRX1568867|B_cells	SRX1568868|B_cells	SRX142528|C2C12	SRX2348473|CD4_CD8_double_positive_cells	SRX1080393|Embryoid_Bodies	SRX9599934|Embryonic_liver	SRX9599937|Embryonic_liver	SRX9599940|Embryonic_liver	SRX9641189|EpiLC	SRX9641190|EpiLC	SRX9641191|EpiLC	SRX9641202|EpiLC	SRX9641203|EpiLC	SRX9641204|EpiLC	SRX9641218|EpiLC	SRX9641219|EpiLC	SRX9641220|EpiLC	SRX003870|ES_cells	SRX003871|ES_cells	SRX1080398|ES_cells	SRX3581842|ES_cells	SRX3581843|ES_cells	SRX9641170|ES_cells	SRX9641171|ES_cells	SRX9641172|ES_cells	SRX1117081|HAFTL	SRX1117082|HAFTL	SRX1117083|HAFTL	SRX1117084|HAFTL	SRX1117085|HAFTL	SRX323583|Hair_follicle_stem_cells	SRX7821127|Hematopoietic_progenitors	SRX7821128|Hematopoietic_progenitors	SRX7821129|Hematopoietic_progenitors	SRX310197|HPC-7	SRX3771849|Liver	SRX3771850|Liver	SRX310199|Mast_Cells	SRX150191|Myoblasts	SRX2348475|Natural_Killer_T-Cells	SRX2254825|Neural_Stem_Cells	SRX3195760|Neural_Stem_Cells	SRX3195761|Neural_Stem_Cells	SRX3195762|Neural_Stem_Cells	SRX3195763|Neural_Stem_Cells	SRX2162538|Pre-B_cells	SRX2162541|Pre-B_cells	SRX2162560|Pre-B_cells	SRX3868861|Pre-B_cells	SRX3868862|Pre-B_cells	SRX021889|Pro-B_cells	SRX021890|Pro-B_cells	SRX082175|Thymocytes	SRX082176|Thymocytes	SRX021893|T_cells	SRX1568863|Unclassified	SRX1568864|Unclassified	SRX1568865|Unclassified	SRX1568866|Unclassified	STRING
Tcstv3	1604.079365	1807	1679	1721	2126	1979	2141	911	2207	2302	672	1042	1360	2004	1942	2111	2150	2126	2393	2329	2411	2138	212	197	2283	2146	2171	2314	2165	2239	386	366	715	365	250	1115	419	1179	1066	2401	2112	1985	421	2202	2455	1880	3261	3386	3555	3668	1396	1474	1166	1897	1298	249	295	247	189	282	1579	1230	1702	1588	0
Cldn34d	914.888889	1798	1516	1583	1646	1651	1859	321	1186	1178	178	162	239	860	420	245	475	419	527	1018	344	532	365	397	1004	1384	1180	227	1000	592	324	330	382	327	320	125	315	1127	1062	767	1512	1486	622	1412	1926	1107	1094	1801	1593	1402	1486	1596	1196	2159	1227	212	87	422	467	285	1416	1196	1432	1117	0
Brox	762.492063	1824	2065	1605	1801	1605	2074	259	762	1603	192	312	324	232	94	0	0	0	102	200	0	157	301	450	2566	1141	1239	0	167	99	276	222	373	421	270	154	139	1091	848	1080	1117	1149	674	1340	1295	857	430	984	730	869	1278	1188	926	2014	814	199	153	297	302	87	1083	1306	1419	1478	0
Aida	762.492063	1824	2065	1605	1801	1605	2074	259	762	1603	192	312	324	232	94	0	0	0	102	200	0	157	301	450	2566	1141	1239	0	167	99	276	222	373	421	270	154	139	1091	848	1080	1117	1149	674	1340	1295	857	430	984	730	869	1278	1188	926	2014	814	199	153	297	302	87	1083	1306	1419	1478	0
Id3	630.777778	2240	594	1462	480	696	766	106	479	2222	0	0	0	0	896	891	0	368	261	0	142	0	1201	1080	2551	2914	2925	755	1673	1949	0	0	0	0	0	0	0	0	0	307	0	0	0	143	0	952	582	1680	1577	1396	939	345	75	0	0	217	0	0	0	0	1728	501	1943	703	0
Cd2ap	585.777778	2628	892	1632	977	1213	1542	405	1313	1659	0	0	0	0	421	402	0	165	0	0	0	0	177	0	2399	1944	2242	292	742	1048	0	0	0	0	0	0	0	0	0	143	0	0	0	283	360	185	340	1200	1043	919	2698	316	0	0	0	356	294	0	0	213	2149	932	2295	1085	0
Map10	526.301587	2148	696	1540	434	88	0	0	101	2735	0	0	0	149	1614	1466	482	1182	933	0	131	122	984	592	2483	2915	2913	704	2341	2129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	1582	524	1533	498	0
Tmem181a	497.619048	464	0	104	0	0	0	189	191	2493	0	0	0	0	888	1868	311	473	1041	146	187	0	1103	1030	2709	2861	2832	2203	2608	2321	0	0	0	0	0	0	0	0	0	287	0	0	0	931	0	0	0	143	208	0	1538	262	0	0	0	400	330	0	0	240	270	0	575	144	0
C77080	476.666667	905	89	714	0	0	0	0	465	2579	0	0	0	169	1368	1475	360	1268	882	533	382	271	978	908	2478	2200	2273	897	1971	1843	0	0	0	0	0	0	83	198	176	1379	0	0	179	112	0	0	0	0	0	0	811	497	469	0	0	94	159	0	0	0	442	0	423	0	0
Tmem125	458.523810	1240	1168	999	1149	1062	1098	334	406	228	0	0	0	303	226	197	0	0	135	195	220	0	0	0	588	412	421	0	122	0	100	207	223	204	169	184	185	502	264	562	1187	956	145	699	1036	1087	927	1104	1016	1099	512	410	100	1179	603	139	102	0	0	0	963	622	987	911	0
