Target_genes	Tfap4|Average	SRX554972|CD8+_T_cells	SRX1726746|Germinal_Center	SRX1726747|Germinal_Center	STRING
Xndc1	2262.666667	3092	1511	2185	0
Rnf121	2262.666667	3092	1511	2185	0
Pgpep1	2261.666667	2944	1528	2313	0
Trip4	2258.333333	3356	1502	1917	0
Stx8	2255.000000	3164	1429	2172	0
Cfap52	2255.000000	3164	1429	2172	0
Clptm1l	2220.000000	3012	1552	2096	0
Secisbp2l	2127.000000	3163	1309	1909	0
Mafa	2047.666667	2890	1269	1984	0
Trip12	2028.000000	2768	1232	2084	0
Fbxo36	2028.000000	2768	1232	2084	0
Usp35	1997.000000	2943	1131	1917	0
Kctd21	1997.000000	2943	1131	1917	0
Natd1	1970.000000	2923	1211	1776	0
Zfp398	1957.333333	2635	1268	1969	0
Rpe	1954.333333	3120	978	1765	0
Lig4	1931.000000	2771	1187	1835	0
Abhd13	1931.000000	2771	1187	1835	0
Fam214b	1924.333333	3039	1149	1585	0
Mon2	1910.000000	2797	1040	1893	0
Scrt1	1905.666667	2928	954	1835	0
Gsn	1903.666667	2959	1036	1716	0
Trp53inp1	1866.666667	2784	1181	1635	0
Aco1	1839.666667	2745	1163	1611	0
Tcstv3	1806.333333	1950	1593	1876	0
Kdm5b	1774.666667	2440	1137	1747	0
Tsr3	1766.000000	2896	936	1466	0
Gnptg	1766.000000	2896	936	1466	0
Osbpl8	1742.333333	2244	1098	1885	0
Zswim8	1736.333333	2603	1096	1510	0
Chchd1	1736.333333	2603	1096	1510	0
Gpr107	1705.666667	2876	841	1400	0
Hif1a	1703.333333	2976	681	1453	0
1110008P14Rik	1695.666667	2670	968	1449	0
Wdfy1	1684.666667	3025	708	1321	0
Chfr	1676.333333	2910	865	1254	0
Esrra	1649.000000	2577	886	1484	0
Catsperz	1649.000000	2577	886	1484	0
Nme1	1648.000000	2840	805	1299	0
Prdm4	1623.666667	3056	757	1058	0
Arpc1a	1589.333333	2883	637	1248	0
Wdr27	1586.000000	2839	734	1185	0
1600012H06Rik	1586.000000	2839	734	1185	0
Rnf14	1566.000000	2758	648	1292	0
Tmem120b	1526.333333	2340	896	1343	0
Zfp513	1524.333333	2634	583	1356	0
Med13	1495.666667	2524	782	1181	0
Trp53inp2	1488.666667	2534	798	1134	0
Ypel3	1488.000000	2802	651	1011	0
Tbx6	1488.000000	2802	651	1011	0
Qrich1	1486.333333	1791	1078	1590	0
Dpp9	1483.666667	2257	618	1576	0
Ypel5	1459.000000	2239	866	1272	0
Naca	1458.666667	2338	870	1168	0
Usp32	1439.333333	2713	722	883	0
Gar1	1436.333333	2881	619	809	0
Susd6	1421.666667	2404	498	1363	0
Puf60	1415.333333	2591	560	1095	0
Als2	1403.666667	2429	718	1064	0
Naa60	1393.333333	2503	808	869	0
Nudcd3	1377.666667	2826	403	904	0
Med6	1376.000000	2200	699	1229	0
Nob1	1373.000000	2453	590	1076	0
Snx3	1371.000000	1987	850	1276	0
Meig1	1362.000000	2960	446	680	0
Dclre1c	1362.000000	2960	446	680	0
Vps18	1360.666667	2785	485	812	0
Calcoco1	1358.000000	2351	748	975	0
H3f3b	1356.666667	2553	526	991	0
Mob3c	1355.666667	2378	716	973	0
Adpgk	1352.666667	2421	582	1055	0
Slc25a11	1348.666667	2078	679	1289	0
Rnf167	1348.666667	2078	679	1289	0
Jtb	1347.666667	2856	313	874	0
Tfap4	1342.333333	2379	592	1056	0
Cmss1	1339.000000	2283	583	1151	0
Gadd45g	1330.000000	2383	753	854	0
Insr	1321.000000	2718	493	752	0
Btbd10	1319.666667	2413	460	1086	0
Arid3b	1319.666667	1780	845	1334	0
Gle1	1318.666667	2526	651	779	0
Ppard	1317.000000	2060	667	1224	0
Atp6v0c	1311.333333	2673	576	685	0
Amdhd2	1311.333333	2673	576	685	0
Hmox1	1308.666667	2762	539	625	0
Stx11	1305.000000	2034	747	1134	0
Ost4	1302.333333	2295	711	901	0
Kdm4c	1291.333333	2640	604	630	0
Afmid	1279.666667	2335	617	887	0
Dgat1	1278.333333	2246	658	931	0
Utp23	1274.666667	3032	191	601	0
H2az2	1270.333333	2623	575	613	0
Cpeb4	1268.666667	2739	295	772	0
Shprh	1268.333333	2197	584	1024	0
Stoml2	1263.666667	2170	472	1149	0
Rit1	1261.666667	2128	658	999	0
Prkcb	1260.333333	1661	638	1482	0
Wdtc1	1249.000000	2881	347	519	0
Ppp2r5b	1248.333333	1890	595	1260	0
Ppp1r9b	1239.000000	2402	501	814	0
Pigm	1238.666667	2235	527	954	0
Ado	1238.000000	2481	432	801	0
Chst11	1237.666667	2336	600	777	0
Xpnpep1	1235.000000	2558	457	690	0
Pikfyve	1230.000000	2538	422	730	0
Idh1	1230.000000	2538	422	730	0
Dcaf5	1213.666667	1676	678	1287	0
Nphp4	1210.666667	2427	395	810	0
Kcnab2	1210.666667	2427	395	810	0
Ascc3	1208.666667	2228	536	862	0
Fancd2	1204.333333	2393	482	738	0
Emc3	1204.333333	2393	482	738	0
Hint3	1194.000000	2531	244	807	0
Prmt2	1192.666667	2721	323	534	0
Hcfc2	1189.666667	1851	698	1020	0
Stx7	1188.666667	2126	595	845	0
Bmf	1178.666667	2460	433	643	0
Smim7	1177.000000	2272	392	867	0
Pgap1	1176.000000	2338	415	775	0
Zfand3	1174.000000	2323	435	764	0
Sqstm1	1172.000000	2018	567	931	0
Tep1	1161.000000	2540	306	637	0
Gpank1	1158.333333	2024	524	927	0
D17H6S53E	1158.333333	2024	524	927	0
Csnk2b	1158.333333	2024	524	927	0
Rbx1	1153.333333	1764	637	1059	0
Id2	1151.666667	1854	608	993	0
Nop14	1148.333333	1812	613	1020	0
Grk4	1148.333333	1812	613	1020	0
Vps45	1145.666667	2370	369	698	0
Psmd3	1143.000000	1662	723	1044	0
Pias1	1142.000000	1680	721	1025	0
Mob4	1128.000000	1530	706	1148	0
Adnp	1125.000000	1711	687	977	0
Kri1	1124.333333	2311	492	570	0
Cdkn2d	1124.333333	2311	492	570	0
Aak1	1124.000000	840	859	1673	0
Tmf1	1123.333333	1514	648	1208	0
Tmem106b	1123.333333	2483	337	550	0
Dstyk	1108.000000	1240	772	1312	0
Slc6a9	1097.666667	1858	471	964	0
Atxn7l2	1094.000000	2132	460	690	0
Cep78	1092.333333	2115	267	895	0
Urod	1085.000000	1998	606	651	0
Hectd3	1085.000000	1998	606	651	0
Slc35a5	1083.333333	2162	388	700	0
Atg3	1083.333333	2162	388	700	0
Chmp6	1080.666667	947	1083	1212	0
Il31ra	1079.000000	1130	932	1175	0
Tsc2	1078.333333	2418	301	516	0
Nthl1	1078.333333	2418	301	516	0
Sugp2	1077.333333	2010	359	863	0
Armc6	1077.333333	2010	359	863	0
Crip2	1075.666667	1796	528	903	0
Tdrd1	1075.333333	1853	474	899	0
Ccdc186	1075.333333	1853	474	899	0
Taldo1	1070.666667	2205	402	605	0
Pgam5	1069.666667	2266	391	552	0
Ube2h	1067.000000	1895	547	759	0
Eml5	1064.333333	1581	623	989	0
Tex14	1063.000000	2412	265	512	0
Rad51c	1063.000000	2412	265	512	0
Rmc1	1059.666667	2363	361	455	0
Spata6	1057.666667	2338	321	514	0
Maf	1056.333333	2911	0	258	0
Kmt2a	1055.000000	600	1157	1408	0
Zfp882	1054.000000	1993	288	881	0
Wfs1	1050.333333	2229	292	630	0
Tmem9b	1046.000000	1812	472	854	0
Usp12	1045.666667	1122	869	1146	0
Bcl3	1042.666667	2798	143	187	0
Baz2a	1037.333333	850	1136	1126	0
Atp10d	1036.666667	2057	261	792	0
Tinf2	1032.333333	2154	365	578	0
Tuba1c	1032.000000	2103	358	635	0
Rtca	1031.000000	2147	445	501	0
Dbt	1031.000000	2147	445	501	0
Commd3	1025.666667	1401	576	1100	0
Bmi1	1025.666667	1401	576	1100	0
Prrt2	1024.333333	2221	367	485	0
Pagr1a	1024.333333	2221	367	485	0
Mvp	1024.333333	2221	367	485	0
Nup85	1019.000000	2152	339	566	0
Fkbp1a	1017.000000	2017	402	632	0
Slc12a6	1016.666667	2122	375	553	0
Nop10	1016.666667	2122	375	553	0
Lta	1015.000000	2246	311	488	0
Cyren	1013.666667	1874	494	673	0
Plekho2	1011.666667	465	1309	1261	0
Imp3	1011.666667	1813	456	766	0
Tbc1d13	1011.333333	1636	552	846	0
Esco1	1011.333333	2055	374	605	0
Dgat2	1005.000000	2341	311	363	0
Scamp4	1003.666667	2278	310	423	0
Adat3	1003.666667	2278	310	423	0
Herc3	1000.000000	1867	440	693	0
Acap2	997.666667	1686	444	863	0
Limk1	995.000000	1679	494	812	0
Gpd1l	994.000000	1859	468	655	0
Pdia3	993.000000	1664	469	846	0
Catsper2	993.000000	1664	469	846	0
Prpf40b	988.000000	1848	497	619	0
Eif4a3	987.333333	2155	175	632	0
Zfp740	984.666667	1551	471	932	0
Csad	984.666667	1551	471	932	0
Cltc	984.000000	1272	657	1023	0
Tonsl	982.666667	1836	523	589	0
Fbxo30	976.666667	2447	182	301	0
Sart3	976.000000	1891	363	674	0
Iscu	976.000000	1891	363	674	0
Usp1	975.666667	1278	659	990	0
Cd2ap	974.666667	1613	380	931	0
Pkm	973.666667	1513	557	851	0
Ggact	966.666667	1957	284	659	0
Cfl1	965.000000	1709	426	760	0
Cfi	960.333333	2881	0	0	0
Brox	960.000000	1548	585	747	0
Aida	960.000000	1548	585	747	0
Drg2	955.333333	1936	357	573	0
Ptgr2	950.333333	2056	198	597	0
Uchl5	945.666667	1037	734	1066	0
Ro60	945.666667	1037	734	1066	0
Arf1	942.666667	1470	751	607	0
Ccpg1os	940.333333	1858	379	584	0
Ccpg1	940.333333	1858	379	584	0
Lrif1	935.333333	2061	308	437	0
Zbp1	923.666667	2563	0	208	0
Dnajb1	922.666667	1523	659	586	0
Rsph3a	922.000000	2075	308	383	0
Rap2b	921.666667	1869	295	601	0
Gdf15	920.333333	1934	328	499	0
Dock10	919.666667	2240	234	285	0
Sema3b	917.666667	1413	369	971	0
Slc35g1	917.000000	2261	153	337	0
Fam98a	914.666667	1863	331	550	0
Zfpm1	914.000000	1598	507	637	0
Zfp786	914.000000	2635	107	0	0
Nudt19	912.333333	1817	343	577	0
Kbtbd7	912.000000	2034	119	583	0
Phc2	911.666667	1431	502	802	0
Lss	911.333333	1766	427	541	0
Angptl4	911.000000	415	1040	1278	0
Trim26	906.333333	1655	412	652	0
Ccdc194	905.000000	1994	202	519	0
Fam111a	904.000000	2055	156	501	0
Denr	902.000000	1617	384	705	0
Cldn34d	901.666667	1413	690	602	0
Itm2b	900.666667	972	509	1221	0
Dnajc11	898.333333	720	829	1146	0
Zdhhc9	897.666667	2041	230	422	0
Mrpl52	894.666667	1911	300	473	0
Mmp14	894.666667	1911	300	473	0
Gnpda1	892.666667	1784	367	527	0
Atrn	892.666667	557	914	1207	0
Gss	891.666667	1558	514	603	0
Msh6	890.333333	1574	497	600	0
Srr	889.000000	1450	544	673	0
Smg6	889.000000	1450	544	673	0
Fam13b	888.333333	2067	210	388	0
Ski	888.000000	2334	94	236	0
Myo9b	884.000000	1704	399	549	0
Haus8	884.000000	1704	399	549	0
Get4	883.333333	392	901	1357	0
Resf1	882.666667	1283	375	990	0
Snrnp27	882.000000	1812	278	556	0
Ifrd2	880.000000	2124	209	307	0
Atf7ip	880.000000	1769	172	699	0
Rad51ap1	879.666667	1872	298	469	0
D6Wsu163e	879.666667	1872	298	469	0
Commd10	878.333333	2211	102	322	0
Wdr7	875.666667	2047	213	367	0
Cops6	875.000000	1180	696	749	0
Slc25a32	874.666667	1193	442	989	0
Dcaf13	874.666667	1193	442	989	0
Smyd4	874.333333	2058	179	386	0
Rpa1	874.333333	2058	179	386	0
Itprid2	873.000000	1358	587	674	0
Psmd4	871.666667	1780	282	553	0
Mob1b	871.333333	1778	281	555	0
Pim1	870.666667	237	990	1385	0
Siah2	869.666667	1813	304	492	0
Tsc1	868.666667	1674	271	661	0
Serinc3	867.333333	1928	165	509	0
Cwc25	867.000000	1960	332	309	0
Mospd3	862.333333	1728	315	544	0
Eepd1	862.000000	1660	396	530	0
Wsb2	860.666667	929	615	1038	0
Pold3	860.666667	1562	325	695	0
Tnip2	859.666667	1985	221	373	0
Plaa	857.333333	1570	426	576	0
Lamtor4	857.333333	2405	0	167	0
Tgfbr2	854.333333	1638	422	503	0
Cpsf1	851.666667	1418	390	747	0
Mapk7	850.666667	1300	525	727	0
Atp6v0d1	850.000000	1572	370	608	0
Agrp	850.000000	1572	370	608	0
Flt3l	849.333333	2403	0	145	0
Srsf2	849.000000	1678	349	520	0
Mfsd11	849.000000	1678	349	520	0
Tmem125	848.333333	1042	656	847	0
Rnasek	847.333333	2204	164	174	0
0610010K14Rik	847.333333	2204	164	174	0
Clta	846.000000	2056	145	337	0
Strn	845.666667	762	705	1070	0
